player_name,team,total_hits,at_bats,obp,bb_rate,k_rate
"Padilla, Nicholas",CLE,0,1,0.0,0.0,1.0
"Helsley, Ryan",CHC,2,9,0.2727272727272727,0.1111111111111111,0.4444444444444444
"Bird, Jake",SF,42,151,0.313953488372093,0.07947019867549669,0.09271523178807947
"Hancock, Emerson",CIN,0,1,0.0,0.0,0.0
"Carrasco, Carlos",CLE,0,2,0.0,0.0,0.0
"McDonald, Cole",HOU,1,2,0.5,0.0,0.5
"Soroka, Michael",DET,15,83,0.20212765957446807,0.04819277108433735,0.39759036144578314
"Yeager, Justin",AZ,0,4,0.0,0.0,0.5
"De Los Santos, Enyel",LAA,4,22,0.3448275862068966,0.2727272727272727,0.45454545454545453
"Sims, Lucas",COL,1,3,0.3333333333333333,0.0,0.6666666666666666
"Mantiply, Joe",KC,3,21,0.24,0.14285714285714285,0.38095238095238093
"Leibrandt, Brandon",TOR,39,202,0.2701612903225806,0.13861386138613863,0.39603960396039606
"Walker, Taijuan",NYM,40,161,0.30612244897959184,0.12422360248447205,0.2857142857142857
"Mushinski, Parker",HOU,0,1,0.0,0.0,0.0
"Diaz, Yilber",PIT,54,257,0.2633333333333333,0.09727626459143969,0.31906614785992216
"Hughes, Brandon",SEA,1,3,0.3333333333333333,0.0,0.3333333333333333
"Milner, Hoby",SEA,1,3,0.3333333333333333,0.0,0.3333333333333333
"Dobnak, Randy",BAL,40,185,0.2579185520361991,0.0918918918918919,0.3783783783783784
"White, Brendan",DET,0,0,0.0,0.0,0.0
"Quintana, Jose",NYY,14,56,0.3181818181818182,0.125,0.375
"Brice, Austin",TOR,0,2,0.0,0.0,1.0
"Logue, Zach",TB,0,4,0.2,0.25,0.25
"Hernandez, Aaron",AZ,0,0,0.0,0.0,0.0
"Santos, Gregory",OAK,20,108,0.22131147540983606,0.06481481481481481,0.2037037037037037
"Scalzo Jr., Frankie",CHC,0,1,0.0,0.0,0.0
"Hoeing, Bryan",MIA,0,0,1.0,1.0,0.0
"Hernández, Daysbel",CIN,12,47,0.32075471698113206,0.10638297872340426,0.3404255319148936
"Kittredge, Andrew",CHC,0,1,0.0,0.0,1.0
"Bivens, Spencer",CWS,0,0,1.0,1.0,0.0
"Otañez, Michel",OAK,3,31,0.11764705882352941,0.03225806451612903,0.2903225806451613
"Alvarado, Elvis",HOU,0,1,0.5,1.0,1.0
"Webb, Jacob",MIN,42,165,0.26842105263157895,0.05454545454545454,0.16363636363636364
"Rutledge, Jackson",PHI,36,170,0.27860696517412936,0.11764705882352941,0.3058823529411765
"Naughton, Tim",DET,0,1,0.0,0.0,1.0
"Peralta, Freddy",TEX,4,15,0.3125,0.06666666666666667,0.26666666666666666
"Suárez, Ranger",MIN,0,4,0.14285714285714285,0.25,0.75
"Kinley, Tyler",MIN,39,158,0.28061224489795916,0.10126582278481013,0.310126582278481
"Sullivan, Billy",CIN,0,1,0.0,0.0,0.0
