pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-03-19,81.2,-2.09,4.93,"Barlow, Scott",684543,605130,strikeout,swinging_strike,,,,,14,Daniel Cope strikes out swinging.,S,R,R,KC,COL,S,2,,0,2,2023,0.8,0.15,1.76,1.27,,661531,,2,6,Top,,,,,,,7.177276673198631,-118.10113057673765,-1.919919138106319,6.316184375014834,20.583265241210334,-30.61935398200839,3.37,1.53,,,,82.5,2421,7.0,733582,682515,680769,613546,687349,665834,674646,670231,687614,53.51,,,0.0,,0,0,,51,3,Slider,0,7,7,0,7,0,7,0,,,87,0.002,-0.185,,,,0.185,,-7,7,0.013,0.987,30,26,31,26,1,0,,,,,3.29,-0.8,-0.8,
CU,2023-03-19,77.9,-1.89,5.21,"Barlow, Scott",684543,605130,,swinging_strike_blocked,,,,,13,Daniel Cope strikes out swinging.,S,R,R,KC,COL,S,,,0,1,2023,1.22,-0.44,-0.48,0.75,,661531,,2,6,Top,,,,,,,0.8134702822155349,-113.50698416820968,-1.91312846601939,10.398888488339274,20.431811188607465,-35.86197946373011,3.37,1.53,,,,79.0,2457,6.9,733582,682515,680769,613546,687349,665834,674646,670231,687614,53.58,,,,,,,,51,2,Curveball,0,7,7,0,7,0,7,0,,,65,0.0,-0.061,,,,0.061,,-7,7,0.013,0.987,30,26,31,26,1,0,,,,,4.18,-1.22,-1.22,
SL,2023-03-19,82.0,-2.18,4.92,"Barlow, Scott",684543,605130,,called_strike,,,,,11,Daniel Cope strikes out swinging.,S,R,R,KC,COL,S,,,0,0,2023,0.57,0.11,-1.1,2.81,,661531,,2,6,Top,,,,,,,1.3671286357181625,-119.62145839121229,1.4627572835600051,5.281165888015123,19.22447939156583,-31.487408024240818,3.37,1.53,,,,83.7,2302,6.9,733582,682515,680769,613546,687349,665834,674646,670231,687614,53.62,,,,,,,,51,1,Slider,0,7,7,0,7,0,7,0,,,102,0.0,-0.046,,,,0.046,,-7,7,0.013,0.987,30,26,31,26,1,0,,,,,3.21,-0.57,-0.57,
SL,2023-03-18,84.6,-2.59,4.85,"Snider, Collin",684543,676092,strikeout,swinging_strike,,,,,14,Daniel Cope strikes out swinging.,S,R,R,COL,KC,S,2,,2,2,2023,0.39,-0.21,0.69,1.0,663796,641385,,1,9,Bot,,,,,,,6.872583927697741,-123.17496036044544,-2.2385647870019243,2.7101795163424667,23.21854350000489,-34.09867051646893,3.37,1.53,,,,84.7,2615,6.2,733583,682515,680769,665834,689374,686475,674646,683031,687614,54.31,,,0.0,,0,0,,79,9,Slider,3,8,3,8,8,3,3,8,,,92,-0.017,-0.338,,,,0.338,,-5,-5,0.023,0.023,27,26,28,26,1,0,,,,,3.38,-0.39,-0.39,
ST,2023-03-18,82.4,-2.83,4.49,"Snider, Collin",684543,676092,,foul,,,,,7,Daniel Cope strikes out swinging.,S,R,R,COL,KC,S,,,2,2,2023,1.16,0.29,-0.32,1.43,663796,641385,,1,9,Bot,,,,,,,3.4273741966432865,-119.92636356947224,-0.9404397145814904,10.396746144531344,25.29656785083691,-29.399761213306643,3.37,1.53,2,54.0,-42,81.7,2449,6.0,733583,682515,680769,665834,689374,686475,674646,683031,687614,54.46,,,,,,,,79,8,Sweeper,3,8,3,8,8,3,3,8,,,93,0.0,0.0,,,,0.0,88.0,-5,-5,0.023,0.023,27,26,28,26,1,0,,,,,3.09,-1.16,-1.16,
FF,2023-03-18,94.7,-2.6,4.59,"Snider, Collin",684543,676092,,foul,,,,,2,Daniel Cope strikes out swinging.,S,R,R,COL,KC,S,,,2,2,2023,-0.74,0.44,-0.24,2.95,663796,641385,,1,9,Bot,,,,,,,7.709959867069735,-137.62039851054408,0.4255222642201546,-11.21151124248945,32.322168735517245,-26.93829528110644,3.37,1.53,,,,93.3,2417,5.7,733583,682515,680769,665834,689374,686475,674646,683031,687614,54.83,,,,,,,,79,7,4-Seam Fastball,3,8,3,8,8,3,3,8,,,226,0.0,0.0,,,,0.0,,-5,-5,0.023,0.023,27,26,28,26,1,0,,,,,2.12,0.74,0.74,
ST,2023-03-18,85.4,-2.88,4.57,"Snider, Collin",684543,676092,,foul,,,,,5,Daniel Cope strikes out swinging.,S,R,R,COL,KC,S,,,2,2,2023,0.87,0.64,-0.01,2.18,663796,641385,,1,9,Bot,,,,,,,4.951306082619603,-124.41145137360144,-0.6855545143318417,8.150633047871324,24.082153463866057,-25.53368268523963,3.37,1.53,42,73.6,84,84.9,2509,5.8,733583,682515,680769,665834,689374,686475,674646,683031,687614,54.67,,,,,,,,79,6,Sweeper,3,8,3,8,8,3,3,8,,,92,0.0,0.0,,,,0.0,88.0,-5,-5,0.023,0.023,27,26,28,26,1,0,,,,,2.46,-0.87,-0.87,
SL,2023-03-18,86.0,-2.58,4.85,"Snider, Collin",684543,676092,,foul,,,,,14,Daniel Cope strikes out swinging.,S,R,R,COL,KC,S,,,2,2,2023,0.47,-0.28,0.65,1.14,663796,641385,,1,9,Bot,,,,,,,6.713901343270317,-125.1841872273211,-2.01304153227794,3.645963574031088,24.66784457077879,-34.912209340873595,3.37,1.53,,,,86.1,2738,6.3,733583,682515,680769,665834,689374,686475,674646,683031,687614,54.25,,,,,,,,79,5,Slider,3,8,3,8,8,3,3,8,,,84,0.0,0.0,,,,0.0,,-5,-5,0.023,0.023,27,26,28,26,1,0,,,,,3.35,-0.47,-0.47,
FF,2023-03-18,95.7,-2.58,4.82,"Snider, Collin",684543,676092,,ball,,,,,12,Daniel Cope strikes out swinging.,S,R,R,COL,KC,B,,,1,2,2023,-0.44,0.82,1.97,3.2,663796,641385,,1,9,Bot,,,,,,,12.90688922065227,-138.8874807035917,-0.5013658459613286,-8.438186645061682,30.01109406812366,-21.692917693691463,3.37,1.53,,,,95.3,2398,6.1,733583,682515,680769,665834,689374,686475,674646,683031,687614,54.37,,,,,,,,79,4,4-Seam Fastball,3,8,3,8,8,3,3,8,,,235,0.0,0.008,,,,-0.008,,-5,-5,0.023,0.023,27,26,28,26,1,0,,,,,1.68,0.44,0.44,
SI,2023-03-18,94.9,-2.58,4.68,"Snider, Collin",684543,676092,,foul,,,,,4,Daniel Cope strikes out swinging.,S,R,R,COL,KC,S,,,1,1,2023,-1.12,0.48,-0.31,2.27,663796,641385,,1,9,Bot,,,,,,,8.432786343667619,-137.95086008436874,-1.7061309765877777,-16.168259137821696,30.64478558899228,-25.843191695455697,3.37,1.53,254,89.8,18,94.7,2463,6.2,733583,682515,680769,665834,689374,686475,674646,683031,687614,54.29,,,,,,,,79,3,Sinker,3,8,3,8,8,3,3,8,,,232,0.0,-0.08,,,,0.08,89.8,-5,-5,0.023,0.023,27,26,28,26,1,0,,,,,2.05,1.12,1.12,
