pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2023-09-14,92.8,-1.39,5.61,"Bowman, Matt",671213,621199,field_out,hit_into_play,,,,,7,"Triston Casas grounds out, second baseman Gleyber Torres to first baseman Jake Bauers.",R,L,R,BOS,NYY,X,4,ground_ball,1,2,2023,-1.55,0.45,-0.72,2.07,,,,1,8,Bot,140.25,137.6,,,,,5.176092779861492,-134.9877978319634,-4.2879116368205,-20.068418716283336,29.38269125911689,-25.965148614492872,3.8,1.79,35,91.0,-1,93.7,1988,6.9,716597,669224,641343,650402,672724,683011,677592,664314,665828,53.63,0.291,0.22,0.0,1,0,0,2,62,4,Sinker,2,0,2,0,0,2,2,0,Infield shade,Standard,238,-0.005,-0.189,76.9,7.9,0.339,0.189,91.0,2,2,0.937,0.937,32,23,32,23,1,3,2,2,15,0,2.2,1.55,-1.55,33.5
ST,2023-09-14,80.3,-1.84,5.48,"Bowman, Matt",671213,621199,,called_strike,,,,,8,"Triston Casas grounds out, second baseman Gleyber Torres to first baseman Jake Bauers.",R,L,R,BOS,NYY,S,,,1,1,2023,1.59,0.4,-0.25,2.23,,,,1,8,Bot,,,,,,,0.5119798834116609,-116.9713117693663,-1.2738500948309197,14.519311417912927,22.309296393965965,-28.462190860407823,3.78,1.77,,,,80.7,2640,6.6,716597,669224,641343,650402,672724,683011,677592,664314,665828,53.95,,,,,,,,62,3,Sweeper,2,0,2,0,0,2,2,0,Infield shade,Standard,75,0.0,-0.068,,,,0.068,,2,2,0.937,0.937,32,23,32,23,1,3,2,2,15,0,3.13,-1.59,1.59,27.4
FC,2023-09-14,90.9,-1.15,5.88,"Bowman, Matt",671213,621199,,ball,,,,,12,"Triston Casas grounds out, second baseman Gleyber Torres to first baseman Jake Bauers.",R,L,R,BOS,NYY,B,,,0,1,2023,0.36,0.63,1.89,3.88,,,,1,8,Bot,,,,,,,6.9006543723247145,-132.38906037887338,-0.5070761200415115,2.874615545486094,26.62389194114542,-24.84403265858032,3.78,1.75,,,,92.0,2153,6.7,716597,669224,641343,650402,672724,683011,677592,664314,665828,53.76,,,,,,,,62,2,Cutter,2,0,2,0,0,2,2,0,Infield shade,Standard,191,0.0,0.03,,,,-0.03,,2,2,0.937,0.937,32,23,32,23,1,3,2,2,15,0,2.11,-0.36,0.36,39.1
SI,2023-09-14,93.2,-1.19,5.66,"Bowman, Matt",671213,621199,,foul,,,,,8,"Triston Casas grounds out, second baseman Gleyber Torres to first baseman Jake Bauers.",R,L,R,BOS,NYY,S,,,0,0,2023,-1.59,0.42,-0.17,2.37,,,,1,8,Bot,,,,,,,6.157161223787928,-135.68433411239857,-3.673934130550934,-20.955870125066223,27.93068911697398,-26.417490595048836,3.8,1.79,273,94.5,22,94.4,2069,6.8,716597,669224,641343,650402,672724,683011,677592,664314,665828,53.69,,,,,,,,62,1,Sinker,2,0,2,0,0,2,2,0,Infield shade,Standard,236,0.0,-0.041,75.5,6.8,,0.041,94.5,2,2,0.937,0.937,32,23,32,23,1,3,2,2,15,0,2.19,1.59,-1.59,37.9
SI,2023-09-14,95.5,-3.65,5.06,"Weissert, Greg",671213,669711,field_out,hit_into_play,,,,,4,"Triston Casas grounds out, pitcher Greg Weissert to first baseman Jake Bauers.",R,L,R,BOS,NYY,X,1,ground_ball,2,0,2023,-1.4,0.35,-0.65,2.6,,,,0,6,Bot,156.67,167.91,,,,,10.894634966380748,-138.63548024847543,-1.582907691060281,-20.494545657756156,32.23775486929622,-27.480976991612646,3.8,1.79,58,105.0,1,94.3,2054,5.8,716597,669224,641343,650402,672724,683011,677592,664314,665828,54.66,0.551,0.532,0.0,1,0,0,4,47,3,Sinker,1,0,1,0,0,1,1,0,Infield shade,Standard,233,-0.021,-0.377,78.6,7.7,0.637,0.377,105.0,1,1,0.746,0.746,28,23,28,23,1,2,5,2,5,0,2.17,1.4,-1.4,20.9
SI,2023-09-14,93.7,-3.85,4.97,"Weissert, Greg",671213,669711,,ball,,,,,13,"Triston Casas grounds out, pitcher Greg Weissert to first baseman Jake Bauers.",R,L,R,BOS,NYY,B,,,1,0,2023,-1.39,0.07,-2.16,2.41,,,,0,6,Bot,,,,,,,7.368444030613452,-136.2294514719853,-1.0090494738962597,-18.95652082980068,31.69684042239802,-31.29932470509708,3.9,1.86,,,,92.6,2026,5.8,716597,669224,641343,650402,672724,683011,677592,664314,665828,54.69,,,,,,,,47,2,Sinker,1,0,1,0,0,1,1,0,Infield shade,Standard,239,0.0,0.071,,,,-0.071,,1,1,0.746,0.746,28,23,28,23,1,2,5,2,5,0,2.54,1.39,-1.39,16.0
SI,2023-09-14,92.6,-3.75,5.0,"Weissert, Greg",671213,669711,,ball,,,,,9,"Triston Casas grounds out, pitcher Greg Weissert to first baseman Jake Bauers.",R,L,R,BOS,NYY,B,,,0,0,2023,-1.66,0.17,0.72,1.85,,,,0,6,Bot,,,,,,,14.80744389912958,-133.96789549333923,-2.523767965183809,-23.16780820067217,28.423921562065523,-29.716787292728966,3.87,1.69,,,,91.3,2060,5.8,716597,669224,641343,650402,672724,683011,677592,664314,665828,54.69,,,,,,,,47,1,Sinker,1,0,1,0,0,1,1,0,Infield shade,Standard,238,0.0,0.04,,,,-0.04,,1,1,0.746,0.746,28,23,28,23,1,2,5,2,5,0,2.51,1.66,-1.66,18.3
SI,2023-09-14,95.3,-2.62,5.61,"King, Michael",671213,650633,single,hit_into_play,,,,,7,Triston Casas singles on a line drive to center fielder Estevan Florial.   Rafael Devers to 2nd.,R,L,R,BOS,NYY,X,8,line_drive,1,1,2023,-1.29,0.39,-0.53,1.73,,,646240,2,3,Bot,130.02,90.06,,,,,8.36648261836145,-138.47115450059684,-5.434452241919087,-18.398713179811068,30.51809904510289,-26.124074382149143,3.8,1.79,236,85.0,16,95.2,2473,6.3,716597,669224,641343,650402,672724,683011,677592,664314,665828,54.23,0.971,0.909,0.9,1,1,0,4,24,3,Sinker,1,0,1,0,0,1,1,0,Infield shade,Standard,205,0.018,0.388,76.8,8.2,1.094,-0.388,88.0,1,1,0.65,0.65,28,23,28,23,2,1,5,2,6,0,2.12,1.29,-1.29,27.3
FF,2023-09-14,94.0,-2.35,5.78,"King, Michael",671213,650633,,foul,,,,,5,Triston Casas singles on a line drive to center fielder Estevan Florial.   Rafael Devers to 2nd.,R,L,R,BOS,NYY,S,,,1,0,2023,-0.28,1.37,-0.17,2.49,,,646240,2,3,Bot,,,,,,,6.310621323085684,-136.710839467926,-5.880414510500671,-4.907730449182811,29.889739068793716,-13.8945651452483,3.8,1.79,,,,94.5,2482,6.6,716597,669224,641343,650402,672724,683011,677592,664314,665828,53.92,,,,,,,,24,2,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shade,Standard,214,0.0,-0.05,75.9,7.5,,0.05,,1,1,0.65,0.65,28,23,28,23,2,1,5,2,6,0,1.21,0.28,-0.28,38.6
FF,2023-09-14,94.6,-2.53,5.73,"King, Michael",671213,650633,,ball,,,,,11,Triston Casas singles on a line drive to center fielder Estevan Florial.   Rafael Devers to 2nd.,R,L,R,BOS,NYY,B,,,0,0,2023,-0.51,1.4,-0.46,4.18,,,646240,2,3,Bot,,,,,,,6.535993450678029,-137.64958527051695,-1.4759322666626964,-7.936557022411607,31.47952435913506,-14.23881942742006,3.93,1.75,,,,94.6,2337,6.4,716597,669224,641343,650402,672724,683011,677592,664314,665828,54.11,,,,,,,,24,1,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shade,Standard,214,0.0,0.03,,,,-0.03,,1,1,0.65,0.65,28,23,28,23,2,1,5,2,6,0,1.15,0.51,-0.51,38.1
CH,2023-09-14,88.4,-2.68,5.37,"King, Michael",671213,650633,strikeout,swinging_strike,,,,,7,Triston Casas strikes out swinging.,R,L,R,BOS,NYY,S,2,,3,2,2023,-1.29,0.76,-0.67,2.1,646240,,457759,1,1,Bot,,,,,,,7.585346625744746,-128.5746174925642,-3.4852533140423665,-15.909024471915185,25.490555635595012,-23.21451938352195,3.8,1.79,,,,88.4,2171,6.2,716597,669224,641343,650402,672724,683011,677592,664314,665828,54.26,,0.0,0.0,1,0,0,,8,7,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,245,-0.064,-0.36,71.9,7.7,,0.36,,0,0,0.611,0.611,28,23,28,23,1,0,5,2,6,0,2.15,1.29,-1.29,25.4
