pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-10-01,96.6,-1.06,6.03,"Brown, Hunter",664874,686613,field_out,hit_into_play,,,,,8,"Seby Zavala grounds out, third baseman Grae Kessinger to first baseman Jose Abreu.",R,R,R,AZ,HOU,X,5,ground_ball,0,0,2023,-0.61,1.18,-0.12,1.79,656896,,,2,9,Bot,95.49,169.32,,,,,3.928675533272016,-140.41136921568298,-8.454250994900837,-9.0232581463245,32.89354164003232,-14.807014980216856,3.23,1.48,3,95.9,-32,97.3,2113,6.8,716358,673237,547989,643289,666197,665161,676801,676694,663656,53.65,0.074,0.059,0.0,1,0,0,2,75,1,4-Seam Fastball,1,8,1,8,8,1,1,8,Standard,Standard,207,0.0,-0.293,65.7,6.9,0.076,0.293,95.9,-7,-7,0.0,0.0,24,29,25,30,1,3,7,5,7,,1.27,0.61,0.61,55.9
SL,2023-10-01,85.4,1.03,6.39,"Sousa, Bennett",664874,656986,field_out,hit_into_play,,,,,5,Seby Zavala pops out to shortstop Jeremy Pena.,R,R,L,AZ,HOU,X,6,popup,2,2,2023,0.02,0.29,0.14,2.52,,,656896,2,7,Bot,118.81,162.73,,,,,-2.1209882024434936,-124.34423349359504,-3.3867957569815044,0.6176773537701004,25.94091539151824,-28.671909710642925,3.23,1.48,90,81.6,72,85.5,2182,6.4,716358,455117,547989,514888,608324,665161,676801,676694,663656,54.11,0.001,0.0,0.0,1,0,0,3,60,5,Slider,0,8,0,8,8,0,0,8,Infield shade,Standard,233,0.0,-0.24,72.3,7.7,0.001,0.24,88.0,-8,-8,0.002,0.002,28,29,28,30,1,2,5,5,,,2.84,0.02,-0.02,56.1
SL,2023-10-01,86.7,1.04,6.28,"Sousa, Bennett",664874,656986,,blocked_ball,,,,,13,Seby Zavala pops out to shortstop Jeremy Pena.,R,R,L,AZ,HOU,B,,,1,2,2023,0.03,0.3,-1.11,-0.41,,,656896,2,7,Bot,,,,,,,-5.224820349727981,-125.71109651645924,-10.274825295313002,1.5550864883694016,29.55205386007661,-26.816983402137375,3.29,1.48,,,,86.2,2103,6.6,716358,455117,547989,514888,608324,665161,676801,676694,663656,53.95,,,,,,,,60,4,Slider,0,8,0,8,8,0,0,8,Infield shade,Standard,182,0.0,0.034,,,,-0.034,,-8,-8,0.002,0.002,28,29,28,30,1,2,5,5,,,2.79,0.03,-0.03,56.5
FF,2023-10-01,94.8,1.16,6.23,"Sousa, Bennett",664874,656986,,foul_tip,,,,,2,Seby Zavala pops out to shortstop Jeremy Pena.,R,R,L,AZ,HOU,S,,,1,1,2023,0.25,1.49,-0.1,2.79,,,656896,2,7,Bot,,,,,,,-3.843175993475573,-137.82564634542604,-6.60958351033402,4.072866179500822,32.495430883968254,-11.955881638818164,3.23,1.48,,,,94.6,2243,6.4,716358,455117,547989,514888,608324,665161,676801,676694,663656,54.14,,,,,,,,60,3,4-Seam Fastball,0,8,0,8,8,0,0,8,Infield shade,Standard,161,0.0,-0.06,73.5,6.8,,0.06,,-8,-8,0.002,0.002,28,29,28,30,1,2,5,5,,,1.07,0.25,-0.25,55.2
FF,2023-10-01,95.0,1.1,6.34,"Sousa, Bennett",664874,656986,,swinging_strike,,,,,2,Seby Zavala pops out to shortstop Jeremy Pena.,R,R,L,AZ,HOU,S,,,1,0,2023,0.48,1.35,0.23,3.07,,,656896,2,7,Bot,,,,,,,-3.383394332107774,-138.13889014930288,-5.911326903992286,6.959914456376642,32.70900656729036,-13.761982677616926,3.23,1.48,,,,94.8,2145,6.4,716358,455117,547989,514888,608324,665161,676801,676694,663656,54.13,,,,,,,,60,2,4-Seam Fastball,0,8,0,8,8,0,0,8,Standard,Standard,155,0.0,-0.05,69.2,6.3,,0.05,,-8,-8,0.002,0.002,28,29,28,30,1,2,5,5,,,1.19,0.48,-0.48,54.3
FF,2023-10-01,96.1,1.15,6.3,"Sousa, Bennett",664874,656986,,ball,,,,,11,Seby Zavala pops out to shortstop Jeremy Pena.,R,R,L,AZ,HOU,B,,,0,0,2023,0.31,1.34,-0.55,4.22,,,656896,2,7,Bot,,,,,,,-5.218156196592721,-139.8838587095134,-2.924033950255455,5.320105679088319,33.301126471832845,-14.163505119441568,3.26,1.58,,,,96.0,2254,6.4,716358,455117,547989,514888,608324,665161,676801,676694,663656,54.13,,,,,,,,60,1,4-Seam Fastball,0,8,0,8,8,0,0,8,Standard,Standard,157,0.0,0.03,,,,-0.03,,-8,-8,0.002,0.002,28,29,28,30,1,2,5,5,,,1.14,0.31,-0.31,48.9
FF,2023-10-01,94.1,-1.39,5.69,"Javier, Cristian",664874,664299,strikeout,swinging_strike,,,,,5,Seby Zavala strikes out swinging.,R,R,R,AZ,HOU,S,2,,1,2,2023,-0.53,1.71,0.17,2.65,,,607054,1,5,Bot,,,,,,,5.204917246614656,-136.81201780936044,-5.878821663431331,-7.882043242674068,33.74965238465044,-9.611501608808553,3.23,1.48,,,,93.2,2308,6.1,716358,455117,547989,514888,608324,665161,488726,676801,663656,54.43,,0.0,0.0,1,0,0,,42,4,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,207,-0.01,-0.183,65.9,6.4,,0.183,,-6,-6,0.04,0.04,26,29,26,30,2,1,5,5,9,,0.89,0.53,0.53,39.6
KC,2023-10-01,78.9,-1.5,5.8,"Javier, Cristian",664874,664299,,ball,,,,,14,Seby Zavala strikes out swinging.,R,R,R,AZ,HOU,B,,,0,2,2023,1.25,-0.93,1.21,0.71,,,607054,1,5,Bot,,,,,,,3.5235124640738897,-114.67848446864096,-2.3546009634431577,10.03213482648822,26.338254808841533,-39.94145692680843,3.23,1.48,,,,77.5,3055,5.9,716358,455117,547989,514888,608324,665161,488726,676801,663656,54.62,,,,,,,,42,3,Knuckle Curve,0,6,0,6,6,0,0,6,Standard,Standard,28,0.0,0.023,,,,-0.023,,-6,-6,0.04,0.04,26,29,26,30,2,1,5,5,9,,4.67,-1.25,-1.25,43.1
FF,2023-10-01,93.6,-1.47,5.71,"Javier, Cristian",664874,664299,,foul,,,,,2,Seby Zavala strikes out swinging.,R,R,R,AZ,HOU,S,,,0,1,2023,-0.57,1.69,0.19,3.18,,,607054,1,5,Bot,,,,,,,5.505305834364027,-136.08330101322008,-4.426932932585646,-8.300669965279086,32.94038683513526,-10.4696592124182,3.23,1.48,,,,92.7,2227,6.0,716358,455117,547989,514888,608324,665161,488726,676801,663656,54.46,,,,,,,,42,2,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,202,0.0,-0.053,73.4,7.2,,0.053,,-6,-6,0.04,0.04,26,29,26,30,2,1,5,5,9,,0.94,0.57,0.57,37.4
FF,2023-10-01,94.9,-1.62,5.64,"Javier, Cristian",664874,664299,,called_strike,,,,,3,Seby Zavala strikes out swinging.,R,R,R,AZ,HOU,S,,,0,0,2023,-0.53,1.63,0.73,2.82,,,607054,1,5,Bot,,,,,,,7.26506035221828,-137.82511710017823,-5.242957509444808,-8.491402476984334,33.87587766279552,-10.536436575899817,3.26,1.51,,,,93.9,2232,6.0,716358,455117,547989,514888,608324,665161,488726,676801,663656,54.48,,,,,,,,42,1,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,204,0.0,-0.042,,,,0.042,,-6,-6,0.04,0.04,26,29,26,30,2,1,5,5,9,,0.94,0.53,0.53,36.2
FF,2023-10-01,93.0,-1.61,5.62,"Javier, Cristian",664874,664299,double,hit_into_play,,,,,6,Seby Zavala doubles (4) on a sharp line drive to center fielder Chas McCormick.,R,R,R,AZ,HOU,X,8,line_drive,2,1,2023,-0.63,1.48,0.43,2.48,,,,0,3,Bot,97.3,77.47,,,,,6.565314341378543,-135.17153141786085,-5.431652351551191,-9.272176065835266,31.68221489316249,-13.05014078948455,3.23,1.48,310,100.2,20,92.1,2223,6.0,716358,455117,547989,514888,608324,665161,488726,676801,663656,54.51,0.4,0.518,1.25,1,1,1,5,25,4,4-Seam Fastball,0,5,0,5,5,0,0,5,Standard,Standard,210,0.037,0.658,81.3,7.1,0.853,-0.658,100.2,-5,-5,0.099,0.099,26,29,26,30,1,0,5,5,9,,1.18,0.63,0.63,35.9
SL,2023-10-01,78.5,-1.79,5.73,"Javier, Cristian",664874,664299,,ball,,,,,6,Seby Zavala doubles (4) on a sharp line drive to center fielder Chas McCormick.,R,R,R,AZ,HOU,B,,,1,1,2023,1.04,0.02,0.81,2.29,,,,0,3,Bot,,,,,,,3.6782420103234577,-114.29340919233678,-0.5780531515149793,8.282495551445125,23.41734185565571,-32.11947364690175,3.35,1.65,,,,77.7,2503,5.9,716358,455117,547989,514888,608324,665161,488726,676801,663656,54.57,,,,,,,,25,3,Slider,0,5,0,5,5,0,0,5,Standard,Standard,61,0.0,0.059,,,,-0.059,,-5,-5,0.099,0.099,26,29,26,30,1,0,5,5,9,,3.71,-1.04,-1.04,38.9
