pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FC,2023-03-20,88.1,1.21,5.82,"Cabrera, Génesis",664119,650893,single,hit_into_play,,,,,13,Austin Allen singles on a soft ground ball to third baseman Brendan Donovan.,S,L,L,STL,MIA,X,5,ground_ball,0,2,2023,0.13,0.6,-1.02,2.14,,,,2,7,Top,102.09,179.13,,,,,-5.689876960259786,-128.1587520929648,-4.110980623947083,2.5757122651810773,25.451240836021757,-24.954745280670178,3.56,1.7,3,51.8,-34,88.1,2086,6.2,719038,575929,600301,691026,680977,669242,660766,666185,691023,54.28,0.089,,0.9,,1,0,1,54,3,Cutter,4,0,0,4,0,4,0,4,Standard,Standard,158,-0.007,0.449,,,0.089,-0.449,88.0,4,-4,0.97,0.03,26,29,27,29,1,2,,,,,2.33,0.13,0.13,
FC,2023-03-20,88.7,1.49,5.81,"Cabrera, Génesis",664119,650893,,swinging_strike,,,,,7,Austin Allen singles on a soft ground ball to third baseman Brendan Donovan.,S,L,L,STL,MIA,S,,,0,1,2023,0.2,0.6,-0.41,2.1,,,,2,7,Top,,,,,,,-5.055775334233324,-129.1350720083623,-4.268860990843086,3.3223122573367454,26.670528003770137,-24.760649105368177,3.56,1.7,,,,88.5,2104,6.1,719038,575929,600301,691026,680977,669242,660766,666185,691023,54.38,,,,,,,,54,2,Cutter,4,0,0,4,0,4,0,4,Standard,Standard,177,0.0,-0.061,,,,0.061,,4,-4,0.97,0.03,26,29,27,29,1,2,,,,,2.29,0.2,0.2,
CU,2023-03-20,78.5,1.41,5.91,"Cabrera, Génesis",664119,650893,,called_strike,,,,,8,Austin Allen singles on a soft ground ball to third baseman Brendan Donovan.,S,L,L,STL,MIA,S,,,0,0,2023,-0.7,-0.65,0.01,2.0,,,,2,7,Top,,,,,,,-1.7222300454351247,-114.3031192348809,-0.380563696056873,-5.794054042304001,22.704829843845022,-37.97879466103174,3.49,1.69,,,,77.8,2345,5.9,719038,575929,600301,691026,680977,669242,660766,666185,691023,54.59,,,,,,,,54,1,Curveball,4,0,0,4,0,4,0,4,Standard,Standard,318,0.0,-0.045,,,,0.045,,4,-4,0.97,0.03,26,29,27,29,1,2,,,,,4.37,-0.7,-0.7,
SI,2023-03-20,91.8,-2.62,5.29,"Woodford, Jake",664119,663765,strikeout,swinging_strike,,,,,2,Austin Allen strikes out swinging.,S,L,R,STL,MIA,S,2,,3,2,2023,-1.0,0.47,-0.27,3.57,,,,1,5,Top,,,,,,,8.162439307847581,-133.6215500820155,0.3839010102670053,-13.583483952720975,22.736209341461908,-26.75351004391445,3.56,1.7,,,,93.0,1882,6.5,719038,575929,600301,691026,680977,669242,660766,666185,691023,53.98,,,0.0,,0,0,,33,9,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,213,0.021,-0.328,,,,0.328,,0,0,0.53,0.47,26,29,27,29,2,1,,,,,2.19,1.0,-1.0,
FF,2023-03-20,92.3,-2.47,5.39,"Woodford, Jake",664119,663765,,foul,,,,,12,Austin Allen strikes out swinging.,S,L,R,STL,MIA,S,,,3,2,2023,-0.26,0.85,0.85,2.72,,,,1,5,Top,,,,,,,9.02800392759828,-134.1784760264223,-2.874831191513071,-4.901735125687428,26.76745485516815,-21.408557249709233,3.56,1.7,248,102.7,15,92.8,2054,6.5,719038,575929,600301,691026,680977,669242,660766,666185,691023,54.03,,,,,,,,33,8,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,214,0.0,0.0,,,,0.0,102.7,0,0,0.53,0.47,26,29,27,29,2,1,,,,,1.81,0.26,-0.26,
SI,2023-03-20,92.3,-2.56,5.41,"Woodford, Jake",664119,663765,,ball,,,,,12,Austin Allen strikes out swinging.,S,L,R,STL,MIA,B,,,2,2,2023,-0.74,0.61,0.38,3.8,,,,1,5,Top,,,,,,,9.116526994120871,-134.14249616329369,0.4305905857285513,-10.950433975928831,28.94228247051706,-25.17704135136531,3.52,1.69,,,,92.6,1963,6.6,719038,575929,600301,691026,680977,669242,660766,666185,691023,53.94,,,,,,,,33,7,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,217,0.0,0.094,,,,-0.094,,0,0,0.53,0.47,26,29,27,29,2,1,,,,,2.08,0.74,-0.74,
CH,2023-03-20,85.7,-2.39,5.52,"Woodford, Jake",664119,663765,,ball,,,,,11,Austin Allen strikes out swinging.,S,L,R,STL,MIA,B,,,1,2,2023,-0.97,0.55,-1.29,3.2,,,,1,5,Top,,,,,,,4.603706409151867,-124.91976453299348,-0.4217713515712384,-11.11109238510106,22.563176236245017,-26.439922036846884,3.61,1.69,,,,86.5,1130,6.5,719038,575929,600301,691026,680977,669242,660766,666185,691023,54.01,,,,,,,,33,6,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,222,0.0,0.045,,,,-0.045,,0,0,0.53,0.47,26,29,27,29,2,1,,,,,2.51,0.97,-0.97,
ST,2023-03-20,82.9,-2.69,5.38,"Woodford, Jake",664119,663765,,foul,,,,,6,Austin Allen strikes out swinging.,S,L,R,STL,MIA,S,,,1,2,2023,1.35,-0.32,0.81,2.56,,,,1,5,Top,,,,,,,5.3659142779441265,-120.55777342527632,0.6967279371865231,11.985766638624918,24.56754502910805,-35.618203953206184,3.56,1.7,15,97.1,-10,82.8,2385,6.4,719038,575929,600301,691026,680977,669242,660766,666185,691023,54.11,,,,,,,,33,5,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,50,0.0,0.0,,,,0.0,97.1,0,0,0.53,0.47,26,29,27,29,2,1,,,,,3.65,-1.35,1.35,
FF,2023-03-20,93.4,-2.5,5.39,"Woodford, Jake",664119,663765,,foul,,,,,14,Austin Allen strikes out swinging.,S,L,R,STL,MIA,S,,,1,2,2023,-0.77,1.24,0.18,1.56,,,,1,5,Top,,,,,,,8.619808310751411,-135.7117926897023,-6.8617605181567445,-11.30418596988371,28.728558448548103,-15.552737225378364,3.56,1.7,197,64.0,49,93.8,2288,6.5,719038,575929,600301,691026,680977,669242,660766,666185,691023,53.97,,,,,,,,33,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,215,0.0,0.0,,,,0.0,88.0,0,0,0.53,0.47,26,29,27,29,2,1,,,,,1.38,0.77,-0.77,
SI,2023-03-20,91.1,-2.43,5.4,"Woodford, Jake",664119,663765,,swinging_strike,,,,,14,Austin Allen strikes out swinging.,S,L,R,STL,MIA,S,,,1,1,2023,-0.84,0.45,0.11,1.25,,,,1,5,Top,,,,,,,8.227925083934496,-132.50347925613346,-5.566370049438718,-11.61728683690615,26.099758114483713,-25.883680644039767,3.56,1.7,,,,91.9,1992,6.6,719038,575929,600301,691026,680977,669242,660766,666185,691023,53.9,,,,,,,,33,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,223,0.0,-0.068,,,,0.068,,0,0,0.53,0.47,26,29,27,29,2,1,,,,,2.28,0.84,-0.84,
