pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2023-03-27,87.8,-3.79,4.82,"Coker, Calvin",669717,681085,field_out,hit_into_play,,,,,6,Will Wilson grounds out to first baseman Ryan Noda.,S,R,R,SF,OAK,X,3,ground_ball,1,1,2023,-1.47,0.3,0.74,2.37,,,,0,9,Bot,147.81,162.78,,,,,14.094805566069429,-127.04516882243796,-0.3794268774351572,-18.828651428164655,25.73996690774068,-29.03026732711972,3.37,1.53,112,82.9,8,88.3,2362,6.9,719464,668832,676116,642180,675656,669397,668843,665506,667670,53.6,0.426,,0.0,,0,0,4,84,3,Changeup,6,12,6,12,12,6,6,12,Standard,Standard,245,-0.002,-0.254,,,0.501,0.254,88.0,-6,-6,0.003,0.003,27,24,27,25,1,0,,,,,2.68,1.47,1.47,
CU,2023-03-27,79.5,-3.85,4.81,"Coker, Calvin",669717,681085,,ball,,,,,12,Will Wilson grounds out to first baseman Ryan Noda.,S,R,R,SF,OAK,B,,,0,1,2023,0.47,0.05,1.39,2.76,,,,0,9,Bot,,,,,,,10.651235231616182,-115.4025183238232,2.169900409168404,2.448841023883018,19.533625787181993,-32.31132523544532,2.85,1.42,,,,80.2,2744,6.7,719464,668832,676116,642180,675656,669397,668843,665506,667670,53.79,,,,,,,,84,2,Curveball,6,12,6,12,12,6,6,12,Standard,Standard,77,0.0,0.031,,,,-0.031,,-6,-6,0.003,0.003,27,24,27,25,1,0,,,,,3.54,-0.47,-0.47,
CH,2023-03-27,88.5,-3.79,4.82,"Coker, Calvin",669717,681085,,called_strike,,,,,6,Will Wilson grounds out to first baseman Ryan Noda.,S,R,R,SF,OAK,S,,,0,0,2023,-1.31,0.18,0.28,2.38,,,,0,9,Bot,,,,,,,12.81824897395028,-128.31805787465112,-0.2018041983985992,-17.09394921714916,26.67308108007077,-30.364345497525463,2.88,1.45,,,,89.4,2416,7.1,719464,668832,676116,642180,675656,669397,668843,665506,667670,53.43,,,,,,,,84,1,Changeup,6,12,6,12,12,6,6,12,Standard,Standard,238,0.0,-0.042,,,,0.042,,-6,-6,0.003,0.003,27,24,27,25,1,0,,,,,2.75,1.31,1.31,
SL,2023-03-26,80.4,-0.27,6.43,"Jiménez, Dany",669717,666204,walk,ball,,,,,14,Will Wilson walks.,S,R,R,OAK,SF,B,,,3,2,2023,0.01,0.15,1.32,1.63,,,,1,8,Top,,,,,,,3.4343924499491543,-117.12541877970978,-4.26187475963541,-0.5118401162180892,20.11699854447227,-30.276969801645365,3.04,1.51,,,,79.4,2172,5.4,719463,542208,676116,642180,607054,675656,622569,665506,668843,55.14,,,0.7,,0,0,,70,7,Slider,3,9,9,3,9,3,9,3,Standard,Strategic,214,-0.001,0.36,,,,-0.36,,-6,6,0.008,0.992,29,24,30,25,1,0,,,,,3.35,-0.01,-0.01,
SL,2023-03-26,79.3,-0.32,6.46,"Jiménez, Dany",669717,666204,,foul,,,,,5,Will Wilson walks.,S,R,R,OAK,SF,S,,,3,2,2023,-0.29,0.29,0.26,2.16,,,,1,8,Top,,,,,,,1.771820353045631,-115.60566333979536,-3.2089567411628104,-2.8815423967535003,19.593651478903713,-29.24812173492426,3.37,1.53,151,65.7,17,78.4,2165,5.3,719463,542208,676116,642180,607054,675656,622569,665506,668843,55.18,,,,,,,,70,6,Slider,3,9,9,3,9,3,9,3,Standard,Standard,281,0.0,0.0,,,,0.0,88.0,-6,6,0.008,0.992,29,24,30,25,1,0,,,,,3.3,0.29,0.29,
SL,2023-03-26,79.2,-0.28,6.43,"Jiménez, Dany",669717,666204,,ball,,,,,14,Will Wilson walks.,S,R,R,OAK,SF,B,,,2,2,2023,-0.18,0.25,1.0,1.42,,,,1,8,Top,,,,,,,3.0814557087522725,-115.31504589586372,-4.555400722734307,-2.18653626002533,21.65840260375701,-29.321784975115747,3.03,1.51,,,,77.9,2134,5.4,719463,542208,676116,642180,607054,675656,622569,665506,668843,55.15,,,,,,,,70,5,Slider,3,9,9,3,9,3,9,3,Standard,Standard,235,0.0,0.094,,,,-0.094,,-6,6,0.008,0.992,29,24,30,25,1,0,,,,,3.38,0.18,0.18,
FF,2023-03-26,90.2,0.01,6.38,"Jiménez, Dany",669717,666204,,ball,,,,,14,Will Wilson walks.,S,R,R,OAK,SF,B,,,1,2,2023,-0.98,1.71,0.41,1.23,,,,1,8,Top,,,,,,,3.0352165428986457,-130.91100605417708,-10.241537846210516,-11.905962629681692,30.32431267657191,-10.51057406358061,3.06,1.54,,,,88.4,2062,5.5,719463,542208,676116,642180,607054,675656,622569,665506,668843,54.97,,,,,,,,70,4,4-Seam Fastball,3,9,9,3,9,3,9,3,Standard,Strategic,202,0.0,0.045,,,,-0.045,,-6,6,0.008,0.992,29,24,30,25,1,0,,,,,1.13,0.98,0.98,
FF,2023-03-26,91.6,-0.13,6.46,"Jiménez, Dany",669717,666204,,called_strike,,,,,3,Will Wilson walks.,S,R,R,OAK,SF,S,,,1,1,2023,-0.74,1.66,0.69,3.21,,,,1,8,Top,,,,,,,3.5982801386345193,-133.22566004171927,-5.821092098786257,-9.555737406965184,30.89537295303249,-11.338012251981022,3.12,1.58,,,,90.0,2175,5.5,719463,542208,676116,642180,607054,675656,622569,665506,668843,55.0,,,,,,,,70,3,4-Seam Fastball,3,9,9,3,9,3,9,3,Standard,Standard,198,0.0,-0.068,,,,0.068,,-6,6,0.008,0.992,29,24,30,25,1,0,,,,,1.07,0.74,0.74,
SL,2023-03-26,80.5,-0.35,6.47,"Jiménez, Dany",669717,666204,,ball,,,,,14,Will Wilson walks.,S,R,R,OAK,SF,B,,,0,1,2023,0.01,0.28,0.46,1.01,,,,1,8,Top,,,,,,,1.7374124876428736,-117.21694936838486,-5.8987472942648544,-0.2141482583049682,22.39924149845729,-28.64040165520121,3.09,1.51,,,,79.0,2228,5.2,719463,542208,676116,642180,607054,675656,622569,665506,668843,55.3,,,,,,,,70,2,Slider,3,9,9,3,9,3,9,3,Standard,Standard,231,0.0,0.03,,,,-0.03,,-6,6,0.008,0.992,29,24,30,25,1,0,,,,,3.23,-0.01,-0.01,
SL,2023-03-26,81.1,-0.25,6.46,"Jiménez, Dany",669717,666204,,called_strike,,,,,6,Will Wilson walks.,S,R,R,OAK,SF,S,,,0,0,2023,-0.2,0.21,0.82,2.41,,,,1,8,Top,,,,,,,2.7132901087749444,-118.04688465342146,-2.776588739428828,-2.4305869993477724,22.947777243756455,-29.91928665621526,3.05,1.55,,,,79.5,2233,5.2,719463,542208,676116,642180,607054,675656,622569,665506,668843,55.29,,,,,,,,70,1,Slider,3,9,9,3,9,3,9,3,Standard,Standard,318,0.0,-0.041,,,,0.041,,-6,6,0.008,0.992,29,24,30,25,1,0,,,,,3.26,0.2,0.2,
,2023-03-24,,,,"Lovelady, Richard",669717,663992,hit_by_pitch,hit_by_pitch,,,,,,Will Wilson hit by pitch.    Ford Proctor to 3rd.    Victor Bericoto to 2nd.,S,R,L,KC,SF,B,,,0,0,2023,,,,,,665154,682674,2,8,Top,,,,,,,,,,,,,,,,,,,,,718973,656883,680769,613546,679845,686475,694355,665834,680118,,,,0.7,,0,0,,61,1,,3,0,0,3,0,3,0,3,,,,-0.041,0.199,,,,-0.199,,3,-3,0.936,0.064,27,24,28,25,1,3,,,,,,,,
,2023-03-24,,,,"Staumont, Josh",669717,622251,field_out,hit_into_play,,,,,,Will Wilson flies out to right fielder Jackie Bradley Jr.,S,R,R,KC,SF,X,9,fly_ball,0,0,2023,,,,,,665154,672775,2,6,Top,209.49,96.31,,,,,,,,,,,,,,,,,,,718973,669004,686469,622110,681987,686475,658668,664728,598265,,,,0.0,,0,0,,45,1,,3,0,0,3,0,3,0,3,,,,0.043,-0.295,,,,0.295,,3,-3,0.875,0.125,29,24,30,25,1,2,,,,,,,,
,2023-03-24,,,,"Keller, Brad",669717,641745,strikeout,swinging_strike,,,,,,Will Wilson strikes out swinging.,S,R,R,KC,SF,S,2,,0,2,2023,,,,,,,665154,1,4,Top,,,,,,,,,,,,,,,,,,,,,718973,669004,686469,622110,681987,677951,658668,664728,598265,,,,0.0,,0,0,,28,3,,3,0,0,3,0,3,0,3,,,,0.027,-0.16,,,,0.16,,3,-3,0.821,0.179,27,24,28,25,2,1,,,,,,,,
,2023-03-24,,,,"Keller, Brad",669717,641745,,foul,,,,,,Will Wilson strikes out swinging.,S,R,R,KC,SF,S,,,0,1,2023,,,,,,,665154,1,4,Top,,,,,,,,,,,,,,,,,,,,,718973,669004,686469,622110,681987,677951,658668,664728,598265,,,,,,,,,28,2,,3,0,0,3,0,3,0,3,,,,0.0,-0.053,,,,0.053,,3,-3,0.821,0.179,27,24,28,25,2,1,,,,,,,,
,2023-03-24,,,,"Keller, Brad",669717,641745,,swinging_strike,,,,,,Will Wilson strikes out swinging.,S,R,R,KC,SF,S,,,0,0,2023,,,,,,,665154,1,4,Top,,,,,,,,,,,,,,,,,,,,,718973,669004,686469,622110,681987,677951,658668,664728,598265,,,,,,,,,28,1,,3,0,0,3,0,3,0,3,,,,0.0,-0.042,,,,0.042,,3,-3,0.821,0.179,27,24,28,25,2,1,,,,,,,,
,2023-03-24,,,,"Keller, Brad",669717,641745,single,hit_into_play,,,,,,Will Wilson singles on a line drive to center fielder Kyle Isbel.   Brett Auerbach to 2nd.,S,R,R,KC,SF,X,8,line_drive,0,0,2023,,,,,,,682266,2,2,Top,135.59,93.88,,,,,,,,,,,,,,,,,,,718973,669004,686469,622110,681987,677951,658668,664728,598265,,,,0.9,,1,0,,13,1,,3,0,0,3,0,3,0,3,,,,-0.018,0.368,,,,-0.368,,3,-3,0.81,0.19,27,24,28,25,1,0,,,,,,,,
,2023-03-23,,,,"Shaw, Bryan",669717,543766,field_out,hit_into_play,,,,,,"Will Wilson grounds out softly, pitcher Bryan Shaw to first baseman Jake Burger.",S,R,R,CWS,SF,X,1,ground_ball,0,0,2023,,,,,,,,1,7,Top,137.96,181.3,,,,,,,,,,,,,,,,,,,718992,518735,669394,621545,665940,570481,668752,663853,545350,,,,0.0,,0,0,,57,1,,1,6,6,1,6,1,6,1,,,,0.002,-0.267,,,,0.267,,-5,5,0.03,0.97,35,24,36,25,1,3,,,,,,,,
,2023-03-23,,,,"Santos, Gregory",669717,666619,field_out,hit_into_play,,,,,,"Will Wilson grounds out, third baseman Hanser Alberto to first baseman Jake Burger.",S,R,R,CWS,SF,X,5,ground_ball,0,0,2023,,,,,,,,1,5,Top,108.31,167.98,,,,,,,,,,,,,,,,,,,718992,518735,669394,462101,593643,544725,643217,673357,650391,,,,0.0,,0,0,,41,1,,1,5,5,1,5,1,5,1,,,,0.006,-0.267,,,,0.267,,-4,4,0.102,0.898,23,24,24,25,1,2,,,,,,,,
,2023-03-23,,,,"Kopech, Michael",669717,656629,home_run,hit_into_play,,,,,,Will Wilson homers (2) on a fly ball to left field.   Blake Sabol scores.    Brett Wisely scores.,S,R,R,CWS,SF,X,,fly_ball,0,1,2023,,,,,,666165,689172,2,3,Top,30.25,69.35,,,,,,,,,,,,,,,,,,,718992,518735,669394,462101,593643,544725,643217,673357,650391,,,,2.0,,0,3,,23,2,,0,0,0,0,3,0,3,0,,,,-0.289,1.692,,,,-1.692,,0,0,0.506,0.494,27,24,27,25,2,1,,,,,,,,
,2023-03-23,,,,"Kopech, Michael",669717,656629,,called_strike,,,,,,Will Wilson homers (2) on a fly ball to left field.   Blake Sabol scores.    Brett Wisely scores.,S,R,R,CWS,SF,S,,,0,0,2023,,,,,,666165,689172,2,3,Top,,,,,,,,,,,,,,,,,,,,,718992,518735,669394,462101,593643,544725,643217,673357,650391,,,,,,,,,23,1,,0,0,0,0,0,0,0,0,,,,0.0,-0.04,,,,0.04,,0,0,0.506,0.494,27,24,27,25,2,1,,,,,,,,
,2023-03-23,,,,"Kopech, Michael",669717,656629,single,hit_into_play,,,,,,Will Wilson singles on a line drive to center fielder Luis Robert Jr.,S,R,R,CWS,SF,X,8,line_drive,0,0,2023,,,,,,,,1,2,Top,111.94,95.97,,,,,,,,,,,,,,,,,,,718992,518735,669394,462101,593643,544725,643217,673357,650391,,,,0.9,,1,0,,10,1,,0,0,0,0,0,0,0,0,,,,-0.026,0.416,,,,-0.416,,0,0,0.523,0.477,27,24,27,25,1,0,,,,,,,,
,2023-03-22,,,,"Sborz, Josh",669717,622250,field_out,hit_into_play,,,,,,Will Wilson lines out to left fielder Keithron Moss.,S,R,R,SF,TEX,X,7,line_drive,0,0,2023,,,,,,,527038,1,7,Bot,75.02,103.57,,,,,,,,,,,,,,,,,,,719003,641680,543543,669413,680716,695508,679736,703152,660758,,,,0.0,,0,0,,60,1,,4,0,4,0,0,4,4,0,,,,-0.003,-0.257,,,,0.257,,4,4,0.974,0.974,29,24,30,25,1,0,,,,,,,,
,2023-03-21,,,,"Reed, Jake",669717,596082,strikeout,called_strike,,,,,,Will Wilson called out on strikes.,S,R,R,LAD,SF,S,2,,1,2,2023,,,,,,682674,664774,2,9,Top,,,,,,,,,,,,,,,,,,,,,719021,571679,657144,663330,686781,663897,676356,605548,682947,,,,0.0,,0,0,,75,4,,1,12,12,1,12,1,12,1,,,,0.0,-0.213,,,,0.213,,-11,11,0.0,1.0,30,24,31,25,1,1,,,,,,,,
,2023-03-21,,,,"Reed, Jake",669717,596082,,swinging_strike,,,,,,Will Wilson called out on strikes.,S,R,R,LAD,SF,S,,,1,1,2023,,,,,,682674,664774,2,9,Top,,,,,,,,,,,,,,,,,,,,,719021,571679,657144,663330,686781,663897,676356,605548,682947,,,,,,,,,75,3,,1,12,12,1,12,1,12,1,,,,0.0,-0.069,,,,0.069,,-11,11,0.0,1.0,30,24,31,25,1,1,,,,,,,,
,2023-03-21,,,,"Reed, Jake",669717,596082,,ball,,,,,,Will Wilson called out on strikes.,S,R,R,LAD,SF,B,,,0,1,2023,,,,,,682674,664774,2,9,Top,,,,,,,,,,,,,,,,,,,,,719021,571679,657144,663330,686781,663897,676356,605548,682947,,,,,,,,,75,2,,1,12,12,1,12,1,12,1,,,,0.0,0.025,,,,-0.025,,-11,11,0.0,1.0,30,24,31,25,1,1,,,,,,,,
,2023-03-21,,,,"Reed, Jake",669717,596082,,called_strike,,,,,,Will Wilson called out on strikes.,S,R,R,LAD,SF,S,,,0,0,2023,,,,,,682674,664774,2,9,Top,,,,,,,,,,,,,,,,,,,,,719021,571679,657144,663330,686781,663897,676356,605548,682947,,,,,,,,,75,1,,1,12,12,1,12,1,12,1,,,,0.0,-0.04,,,,0.04,,-11,11,0.0,1.0,30,24,31,25,1,1,,,,,,,,
,2023-03-21,,,,"Bickford, Phil",669717,641360,double,hit_into_play,,,,,,Will Wilson doubles (2) on a line drive to right fielder Jose Ramos.   Ford Proctor scores.    LaMonte Wade Jr.  scores.,S,R,R,LAD,SF,X,9,line_drive,2,2,2023,,,,,665154,,664774,1,8,Top,157.4,56.94,,,,,,,,,,,,,,,,,,,719021,571679,657144,663330,686781,663897,676356,605548,682947,,,,1.25,,1,1,,63,6,,1,8,8,1,10,1,10,1,,,,-0.001,0.788,,,,-0.788,,-7,7,0.002,0.998,27,24,28,25,1,0,,,,,,,,
,2023-03-21,,,,"Bickford, Phil",669717,641360,,ball,,,,,,Will Wilson doubles (2) on a line drive to right fielder Jose Ramos.   Ford Proctor scores.    LaMonte Wade Jr.  scores.,S,R,R,LAD,SF,B,,,1,2,2023,,,,,665154,,664774,1,8,Top,,,,,,,,,,,,,,,,,,,,,719021,571679,657144,663330,686781,663897,676356,605548,682947,,,,,,,,,63,5,,1,8,8,1,8,1,8,1,,,,0.0,0.04,,,,-0.04,,-7,7,0.002,0.998,27,24,28,25,1,0,,,,,,,,
,2023-03-21,,,,"Bickford, Phil",669717,641360,,foul,,,,,,Will Wilson doubles (2) on a line drive to right fielder Jose Ramos.   Ford Proctor scores.    LaMonte Wade Jr.  scores.,S,R,R,LAD,SF,S,,,1,2,2023,,,,,665154,,664774,1,8,Top,,,,,,,,,,,,,,,,,,,,,719021,571679,657144,663330,686781,663897,676356,605548,682947,,,,,,,,,63,4,,1,8,8,1,8,1,8,1,,,,0.0,0.0,,,,0.0,,-7,7,0.002,0.998,27,24,28,25,1,0,,,,,,,,
,2023-03-21,,,,"Bickford, Phil",669717,641360,,called_strike,,,,,,Will Wilson doubles (2) on a line drive to right fielder Jose Ramos.   Ford Proctor scores.    LaMonte Wade Jr.  scores.,S,R,R,LAD,SF,S,,,1,1,2023,,,,,665154,,664774,1,8,Top,,,,,,,,,,,,,,,,,,,,,719021,571679,657144,663330,686781,663897,676356,605548,682947,,,,,,,,,63,3,,1,8,8,1,8,1,8,1,,,,0.0,-0.098,,,,0.098,,-7,7,0.002,0.998,27,24,28,25,1,0,,,,,,,,
,2023-03-21,,,,"Bickford, Phil",669717,641360,,ball,,,,,,Will Wilson doubles (2) on a line drive to right fielder Jose Ramos.   Ford Proctor scores.    LaMonte Wade Jr.  scores.,S,R,R,LAD,SF,B,,,0,1,2023,,,,,665154,,664774,1,8,Top,,,,,,,,,,,,,,,,,,,,,719021,571679,657144,663330,686781,663897,676356,605548,682947,,,,,,,,,63,2,,1,8,8,1,8,1,8,1,,,,0.0,0.035,,,,-0.035,,-7,7,0.002,0.998,27,24,28,25,1,0,,,,,,,,
,2023-03-21,,,,"Bickford, Phil",669717,641360,,foul,,,,,,Will Wilson doubles (2) on a line drive to right fielder Jose Ramos.   Ford Proctor scores.    LaMonte Wade Jr.  scores.,S,R,R,LAD,SF,S,,,0,0,2023,,,,,665154,,664774,1,8,Top,,,,,,,,,,,,,,,,,,,,,719021,571679,657144,663330,686781,663897,676356,605548,682947,,,,,,,,,63,1,,1,8,8,1,8,1,8,1,,,,0.0,-0.044,,,,0.044,,-7,7,0.002,0.998,27,24,28,25,1,0,,,,,,,,
,2023-03-19,,,,"Rosenberg, Kenny",669717,670046,home_run,hit_into_play,,,,,,Will Wilson homers (1) on a fly ball to left center field.   Thairo Estrada scores.,S,R,L,SF,LAA,X,,fly_ball,1,2,2023,,,,,,642731,,2,8,Bot,64.72,34.52,,,,,,,,,,,,,,,,,,,719040,689880,656821,681143,622100,650506,677941,664334,642456,,,,2.0,,0,3,,74,4,,7,6,7,6,6,9,9,6,,,,0.106,1.694,,,,-1.694,,1,1,0.864,0.864,27,24,28,25,2,1,,,,,,,,
