pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2023-03-25,,,,"Correa, Danis",680396,672550,double,hit_into_play,,,,,,Joe Stewart doubles (2) on a line drive to left fielder Andy Garriola.,S,R,R,LAA,CHC,X,7,line_drive,0,0,2023,,,,,,,,2,8,Bot,44.17,103.23,,,,,,,,,,,,,,,,,,,718955,620443,685474,673045,687608,685096,696513,663600,680711,,,,1.25,,1,1,,78,1,,4,7,4,7,7,4,4,7,,,,0.018,0.575,,,,-0.575,,-3,-3,0.039,0.039,23,25,24,25,1,1,,,,,,,,
,2023-03-25,,,,"Little, Brendon",680396,663893,double,hit_into_play,,,,,,Joe Stewart doubles (1) on a ground ball to right fielder Christopher Morel.   Jeremiah Jackson scores.,S,R,L,LAA,CHC,X,9,ground_ball,0,0,2023,,,,,,,669236,2,6,Bot,211.18,103.23,,,,,,,,,,,,,,,,,,,718955,620443,685474,656716,663611,670156,696513,643565,666624,,,,1.25,,1,1,,61,1,,2,7,2,7,7,3,3,7,,,,0.036,0.881,,,,-0.881,,-5,-5,0.037,0.037,26,25,27,25,1,0,,,,,,,,
SI,2023-03-22,92.6,0.1,6.2,"Abad, Fernando",680396,472551,strikeout,called_strike,,,,,11,Joe Stewart called out on strikes.,S,R,L,COL,LAA,S,2,,1,2,2023,1.26,0.9,-1.0,3.42,668577,,641945,2,7,Top,,,,,,,-5.501991829763704,-134.75271919691042,-3.254981171252791,16.545263535239084,28.088763930241477,-20.651139999715973,3.34,1.62,,,,91.9,2309,5.8,719010,553869,519058,641857,660707,678662,605612,602074,669911,54.72,,,0.0,,0,0,,58,4,Sinker,3,10,10,3,10,3,10,3,Standard,Standard,148,0.002,-0.218,,,,0.218,,-7,7,0.007,0.993,37,25,38,25,1,0,,,,,1.75,1.26,-1.26,
CH,2023-03-22,70.4,0.61,6.32,"Abad, Fernando",680396,472551,,ball,,,,,12,Joe Stewart called out on strikes.,S,R,L,COL,LAA,B,,,0,2,2023,0.96,0.73,3.35,3.16,668577,,641945,2,7,Top,,,,,,,3.688961204426432,-102.4810787008916,0.2396941411631172,6.215201952470565,16.417807286826122,-27.238650434296453,3.44,1.63,,,,70.1,1322,6.0,719010,553869,519058,641857,660707,678662,605612,602074,669911,54.52,,,,,,,,58,3,Changeup,3,10,10,3,10,3,10,3,Standard,Standard,134,0.0,0.02,,,,-0.02,,-7,7,0.007,0.993,37,25,38,25,1,0,,,,,3.85,0.96,-0.96,
CH,2023-03-22,73.0,0.37,6.26,"Abad, Fernando",680396,472551,,swinging_strike,,,,,14,Joe Stewart called out on strikes.,S,R,L,COL,LAA,S,,,0,1,2023,0.94,0.64,0.17,1.16,668577,,641945,2,7,Top,,,,,,,-2.041457391446034,-106.31692185071404,-4.086752986949114,7.505888735230714,16.854939634780003,-26.87452912108881,3.55,1.63,,,,73.6,1315,6.6,719010,553869,519058,641857,660707,678662,605612,602074,669911,53.94,,,,,,,,58,2,Changeup,3,10,10,3,10,3,10,3,Standard,Standard,136,0.0,-0.054,,,,0.054,,-7,7,0.007,0.993,37,25,38,25,1,0,,,,,3.61,0.94,-0.94,
CH,2023-03-22,72.0,0.2,6.46,"Abad, Fernando",680396,472551,,called_strike,,,,,5,Joe Stewart called out on strikes.,S,R,L,COL,LAA,S,,,0,0,2023,0.7,1.27,0.25,2.51,668577,,641945,2,7,Top,,,,,,,-1.0830038871662184,-104.96289796362328,-2.5778680951684336,5.34386824066737,16.63871019912947,-22.567868083381395,3.46,1.65,,,,72.1,1640,6.1,719010,553869,519058,641857,660707,678662,605612,602074,669911,54.39,,,,,,,,58,1,Changeup,3,10,10,3,10,3,10,3,Standard,Standard,161,0.0,-0.052,,,,0.052,,-7,7,0.007,0.993,37,25,38,25,1,0,,,,,3.09,0.7,-0.7,
SL,2023-03-21,84.5,-2.42,6.59,"Ginkel, Kevin",680396,656464,field_out,hit_into_play,,,,,5,Joe Stewart flies out to right fielder Dominic Fletcher.,S,R,R,AZ,LAA,X,9,fly_ball,0,0,2023,0.19,-0.1,0.12,2.47,641945,,,2,9,Top,203.99,75.51,,,,,5.59778406775638,-123.00262271363034,-3.0819651720839927,0.8523527992173426,23.71942170772551,-32.82532994852952,3.55,1.63,360,97.5,28,85.4,2315,6.8,719020,645444,664731,606993,656896,672695,670427,679741,666150,53.72,0.411,,0.0,,0,0,6,77,1,Slider,1,7,7,1,7,1,7,1,Standard,Standard,60,0.001,-0.293,,,1.312,0.293,97.5,-6,6,0.002,0.998,29,25,29,25,1,1,,,,,3.29,-0.19,-0.19,
SI,2023-03-21,95.0,-2.03,5.75,"Hendrix, Ryan",680396,641682,strikeout,swinging_strike,,,,,9,Joe Stewart strikes out swinging.,S,R,R,AZ,LAA,S,2,,2,2,2023,-1.21,0.19,0.62,1.88,,,,2,7,Top,,,,,,,9.64002275503552,-137.9664047013143,-4.875991745379927,-17.62421672438331,30.126641293573883,-28.830983996431858,3.55,1.63,,,,94.7,2222,6.2,719020,645444,664731,606993,656896,672695,670427,679741,666150,54.3,,,0.0,,0,0,,60,5,Sinker,0,7,7,0,7,0,7,0,Standard,Standard,240,0.001,-0.233,,,,0.233,,-7,7,0.008,0.992,28,25,29,25,1,0,,,,,2.34,1.21,1.21,
SL,2023-03-21,85.5,-1.92,5.78,"Hendrix, Ryan",680396,641682,,ball,,,,,14,Joe Stewart strikes out swinging.,S,R,R,AZ,LAA,B,,,1,2,2023,0.21,-0.21,0.34,1.15,,,,2,7,Top,,,,,,,4.88299447757478,-124.51772856201602,-4.284357952256698,1.34051217657988,22.414647664450847,-33.73634688030732,3.3,1.54,,,,85.5,2416,6.0,719020,645444,664731,606993,656896,672695,670427,679741,666150,54.51,,,,,,,,60,4,Slider,0,7,7,0,7,0,7,0,Standard,Standard,5,0.0,0.041,,,,-0.041,,-7,7,0.008,0.992,28,25,29,25,1,0,,,,,3.29,-0.21,-0.21,
SL,2023-03-21,86.3,-1.96,5.79,"Hendrix, Ryan",680396,641682,,ball,,,,,13,Joe Stewart strikes out swinging.,S,R,R,AZ,LAA,B,,,0,2,2023,0.24,-0.34,0.0,0.7,,,,2,7,Top,,,,,,,4.1577981528411705,-125.6325419415068,-5.1828627994533,1.6803795005022415,25.671571359266448,-34.88471857384098,3.35,1.6,,,,86.1,2450,6.1,719020,645444,664731,606993,656896,672695,670427,679741,666150,54.36,,,,,,,,60,3,Slider,0,7,7,0,7,0,7,0,Standard,Standard,357,0.0,0.022,,,,-0.022,,-7,7,0.008,0.992,28,25,29,25,1,0,,,,,3.4,-0.24,-0.24,
SL,2023-03-21,85.2,-2.1,5.76,"Hendrix, Ryan",680396,641682,,foul,,,,,14,Joe Stewart strikes out swinging.,S,R,R,AZ,LAA,S,,,0,1,2023,0.27,-0.3,0.41,1.46,,,,2,7,Top,,,,,,,5.303764263641997,-124.04454686012788,-3.22122537403,1.823537589977296,23.23600756652991,-34.9064900220433,3.55,1.63,1,38.7,-56,85.0,2444,6.0,719020,645444,664731,606993,656896,672695,670427,679741,666150,54.53,,,,,,,,60,2,Slider,0,7,7,0,7,0,7,0,Standard,Standard,5,0.0,-0.061,,,,0.061,88.0,-7,7,0.008,0.992,28,25,29,25,1,0,,,,,3.42,-0.27,-0.27,
SI,2023-03-21,95.9,-2.03,5.73,"Hendrix, Ryan",680396,641682,,swinging_strike,,,,,14,Joe Stewart strikes out swinging.,S,R,R,AZ,LAA,S,,,0,0,2023,-1.46,0.35,0.02,1.16,,,,2,7,Top,,,,,,,8.682149623250709,-139.26315158530247,-7.222377756997013,-20.893733036656176,31.11041431099588,-26.14842883859653,3.55,1.63,,,,95.5,2252,6.1,719020,645444,664731,606993,656896,672695,670427,679741,666150,54.36,,,,,,,,60,1,Sinker,0,7,7,0,7,0,7,0,Standard,Standard,241,0.0,-0.045,,,,0.045,,-7,7,0.008,0.992,28,25,29,25,1,0,,,,,2.14,1.46,1.46,
