pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2023-09-16,94.5,-1.58,6.29,"Covey, Dylan",641933,592229,field_out,hit_into_play,,,,,5,Tyler O'Neill lines out to center fielder Johan Rojas.,R,R,R,STL,PHI,X,8,line_drive,0,0,2023,-1.14,0.56,-0.27,2.44,,669242,502671,1,9,Bot,124.67,65.37,,,,,5.9144627427264655,-137.40424577448454,-5.549491657184265,-15.813260385686355,31.116919370305148,-24.081446154261233,3.26,1.53,332,90.8,25,93.9,2056,6.0,716557,592663,547180,681082,664761,607208,669016,679032,592206,54.48,0.091,0.094,0.0,1,0,0,3,76,1,Sinker,1,6,1,6,6,1,1,6,Standard,Standard,202,-0.011,-0.238,70.9,6.9,0.157,0.238,90.8,-5,-5,0.015,0.015,31,28,32,28,1,4,3,1,2,,2.01,1.14,1.14,54.6
SI,2023-09-16,96.3,-2.57,5.93,"Hoffman, Jeff",641933,656546,field_out,hit_into_play,,,,,6,"Tyler O'Neill grounds out, pitcher Jeff Hoffman to first baseman Bryce Harper.",R,R,R,STL,PHI,X,1,ground_ball,1,0,2023,-1.34,0.96,0.4,2.24,,,691026,2,7,Bot,130.45,182.43,,,,,10.991802230134368,-139.68792509144873,-6.3949351790347375,-20.06154900543044,30.92939157972629,-18.28914763648745,3.26,1.53,9,103.8,-13,96.8,2572,6.7,716557,592663,547180,681082,664761,607208,669016,679032,592206,53.77,0.26,0.272,0.0,1,0,0,2,59,2,Sinker,1,5,1,5,5,1,1,5,Standard,Standard,218,-0.013,-0.316,80.4,6.5,0.28,0.316,103.8,-4,-4,0.045,0.045,30,28,30,28,1,3,1,1,4,,1.51,1.34,1.34,43.0
SL,2023-09-16,88.4,-2.54,5.92,"Hoffman, Jeff",641933,656546,,ball,,,,,14,"Tyler O'Neill grounds out, pitcher Jeff Hoffman to first baseman Bryce Harper.",R,R,R,STL,PHI,B,,,0,0,2023,0.36,-0.53,1.76,1.61,,,691026,2,7,Bot,,,,,,,9.797281499144647,-128.4919854772327,-3.3518343411854543,2.052760852529042,25.883895280819935,-37.533969830602,3.26,1.52,,,,89.0,2829,6.7,716557,592663,547180,681082,664761,607208,669016,679032,592206,53.82,,,,,,,,59,1,Slider,1,5,1,5,5,1,1,5,Standard,Standard,67,0.0,0.03,,,,-0.03,,-4,-4,0.045,0.045,30,28,30,28,1,3,1,1,4,,3.44,-0.36,-0.36,41.2
CH,2023-09-16,77.9,1.35,5.64,"Suárez, Ranger",641933,624133,field_out,hit_into_play,,,,,12,"Tyler O'Neill grounds out, pitcher Ranger Suarez to first baseman Bryce Harper.",R,R,L,STL,PHI,X,1,ground_ball,0,2,2023,0.53,0.1,0.91,2.74,,,,1,5,Bot,130.96,182.94,,,,,-1.9135424183619745,-113.5558688962832,0.357022046670792,4.937136799673742,18.106126907291365,-31.51447457251241,3.26,1.53,10,89.0,-14,78.2,1365,6.1,716557,592663,547180,681082,664761,607208,669016,679032,592206,54.41,0.129,0.131,0.0,1,0,0,2,42,3,Changeup,1,5,1,5,5,1,1,5,Standard,Standard,120,-0.012,-0.17,71.6,6.7,0.151,0.17,89.0,-4,-4,0.093,0.093,27,28,28,28,3,2,6,1,5,,3.6,0.53,-0.53,43.6
FF,2023-09-16,92.2,1.43,5.73,"Suárez, Ranger",641933,624133,,called_strike,,,,,9,"Tyler O'Neill grounds out, pitcher Ranger Suarez to first baseman Bryce Harper.",R,R,L,STL,PHI,S,,,0,1,2023,0.56,1.11,0.76,1.94,,,,1,5,Bot,,,,,,,-2.921125080147986,-134.187498480361,-6.266163542738065,7.406797337929968,26.4549987917405,-17.618373182478386,3.26,1.52,,,,92.4,2031,6.2,716557,592663,547180,681082,664761,607208,669016,679032,592206,54.3,,,,,,,,42,2,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,132,0.0,-0.057,,,,0.057,,-4,-4,0.093,0.093,27,28,28,28,3,2,6,1,5,,1.55,0.56,-0.56,38.5
FC,2023-09-16,85.6,1.4,5.99,"Suárez, Ranger",641933,624133,,foul,,,,,1,"Tyler O'Neill grounds out, pitcher Ranger Suarez to first baseman Bryce Harper.",R,R,L,STL,PHI,S,,,0,0,2023,-0.37,0.32,-0.82,2.75,,,,1,5,Bot,,,,,,,-4.491544338091558,-124.54057217412152,-1.9905477358669048,-2.860561306460213,26.23892122236514,-28.662223767783825,3.26,1.53,,,,85.5,2069,6.3,716557,592663,547180,681082,664761,607208,669016,679032,592206,54.16,,,,,,,,42,1,Cutter,1,5,1,5,5,1,1,5,Standard,Standard,214,0.0,-0.041,75.0,6.2,,0.041,,-4,-4,0.093,0.093,27,28,28,28,3,2,6,1,5,,2.8,-0.37,0.37,44.6
FF,2023-09-16,94.1,1.22,5.8,"Suárez, Ranger",641933,624133,walk,ball,,,,,13,Tyler O'Neill walks.,R,R,L,STL,PHI,B,,,3,2,2023,0.53,1.03,-1.91,1.93,,502671,,1,3,Bot,,,,,,,-9.374452489749247,-136.64131750695887,-6.677350783871142,8.571044805630697,28.3819262756067,-18.01058648281885,3.26,1.53,,,,95.1,2020,6.9,716557,592663,547180,681082,664761,607208,669016,679032,592206,53.63,,0.695903,0.7,1,0,0,,24,7,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,132,0.024,0.184,,,,-0.184,,-1,-1,0.453,0.453,27,28,28,28,2,1,6,1,5,,1.55,0.53,-0.53,42.6
FF,2023-09-16,92.4,1.42,5.81,"Suárez, Ranger",641933,624133,,ball,,,,,12,Tyler O'Neill walks.,R,R,L,STL,PHI,B,,,2,2,2023,0.43,1.1,1.3,2.63,,502671,,1,3,Bot,,,,,,,-1.2611276974939742,-134.6309895795239,-4.747437545508059,5.5478367899813845,28.48473670474325,-17.92460918466731,3.26,1.48,,,,92.7,1995,6.3,716557,592663,547180,681082,664761,607208,669016,679032,592206,54.18,,,,,,,,24,6,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,138,0.0,0.09,,,,-0.09,,-1,-1,0.453,0.453,27,28,28,28,2,1,6,1,5,,1.55,0.43,-0.43,38.4
CU,2023-09-16,76.2,1.27,5.86,"Suárez, Ranger",641933,624133,,foul,,,,,7,Tyler O'Neill walks.,R,R,L,STL,PHI,S,,,2,2,2023,-0.91,-0.83,-0.38,1.58,,502671,,1,3,Bot,,,,,,,-1.836312984703292,-110.94368097100268,-0.4274657610106389,-7.147585520691454,20.601712403600615,-39.18278249735117,3.26,1.53,3,76.1,-28,76.2,2176,6.4,716557,592663,547180,681082,664761,607208,669016,679032,592206,54.15,,,,,,,,24,5,Curveball,1,2,1,2,2,1,1,2,Standard,Standard,316,0.0,0.0,77.0,7.5,,0.0,88.0,-1,-1,0.453,0.453,27,28,28,28,2,1,6,1,5,,4.77,-0.91,0.91,47.9
CU,2023-09-16,75.7,1.17,5.91,"Suárez, Ranger",641933,624133,,swinging_strike_blocked,,,,,13,Tyler O'Neill walks.,R,R,L,STL,PHI,S,,,2,1,2023,-0.93,-0.98,-0.88,0.73,,502671,,1,3,Bot,,,,,,,-2.6289707867056427,-110.20888332614328,-1.9312584988951564,-7.024133027698357,20.67001572643841,-39.99165796845948,3.26,1.53,,,,75.7,2169,6.4,716557,592663,547180,681082,664761,607208,669016,679032,592206,54.11,,,,,,,,24,4,Curveball,1,2,1,2,2,1,1,2,Standard,Standard,319,0.0,-0.09,,,,0.09,,-1,-1,0.453,0.453,27,28,28,28,2,1,6,1,5,,4.97,-0.93,0.93,43.9
FF,2023-09-16,92.4,1.43,5.87,"Suárez, Ranger",641933,624133,,foul,,,,,1,Tyler O'Neill walks.,R,R,L,STL,PHI,S,,,2,0,2023,0.54,1.1,-0.35,2.89,,502671,,1,3,Bot,,,,,,,-5.70343788056608,-134.48469641249272,-4.2168156253078335,7.772434587752735,27.37063335205865,-18.04850000700143,3.26,1.53,139,61.8,62,92.7,2012,6.3,716557,592663,547180,681082,664761,607208,669016,679032,592206,54.19,,,,,,,,24,3,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,130,0.0,-0.032,74.5,6.3,,0.032,88.0,-1,-1,0.453,0.453,27,28,28,28,2,1,6,1,5,,1.55,0.54,-0.54,39.5
FC,2023-09-16,85.3,1.32,6.08,"Suárez, Ranger",641933,624133,,ball,,,,,11,Tyler O'Neill walks.,R,R,L,STL,PHI,B,,,1,0,2023,-0.25,0.16,-0.97,4.75,,502671,,1,3,Bot,,,,,,,-4.847755530598135,-124.12888770256436,2.845924831053191,-1.6067421634864825,24.70793916303217,-31.293656070447568,3.26,1.48,,,,85.0,1990,6.1,716557,592663,547180,681082,664761,607208,669016,679032,592206,54.43,,,,,,,,24,2,Cutter,1,2,1,2,2,1,1,2,Standard,Standard,218,0.0,0.036,,,,-0.036,,-1,-1,0.453,0.453,27,28,28,28,2,1,6,1,5,,2.97,-0.25,0.25,47.1
CH,2023-09-16,81.5,1.54,5.61,"Suárez, Ranger",641933,624133,,blocked_ball,,,,,13,Tyler O'Neill walks.,R,R,L,STL,PHI,B,,,0,0,2023,1.19,0.2,-0.91,0.47,,502671,,1,3,Bot,,,,,,,-7.771082123170537,-118.50616117926994,-5.387175471436533,12.638588926524053,20.73435379165403,-29.508824299289493,3.22,1.52,,,,81.7,1187,6.3,716557,592663,547180,681082,664761,607208,669016,679032,592206,54.2,,,,,,,,24,1,Changeup,1,2,1,2,2,1,1,2,Standard,Standard,115,0.0,0.034,,,,-0.034,,-1,-1,0.453,0.453,27,28,28,28,2,1,6,1,5,,3.22,1.19,-1.19,36.7
FF,2023-09-16,92.4,1.44,5.89,"Suárez, Ranger",641933,624133,field_out,hit_into_play,,,,,11,"Tyler O'Neill grounds out softly, shortstop Trea Turner to first baseman Bryce Harper.",R,R,L,STL,PHI,X,6,ground_ball,1,0,2023,0.26,1.13,-0.89,2.52,,,,2,1,Bot,120.3,178.64,,,,,-6.467657930240826,-134.46560488887084,-5.264865657297695,4.471004719427679,27.95846037808602,-17.454779530825427,3.26,1.53,33,54.2,1,92.3,2113,6.1,716557,592663,547180,681082,664761,607208,669016,679032,592206,54.38,0.123,0.125,0.0,1,0,0,1,7,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,140,-0.01,-0.317,68.6,6.0,0.158,0.317,88.0,-1,-1,0.402,0.402,27,28,28,28,1,0,6,1,5,,1.53,0.26,-0.26,40.2
FC,2023-09-16,86.0,1.41,6.0,"Suárez, Ranger",641933,624133,,ball,,,,,11,"Tyler O'Neill grounds out softly, shortstop Trea Turner to first baseman Bryce Harper.",R,R,L,STL,PHI,B,,,0,0,2023,-0.4,0.2,-0.99,2.74,,,,2,1,Bot,,,,,,,-4.865271455800345,-125.29995172069889,-1.9565747067032329,-3.291085970653761,23.6230818565469,-29.843964034938033,3.26,1.55,,,,86.3,2118,6.2,716557,592663,547180,681082,664761,607208,669016,679032,592206,54.25,,,,,,,,7,1,Cutter,0,1,0,1,1,0,0,1,Standard,Standard,227,0.0,0.043,,,,-0.043,,-1,-1,0.402,0.402,27,28,28,28,1,0,6,1,5,,2.85,-0.4,0.4,43.7
FC,2023-09-15,92.2,1.18,6.8,"Alvarado, José",641933,621237,force_out,hit_into_play,,,,,4,"Tyler O'Neill grounds into a force out, fielded by third baseman Edmundo Sosa.   Nolan Arenado out at 3rd.    Juniel Querecuto to 2nd.    Tyler O'Neill to 1st.",R,R,L,STL,PHI,X,5,ground_ball,0,0,2023,-0.15,0.47,-0.39,2.64,,571448,578570,0,9,Bot,105.24,164.63,,,,,-3.722289745909454,-134.2224774330122,-5.8465472357852954,-1.0301154863059985,29.09221039856011,-25.391953760863547,3.23,1.51,17,96.4,-8,93.6,2121,7.1,716572,592663,664761,681082,624641,607208,669016,679032,592206,53.38,0.237,0.243,0.0,1,0,0,2,79,1,Cutter,3,5,3,5,5,3,3,5,Standard,Standard,171,-0.119,-0.307,70.1,6.7,0.262,0.307,96.4,-2,-2,0.312,0.312,28,28,28,28,1,2,3,2,5,1,2.21,-0.15,0.15,70.6
FF,2023-09-15,98.7,-1.67,5.58,"Domínguez, Seranthony",641933,622554,force_out,hit_into_play,,,,,14,"Tyler O'Neill grounds into a force out, shortstop Trea Turner to second baseman Bryson Stott.   Alec Burleson out at 2nd.",R,R,R,STL,PHI,X,6,ground_ball,2,2,2023,-0.1,1.15,0.88,2.24,,,676475,2,7,Bot,114.38,152.42,,,,,7.213568558023218,-143.51041068176204,-6.380218531867779,-2.934878447579091,32.07825749292054,-14.95549757656246,3.23,1.51,8,73.2,-15,99.4,2395,6.6,716572,592663,664761,681082,624641,607208,665506,679032,592206,53.87,0.057,0.065,0.0,1,0,0,2,63,5,4-Seam Fastball,3,5,3,5,5,3,3,5,Standard,Standard,212,-0.038,-0.24,72.1,7.0,0.057,0.24,88.0,-2,-2,0.168,0.168,28,28,29,28,1,1,3,2,2,1,1.19,0.1,0.1,35.6
