pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2023-03-26,,,,"Diekman, Jake",664966,518617,force_out,hit_into_play,,,,,,"Jonathan Morales grounds into a force out, fielded by second baseman Erik Gonzalez.   Nolan Jones out at 2nd.",S,R,L,CWS,COL,X,4,ground_ball,0,0,2023,,,,,669911,,666134,2,6,Top,130.09,146.8,,,,,,,,,,,,,,,,,,,718941,664874,657757,570481,621545,641313,643217,545350,663853,,,,0.0,,0,0,,42,1,,0,1,1,0,1,0,1,0,,,,0.054,-0.314,,,,0.314,,-1,1,0.333,0.667,36,28,36,28,1,2,,,,,,,,
,2023-03-26,,,,"Giolito, Lucas",664966,608337,field_out,hit_into_play,,,,,,"Jonathan Morales grounds out, shortstop Tim Anderson to first baseman Gavin Sheets.",S,R,R,CWS,COL,X,6,ground_ball,0,0,2023,,,,,,,,0,5,Top,115.57,154.67,,,,,,,,,,,,,,,,,,,718941,664874,657757,462101,663853,641313,643217,673357,650391,,,,0.0,,0,0,,30,1,,0,0,0,0,0,0,0,0,,,,0.03,-0.265,,,,0.265,,0,0,0.5,0.5,28,28,29,28,2,1,,,,,,,,
,2023-03-26,,,,"Giolito, Lucas",664966,608337,field_out,hit_into_play,,,,,,"Jonathan Morales grounds out, third baseman Yoan Moncada to first baseman Gavin Sheets.",S,R,R,CWS,COL,X,5,ground_ball,0,0,2023,,,,,,,661531,2,2,Top,102.26,166.77,,,,,,,,,,,,,,,,,,,718941,664874,657757,462101,660162,641313,643217,673357,650391,,,,0.0,,0,0,,10,1,,0,0,0,0,0,0,0,0,,,,0.024,-0.286,,,,0.286,,0,0,0.526,0.474,28,28,29,28,1,0,,,,,,,,
,2023-03-24,,,,"Claudio, Alex",664966,592222,sac_fly,hit_into_play,,,,,,Jonathan Morales out on a sacrifice fly to center fielder Monte Harrison.   Bret Boswell scores.,S,R,L,MIL,COL,X,8,fly_ball,0,0,2023,,,,,641385,692585,677928,1,8,Top,127.55,94.52,,,,,,,,,,,,,,,,,,,718972,640459,680518,691001,687478,699126,668929,656509,676473,,,,0.0,,0,0,,66,1,,1,8,8,1,9,1,9,1,,,,0.0,-0.161,,,,0.161,,-7,7,0.002,0.998,31,28,31,28,1,0,,,,,,,,
SI,2023-03-22,95.0,-2.9,5.63,"Armstrong, Ivan",664966,678371,field_out,hit_into_play,,,,,4,Jonathan Morales flies out to left fielder Joe Stewart.,S,R,R,COL,LAA,X,7,fly_ball,1,0,2023,-1.35,0.9,-0.33,2.4,677647,680693,663731,2,8,Bot,83.55,83.35,,,,,9.801829561537469,-138.03989467517607,-4.891895467786648,-19.35053022259609,28.612219410010137,-19.691706099689043,3.32,1.51,305,92.9,43,95.9,2195,6.7,719010,595453,641945,694203,668577,623205,680396,677941,666176,53.77,0.006,,0.0,,0,0,3,78,2,Sinker,9,10,9,10,10,9,9,10,Standard,Standard,227,-0.198,-0.302,,,0.012,0.302,92.9,-1,-1,0.356,0.356,22,28,23,28,1,1,,,,,1.62,1.35,1.35,
FC,2023-03-22,88.3,-2.9,5.64,"Armstrong, Ivan",664966,678371,,ball,,,,,14,Jonathan Morales flies out to left fielder Joe Stewart.,S,R,R,COL,LAA,B,,,0,0,2023,0.09,0.36,0.93,2.23,677647,680693,663731,2,8,Bot,,,,,,,9.222311760597016,-128.4037225245524,-3.0113231422957893,-0.80691195415843,24.95097844052732,-27.74774551981216,3.3,1.58,,,,89.3,2299,6.8,719010,595453,641945,694203,668577,623205,680396,677941,666176,53.7,,,,,,,,78,1,Cutter,9,10,9,10,10,9,9,10,Standard,Standard,141,0.0,0.035,,,,-0.035,,-1,-1,0.356,0.356,22,28,23,28,1,1,,,,,2.55,-0.09,-0.09,
FF,2023-03-22,93.7,2.03,5.2,"Quijada, José",664966,650671,double,hit_into_play,,,,,4,Jonathan Morales doubles (3) on a sharp line drive to left fielder Joe Stewart.   Coco Montes scores.    Connor Kaiser scores.,S,R,L,COL,LAA,X,7,line_drive,0,1,2023,0.68,1.21,-0.64,2.11,663796,663731,,1,7,Bot,63.05,56.02,,,,,-8.469665734778225,-136.13190669326255,-4.9388853193762134,10.34642458651714,30.08207658954379,-16.15978892204173,3.32,1.51,384,101.0,22,94.1,2164,6.7,719010,595453,641945,694203,668577,623205,680396,677941,666176,53.85,0.451,,1.25,,1,1,5,66,2,4-Seam Fastball,7,10,7,10,10,9,9,10,Standard,Standard,140,0.175,0.739,,,1.004,-0.739,101.0,-3,-3,0.223,0.223,27,28,28,28,1,0,,,,,1.39,0.68,-0.68,
FF,2023-03-22,93.9,2.08,5.29,"Quijada, José",664966,650671,,swinging_strike,,,,,2,Jonathan Morales doubles (3) on a sharp line drive to left fielder Joe Stewart.   Coco Montes scores.    Connor Kaiser scores.,S,R,L,COL,LAA,S,,,0,0,2023,0.62,1.15,0.07,3.38,663796,663731,,1,7,Bot,,,,,,,-6.599564952544968,-136.62980978656194,-1.7693320578246376,9.229201583131102,30.903627720882977,-17.554516279915198,3.32,1.51,,,,94.2,2129,6.5,719010,595453,641945,694203,668577,623205,680396,677941,666176,53.99,,,,,,,,66,1,4-Seam Fastball,7,10,7,10,10,7,7,10,Standard,Standard,149,0.0,-0.038,,,,0.038,,-3,-3,0.223,0.223,27,28,28,28,1,0,,,,,1.44,0.62,-0.62,
,2023-03-21,,,,"Tapia, Domingo",664966,593619,strikeout,swinging_strike,,,,,,Jonathan Morales strikes out swinging.,S,R,R,SD,COL,S,2,,0,2,2023,,,,,,,,2,9,Top,,,,,,,,,,,,,,,,,,,,,719015,600474,592660,703715,641525,676946,670128,642451,640492,,,,0.0,,0,0,,81,3,,14,2,2,14,2,14,2,14,,,,0.0,-0.169,,,,0.169,,12,-12,1.0,0.0,31,28,32,28,1,0,,,,,,,,
,2023-03-21,,,,"Tapia, Domingo",664966,593619,,foul,,,,,,Jonathan Morales strikes out swinging.,S,R,R,SD,COL,S,,,0,1,2023,,,,,,,,2,9,Top,,,,,,,,,,,,,,,,,,,,,719015,600474,592660,703715,641525,676946,670128,642451,640492,,,,,,,,,81,2,,14,2,2,14,2,14,2,14,,,,0.0,-0.061,,,,0.061,,12,-12,1.0,0.0,31,28,32,28,1,0,,,,,,,,
