pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2023-03-16,,,,"Edwards Jr., Carl",664041,605218,strikeout,swinging_strike,,,,,,Jaylin Davis strikes out swinging.,S,R,R,WSH,NYM,S,2,,0,2,2023,,,,,,,,1,7,Top,,,,,,,,,,,,,,,,,,,,,719095,660688,642086,671277,672566,665987,686982,701327,656448,,,,0.0,,0,0,,54,3,,3,0,0,3,0,3,0,3,,,,0.014,-0.17,,,,0.17,,3,-3,0.924,0.076,31,28,32,29,1,2,,,,,,,,
,2023-03-16,,,,"Edwards Jr., Carl",664041,605218,,called_strike,,,,,,Jaylin Davis strikes out swinging.,S,R,R,WSH,NYM,S,,,0,1,2023,,,,,,,,1,7,Top,,,,,,,,,,,,,,,,,,,,,719095,660688,642086,671277,672566,665987,686982,701327,656448,,,,,,,,,54,2,,3,0,0,3,0,3,0,3,,,,0.0,-0.057,,,,0.057,,3,-3,0.924,0.076,31,28,32,29,1,2,,,,,,,,
,2023-03-16,,,,"Edwards Jr., Carl",664041,605218,,called_strike,,,,,,Jaylin Davis strikes out swinging.,S,R,R,WSH,NYM,S,,,0,0,2023,,,,,,,,1,7,Top,,,,,,,,,,,,,,,,,,,,,719095,660688,642086,671277,672566,665987,686982,701327,656448,,,,,,,,,54,1,,3,0,0,3,0,3,0,3,,,,0.0,-0.041,,,,0.041,,3,-3,0.924,0.076,31,28,32,29,1,2,,,,,,,,
,2023-03-16,,,,"Harris, Hobie",664041,665048,force_out,hit_into_play,,,,,,"Jaylin Davis grounds into a force out, third baseman Ildemaro Vargas to second baseman Luis Garcia.   DJ Stewart out at 2nd.    Jaylin Davis to 1st.",S,R,R,WSH,NYM,X,5,ground_ball,1,1,2023,,,,,,,621466,1,5,Top,104.96,165.81,,,,,,,,,,,,,,,,,,,719095,660688,642086,671277,545121,669023,669743,645302,657041,,,,0.0,,0,0,,33,3,,1,0,0,1,0,1,0,1,,,,0.04,-0.316,,,,0.316,,1,-1,0.64,0.36,30,28,30,29,1,1,,,,,,,,
,2023-03-16,,,,"Harris, Hobie",664041,665048,,ball,,,,,,"Jaylin Davis grounds into a force out, third baseman Ildemaro Vargas to second baseman Luis Garcia.   DJ Stewart out at 2nd.    Jaylin Davis to 1st.",S,R,R,WSH,NYM,B,,,0,1,2023,,,,,,,621466,1,5,Top,,,,,,,,,,,,,,,,,,,,,719095,660688,642086,671277,545121,669023,669743,645302,657041,,,,,,,,,33,2,,1,0,0,1,0,1,0,1,,,,0.0,0.025,,,,-0.025,,1,-1,0.64,0.36,30,28,30,29,1,1,,,,,,,,
,2023-03-16,,,,"Harris, Hobie",664041,665048,,called_strike,,,,,,"Jaylin Davis grounds into a force out, third baseman Ildemaro Vargas to second baseman Luis Garcia.   DJ Stewart out at 2nd.    Jaylin Davis to 1st.",S,R,R,WSH,NYM,S,,,0,0,2023,,,,,,,621466,1,5,Top,,,,,,,,,,,,,,,,,,,,,719095,660688,642086,671277,545121,669023,669743,645302,657041,,,,,,,,,33,1,,1,0,0,1,0,1,0,1,,,,0.0,-0.042,,,,0.042,,1,-1,0.64,0.36,30,28,30,29,1,1,,,,,,,,
,2023-03-16,,,,"Peralta, Wily",664041,503449,field_out,hit_into_play,,,,,,"Jaylin Davis grounds out, third baseman Ildemaro Vargas to first baseman Dominic Smith.",S,R,R,WSH,NYM,X,5,ground_ball,1,1,2023,,,,,,621512,668901,2,2,Top,107.38,176.1,,,,,,,,,,,,,,,,,,,719095,660688,642086,671277,545121,669023,669743,645302,657041,,,,0.0,,0,0,,12,3,,1,0,0,1,0,1,0,1,,,,0.047,-0.281,,,,0.281,,1,-1,0.613,0.387,34,28,34,29,1,0,,,,,,,,
,2023-03-16,,,,"Peralta, Wily",664041,503449,,called_strike,,,,,,"Jaylin Davis grounds out, third baseman Ildemaro Vargas to first baseman Dominic Smith.",S,R,R,WSH,NYM,S,,,1,0,2023,,,,,,621512,668901,2,2,Top,,,,,,,,,,,,,,,,,,,,,719095,660688,642086,671277,545121,669023,669743,645302,657041,,,,,,,,,12,2,,1,0,0,1,0,1,0,1,,,,0.0,-0.045,,,,0.045,,1,-1,0.613,0.387,34,28,34,29,1,0,,,,,,,,
,2023-03-16,,,,"Peralta, Wily",664041,503449,,ball,,,,,,"Jaylin Davis grounds out, third baseman Ildemaro Vargas to first baseman Dominic Smith.",S,R,R,WSH,NYM,B,,,0,0,2023,,,,,,621512,668901,2,2,Top,,,,,,,,,,,,,,,,,,,,,719095,660688,642086,671277,545121,669023,669743,645302,657041,,,,,,,,,12,1,,1,0,0,1,0,1,0,1,,,,0.0,0.03,,,,-0.03,,1,-1,0.613,0.387,34,28,34,29,1,0,,,,,,,,
SL,2023-03-15,86.2,-1.99,5.85,"Stratton, Chris",664041,608717,strikeout,called_strike,,,,,9,Jaylin Davis called out on strikes.,S,R,R,NYM,STL,S,2,,2,2,2023,0.52,0.36,0.66,1.78,,,,1,9,Bot,,,,,,,5.247593650146174,-125.506439140013,-4.179311273794554,4.458291832346535,25.812802070527045,-27.752429246477703,3.51,1.61,,,,86.4,2894,6.4,719114,686780,676475,670298,600301,692405,687363,682109,664332,54.07,,,0.0,,0,0,,68,5,Slider,1,4,1,4,4,1,1,4,Standard,Standard,73,-0.012,-0.234,,,,0.234,,-3,-3,0.017,0.017,32,28,33,29,1,1,,,,,2.71,-0.52,-0.52,
