pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
ST,2023-03-25,85.8,-2.08,6.05,"Faucher, Calvin",660613,676534,force_out,hit_into_play,,,,,5,"Ronaldo Hernandez grounds into a force out, shortstop Taylor Walls to second baseman Jonathan Aranda.   Wilyer Abreu out at 2nd.    Ronaldo Hernandez to 1st.",S,R,R,TB,BOS,X,6,ground_ball,0,0,2023,0.95,0.08,0.24,2.34,,,677800,1,6,Top,104.21,155.34,,,,,3.495106390472176,-124.8467505501567,-2.567377615183385,9.070007136644502,28.389695919423534,-31.05115881469276,3.41,1.56,21,104.9,-5,84.2,2801,5.5,718962,542194,623912,666018,650490,670764,592325,642350,622534,54.99,0.397,,0.0,,0,0,2,45,1,Sweeper,3,2,2,3,2,3,2,3,Infield shade,Standard,44,0.046,-0.333,,,0.423,0.333,104.9,1,-1,0.662,0.338,27,25,28,26,1,2,,,,,3.05,-0.95,-0.95,
SL,2023-03-25,87.1,-1.65,6.49,"Chirinos, Yonny",660613,630023,field_out,hit_into_play,,,,,9,"Ronaldo Hernandez grounds out, third baseman Yandy Diaz to first baseman Harold Ramirez.",S,R,R,TB,BOS,X,5,ground_ball,1,1,2023,0.27,0.54,0.82,2.09,,,,1,4,Top,102.69,170.04,,,,,5.382775538010052,-126.75449146795648,-5.532247309071552,1.8239596747392424,25.337671887946676,-25.37526478733623,3.41,1.56,2,76.8,-45,87.4,2284,6.5,718962,542194,623912,666018,650490,670764,592325,642350,622534,54.05,0.111,,0.0,,0,0,2,25,3,Slider,1,2,2,1,2,1,2,1,Infield shade,Standard,197,0.016,-0.257,,,0.111,0.257,88.0,-1,1,0.394,0.606,29,25,30,26,2,1,,,,,2.45,-0.27,-0.27,
SL,2023-03-25,87.5,-1.72,6.56,"Chirinos, Yonny",660613,630023,,foul,,,,,12,"Ronaldo Hernandez grounds out, third baseman Yandy Diaz to first baseman Harold Ramirez.",S,R,R,TB,BOS,S,,,1,0,2023,0.31,0.59,0.84,3.21,,,,1,4,Top,,,,,,,5.551854472242159,-127.28120302229304,-3.1236439307095907,2.1341034889951045,27.95433128747742,-25.283172331285595,3.41,1.56,7,65.7,-23,87.5,2277,6.5,718962,542194,623912,666018,650490,670764,592325,642350,622534,54.01,,,,,,,,25,2,Slider,1,2,2,1,2,1,2,1,Infield shade,Standard,186,0.0,-0.05,,,,0.05,88.0,-1,1,0.394,0.606,29,25,30,26,2,1,,,,,2.4,-0.31,-0.31,
SL,2023-03-25,88.0,-1.84,6.5,"Chirinos, Yonny",660613,630023,,ball,,,,,11,"Ronaldo Hernandez grounds out, third baseman Yandy Diaz to first baseman Harold Ramirez.",S,R,R,TB,BOS,B,,,0,0,2023,-0.19,0.62,-1.21,3.03,,,,1,4,Top,,,,,,,1.942405527757588,-128.1985970792266,-3.598146820657002,-2.51112531316186,27.341502956409407,-24.85318690594824,3.35,1.52,,,,88.1,2310,6.4,718962,542194,623912,666018,650490,670764,592325,642350,622534,54.15,,,,,,,,25,1,Slider,1,2,2,1,2,1,2,1,Infield shade,Standard,190,0.0,0.039,,,,-0.039,,-1,1,0.394,0.606,29,25,30,26,2,1,,,,,2.33,0.19,0.19,
SI,2023-03-25,91.9,-1.79,6.51,"Chirinos, Yonny",660613,630023,field_out,hit_into_play,,,,,4,"Ronaldo Hernandez grounds out, shortstop Taylor Walls to first baseman Harold Ramirez.",S,R,R,TB,BOS,X,6,ground_ball,0,0,2023,-1.68,0.81,-0.39,2.53,,,,0,2,Top,111.28,147.47,,,,,7.194329246308653,-133.48319371658852,-5.957192737016331,-21.690120333852963,30.68670062407049,-21.296627143629703,3.41,1.56,10,72.6,-13,91.5,2065,6.3,718962,542194,623912,666018,650490,670764,592325,642350,622534,54.18,0.057,,0.0,,0,0,2,9,1,Sinker,1,0,0,1,0,1,0,1,Infield shade,Standard,226,0.024,-0.265,,,0.068,0.265,88.0,1,-1,0.608,0.392,29,25,30,26,1,0,,,,,1.91,1.68,1.68,
ST,2023-03-23,83.6,-1.71,5.69,"Holderman, Colin",660613,670059,field_out,hit_into_play,,,,,12,Ronaldo Hernandez pops out to first baseman Ewry Espinal in foul territory.,S,R,R,PIT,BOS,X,3,popup,2,2,2023,0.54,0.72,1.14,2.71,,681132,,2,8,Top,159.22,194.07,,,,,5.515264914111876,-121.76005626766177,-1.9415000430501663,4.490505317855335,21.35926622442755,-24.806461107637915,3.41,1.56,60,73.9,79,84.4,2334,6.5,718998,641511,691919,666801,543482,672779,664029,680552,609280,53.98,0.003,,0.0,,0,0,3,65,5,Sweeper,2,7,7,2,7,2,7,2,,,104,0.002,-0.22,,,0.004,0.22,88.0,-5,5,0.016,0.984,27,25,28,26,1,3,,,,,2.51,-0.54,-0.54,
FC,2023-03-23,91.9,-1.75,5.68,"Holderman, Colin",660613,670059,,ball,,,,,14,Ronaldo Hernandez pops out to first baseman Ewry Espinal in foul territory.,S,R,R,PIT,BOS,B,,,1,2,2023,-0.12,0.59,0.73,1.25,,681132,,2,8,Top,,,,,,,6.590299505306837,-133.72090091078312,-6.746755641920998,-2.7500711321240265,25.5269542092286,-23.843816004919056,3.41,1.56,,,,92.7,2308,6.5,718998,641511,691919,666801,543482,672779,664029,680552,609280,54.0,,,,,,,,65,4,Cutter,2,7,7,2,7,2,7,2,,,211,0.0,0.015,,,,-0.015,,-5,5,0.016,0.984,27,25,28,26,1,3,,,,,2.08,0.12,0.12,
ST,2023-03-23,85.2,-1.6,5.77,"Holderman, Colin",660613,670059,,ball,,,,,14,Ronaldo Hernandez pops out to first baseman Ewry Espinal in foul territory.,S,R,R,PIT,BOS,B,,,0,2,2023,0.31,0.44,1.73,0.67,,681132,,2,8,Top,,,,,,,7.2135748076265696,-123.82317273329176,-6.536451883002072,1.732236020271446,25.713954712897756,-26.511467158567108,3.41,1.56,,,,85.5,2297,6.6,718998,641511,691919,666801,543482,672779,664029,680552,609280,53.88,,,,,,,,65,3,Sweeper,2,7,7,2,7,2,7,2,,,111,0.0,0.018,,,,-0.018,,-5,5,0.016,0.984,27,25,28,26,1,3,,,,,2.72,-0.31,-0.31,
ST,2023-03-23,83.4,-1.85,5.72,"Holderman, Colin",660613,670059,,swinging_strike,,,,,14,Ronaldo Hernandez pops out to first baseman Ewry Espinal in foul territory.,S,R,R,PIT,BOS,S,,,0,1,2023,0.35,0.25,1.6,1.55,,681132,,2,8,Top,,,,,,,7.255933797765928,-121.1273005771822,-3.561580290263864,1.8815836219786748,26.34229700667618,-29.14401898805554,3.41,1.56,,,,83.3,2281,6.6,718998,641511,691919,666801,543482,672779,664029,680552,609280,53.89,,,,,,,,65,2,Sweeper,2,7,7,2,7,2,7,2,,,109,0.0,-0.061,,,,0.061,,-5,5,0.016,0.984,27,25,28,26,1,3,,,,,3.07,-0.35,-0.35,
ST,2023-03-23,83.0,-1.83,5.75,"Holderman, Colin",660613,670059,,swinging_strike,,,,,12,Ronaldo Hernandez pops out to first baseman Ewry Espinal in foul territory.,S,R,R,PIT,BOS,S,,,0,0,2023,0.95,0.83,1.73,2.89,,681132,,2,8,Top,,,,,,,6.307757447935882,-120.64977297451354,-1.6544711659733626,7.882718435075208,25.268569267141338,-23.96428878454265,3.41,1.56,,,,83.1,2105,6.6,718998,641511,691919,666801,543482,672779,664029,680552,609280,53.94,,,,,,,,65,1,Sweeper,2,7,7,2,7,2,7,2,,,125,0.0,-0.046,,,,0.046,,-5,5,0.016,0.984,27,25,28,26,1,3,,,,,2.5,-0.95,-0.95,
