pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2023-03-20,,,,"Festa, Matt",669374,670036,double,hit_into_play,,,,,,Keston Hiura doubles (2) on a line drive to left fielder Colin Davis.   Eddy Alvarez scores.    Sal Frelick scores.,S,R,R,SEA,MIL,X,7,line_drive,0,0,2023,,,,,,657193,686217,0,8,Top,28.62,98.67,,,,,,,,,,,,,,,,,,,719028,641924,645801,702112,676595,669200,695342,647255,676113,,,,1.25,,1,1,,61,1,,7,0,0,7,2,7,2,7,,,,-0.018,0.734,,,,-0.734,,7,-7,0.987,0.013,30,26,30,27,1,3,,,,,,,,
,2023-03-20,,,,"Muñoz, Andrés",669374,662253,strikeout,swinging_strike,,,,,,Keston Hiura strikes out swinging.,S,R,R,SEA,MIL,S,2,,0,2,2023,,,,,,,,0,6,Top,,,,,,,,,,,,,,,,,,,,,719028,641924,645801,676609,592567,669200,695342,647255,669450,,,,0.0,,0,0,,43,3,,5,0,0,5,0,5,0,5,,,,0.01,-0.169,,,,0.169,,5,-5,0.958,0.042,24,26,24,27,1,2,,,,,,,,
,2023-03-20,,,,"Muñoz, Andrés",669374,662253,,swinging_strike,,,,,,Keston Hiura strikes out swinging.,S,R,R,SEA,MIL,S,,,0,1,2023,,,,,,,,0,6,Top,,,,,,,,,,,,,,,,,,,,,719028,641924,645801,676609,592567,669200,695342,647255,669450,,,,,,,,,43,2,,5,0,0,5,0,5,0,5,,,,0.0,-0.054,,,,0.054,,5,-5,0.958,0.042,24,26,24,27,1,2,,,,,,,,
,2023-03-20,,,,"Muñoz, Andrés",669374,662253,,foul,,,,,,Keston Hiura strikes out swinging.,S,R,R,SEA,MIL,S,,,0,0,2023,,,,,,,,0,6,Top,,,,,,,,,,,,,,,,,,,,,719028,641924,645801,676609,592567,669200,695342,647255,669450,,,,,,,,,43,1,,5,0,0,5,0,5,0,5,,,,0.0,-0.042,,,,0.042,,5,-5,0.958,0.042,24,26,24,27,1,2,,,,,,,,
,2023-03-20,,,,"Gilbert, Logan",669374,669302,strikeout,swinging_strike,,,,,,Keston Hiura strikes out swinging.,S,R,R,SEA,MIL,S,2,,0,2,2023,,,,,,,,0,4,Top,,,,,,,,,,,,,,,,,,,,,719028,657247,664034,676609,592567,641487,572041,647255,669450,,,,0.0,,0,0,,24,3,,3,0,0,3,0,3,0,3,,,,0.021,-0.169,,,,0.169,,3,-3,0.824,0.176,26,26,26,27,2,1,,,,,,,,
,2023-03-20,,,,"Gilbert, Logan",669374,669302,,foul,,,,,,Keston Hiura strikes out swinging.,S,R,R,SEA,MIL,S,,,0,1,2023,,,,,,,,0,4,Top,,,,,,,,,,,,,,,,,,,,,719028,657247,664034,676609,592567,641487,572041,647255,669450,,,,,,,,,24,2,,3,0,0,3,0,3,0,3,,,,0.0,-0.054,,,,0.054,,3,-3,0.824,0.176,26,26,26,27,2,1,,,,,,,,
,2023-03-20,,,,"Gilbert, Logan",669374,669302,,swinging_strike,,,,,,Keston Hiura strikes out swinging.,S,R,R,SEA,MIL,S,,,0,0,2023,,,,,,,,0,4,Top,,,,,,,,,,,,,,,,,,,,,719028,657247,664034,676609,592567,641487,572041,647255,669450,,,,,,,,,24,1,,3,0,0,3,0,3,0,3,,,,0.0,-0.042,,,,0.042,,3,-3,0.824,0.176,26,26,26,27,2,1,,,,,,,,
,2023-03-20,,,,"Gilbert, Logan",669374,669302,field_out,hit_into_play,,,,,,"Keston Hiura grounds out, pitcher Logan Gilbert to first baseman Ty France.",S,R,R,SEA,MIL,X,1,ground_ball,0,0,2023,,,,,,,,1,1,Top,133.37,180.15,,,,,,,,,,,,,,,,,,,719028,657247,664034,676609,592567,641487,572041,672284,669450,,,,0.0,,0,0,,2,1,,0,0,0,0,0,0,0,0,,,,0.015,-0.267,,,,0.267,,0,0,0.522,0.478,26,26,26,27,1,0,,,,,,,,
,2023-03-19,,,,"Sousa, Bennett",669374,656986,field_out,hit_into_play,,,,,,Keston Hiura lines out to shortstop Jose Barrero.,S,R,L,MIL,CIN,X,6,line_drive,0,0,2023,,,,,,,,2,7,Bot,117.33,145.98,,,,,,,,,,,,,,,,,,,719041,687066,613564,663697,608703,676480,664670,656413,592656,,,,0.0,,0,0,,50,1,,2,2,2,2,2,2,2,2,,,,-0.02,-0.275,,,,0.275,,0,0,0.52,0.52,28,26,28,27,1,2,,,,,,,,
,2023-03-19,,,,"Strickland, Hunter",669374,519326,strikeout,swinging_strike,,,,,,Keston Hiura strikes out swinging.,S,R,R,MIL,CIN,S,2,,0,2,2023,,,,,,,,0,5,Bot,,,,,,,,,,,,,,,,,,,,,719041,663886,458015,663697,668715,676480,656413,666181,571976,,,,0.0,,0,0,,33,3,,2,1,2,1,1,2,2,1,,,,-0.021,-0.169,,,,0.169,,1,1,0.713,0.713,34,26,35,27,1,1,,,,,,,,
,2023-03-19,,,,"Strickland, Hunter",669374,519326,,swinging_strike,,,,,,Keston Hiura strikes out swinging.,S,R,R,MIL,CIN,S,,,0,1,2023,,,,,,,,0,5,Bot,,,,,,,,,,,,,,,,,,,,,719041,663886,458015,663697,668715,676480,656413,666181,571976,,,,,,,,,33,2,,2,1,2,1,1,2,2,1,,,,0.0,-0.054,,,,0.054,,1,1,0.713,0.713,34,26,35,27,1,1,,,,,,,,
,2023-03-19,,,,"Strickland, Hunter",669374,519326,,swinging_strike,,,,,,Keston Hiura strikes out swinging.,S,R,R,MIL,CIN,S,,,0,0,2023,,,,,,,,0,5,Bot,,,,,,,,,,,,,,,,,,,,,719041,663886,458015,663697,668715,676480,656413,666181,571976,,,,,,,,,33,1,,2,1,2,1,1,2,2,1,,,,0.0,-0.042,,,,0.042,,1,1,0.713,0.713,34,26,35,27,1,1,,,,,,,,
,2023-03-19,,,,"Cessa, Luis",669374,570666,strikeout,foul_tip,,,,,,Keston Hiura strikes out on a foul tip.,S,R,R,MIL,CIN,S,2,,0,2,2023,,,,,,,,0,2,Bot,,,,,,,,,,,,,,,,,,,,,719041,663886,458015,663697,668715,676480,641584,666181,571976,,,,0.0,,0,0,,15,3,,2,1,2,1,1,2,2,1,,,,-0.02,-0.169,,,,0.169,,1,1,0.66,0.66,31,26,31,27,1,0,,,,,,,,
