pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-09-09,95.7,-1.31,6.17,"Giolito, Lucas",663550,608337,strikeout,called_strike,,,,,4,Trey Cabbage called out on strikes.,R,L,R,LAA,CLE,S,2,,1,2,2023,-0.46,1.35,-0.28,2.62,,,,2,7,Bot,,,,,,,3.792811553136111,-139.237699333617,-6.876381837079374,-6.8304838523579905,31.18246761697109,-13.229968517459174,3.67,1.72,,,,96.7,2180,6.9,716650,595956,647304,665926,671289,672356,680757,664702,657656,53.61,,0.0,0.0,1,0,0,,51,4,4-Seam Fastball,4,2,4,2,2,4,4,2,Infield shade,Standard,202,-0.006,-0.191,,,,0.191,,2,2,0.876,0.876,28,26,29,26,3,2,5,2,6,,1.14,0.46,-0.46,51.5
CH,2023-09-09,82.2,-1.36,6.15,"Giolito, Lucas",663550,608337,,foul,,,,,13,Trey Cabbage called out on strikes.,R,L,R,LAA,CLE,S,,,1,1,2023,-1.07,0.97,-1.23,2.1,,,,2,7,Bot,,,,,,,2.391101670314959,-119.61545838735832,-4.553387661464415,-10.764260554347532,23.225351861759577,-22.1478112256026,3.67,1.7,,,,82.8,1532,6.7,716650,595956,647304,665926,671289,672356,680757,664702,657656,53.77,,,,,,,,51,3,Changeup,4,2,4,2,2,4,4,2,Standard,Standard,223,0.0,-0.069,,,,0.069,,2,2,0.876,0.876,28,26,29,26,3,2,5,2,6,,2.4,1.07,-1.07,45.7
SL,2023-09-09,84.6,-1.28,6.21,"Giolito, Lucas",663550,608337,,ball,,,,,14,Trey Cabbage called out on strikes.,R,L,R,LAA,CLE,B,,,0,1,2023,0.04,0.02,1.12,0.55,,,,2,7,Bot,,,,,,,5.534366514247343,-122.95439478323593,-6.8852658265484,-0.6958873735873355,25.156371429411394,-30.771793817759463,3.67,1.7,,,,85.0,2045,6.7,716650,595956,647304,665926,671289,672356,680757,664702,657656,53.8,,,,,,,,51,2,Slider,4,2,4,2,2,4,4,2,Standard,Standard,36,0.0,0.031,,,,-0.031,,2,2,0.876,0.876,28,26,29,26,3,2,5,2,6,,3.18,-0.04,0.04,49.7
CH,2023-09-09,81.9,-1.48,6.21,"Giolito, Lucas",663550,608337,,swinging_strike,,,,,8,Trey Cabbage called out on strikes.,R,L,R,LAA,CLE,S,,,0,0,2023,-1.05,0.82,-0.18,2.16,,,,2,7,Bot,,,,,,,4.986392026419593,-119.0863600647464,-4.169094127090391,-10.971638926147584,23.638826592777846,-23.789790061541876,3.67,1.7,,,,82.3,1551,6.7,716650,595956,647304,665926,671289,672356,680757,664702,657656,53.82,,,,,,,,51,1,Changeup,4,2,4,2,2,4,4,2,Standard,Standard,224,0.0,-0.045,72.9,9.3,,0.045,,2,2,0.876,0.876,28,26,29,26,3,2,5,2,6,,2.59,1.05,-1.05,49.5
FF,2023-09-09,93.7,-1.24,6.32,"Giolito, Lucas",663550,608337,field_out,hit_into_play,,,,,3,Trey Cabbage pops out softly to third baseman Tyler Freeman in foul territory.,R,L,R,LAA,CLE,X,5,popup,0,1,2023,-0.42,1.48,0.72,3.15,,,,2,4,Bot,79.78,172.68,,,,,6.0122635338831,-136.2508691997812,-5.698918048148921,-6.589396653086172,32.38977815206752,-12.721964032836135,3.67,1.7,134,54.9,53,94.0,2322,6.7,716650,595956,647304,665926,671289,672356,680757,664702,657656,53.81,0.02,0.018,0.0,1,0,0,1,32,2,4-Seam Fastball,4,2,4,2,2,4,4,2,Standard,Standard,201,-0.007,-0.23,73.9,6.9,0.02,0.23,88.0,2,2,0.768,0.768,28,26,29,26,2,1,5,2,6,,1.14,0.42,-0.42,51.9
CH,2023-09-09,82.7,-1.42,6.25,"Giolito, Lucas",663550,608337,,foul_bunt,,,,,13,Trey Cabbage pops out softly to third baseman Tyler Freeman in foul territory.,R,L,R,LAA,CLE,S,,,0,0,2023,-1.13,0.92,-1.18,2.54,,,,2,4,Bot,,,,,,,2.780845426987755,-120.43684529696024,-3.7986731432032768,-11.55437029325696,23.504363849674096,-22.65723536521913,3.67,1.7,74,,,83.5,1642,6.8,716650,595956,647304,665926,671289,672356,680757,664702,657656,53.73,,,,,,,,32,1,Changeup,4,2,4,2,2,4,4,2,Infield shade,Standard,219,0.0,-0.045,4.9,1.3,,0.045,88.0,2,2,0.768,0.768,28,26,29,26,2,1,5,2,6,,2.41,1.13,-1.13,46.5
CH,2023-09-09,80.9,-1.36,6.26,"Giolito, Lucas",663550,608337,strikeout,swinging_strike,,,,,13,Trey Cabbage strikes out swinging.,R,L,R,LAA,CLE,S,2,,2,2,2023,-1.01,0.63,-0.48,1.26,,,,1,2,Bot,,,,,,,3.9330409688730055,-117.75832818002428,-5.81766162401219,-10.123939376473318,21.230092926447483,-25.447777863863532,3.67,1.7,,,,82.0,1456,6.9,716650,595956,647304,665926,671289,672356,680757,664702,657656,53.57,,0.0,0.0,1,0,0,,16,5,Changeup,2,1,2,1,1,2,2,1,Infield shade,Standard,225,-0.014,-0.234,67.7,9.4,,0.234,,1,1,0.64,0.64,28,26,29,26,1,0,5,2,6,,2.84,1.01,-1.01,47.8
FF,2023-09-09,92.8,-1.39,6.4,"Giolito, Lucas",663550,608337,,ball,,,,,12,Trey Cabbage strikes out swinging.,R,L,R,LAA,CLE,B,,,1,2,2023,-0.46,1.36,0.26,5.04,,,,1,2,Bot,,,,,,,5.273587722225489,-135.1589176540179,-0.698708663174273,-6.742736685370507,28.80468492737006,-15.523776255293471,3.58,1.68,,,,93.6,2195,6.7,716650,595956,647304,665926,671289,672356,680757,664702,657656,53.84,,,,,,,,16,4,4-Seam Fastball,2,1,2,1,1,2,2,1,Infield shade,Standard,208,0.0,0.045,,,,-0.045,,1,1,0.64,0.64,28,26,29,26,1,0,5,2,6,,1.28,0.46,-0.46,51.2
FF,2023-09-09,92.6,-1.26,6.41,"Giolito, Lucas",663550,608337,,foul,,,,,12,Trey Cabbage strikes out swinging.,R,L,R,LAA,CLE,S,,,1,1,2023,-0.55,1.49,1.09,2.71,,,,1,2,Bot,,,,,,,7.287867178568091,-134.62020223374424,-6.968736989185981,-8.313970124716642,29.14209448335409,-12.666189118383754,3.67,1.7,131,52.2,41,93.6,2118,6.9,716650,595956,647304,665926,671289,672356,680757,664702,657656,53.56,,,,,,,,16,3,4-Seam Fastball,2,1,2,1,1,2,2,1,Standard,Standard,210,0.0,-0.068,67.3,6.5,,0.068,88.0,1,1,0.64,0.64,28,26,29,26,1,0,5,2,6,,1.17,0.55,-0.55,50.2
CH,2023-09-09,80.4,-1.44,6.32,"Giolito, Lucas",663550,608337,,swinging_strike,,,,,13,Trey Cabbage strikes out swinging.,R,L,R,LAA,CLE,S,,,1,0,2023,-1.09,0.87,-0.24,1.3,,,,1,2,Bot,,,,,,,4.766960129537991,-116.88855139270012,-6.144408403020758,-10.85533674105322,20.980014699452234,-23.258704746953544,3.67,1.7,,,,81.2,1498,6.8,716650,595956,647304,665926,671289,672356,680757,664702,657656,53.73,,,,,,,,16,2,Changeup,2,1,2,1,1,2,2,1,Standard,Standard,228,0.0,-0.05,69.8,9.5,,0.05,,1,1,0.64,0.64,28,26,29,26,1,0,5,2,6,,2.65,1.09,-1.09,46.6
