pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2023-03-20,,,,"Hearn, Taylor",687588,621368,field_out,hit_into_play,,,,,,"Micah Pries grounds out, pitcher Taylor Hearn to first baseman Joe McCarthy.",S,L,L,TEX,CLE,X,1,ground_ball,0,0,2023,,,,,,681807,,0,8,Top,128.88,183.11,,,,,,,,,,,,,,,,,,,719032,506702,663411,677690,669413,677649,640449,669352,660758,,,,0.0,,0,0,,60,1,,5,5,5,5,5,5,5,5,,,,0.088,-0.215,,,,0.215,,0,0,0.366,0.634,28,25,29,25,1,0,,,,,,,,
,2023-03-19,,,,"Lawrence, Justin",687588,664875,field_error,hit_into_play,,,,,,Micah Pries reaches on a throwing error by shortstop Julio Carreras.,S,L,R,CLE,COL,X,6,ground_ball,1,0,2023,,,,,,,,0,7,Bot,138.84,152.09,,,,,,,,,,,,,,,,,,,719044,664966,680693,668845,677928,679734,680683,695603,682648,,,,0.9,,0,0,,46,2,,0,1,0,1,1,0,0,1,,,,0.077,0.427,,,,-0.427,,-1,-1,0.354,0.354,28,25,29,25,1,2,,,,,,,,
,2023-03-19,,,,"Abad, Fernando",687588,472551,field_out,hit_into_play,,,,,,Micah Pries flies out to left fielder Jameson Hannah.,S,L,L,CLE,COL,X,7,fly_ball,0,0,2023,,,,,,,,0,5,Bot,91.18,64.89,,,,,,,,,,,,,,,,,,,719044,664966,680693,605612,519058,679734,680683,602074,692585,,,,0.0,,0,0,,31,1,,0,1,0,1,1,0,0,1,,,,-0.034,-0.265,,,,0.265,,-1,-1,0.407,0.407,37,25,38,25,1,1,,,,,,,,
,2023-03-19,,,,"Kauffmann, Karl",687588,666154,field_out,hit_into_play,,,,,,"Micah Pries grounds out, second baseman Harold Castro to first baseman Grant Lavigne.",S,L,R,CLE,COL,X,4,ground_ball,0,0,2023,,,,,,,,1,2,Bot,147.45,159.18,,,,,,,,,,,,,,,,,,,719044,664966,680693,605612,519058,679734,680683,602074,692585,,,,0.0,,0,0,,11,1,,0,0,0,0,0,0,0,0,,,,-0.016,-0.267,,,,0.267,,0,0,0.527,0.527,25,25,26,25,1,0,,,,,,,,
SI,2023-03-18,92.6,-2.1,6.17,"Familia, Jeurys",687588,544727,field_out,hit_into_play,,,,,4,"Micah Pries grounds out, third baseman Diego Castillo to first baseman P.  J. Higgins.",S,L,R,AZ,CLE,X,5,ground_ball,1,0,2023,-1.23,0.1,-0.78,2.52,,,,0,8,Top,116.01,174.5,,,,,5.950447808687855,-134.86087827589805,-3.794368679916258,-16.255420749736768,24.954569536847643,-30.34323218054892,3.55,1.63,39,79.9,-1,92.0,2113,5.5,719057,645305,664731,669208,660636,606993,663536,679741,681184,54.95,0.171,,0.0,,0,0,2,62,2,Sinker,4,4,4,4,4,4,4,4,Standard,Standard,234,0.046,-0.306,,,0.191,0.306,88.0,0,0,0.5,0.5,33,25,34,25,1,3,,,,,2.52,1.23,-1.23,
SI,2023-03-18,93.1,-2.08,6.15,"Familia, Jeurys",687588,544727,,ball,,,,,11,"Micah Pries grounds out, third baseman Diego Castillo to first baseman P.  J. Higgins.",S,L,R,AZ,CLE,B,,,0,0,2023,-1.04,0.43,-2.04,3.8,,,,0,8,Top,,,,,,,2.354493989109911,-135.68099611649504,-1.280391143537628,-13.377349443010852,25.86271037115213,-26.77864358919609,3.46,1.6,,,,92.8,2062,5.7,719057,645305,664731,669208,660636,606993,663536,679741,681184,54.77,,,,,,,,62,1,Sinker,4,4,4,4,4,4,4,4,Standard,Standard,223,0.0,0.04,,,,-0.04,,0,0,0.5,0.5,33,25,34,25,1,3,,,,,2.17,1.04,-1.04,
SL,2023-03-18,83.9,-2.39,6.52,"Ginkel, Kevin",687588,656464,single,hit_into_play,,,,,5,Micah Pries singles on a line drive to right fielder Kevin Graham.   Tyler Freeman scores.    Zack Collins to 3rd.,S,L,R,AZ,CLE,X,9,line_drive,0,0,2023,0.16,-0.2,-0.25,2.32,671289,,641470,2,5,Top,203.75,108.63,,,,,4.660172190079354,-122.24905398245971,-3.048878200338317,0.9042597938174152,20.04992870188396,-33.876593885757245,3.55,1.63,269,87.7,20,85.1,2243,6.6,719057,672515,572233,671083,595943,605113,681134,682998,681184,53.9,0.454,,0.9,,1,0,4,42,1,Slider,4,3,3,4,4,4,4,4,Standard,Standard,56,-0.144,0.594,,,0.563,-0.594,88.0,1,-1,0.644,0.356,29,25,29,25,1,2,,,,,3.39,-0.16,0.16,
KC,2023-03-18,82.4,-3.2,5.8,"Gallen, Zac",687588,668678,strikeout,swinging_strike_blocked,,,,,14,Micah Pries strikes out swinging.,S,L,R,AZ,CLE,S,2,,1,2,2023,0.03,-0.81,0.57,0.77,,,641470,1,4,Top,,,,,,,8.496313504880908,-119.7924430617648,-3.3290463169951447,-1.3431039988755085,22.415023772444112,-39.59382706477116,3.55,1.63,,,,82.5,2371,6.3,719057,672515,572233,671083,595943,605113,681134,682998,622168,54.18,,,0.0,,0,0,,29,4,Knuckle Curve,4,1,1,4,1,4,1,4,Standard,Standard,41,0.027,-0.183,,,,0.183,,3,-3,0.821,0.179,27,25,28,25,2,1,,,,,4.17,-0.03,0.03,
CH,2023-03-18,76.5,-3.32,5.94,"Gallen, Zac",687588,668678,,foul,,,,,6,Micah Pries strikes out swinging.,S,L,R,AZ,CLE,S,,,1,1,2023,-0.45,1.26,0.34,2.55,,,641470,1,4,Top,,,,,,,8.502283616601307,-111.180867196233,-2.387697162601868,-5.279187121464464,20.0161971892959,-21.500539143098667,3.55,1.63,202,80.0,21,76.3,1467,6.3,719057,672515,572233,671083,595943,605113,681134,682998,622168,54.24,,,,,,,,29,3,Changeup,4,1,1,4,1,4,1,4,Standard,Standard,227,0.0,-0.055,,,,0.055,88.0,3,-3,0.821,0.179,27,25,28,25,2,1,,,,,2.65,0.45,-0.45,
FF,2023-03-18,88.9,-3.13,5.9,"Gallen, Zac",687588,668678,,ball,,,,,12,Micah Pries strikes out swinging.,S,L,R,AZ,CLE,B,,,0,1,2023,-0.04,1.24,0.95,3.02,,,641470,1,4,Top,,,,,,,10.085001158150968,-129.0748761083941,-3.601884134710854,-2.4986245633391655,26.85677391501397,-17.773178429411754,3.51,1.6,,,,89.0,2299,6.5,719057,672515,572233,671083,595943,605113,681134,682998,622168,54.04,,,,,,,,29,2,4-Seam Fastball,4,1,1,4,1,4,1,4,Standard,Standard,207,0.0,0.025,,,,-0.025,,3,-3,0.821,0.179,27,25,28,25,2,1,,,,,1.66,0.04,-0.04,
