pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2023-03-20,96.5,-2.73,5.42,"Hill, Garrett",688460,682051,strikeout,called_strike,,,,,9,Josh Kasevich called out on strikes.,S,R,R,DET,TOR,S,2,,3,2,2023,-0.96,1.19,0.28,1.77,,542963,,2,8,Top,,,,,,,10.2349668962117,-140.1003205929602,-6.873278516025413,-14.913981995146845,30.40776477952197,-15.061578878388252,3.47,1.59,,,,97.1,2243,6.7,719037,657709,687724,690291,690993,669398,668731,641505,678009,53.85,,,0.0,,0,0,,56,7,Sinker,0,2,2,0,2,0,2,0,,,217,0.02,-0.27,,,,0.27,,-2,2,0.136,0.864,27,22,27,22,1,0,,,,,1.26,0.96,0.96,
FF,2023-03-20,95.6,-2.73,5.48,"Hill, Garrett",688460,682051,,foul,,,,,4,Josh Kasevich called out on strikes.,S,R,R,DET,TOR,S,,,3,2,2023,-0.96,1.46,-0.59,2.28,,542963,,2,8,Top,,,,,,,7.796135077838833,-138.97820731246662,-6.091195473336225,-14.152141260660864,31.379213972435085,-12.0491324625095,3.47,1.59,199,66.2,35,95.6,2270,6.3,719037,657709,687724,690291,690993,669398,668731,641505,678009,54.15,,,,,,,,56,6,4-Seam Fastball,0,2,2,0,2,0,2,0,,,206,0.0,0.0,,,,0.0,88.0,-2,2,0.136,0.864,27,22,27,22,1,0,,,,,1.04,0.96,0.96,
SI,2023-03-20,96.9,-2.69,5.48,"Hill, Garrett",688460,682051,,ball,,,,,9,Josh Kasevich called out on strikes.,S,R,R,DET,TOR,B,,,2,2,2023,-0.89,1.33,0.75,1.53,,542963,,2,8,Top,,,,,,,11.242611727139693,-140.54184943350023,-8.059216723254313,-14.31673286238514,30.4870691544467,-12.796464920698568,3.47,1.59,,,,97.1,2283,6.5,719037,657709,687724,690291,690993,669398,668731,641505,678009,54.0,,,,,,,,56,5,Sinker,0,2,2,0,2,0,2,0,,,213,0.0,0.051,,,,-0.051,,-2,2,0.136,0.864,27,22,27,22,1,0,,,,,1.1,0.89,0.89,
SL,2023-03-20,85.9,-2.85,5.35,"Hill, Garrett",688460,682051,,swinging_strike,,,,,14,Josh Kasevich called out on strikes.,S,R,R,DET,TOR,S,,,2,1,2023,0.25,0.18,0.7,1.43,,542963,,2,8,Top,,,,,,,7.892874528804802,-124.85984413652564,-3.3638497154549203,1.0208754784182887,24.76002814800394,-29.861766432518184,3.47,1.59,,,,86.0,2633,6.4,719037,657709,687724,690291,690993,669398,668731,641505,678009,54.11,,,,,,,,56,4,Slider,0,2,2,0,2,0,2,0,,,83,0.0,-0.069,,,,0.069,,-2,2,0.136,0.864,27,22,27,22,1,0,,,,,2.92,-0.25,-0.25,
SI,2023-03-20,93.5,-2.89,5.39,"Hill, Garrett",688460,682051,,called_strike,,,,,13,Josh Kasevich called out on strikes.,S,R,R,DET,TOR,S,,,2,0,2023,-1.11,1.03,-1.05,2.15,,542963,,2,8,Top,,,,,,,7.24795764752131,-135.9249904294263,-4.910088279624375,-15.344095391780092,28.146100842535233,-18.52290867906742,3.47,1.59,,,,94.3,2148,6.7,719037,657709,687724,690291,690993,669398,668731,641505,678009,53.83,,,,,,,,56,3,Sinker,0,2,2,0,2,0,2,0,,,216,0.0,-0.055,,,,0.055,,-2,2,0.136,0.864,27,22,27,22,1,0,,,,,1.57,1.11,1.11,
SI,2023-03-20,95.2,-2.73,5.62,"Hill, Garrett",688460,682051,,ball,,,,,11,Josh Kasevich called out on strikes.,S,R,R,DET,TOR,B,,,1,0,2023,-1.13,1.14,-0.69,4.0,,542963,,2,8,Top,,,,,,,7.861619814698749,-138.3734028085058,-1.133102795847544,-16.342638288199133,32.507119069724254,-17.475723475150616,3.47,1.59,,,,94.7,2255,6.2,719037,657709,687724,690291,690993,669398,668731,641505,678009,54.3,,,,,,,,56,2,Sinker,0,2,2,0,2,0,2,0,,,213,0.0,0.029,,,,-0.029,,-2,2,0.136,0.864,27,22,27,22,1,0,,,,,1.39,1.13,1.13,
SL,2023-03-20,85.7,-3.0,5.31,"Hill, Garrett",688460,682051,,ball,,,,,11,Josh Kasevich called out on strikes.,S,R,R,DET,TOR,B,,,0,0,2023,0.11,0.26,-1.38,4.12,,542963,,2,8,Top,,,,,,,3.6237842224122647,-124.86999183671622,2.881598862063881,0.4613235424494224,23.358630208703843,-30.140490277653367,3.47,1.59,,,,86.1,2545,6.3,719037,657709,687724,690291,690993,669398,668731,641505,678009,54.18,,,,,,,,56,1,Slider,0,2,2,0,2,0,2,0,,,102,0.0,0.02,,,,-0.02,,-2,2,0.136,0.864,27,22,27,22,1,0,,,,,2.81,-0.11,-0.11,
SI,2023-03-17,96.2,-1.88,5.53,"Domínguez, Seranthony",688460,622554,field_out,hit_into_play,,,,,5,"Josh Kasevich grounds out, second baseman Wendell Rijo to first baseman Nick Podkul.",S,R,R,PHI,TOR,X,4,ground_ball,0,0,2023,-1.07,0.68,0.07,2.38,,,703245,2,8,Top,153.78,152.9,,,,,7.630089846211461,-139.9843554877213,-4.376127491994423,-15.748124699928896,29.131985732582336,-22.4078613238013,3.47,1.59,15,99.0,-8,96.8,2193,6.5,719081,663660,674951,620442,669069,680932,687282,663605,640460,54.03,0.274,,0.0,,0,0,2,64,1,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,216,0.034,-0.286,,,0.291,0.286,99.0,2,-2,0.908,0.092,28,22,29,22,1,0,,,,,1.77,1.07,1.07,
,2023-03-16,,,,"Vespi, Nick",688460,663989,field_out,hit_into_play,,,,,,Josh Kasevich flies out to right fielder Heston Kjerstad.,S,R,L,BAL,TOR,X,9,fly_ball,0,0,2023,,,,,805268,,,2,9,Top,195.56,125.62,,,,,,,,,,,,,,,,,,,719102,621532,679628,693409,623507,676059,663662,681297,677008,,,,0.0,,0,0,,74,1,,7,4,4,7,4,7,4,7,,,,0.011,-0.293,,,,0.293,,3,-3,0.989,0.011,27,22,28,22,1,1,,,,,,,,
,2023-03-16,,,,"Akin, Keegan",688460,669211,field_out,hit_into_play,,,,,,"Josh Kasevich grounds out, pitcher Keegan Akin to first baseman Ryan Mountcastle.",S,R,L,BAL,TOR,X,1,ground_ball,0,0,2023,,,,,,,592144,2,7,Top,130.14,180.74,,,,,,,,,,,,,,,,,,,719102,621532,663624,624428,602104,622761,614173,669720,669065,,,,0.0,,0,0,,57,1,,7,2,2,7,2,7,2,7,,,,0.006,-0.286,,,,0.286,,5,-5,0.982,0.018,28,22,28,22,1,0,,,,,,,,
