pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-03-17,93.6,-2.5,5.84,"Jackson, Jay",687282,543351,walk,ball,,,,,11,Gabriel Rincones Jr. walks.,S,L,R,PHI,TOR,B,,,3,0,2023,-0.53,1.45,-0.54,4.1,,680932,,1,8,Bot,,,,,,,6.208911329836048,-136.21497300264025,-1.896896364948244,-7.977867385904107,32.13142890337851,-13.932319637211698,3.55,1.63,,,,93.1,2280,6.2,719081,703245,676678,672463,671088,688460,683770,696521,673893,54.34,,,0.7,,0,0,,67,4,4-Seam Fastball,4,2,4,2,2,4,4,2,Standard,Standard,210,0.003,0.081,,,,-0.081,,2,2,0.948,0.948,35,22,36,22,1,1,,,,,1.16,0.53,-0.53,
FF,2023-03-17,93.7,-2.36,5.86,"Jackson, Jay",687282,543351,,ball,,,,,14,Gabriel Rincones Jr. walks.,S,L,R,PHI,TOR,B,,,2,0,2023,-0.56,1.57,0.83,2.5,,680932,,1,8,Bot,,,,,,,9.43036500650975,-136.0055951986577,-6.347092183768883,-9.072128905808002,30.922361229034184,-11.4388513511178,3.55,1.63,,,,93.2,2372,6.2,719081,703245,676678,672463,671088,688460,683770,696521,673893,54.27,,,,,,,,67,3,4-Seam Fastball,4,2,4,2,2,4,4,2,Standard,Standard,212,0.0,0.072,,,,-0.072,,2,2,0.948,0.948,35,22,36,22,1,1,,,,,1.05,0.56,-0.56,
FF,2023-03-17,92.6,-2.29,5.84,"Jackson, Jay",687282,543351,,ball,,,,,12,Gabriel Rincones Jr. walks.,S,L,R,PHI,TOR,B,,,1,0,2023,-0.52,1.52,0.99,3.49,,680932,,1,8,Bot,,,,,,,9.485771535476092,-134.50130387972422,-3.4695313424998764,-8.475947261913294,30.673838517469648,-13.164455252157715,3.55,1.63,,,,92.3,2305,6.3,719081,703245,676678,672463,671088,688460,683770,696521,673893,54.18,,,,,,,,67,2,4-Seam Fastball,4,2,4,2,2,4,4,2,Standard,Standard,209,0.0,0.036,,,,-0.036,,2,2,0.948,0.948,35,22,36,22,1,1,,,,,1.16,0.52,-0.52,
CH,2023-03-17,88.5,-2.42,5.94,"Jackson, Jay",687282,543351,,ball,,,,,6,Gabriel Rincones Jr. walks.,S,L,R,PHI,TOR,B,,,0,0,2023,-0.77,1.23,0.68,2.75,,680932,,1,8,Bot,,,,,,,9.128829281995296,-128.6093571725201,-4.294836807958101,-10.30743083524434,24.604036207912937,-17.737150226552487,3.55,1.63,,,,88.6,1942,6.3,719081,703245,676678,672463,671088,688460,683770,696521,673893,54.24,,,,,,,,67,1,Changeup,4,2,4,2,2,4,4,2,Standard,Standard,217,0.0,0.034,,,,-0.034,,2,2,0.948,0.948,35,22,36,22,1,1,,,,,1.67,0.77,-0.77,
SL,2023-03-17,84.4,-1.51,6.06,"Swanson, Erik",687282,657024,home_run,hit_into_play,,,,,6,Gabriel Rincones Jr. homers (1) on a fly ball to right field. Cam Cannon scores.,S,L,R,PHI,TOR,X,,fly_ball,1,0,2023,0.51,0.53,0.44,2.34,,,669069,2,6,Bot,212.93,77.28,,,,,3.5578669034946167,-122.82947060184964,-3.330483737821453,4.333443031020941,26.0430024862382,-26.33068391908309,3.55,1.63,369,97.4,26,84.7,2181,6.7,719081,703245,676678,672463,671088,688460,683770,696521,673893,53.85,0.317,,2.0,,0,3,5,50,2,Slider,1,2,1,2,2,3,3,2,,,118,0.368,2.187,,,0.884,-2.187,97.4,-1,-1,0.342,0.342,29,22,30,22,1,0,,,,,2.68,-0.51,0.51,
FS,2023-03-17,82.8,-1.41,6.11,"Swanson, Erik",687282,657024,,ball,,,,,13,Gabriel Rincones Jr. homers (1) on a fly ball to right field. Cam Cannon scores.,S,L,R,PHI,TOR,B,,,0,0,2023,-1.17,0.35,-0.65,1.15,,,669069,2,6,Bot,,,,,,,4.047002599839017,-120.44523686905404,-5.497505804360646,-12.19483423260962,25.50087486193834,-27.88976242958915,3.55,1.63,,,,83.2,1307,6.8,719081,703245,676678,672463,671088,688460,683770,696521,673893,53.7,,,,,,,,50,1,Split-Finger,1,2,1,2,2,1,1,2,,,239,0.0,0.03,,,,-0.03,,-1,-1,0.342,0.342,29,22,30,22,1,0,,,,,3.01,1.17,-1.17,
SI,2023-03-16,96.3,-2.77,5.34,"Hill, Garrett",687282,682051,strikeout,called_strike,,,,,13,Gabriel Rincones Jr.  called out on strikes.,S,L,R,DET,PHI,S,2,,1,2,2023,-1.07,1.42,-1.04,1.8,,,,2,9,Top,,,,,,,7.014947173322261,-139.89975566924244,-7.019970720049385,-15.661868984400533,31.337681394902283,-12.157092326508677,3.55,1.63,,,,96.4,2289,6.4,719100,657709,595284,694184,650339,669360,685382,641505,663478,54.1,,,0.0,,0,0,,73,4,Sinker,1,10,10,1,10,1,10,1,Strategic,Standard,226,0.0,-0.191,,,,0.191,,-9,9,0.0,1.0,27,22,27,22,2,1,,,,,1.05,1.07,-1.07,
CH,2023-03-16,83.0,-2.77,5.29,"Hill, Garrett",687282,682051,,swinging_strike,,,,,13,Gabriel Rincones Jr.  called out on strikes.,S,L,R,DET,PHI,S,,,1,1,2023,-1.19,0.46,-1.51,2.4,,,,2,9,Top,,,,,,,5.262840121817314,-120.89191900099294,-1.0616488537571316,-12.72469793294697,22.375304675977276,-27.659097227110397,3.55,1.63,,,,83.9,1349,6.7,719100,657709,595284,694184,650339,669360,685382,641505,663478,53.76,,,,,,,,73,3,Changeup,1,10,10,1,10,1,10,1,Strategic,Standard,240,0.0,-0.069,,,,0.069,,-9,9,0.0,1.0,27,22,27,22,2,1,,,,,2.83,1.19,-1.19,
CH,2023-03-16,83.9,-2.66,5.27,"Hill, Garrett",687282,682051,,swinging_strike,,,,,8,Gabriel Rincones Jr.  called out on strikes.,S,L,R,DET,PHI,S,,,1,0,2023,-1.21,0.42,0.03,1.69,,,,2,9,Top,,,,,,,8.637498348345433,-121.91514147881944,-2.738084735119476,-13.738763104108232,23.091350261191092,-27.64164444842905,3.55,1.63,,,,84.2,1472,6.5,719100,657709,595284,694184,650339,669360,685382,641505,663478,53.99,,,,,,,,73,2,Changeup,1,10,10,1,10,1,10,1,Strategic,Standard,242,0.0,-0.056,,,,0.056,,-9,9,0.0,1.0,27,22,27,22,2,1,,,,,2.82,1.21,-1.21,
KC,2023-03-16,80.7,-2.85,5.32,"Hill, Garrett",687282,682051,,ball,,,,,12,Gabriel Rincones Jr.  called out on strikes.,S,L,R,DET,PHI,B,,,0,0,2023,0.71,-0.82,0.91,2.95,,,,2,9,Top,,,,,,,7.018448276383891,-117.35880501031636,2.9228942231142003,5.324901149873571,21.168149390246327,-40.52303774071406,3.55,1.63,,,,80.8,2704,6.3,719100,657709,595284,694184,650339,669360,685382,641505,663478,54.18,,,,,,,,73,1,Knuckle Curve,1,10,10,1,10,1,10,1,Strategic,Standard,44,0.0,0.043,,,,-0.043,,-9,9,0.0,1.0,27,22,27,22,2,1,,,,,4.31,-0.71,0.71,
SI,2023-03-16,96.7,-2.83,5.33,"Hill, Garrett",687282,682051,strikeout,foul_tip,,,,,11,Gabriel Rincones Jr.  strikes out on a foul tip.,S,L,R,DET,PHI,S,2,,2,2,2023,-1.0,1.31,-0.65,3.84,,,,0,8,Top,,,,,,,8.087933753156682,-140.65731999065127,-1.450825167785525,-15.015826953297726,28.94826715965798,-14.58891941944993,3.55,1.63,,,,97.3,2333,6.4,719100,657709,595284,514917,650339,670097,685382,641505,663478,54.07,,,0.0,,0,0,,61,6,Sinker,1,6,6,1,6,1,6,1,Strategic,Strategic,215,0.002,-0.239,,,,0.239,,-5,5,0.015,0.985,27,22,27,22,1,0,,,,,1.11,1.0,-1.0,
