pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-09-29,97.5,-2.43,5.64,"Leone, Dominic",677649,608678,walk,ball,,,,,14,Ezequiel Duran walks.,R,R,R,SEA,TEX,B,,,3,2,2023,-0.62,1.2,0.36,1.08,,543257,,1,9,Top,,,,,,,8.972971099761502,-141.53427973733977,-9.581241282555856,-10.29682290539994,29.49774011290603,-14.017577569929012,3.33,1.61,,,,98.2,2333,6.6,716379,663728,664034,668942,553993,676609,686527,664059,672284,53.86,,0.695903,0.7,1,0,0,,71,6,4-Seam Fastball,8,0,0,8,0,8,0,8,Standard,Standard,221,-0.001,0.184,,,,-0.184,,8,-8,1.0,0.0,31,24,32,24,1,0,2,3,,,1.19,0.62,0.62,39.7
FF,2023-09-29,96.8,-2.52,5.64,"Leone, Dominic",677649,608678,,swinging_strike,,,,,2,Ezequiel Duran walks.,R,R,R,SEA,TEX,S,,,3,1,2023,-0.26,1.25,-0.13,3.3,,543257,,1,9,Top,,,,,,,6.994536414900278,-140.92506504891512,-3.601175652979076,-5.018224811509991,29.994993810978738,-14.85719770061622,3.33,1.59,,,,97.2,2422,6.3,716379,663728,664034,668942,553993,676609,686527,664059,672284,54.17,,,,,,,,71,5,4-Seam Fastball,8,0,0,8,0,8,0,8,Standard,Standard,214,0.0,-0.062,76.8,6.8,,0.062,,8,-8,1.0,0.0,31,24,32,24,1,0,2,3,,,1.17,0.26,0.26,37.7
FF,2023-09-29,97.1,-2.51,5.61,"Leone, Dominic",677649,608678,,ball,,,,,14,Ezequiel Duran walks.,R,R,R,SEA,TEX,B,,,2,1,2023,-0.48,1.16,0.7,1.19,,543257,,1,9,Top,,,,,,,9.70895458298477,-140.98186111893764,-9.0046775865031,-8.427943173576763,28.5924336252783,-14.776863300251144,3.27,1.55,,,,97.6,2362,6.5,716379,663728,664034,668942,553993,676609,686527,664059,672284,54.04,,,,,,,,71,4,4-Seam Fastball,8,0,0,8,0,8,0,8,Standard,Standard,219,0.0,0.062,,,,-0.062,,8,-8,1.0,0.0,31,24,32,24,1,0,2,3,,,1.24,0.48,0.48,32.8
FF,2023-09-29,97.1,-2.52,5.59,"Leone, Dominic",677649,608678,,called_strike,,,,,5,Ezequiel Duran walks.,R,R,R,SEA,TEX,S,,,2,0,2023,-0.64,1.22,-0.24,2.02,,543257,,1,9,Top,,,,,,,7.579118807975326,-141.2131836049694,-6.86709519752724,-10.166216827102966,30.192071998469377,-14.434898086296505,3.18,1.48,,,,97.6,2308,6.5,716379,663728,664034,668942,553993,676609,686527,664059,672284,54.01,,,,,,,,71,3,4-Seam Fastball,8,0,0,8,0,8,0,8,Standard,Standard,224,0.0,-0.032,,,,0.032,,8,-8,1.0,0.0,31,24,32,24,1,0,2,3,,,1.19,0.64,0.64,35.3
FC,2023-09-29,92.6,-2.64,5.54,"Leone, Dominic",677649,608678,,ball,,,,,14,Ezequiel Duran walks.,R,R,R,SEA,TEX,B,,,1,0,2023,0.32,0.5,0.44,0.78,,543257,,1,9,Top,,,,,,,7.192111886297918,-134.70352463115495,-7.581502906143515,2.628128343719476,25.22747579239484,-24.703664429041048,3.25,1.53,,,,93.6,2450,6.6,716379,663728,664034,668942,553993,676609,686527,664059,672284,53.9,,,,,,,,71,2,Cutter,8,0,0,8,0,8,0,8,Standard,Standard,191,0.0,0.036,,,,-0.036,,8,-8,1.0,0.0,31,24,32,24,1,0,2,3,,,2.13,-0.32,-0.32,37.3
FF,2023-09-29,97.2,-2.62,5.66,"Leone, Dominic",677649,608678,,ball,,,,,11,Ezequiel Duran walks.,R,R,R,SEA,TEX,B,,,0,0,2023,-0.45,1.26,-0.49,4.24,,543257,,1,9,Top,,,,,,,6.761257282840591,-141.52386152748005,-1.205739027446726,-7.44606860262197,29.619383488471332,-15.060651984069285,3.25,1.61,,,,97.9,2372,6.5,716379,663728,664034,668942,553993,676609,686527,664059,672284,54.05,,,,,,,,71,1,4-Seam Fastball,8,0,0,8,0,8,0,8,Standard,Standard,218,0.0,0.034,,,,-0.034,,8,-8,1.0,0.0,31,24,32,24,1,0,2,3,,,1.13,0.45,0.45,41.8
FF,2023-09-26,93.6,1.44,5.25,"Ingram, Kolton",677649,688427,strikeout,swinging_strike,,,,,2,Ezequiel Duran strikes out swinging.,R,R,L,LAA,TEX,S,2,,1,2,2023,0.1,0.99,0.0,3.12,,,,2,9,Top,,,,,,,-3.955436751527967,-136.2601086063852,-1.9584867697213375,2.1452129730409597,29.533585115254816,-19.621451490233625,3.33,1.59,,,,94.4,2396,6.7,716422,681351,665120,664058,683021,687263,545341,621433,666176,53.82,,0.0,0.0,1,0,0,,77,5,4-Seam Fastball,9,3,3,9,3,9,3,9,Standard,Standard,165,0.0,-0.191,71.0,5.7,,0.191,,6,-6,1.0,0.0,26,24,27,24,1,1,18,6,,3,1.61,0.1,-0.1,43.3
ST,2023-09-26,81.9,1.95,5.02,"Ingram, Kolton",677649,688427,,foul,,,,,8,Ezequiel Duran strikes out swinging.,R,R,L,LAA,TEX,S,,,1,2,2023,-1.68,0.04,-0.14,1.89,,,,2,9,Top,,,,,,,-1.4655040446431964,-119.21595156446216,-0.5001008637092557,-15.633329694896666,25.20639191054929,-31.96952092242811,3.33,1.59,4,76.3,-29,81.8,2758,6.4,716422,681351,665120,664058,683021,687263,545341,621433,666176,54.09,,,,,,,,77,4,Sweeper,9,3,3,9,3,9,3,9,Standard,Standard,292,0.0,0.0,74.5,8.1,,0.0,88.0,6,-6,1.0,0.0,26,24,27,24,1,1,18,6,,3,3.39,-1.68,1.68,29.0
ST,2023-09-26,80.8,2.07,4.92,"Ingram, Kolton",677649,688427,,called_strike,,,,,6,Ezequiel Duran strikes out swinging.,R,R,L,LAA,TEX,S,,,1,1,2023,-1.41,0.38,0.56,2.6,,,,2,9,Top,,,,,,,-0.6791638123745669,-117.71429735354464,0.7613971182088437,-12.926215230319272,23.048800233656817,-28.984263935195024,3.45,1.67,,,,80.7,2331,6.3,716422,681351,665120,664058,683021,687263,545341,621433,666176,54.24,,,,,,,,77,3,Sweeper,9,3,3,9,3,9,3,9,Standard,Standard,339,0.0,-0.069,,,,0.069,,6,-6,1.0,0.0,26,24,27,24,1,1,18,6,,3,3.11,-1.41,1.41,29.9
CH,2023-09-26,86.4,2.04,4.86,"Ingram, Kolton",677649,688427,,ball,,,,,14,Ezequiel Duran strikes out swinging.,R,R,L,LAA,TEX,B,,,0,1,2023,1.31,0.34,2.18,2.06,,,,2,9,Top,,,,,,,-2.360102875265053,-125.91724505824416,-1.1893021336990433,14.489670288844271,24.263186975873023,-28.52822056663334,3.52,1.67,,,,87.3,1478,6.7,716422,681351,665120,664058,683021,687263,545341,621433,666176,53.81,,,,,,,,77,2,Changeup,9,3,3,9,3,9,3,9,Standard,Standard,122,0.0,0.031,,,,-0.031,,6,-6,1.0,0.0,26,24,27,24,1,1,18,6,,3,2.69,1.31,-1.31,31.1
