pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2023-06-14,81.2,2.17,5.92,"Lynch IV, Daniel",676480,663738,field_out,hit_into_play,,,,,3,"Jose Barrero grounds out, third baseman Nicky Lopez to first baseman Nick Pratto.",R,R,L,KC,CIN,X,5,ground_ball,3,1,2023,0.73,0.74,0.67,3.48,,,,0,7,Top,95.95,166.83,,,,,-4.826138628003659,-118.319003589621,-0.3338283415229155,7.771678193747881,20.63372078062615,-25.2861140778598,3.38,1.63,114,80.0,8,82.6,1402,6.9,717764,666023,668472,686681,670032,677951,658668,680118,669004,53.56,0.354,0.324,0.0,1,0,0,4,55,5,Changeup,2,7,7,2,7,2,7,2,Infield shade,Standard,128,0.002,-0.442,,,0.391,0.442,88.0,-5,5,0.028,0.972,26,25,27,25,3,2,5,5,6,,2.68,0.73,-0.73,39.6
FF,2023-06-14,89.6,1.83,5.89,"Lynch IV, Daniel",676480,663738,,called_strike,,,,,4,"Jose Barrero grounds out, third baseman Nicky Lopez to first baseman Nick Pratto.",R,R,L,KC,CIN,S,,,3,0,2023,0.34,1.4,-0.63,2.42,,,,0,7,Top,,,,,,,-6.9323449327228595,-130.30289440490478,-5.668526382259695,5.25402340106321,24.515853651294982,-15.224711062078358,3.58,1.7,,,,91.8,2123,7.4,717764,666023,668472,686681,670032,677951,658668,680118,669004,53.08,,,,,,,,55,4,4-Seam Fastball,2,7,7,2,7,2,7,2,Infield shade,Standard,151,0.0,-0.086,,,,0.086,,-5,5,0.028,0.972,26,25,27,25,3,2,5,5,6,,1.42,0.34,-0.34,46.8
FF,2023-06-14,90.1,1.86,5.8,"Lynch IV, Daniel",676480,663738,,ball,,,,,14,"Jose Barrero grounds out, third baseman Nicky Lopez to first baseman Nick Pratto.",R,R,L,KC,CIN,B,,,2,0,2023,0.36,1.47,1.05,2.05,,,,0,7,Top,,,,,,,-2.8418087418695923,-131.19506219889269,-6.6466337437677065,4.7169733089647075,25.488878995037528,-13.97732411861586,3.64,1.64,,,,92.2,2085,7.3,717764,666023,668472,686681,670032,677951,658668,680118,669004,53.2,,,,,,,,55,3,4-Seam Fastball,2,7,7,2,7,2,7,2,Infield shade,Standard,140,0.0,0.151,,,,-0.151,,-5,5,0.028,0.972,26,25,27,25,3,2,5,5,6,,1.31,0.36,-0.36,43.8
CH,2023-06-14,82.4,1.97,5.91,"Lynch IV, Daniel",676480,663738,,ball,,,,,13,"Jose Barrero grounds out, third baseman Nicky Lopez to first baseman Nick Pratto.",R,R,L,KC,CIN,B,,,1,0,2023,0.7,0.81,-0.41,0.86,,,,0,7,Top,,,,,,,-6.833481326917208,-119.79779643542412,-6.650778714226346,7.949338825715888,20.762358578678683,-23.279329595012538,3.49,1.67,,,,83.6,1453,6.9,717764,666023,668472,686681,670032,677951,658668,680118,669004,53.6,,,,,,,,55,2,Changeup,2,7,7,2,7,2,7,2,Infield shade,Standard,124,0.0,0.071,,,,-0.071,,-5,5,0.028,0.972,26,25,27,25,3,2,5,5,6,,2.52,0.7,-0.7,40.1
CH,2023-06-14,81.4,2.0,5.87,"Lynch IV, Daniel",676480,663738,,ball,,,,,13,"Jose Barrero grounds out, third baseman Nicky Lopez to first baseman Nick Pratto.",R,R,L,KC,CIN,B,,,0,0,2023,0.77,0.8,-0.84,1.49,,,,0,7,Top,,,,,,,-7.945070570636711,-118.3060371589088,-4.855392823581404,8.644596624735334,20.030001007699266,-23.964106011262633,3.52,1.67,,,,82.7,1419,7.0,717764,666023,668472,686681,670032,677951,658668,680118,669004,53.54,,,,,,,,55,1,Changeup,2,7,7,2,7,2,7,2,Infield shade,Standard,129,0.0,0.04,,,,-0.04,,-5,5,0.028,0.972,26,25,27,25,3,2,5,5,6,,2.62,0.77,-0.77,41.3
FF,2023-06-14,93.9,1.68,5.94,"Lynch IV, Daniel",676480,663738,field_out,hit_into_play,,,,,2,"Jose Barrero grounds out, shortstop Bobby Witt Jr.  to first baseman Nick Pratto.   TJ Hopkins to 3rd.",R,R,L,KC,CIN,X,6,ground_ball,0,2,2023,0.47,1.19,0.11,3.18,,686759,,1,5,Top,109.03,155.11,,,,,-5.195065030145531,-136.65398076138118,-4.145710619038595,6.953048914201847,28.189532935539717,-16.569126645119496,3.38,1.63,114,105.2,5,95.7,2141,7.2,717764,666023,668472,686681,670032,677951,658668,680118,669004,53.34,0.603,0.56,0.0,1,0,0,4,36,3,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,156,0.022,-0.168,,,0.699,0.168,105.2,-2,2,0.224,0.776,26,25,27,25,2,1,5,5,6,,1.38,0.47,-0.47,48.4
FF,2023-06-14,93.0,1.56,6.0,"Lynch IV, Daniel",676480,663738,,foul,,,,,5,"Jose Barrero grounds out, shortstop Bobby Witt Jr.  to first baseman Nick Pratto.   TJ Hopkins to 3rd.",R,R,L,KC,CIN,S,,,0,1,2023,0.25,1.43,-0.03,2.69,,686759,,1,5,Top,,,,,,,-4.714652649116519,-135.3899351280627,-5.9835056061031375,4.064241661813264,28.990234206529035,-13.45962992050857,3.38,1.63,208,69.2,38,94.7,2180,7.2,717764,666023,668472,686681,670032,677951,658668,680118,669004,53.26,,,,,,,,36,2,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,159,0.0,-0.069,,,,0.069,88.0,-2,2,0.224,0.776,26,25,27,25,2,1,5,5,6,,1.2,0.25,-0.25,56.2
CH,2023-06-14,82.7,2.09,5.85,"Lynch IV, Daniel",676480,663738,,called_strike,,,,,7,"Jose Barrero grounds out, shortstop Bobby Witt Jr.  to first baseman Nick Pratto.   TJ Hopkins to 3rd.",R,R,L,KC,CIN,S,,,0,0,2023,1.15,0.85,-0.57,1.89,,686759,,1,5,Top,,,,,,,-8.43315380839953,-120.20367272069667,-4.253440416473028,12.779235020533957,21.9830443339568,-23.320003771289077,3.49,1.67,,,,84.0,1688,7.1,717764,666023,668472,686681,670032,677951,658668,680118,669004,53.44,,,,,,,,36,1,Changeup,1,3,3,1,3,1,3,1,Standard,Standard,123,0.0,-0.038,,,,0.038,,-2,2,0.224,0.776,26,25,27,25,2,1,5,5,6,,2.48,1.15,-1.15,43.5
FF,2023-06-14,93.3,1.53,6.07,"Lynch IV, Daniel",676480,663738,field_out,hit_into_play,,,,,5,Jose Barrero lines out to second baseman Michael Massey.,R,R,L,KC,CIN,X,4,line_drive,2,1,2023,0.23,1.32,0.23,2.45,,,,1,3,Top,139.26,122.3,,,,,-3.9050859842908823,-135.74259127668552,-6.5913032209084585,3.657073578316904,27.98979811388918,-14.566797035119524,3.38,1.63,198,86.1,12,94.9,2052,7.1,717764,666023,668472,686681,670032,677951,658668,680118,669004,53.38,0.731,0.668,0.0,1,0,0,4,18,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,156,0.016,-0.31,,,0.803,0.31,88.0,-1,1,0.404,0.596,26,25,27,25,1,0,5,5,6,,1.28,0.23,-0.23,52.4
CH,2023-06-14,84.3,2.04,5.87,"Lynch IV, Daniel",676480,663738,,swinging_strike,,,,,9,Jose Barrero lines out to second baseman Michael Massey.,R,R,L,KC,CIN,S,,,2,0,2023,1.19,0.66,0.32,1.58,,,,1,3,Top,,,,,,,-6.440541170314652,-122.62831563790996,-5.017001195757536,13.233806460211614,22.744642722188782,-24.765021646106717,3.38,1.63,,,,85.8,1637,7.1,717764,666023,668472,686681,670032,677951,658668,680118,669004,53.36,,,,,,,,18,3,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,128,0.0,-0.062,,,,0.062,,-1,1,0.404,0.596,26,25,27,25,1,0,5,5,6,,2.54,1.19,-1.19,40.7
