pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FS,2023-03-27,87.1,-1.66,5.95,"McGough, Scott",805865,543518,strikeout,swinging_strike,,,,,8,Guy Lipscomb Jr.  strikes out swinging.,S,L,R,AZ,CLE,S,2,,1,2,2023,-0.5,0.9,0.04,2.11,,,,2,9,Top,,,,,,,5.053308886752947,-126.6853810052985,-4.858997047383412,-6.401049487572909,26.134567853289496,-21.711242899764272,3.47,1.59,,,,86.4,1502,5.9,719410,680728,595943,669208,672695,691783,694374,677950,681134,54.64,,,0.0,,0,0,,74,4,Split-Finger,7,6,6,7,6,7,6,7,Infield shade,Standard,211,0.035,-0.191,,,,0.191,,1,-1,0.965,0.035,33,22,34,22,1,1,,,,,2.11,0.5,-0.5,
FS,2023-03-27,86.8,-1.7,5.9,"McGough, Scott",805865,543518,,swinging_strike,,,,,8,Guy Lipscomb Jr.  strikes out swinging.,S,L,R,AZ,CLE,S,,,1,1,2023,-0.66,0.71,-0.02,1.56,,,,2,9,Top,,,,,,,5.328674899751015,-126.21995098277098,-5.577414870497632,-8.134843625659654,26.746118491962893,-23.67574466223812,3.47,1.59,,,,85.9,1592,5.9,719410,680728,595943,669208,672695,691783,694374,677950,681134,54.63,,,,,,,,74,3,Split-Finger,7,6,6,7,6,7,6,7,Infield shade,Standard,211,0.0,-0.069,,,,0.069,,1,-1,0.965,0.035,33,22,34,22,1,1,,,,,2.33,0.66,-0.66,
FS,2023-03-27,86.0,-1.74,5.93,"McGough, Scott",805865,543518,,ball,,,,,13,Guy Lipscomb Jr.  strikes out swinging.,S,L,R,AZ,CLE,B,,,0,1,2023,-0.38,0.61,-1.21,1.88,,,,2,9,Top,,,,,,,1.997596365921948,-125.26003390395776,-4.571244450937181,-4.3663252116088005,25.65385651694747,-25.02964834867921,3.45,1.59,,,,85.6,1252,6.0,719410,680728,595943,669208,672695,691783,694374,677950,681134,54.49,,,,,,,,74,2,Split-Finger,7,6,6,7,6,7,6,7,Infield shade,Standard,214,0.0,0.031,,,,-0.031,,1,-1,0.965,0.035,33,22,34,22,1,1,,,,,2.47,0.38,-0.38,
FS,2023-03-27,86.6,-1.76,5.93,"McGough, Scott",805865,543518,,swinging_strike,,,,,5,Guy Lipscomb Jr.  strikes out swinging.,S,L,R,AZ,CLE,S,,,0,0,2023,-0.63,0.39,0.01,2.45,,,,2,9,Top,,,,,,,5.485551983005413,-125.99904434253848,-2.9093921868689887,-7.749985739917284,24.35829403855047,-27.683165665798217,3.47,1.59,,,,86.5,1199,6.1,719410,680728,595943,669208,672695,691783,694374,677950,681134,54.37,,,,,,,,74,1,Split-Finger,7,6,6,7,6,7,6,7,Infield shade,Standard,218,0.0,-0.045,,,,0.045,,1,-1,0.965,0.035,33,22,34,22,1,1,,,,,2.64,0.63,-0.63,
FF,2023-03-27,93.7,-2.34,6.47,"Ginkel, Kevin",805865,656464,walk,ball,,,,,11,Guy Lipscomb Jr.  walks.,S,L,R,AZ,CLE,B,,,3,2,2023,-0.76,1.21,-1.09,3.66,,675455,,2,7,Top,,,,,,,5.005631408991829,-136.48331588945177,-4.3022645119747205,-10.56860338160654,28.43898099779912,-16.268817956313047,3.48,1.59,,,,95.4,2285,7.1,719410,645444,572233,668942,446334,605113,666971,682998,664983,53.41,,,0.7,,0,0,,49,7,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,225,-0.001,0.162,,,,-0.162,,-5,5,0.029,0.971,29,22,29,22,1,0,,,,,1.37,0.76,-0.76,
FF,2023-03-27,94.3,-2.27,6.47,"Ginkel, Kevin",805865,656464,,foul,,,,,11,Guy Lipscomb Jr.  walks.,S,L,R,AZ,CLE,S,,,3,2,2023,-1.11,1.47,-0.88,3.91,,675455,,2,7,Top,,,,,,,6.153437941126125,-137.208649405292,-4.288263409963463,-15.329072059729157,29.352526799495983,-12.857627023434253,3.47,1.59,207,69.8,51,95.6,2442,7.0,719410,645444,572233,668942,446334,605113,666971,682998,664983,53.54,,,,,,,,49,6,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,225,0.0,0.0,,,,0.0,88.0,-5,5,0.029,0.971,29,22,29,22,1,0,,,,,1.09,1.11,-1.11,
FF,2023-03-27,94.2,-2.29,6.46,"Ginkel, Kevin",805865,656464,,called_strike,,,,,1,Guy Lipscomb Jr.  walks.,S,L,R,AZ,CLE,S,,,3,1,2023,-1.12,1.35,-0.69,3.42,,,675455,2,7,Top,,,,,,,6.7215576687826015,-136.9806455781297,-5.260378469646424,-15.56712437074833,30.88652372686702,-14.143600304196251,3.43,1.59,,,,95.1,2471,6.9,719410,645444,572233,668942,446334,605113,666971,682998,664983,53.59,,,,,,,,49,5,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,225,-0.002,-0.094,,,,0.094,,-5,5,0.031,0.969,29,22,29,22,1,0,,,,,1.22,1.12,-1.12,
FF,2023-03-27,94.4,-2.26,6.44,"Ginkel, Kevin",805865,656464,,called_strike,,,,,6,Guy Lipscomb Jr.  walks.,S,L,R,AZ,CLE,S,,,3,0,2023,-1.21,1.41,0.52,2.75,,,675455,2,7,Top,,,,,,,10.024799280270006,-136.9811095774898,-7.110155010728535,-17.407301391541235,29.484022775565336,-13.029828723009263,3.46,1.59,,,,95.5,2473,7.0,719410,645444,572233,668942,446334,605113,666971,682998,664983,53.47,,,,,,,,49,4,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,221,0.0,-0.058,,,,0.058,,-5,5,0.031,0.969,29,22,29,22,1,0,,,,,1.16,1.21,-1.21,
SI,2023-03-27,95.3,-2.28,6.4,"Ginkel, Kevin",805865,656464,,ball,,,,,14,Guy Lipscomb Jr.  walks.,S,L,R,AZ,CLE,B,,,2,0,2023,-1.32,1.08,0.57,0.77,,,675455,2,7,Top,,,,,,,10.55325294825509,-138.00165935593762,-11.6473612598361,-19.271651873312987,31.085413240573445,-15.768555908958431,3.56,1.59,,,,96.0,2404,7.0,719410,645444,572233,668942,446334,605113,666971,682998,664983,53.53,,,,,,,,49,3,Sinker,0,5,5,0,5,0,5,0,Standard,Standard,227,0.0,0.104,,,,-0.104,,-5,5,0.031,0.969,29,22,29,22,1,0,,,,,1.45,1.32,-1.32,
FF,2023-03-27,93.9,-2.27,6.46,"Ginkel, Kevin",805865,656464,,ball,,,,,11,Guy Lipscomb Jr.  walks.,S,L,R,AZ,CLE,B,,,1,0,2023,-1.26,1.24,-1.09,2.88,,,675455,2,7,Top,,,,,,,5.912186388988992,-136.58774053688342,-6.345874585913172,-17.040036896007592,30.383340491132586,-15.45113526920458,3.35,1.59,,,,94.9,2349,6.9,719410,645444,572233,668942,446334,605113,666971,682998,664983,53.58,,,,,,,,49,2,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,226,0.0,0.037,,,,-0.037,,-5,5,0.031,0.969,29,22,29,22,1,0,,,,,1.35,1.26,-1.26,
