pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-10-01,96.3,-2.24,6.26,"Miller, Mason",683021,695243,single,hit_into_play,,,,,1,Michael Stefanic singles on a ground ball to left fielder JJ Bleday.   Eduardo Escobar to 2nd.,R,R,R,LAA,OAK,X,7,ground_ball,1,1,2023,-0.49,1.39,-0.71,2.85,,,500871,0,7,Bot,87.84,131.52,,,,,5.190817827106835,-140.07202955717858,-6.668075422919819,-7.563357830624525,31.66211769346942,-12.582128098195732,3.39,1.6,86,96.0,4,96.6,2443,6.5,716365,691016,676116,680869,672478,669397,668709,671732,665923,54.02,0.514,0.473,0.9,1,1,0,4,63,3,4-Seam Fastball,7,1,7,1,1,7,7,1,Standard,Standard,213,0.001,0.465,,,0.577,-0.465,96.0,6,6,0.995,0.995,24,27,25,27,1,3,5,2,,,1.07,0.49,0.49,40.8
SL,2023-10-01,85.9,-2.25,6.03,"Miller, Mason",683021,695243,,blocked_ball,,,,,14,Michael Stefanic singles on a ground ball to left fielder JJ Bleday.   Eduardo Escobar to 2nd.,R,R,R,LAA,OAK,B,,,0,1,2023,0.9,-0.11,2.0,0.24,,,500871,0,7,Bot,,,,,,,8.2870093586359,-124.67051490608732,-7.20987879347901,7.584053475862282,26.112028328237237,-32.02549182434902,3.31,1.62,,,,86.1,2468,6.7,716365,691016,676116,680869,672478,669397,668709,671732,665923,53.82,,,,,,,,63,2,Slider,7,1,7,1,1,7,7,1,Standard,Standard,48,0.0,0.024,,,,-0.024,,6,6,0.995,0.995,24,27,25,27,1,3,5,2,,,3.23,-0.9,-0.9,32.2
SL,2023-10-01,84.5,-2.44,6.01,"Miller, Mason",683021,695243,,called_strike,,,,,7,Michael Stefanic singles on a ground ball to left fielder JJ Bleday.   Eduardo Escobar to 2nd.,R,R,R,LAA,OAK,S,,,0,0,2023,0.92,-0.37,-0.55,1.75,,,500871,0,7,Bot,,,,,,,2.574568224372394,-123.02998651186152,-2.8275336377776332,8.761694505339756,25.27279595661788,-35.53746716196749,3.31,1.69,,,,84.8,2389,6.6,716365,691016,676116,680869,672478,669397,668709,671732,665923,53.94,,,,,,,,63,1,Slider,7,1,7,1,1,7,7,1,Standard,Standard,41,0.0,-0.036,,,,0.036,,6,6,0.995,0.995,24,27,25,27,1,3,5,2,,,3.57,-0.92,-0.92,34.4
SL,2023-10-01,87.7,2.81,6.13,"Muller, Kyle",683021,666205,strikeout,foul_tip,,,,,6,Michael Stefanic strikes out on a foul tip.,R,R,L,LAA,OAK,S,2,,2,2,2023,0.07,0.59,0.63,2.64,,,500871,2,5,Bot,,,,,,,-5.436492274552964,-127.633716881453,-3.5588402974050406,1.907562082088475,26.794323007342214,-25.14398181354723,3.39,1.6,,,,87.8,2051,6.4,716365,691016,676116,680869,672478,669397,668709,671732,665923,54.11,,0.0,0.0,1,0,0,,43,5,Slider,6,0,6,0,0,6,6,0,Standard,Standard,145,-0.002,-0.239,63.2,5.5,,0.239,,6,6,0.979,0.979,25,27,26,27,1,2,4,2,,,2.37,0.07,-0.07,36.2
SL,2023-10-01,88.0,2.73,6.04,"Muller, Kyle",683021,666205,,ball,,,,,13,Michael Stefanic strikes out on a foul tip.,R,R,L,LAA,OAK,B,,,1,2,2023,0.05,0.27,-0.56,1.39,,,500871,2,5,Bot,,,,,,,-8.092902235857434,-127.73238272633814,-5.6670217486529735,2.3700144730911625,28.72123550504943,-28.16026316652197,3.31,1.55,,,,87.7,2050,6.4,716365,691016,676116,680869,672478,669397,668709,671732,665923,54.07,,,,,,,,43,4,Slider,6,0,6,0,0,6,6,0,Standard,Standard,149,0.0,0.034,,,,-0.034,,6,6,0.979,0.979,25,27,26,27,1,2,4,2,,,2.71,0.05,-0.05,33.8
FF,2023-10-01,96.3,2.63,5.95,"Muller, Kyle",683021,666205,,ball,,,,,9,Michael Stefanic strikes out on a foul tip.,R,R,L,LAA,OAK,B,,,0,2,2023,0.94,1.07,0.39,1.66,,,500871,2,5,Bot,,,,,,,-8.115610721527313,-139.91486407078207,-8.328659808351738,14.055364150015112,29.128216773401306,-16.45983601755324,3.34,1.59,,,,97.1,2537,6.7,716365,691016,676116,680869,672478,669397,668709,671732,665923,53.84,,,,,,,,43,3,4-Seam Fastball,6,0,6,0,0,6,6,0,Standard,Standard,146,0.0,0.02,,,,-0.02,,6,6,0.979,0.979,25,27,26,27,1,2,4,2,,,1.38,0.94,-0.94,33.8
FF,2023-10-01,95.3,2.75,5.95,"Muller, Kyle",683021,666205,,called_strike,,,,,9,Michael Stefanic strikes out on a foul tip.,R,R,L,LAA,OAK,S,,,0,1,2023,0.9,1.03,0.32,1.72,,,500871,2,5,Bot,,,,,,,-8.482323167204903,-138.4345432933516,-7.83217299103918,13.494266015526328,30.69929989181221,-17.349002973628743,3.31,1.62,,,,96.0,2425,6.8,716365,691016,676116,680869,672478,669397,668709,671732,665923,53.73,,,,,,,,43,2,4-Seam Fastball,6,0,6,0,0,6,6,0,Standard,Standard,136,0.0,-0.055,,,,0.055,,6,6,0.979,0.979,25,27,26,27,1,2,4,2,,,1.49,0.9,-0.9,33.9
SL,2023-10-01,87.2,2.77,6.0,"Muller, Kyle",683021,666205,,called_strike,,,,,13,Michael Stefanic strikes out on a foul tip.,R,R,L,LAA,OAK,S,,,0,0,2023,0.18,0.31,-0.85,1.9,,,500871,2,5,Bot,,,,,,,-9.097882828957175,-126.70373746654556,-4.3391397682569135,3.759913183258704,24.988957453634303,-28.13486076835852,3.3,1.38,,,,87.6,1985,6.6,716365,691016,676116,680869,672478,669397,668709,671732,665923,53.95,,,,,,,,43,1,Slider,6,0,6,0,0,6,6,0,Standard,Standard,127,0.0,-0.045,,,,0.045,,6,6,0.979,0.979,25,27,26,27,1,2,4,2,,,2.69,0.18,-0.18,34.4
FF,2023-10-01,93.7,1.25,4.88,"Sears, JP",683021,676664,field_out,hit_into_play,,,,,11,Michael Stefanic pops out to first baseman Ryan Noda in foul territory.,R,R,L,LAA,OAK,X,3,popup,0,0,2023,0.8,1.46,-0.83,3.19,681351,666176,,1,4,Bot,156.79,191.34,,,,,-7.168269027048867,-136.26369683379508,-1.8098886198935675,11.562010465314955,32.716858484776324,-13.849543473180734,3.39,1.6,65,57.4,78,93.7,2205,6.5,716365,691016,676116,680869,672478,669397,668709,671732,665923,53.97,0.006,0.007,0.0,1,0,0,1,31,1,4-Seam Fastball,3,0,3,0,0,3,3,0,Strategic,Standard,136,-0.035,-0.196,56.6,5.1,0.008,0.196,88.0,3,3,0.907,0.907,27,27,27,27,2,1,7,2,,,1.16,0.8,-0.8,33.6
FF,2023-10-01,94.0,1.2,5.08,"Sears, JP",683021,676664,field_out,hit_into_play,,,,,5,"Michael Stefanic grounds out, shortstop Nick Allen to first baseman Ryan Noda.",R,R,L,LAA,OAK,X,6,ground_ball,1,0,2023,0.8,1.19,-0.17,2.68,,,,2,2,Bot,115.57,155.57,,,,,-5.34576535950441,-136.87966243654415,-3.171388401218211,11.172894825438728,29.7236102175569,-16.73039951875419,3.39,1.6,4,89.8,-33,94.7,2170,6.6,716365,691016,676116,680869,672478,669397,668709,671732,665923,53.89,0.049,0.043,0.0,1,0,0,2,14,2,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,136,-0.009,-0.317,58.0,5.3,0.05,0.317,89.8,1,1,0.626,0.626,27,27,27,27,1,0,7,2,,,1.38,0.8,-0.8,30.7
FF,2023-10-01,94.9,1.18,5.07,"Sears, JP",683021,676664,,ball,,,,,14,"Michael Stefanic grounds out, shortstop Nick Allen to first baseman Ryan Noda.",R,R,L,LAA,OAK,B,,,0,0,2023,0.87,1.28,1.05,2.49,,,,2,2,Bot,,,,,,,-2.304953539302581,-138.20483474867672,-3.97529728085179,11.61618960532386,31.3998984948789,-15.15955029875671,3.31,1.67,,,,95.4,2163,6.6,716365,691016,676116,680869,672478,669397,668709,671732,665923,53.93,,,,,,,,14,1,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,134,0.0,0.043,,,,-0.043,,1,1,0.626,0.626,27,27,27,27,1,0,7,2,,,1.26,0.87,-0.87,30.8
FF,2023-09-29,90.1,0.53,6.43,"Pérez, Francisco",683021,660906,field_out,hit_into_play,,,,,2,Michael Stefanic flies out to right fielder Esteury Ruiz.,R,R,L,LAA,OAK,X,9,fly_ball,1,0,2023,0.48,1.46,0.21,2.93,,,,0,8,Bot,167.45,100.06,,,,,-1.815491839686624,-131.12356803014734,-5.790773766727085,5.946253894910711,28.17935089229095,-14.359109498502573,3.37,1.58,268,89.0,47,89.6,2030,6.0,716386,691016,676116,680869,649557,669397,668709,671732,665923,54.46,0.006,0.007,0.0,1,0,0,3,64,2,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,151,-0.001,-0.306,67.9,6.1,0.012,0.306,89.0,4,4,0.989,0.989,25,27,26,27,1,3,3,2,,2,1.35,0.48,-0.48,47.3
CH,2023-09-29,89.7,0.71,6.25,"Pérez, Francisco",683021,660906,,ball,,,,,14,Michael Stefanic flies out to right fielder Esteury Ruiz.,R,R,L,LAA,OAK,B,,,0,0,2023,1.28,0.96,0.54,1.27,,,,0,8,Bot,,,,,,,-3.100453550574838,-130.3801973094455,-8.27333359447884,15.272326620511524,27.912376077088275,-19.61482191251897,3.49,1.58,,,,88.7,1892,5.8,716386,691016,676116,680869,649557,669397,668709,671732,665923,54.7,,,,,,,,64,1,Changeup,5,1,5,1,1,5,5,1,Standard,Standard,155,0.0,0.04,,,,-0.04,,4,4,0.989,0.989,25,27,26,27,1,3,3,2,,2,1.88,1.28,-1.28,42.9
FF,2023-09-29,87.7,2.08,5.41,"Waldichuk, Ken",683021,686610,field_out,hit_into_play,,,,,1,Michael Stefanic flies out to left fielder JJ Bleday.,R,R,L,LAA,OAK,X,7,fly_ball,0,1,2023,0.45,1.18,-0.59,3.42,,,,2,5,Bot,86.62,76.09,,,,,-7.451083293666877,-127.5514179760851,-1.1369576888850474,6.431275491188236,25.535155798925057,-19.197487099644913,3.37,1.58,320,87.8,36,88.5,2062,6.8,716386,691016,676116,680869,649557,669397,668709,671732,665923,53.74,0.026,0.041,0.0,1,0,0,3,46,2,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,140,-0.002,-0.23,,,0.073,0.23,88.0,4,4,0.928,0.928,25,27,25,27,3,2,7,2,,2,1.78,0.45,-0.45,34.8
FF,2023-09-29,88.1,1.92,5.61,"Waldichuk, Ken",683021,686610,,called_strike,,,,,12,Michael Stefanic flies out to left fielder JJ Bleday.,R,R,L,LAA,OAK,S,,,0,0,2023,0.67,1.32,1.14,2.55,,,,2,5,Bot,,,,,,,-3.3358792028391298,-128.25945411364523,-4.136128737371983,8.13470494598133,25.443167673661996,-16.938848265047156,3.35,1.6,,,,89.2,2114,6.8,716386,691016,676116,680869,649557,669397,668709,671732,665923,53.67,,,,,,,,46,1,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,137,0.0,-0.045,,,,0.045,,4,4,0.928,0.928,25,27,25,27,3,2,7,2,,2,1.6,0.67,-0.67,40.4
ST,2023-09-29,80.4,2.11,5.39,"Waldichuk, Ken",683021,686610,field_out,hit_into_play,,,,,9,Michael Stefanic lines out to right fielder Esteury Ruiz.   Randal Grichuk to 3rd.,R,R,L,LAA,OAK,X,9,line_drive,1,2,2023,-0.92,0.19,0.5,2.02,,545341,666160,1,4,Bot,190.16,87.74,,,,,-1.838914175218816,-117.10880104360264,-1.19205899441359,-8.137938957805527,21.26534102299864,-30.37622673955685,3.37,1.58,317,91.3,24,81.6,2001,7.0,716386,691016,676116,680869,649557,669397,668709,671732,665923,53.51,0.14,0.18,0.0,1,0,0,3,33,4,Sweeper,0,1,0,1,1,0,0,1,Standard,Standard,299,-0.052,-0.17,65.6,6.6,0.275,0.17,91.3,-1,-1,0.473,0.473,25,27,25,27,2,1,7,2,,2,3.31,-0.92,0.92,37.0
FF,2023-09-29,91.4,1.97,5.57,"Waldichuk, Ken",683021,686610,,ball,,,,,12,Michael Stefanic lines out to right fielder Esteury Ruiz.   Randal Grichuk to 3rd.,R,R,L,LAA,OAK,B,,,0,2,2023,0.66,1.17,1.16,4.47,,545341,666160,1,4,Bot,,,,,,,-3.5185707231599777,-133.08992078642143,0.5703317065390108,8.640920903918783,28.52442284960477,-18.61489449596583,3.42,1.58,,,,92.2,2089,6.8,716386,691016,676116,680869,649557,669397,668709,671732,665923,53.75,,,,,,,,33,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,133,0.0,0.022,,,,-0.022,,-1,-1,0.473,0.473,25,27,25,27,2,1,7,2,,2,1.56,0.66,-0.66,40.3
FF,2023-09-29,91.9,1.81,5.6,"Waldichuk, Ken",683021,686610,,foul,,,,,3,Michael Stefanic lines out to right fielder Esteury Ruiz.   Randal Grichuk to 3rd.,R,R,L,LAA,OAK,S,,,0,1,2023,0.59,1.58,0.73,3.23,,545341,666160,1,4,Bot,,,,,,,-4.074097984666056,-133.7849776313347,-3.6148922577490983,7.939372508635595,29.963782449992088,-12.63933643683054,3.37,1.58,235,72.2,37,93.1,2209,7.1,716386,691016,676116,680869,649557,669397,668709,671732,665923,53.45,,,,,,,,33,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,141,0.0,-0.05,,,,0.05,88.0,-1,-1,0.473,0.473,25,27,25,27,2,1,7,2,,2,1.12,0.59,-0.59,40.6
