pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-03-17,93.5,-1.94,6.15,"Nogosek, Stephen",694351,668665,field_out,hit_into_play,,,,,2,Jacob Berry flies out to left fielder Lorenzo Cedrola.,S,L,R,NYM,MIA,X,7,fly_ball,1,2,2023,-0.31,1.51,-0.26,3.25,691268,,,2,7,Top,52.52,112.38,,,,,5.042081567933416,-136.06858726841514,-5.114511521709954,-4.917923912043489,27.16350282305624,-12.488137017319106,3.37,1.53,230,85.1,61,94.1,2289,6.4,719082,605421,668901,606299,683146,677595,661411,641796,621466,54.09,0.009,,0.0,,0,0,3,57,5,4-Seam Fastball,6,1,1,6,1,6,1,6,,,196,0.008,-0.225,,,0.014,0.225,88.0,5,-5,0.98,0.02,28,22,28,22,1,2,,,,,1.08,0.31,-0.31,
CU,2023-03-17,80.6,-2.3,6.0,"Nogosek, Stephen",694351,668665,,blocked_ball,,,,,13,Jacob Berry flies out to left fielder Lorenzo Cedrola.,S,L,R,NYM,MIA,B,,,0,2,2023,0.89,-1.13,-0.27,-0.08,691268,,,2,7,Top,,,,,,,2.8198184351090427,-117.30111432034307,-4.668101652484683,7.680653123295941,23.146171136306947,-41.888798739465265,3.37,1.53,,,,80.6,2419,6.4,719082,605421,668901,606299,683146,677595,661411,641796,621466,54.14,,,,,,,,57,4,Curveball,6,1,1,6,1,6,1,6,,,29,0.0,0.018,,,,-0.018,,5,-5,0.98,0.02,28,22,28,22,1,2,,,,,4.65,-0.89,0.89,
FF,2023-03-17,93.6,-2.18,6.05,"Nogosek, Stephen",694351,668665,,foul,,,,,11,Jacob Berry flies out to left fielder Lorenzo Cedrola.,S,L,R,NYM,MIA,S,,,0,2,2023,-0.59,1.7,-0.91,2.52,691268,,,2,7,Top,,,,,,,4.58046134669694,-136.09949235052773,-7.103880503704048,-8.397119504582811,30.33136469617251,-9.690157914898917,3.37,1.53,149,77.8,12,93.4,2358,6.2,719082,605421,668901,606299,683146,677595,661411,641796,621466,54.25,,,,,,,,57,3,4-Seam Fastball,6,1,1,6,1,6,1,6,,,201,0.0,0.0,,,,0.0,88.0,5,-5,0.98,0.02,28,22,28,22,1,2,,,,,0.91,0.59,-0.59,
FF,2023-03-17,93.6,-2.19,6.1,"Nogosek, Stephen",694351,668665,,called_strike,,,,,11,Jacob Berry flies out to left fielder Lorenzo Cedrola.,S,L,R,NYM,MIA,S,,,0,1,2023,-0.54,1.73,-1.17,3.01,691268,,,2,7,Top,,,,,,,3.839073111875572,-136.26068213356788,-6.082808335660792,-7.6106153030633,29.02452530638316,-9.517878863071232,3.37,1.53,,,,93.8,2308,6.3,719082,605421,668901,606299,683146,677595,661411,641796,621466,54.22,,,,,,,,57,2,4-Seam Fastball,6,1,1,6,1,6,1,6,,,198,0.0,-0.051,,,,0.051,,5,-5,0.98,0.02,28,22,28,22,1,2,,,,,0.87,0.54,-0.54,
FC,2023-03-17,88.5,-2.53,6.07,"Nogosek, Stephen",694351,668665,,foul,,,,,1,Jacob Berry flies out to left fielder Lorenzo Cedrola.,S,L,R,NYM,MIA,S,,,0,0,2023,-0.17,1.02,-0.72,2.97,691268,,,2,7,Top,,,,,,,4.760134719608252,-128.84752209007593,-3.665897145792006,-2.873440866251353,25.175145502500353,-20.18273389627442,3.37,1.53,169,72.2,18,88.6,2249,6.2,719082,605421,668901,606299,683146,677595,661411,641796,621466,54.3,,,,,,,,57,1,Cutter,6,1,1,6,1,6,1,6,,,181,0.0,-0.036,,,,0.036,88.0,5,-5,0.98,0.02,28,22,28,22,1,2,,,,,1.87,0.17,-0.17,
ST,2023-03-17,82.2,-2.38,5.5,"Brigham, Jeff",694351,656257,strikeout,called_strike,,,,,8,Jacob Berry called out on strikes.,S,L,R,NYM,MIA,S,2,,1,2,2023,1.25,0.28,-0.23,1.91,,,,2,5,Top,,,,,,,2.4381293128968635,-119.64278403192635,-2.0978104077827338,11.368207199342606,25.60183520539847,-29.25917862132975,3.37,1.53,,,,81.8,2975,6.2,719082,682626,573131,660620,664901,641645,592192,641796,516782,54.25,,,0.0,,0,0,,40,5,Sweeper,6,1,1,6,1,6,1,6,,,65,0.004,-0.191,,,,0.191,,5,-5,0.961,0.039,31,22,31,22,1,1,,,,,3.12,-1.25,1.25,
FF,2023-03-17,94.6,-2.09,5.74,"Brigham, Jeff",694351,656257,,foul,,,,,6,Jacob Berry called out on strikes.,S,L,R,NYM,MIA,S,,,1,2,2023,-0.9,1.45,0.48,2.54,,,,2,5,Top,,,,,,,8.711583985281536,-137.38679563097392,-5.897152039855607,-13.312403838448173,29.79495425785491,-12.64715820406766,3.37,1.53,163,76.6,15,94.6,2452,6.4,719082,682626,573131,660620,664901,641645,592192,641796,516782,54.13,,,,,,,,40,4,4-Seam Fastball,6,1,1,6,1,6,1,6,,,218,0.0,0.0,,,,0.0,88.0,5,-5,0.961,0.039,31,22,31,22,1,1,,,,,1.1,0.9,-0.9,
FF,2023-03-17,94.8,-2.03,5.7,"Brigham, Jeff",694351,656257,,ball,,,,,12,Jacob Berry called out on strikes.,S,L,R,NYM,MIA,B,,,0,2,2023,-0.5,1.43,1.47,2.73,,,,2,5,Top,,,,,,,10.26136097163407,-137.57942418702896,-5.25332863258632,-8.628451524888124,30.377132303813475,-12.937960692244005,3.37,1.53,,,,94.7,2511,6.3,719082,682626,573131,660620,664901,641645,592192,641796,516782,54.15,,,,,,,,40,3,4-Seam Fastball,6,1,1,6,1,6,1,6,,,218,0.0,0.022,,,,-0.022,,5,-5,0.961,0.039,31,22,31,22,1,1,,,,,1.11,0.5,-0.5,
FC,2023-03-17,89.9,-2.4,5.48,"Brigham, Jeff",694351,656257,,foul,,,,,6,Jacob Berry called out on strikes.,S,L,R,NYM,MIA,S,,,0,1,2023,0.06,0.78,0.32,2.7,,,,2,5,Top,,,,,,,6.61781239516189,-130.8043925768085,-2.5684595805989936,-0.7355447868860651,27.983768605855573,-22.897315526551356,3.37,1.53,114,55.5,65,89.8,2541,6.3,719082,682626,573131,660620,664901,641645,592192,641796,516782,54.23,,,,,,,,40,2,Cutter,6,1,1,6,1,6,1,6,,,197,0.0,-0.061,,,,0.061,88.0,5,-5,0.961,0.039,31,22,31,22,1,1,,,,,2.05,-0.06,0.06,
FF,2023-03-17,93.8,-2.15,5.7,"Brigham, Jeff",694351,656257,,called_strike,,,,,2,Jacob Berry called out on strikes.,S,L,R,NYM,MIA,S,,,0,0,2023,-0.82,1.48,0.23,2.94,,,,2,5,Top,,,,,,,7.969661099222423,-136.3197643450989,-4.699662035040886,-11.918412985809,29.277286970773535,-12.81914451246431,3.37,1.53,,,,93.8,2436,6.3,719082,682626,573131,660620,664901,641645,592192,641796,516782,54.18,,,,,,,,40,1,4-Seam Fastball,6,1,1,6,1,6,1,6,,,216,0.0,-0.045,,,,0.045,,5,-5,0.961,0.039,31,22,31,22,1,1,,,,,1.11,0.82,-0.82,
