pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CU,2023-03-21,83.1,-2.54,5.82,"Ortega, Oliver",694181,661383,strikeout,called_strike,,,,,4,Carlos Colmenarez called out on strikes.,S,L,R,MIN,TB,S,2,,3,2,2023,0.59,-0.31,-0.67,2.16,,,680710,2,9,Top,,,,,,,3.1164569582076487,-120.98836980394088,-1.3495167437739322,5.174368748844609,23.182047180119177,-35.13525877042785,3.3,1.5,,,,82.5,2499,5.8,719027,547172,643603,670870,657510,519303,534606,676628,664057,54.71,,,0.0,,0,0,,67,7,Curveball,5,2,2,5,2,5,2,5,,,90,0.011,-0.304,,,,0.304,,3,-3,0.989,0.011,26,19,27,20,1,1,,,,,3.6,-0.59,0.59,
CU,2023-03-21,83.2,-2.3,5.91,"Ortega, Oliver",694181,661383,,ball,,,,,11,Carlos Colmenarez called out on strikes.,S,L,R,MIN,TB,B,,,2,2,2023,0.76,-0.03,-0.22,3.53,,,680710,2,9,Top,,,,,,,3.2499509316413016,-121.2244209611474,0.9893689216726892,6.974740040938496,22.178600606928143,-32.888871287449085,3.3,1.5,,,,82.8,2550,5.8,719027,547172,643603,670870,657510,519303,534606,676628,664057,54.68,,,,,,,,67,6,Curveball,5,2,2,5,2,5,2,5,,,61,0.0,0.065,,,,-0.065,,3,-3,0.989,0.011,26,19,27,20,1,1,,,,,3.3,-0.76,0.76,
CU,2023-03-21,83.9,-2.44,5.87,"Ortega, Oliver",694181,661383,,foul,,,,,9,Carlos Colmenarez called out on strikes.,S,L,R,MIN,TB,S,,,2,2,2023,0.69,-0.23,0.33,1.75,,,680710,2,9,Top,,,,,,,4.974287486771024,-122.17236759525572,-2.718422705578762,6.10976259565988,21.88981727134731,-34.17652299708259,3.3,1.5,3,83.2,-30,83.4,2591,5.7,719027,547172,643603,670870,657510,519303,534606,676628,664057,54.8,,,,,,,,67,5,Curveball,5,2,2,5,2,5,2,5,,,70,0.0,0.0,,,,0.0,88.0,3,-3,0.989,0.011,26,19,27,20,1,1,,,,,3.44,-0.69,0.69,
CU,2023-03-21,81.9,-2.2,6.13,"Ortega, Oliver",694181,661383,,called_strike,,,,,5,Carlos Colmenarez called out on strikes.,S,L,R,MIN,TB,S,,,2,1,2023,0.62,-0.81,0.05,2.4,,,680710,2,9,Top,,,,,,,3.858339669624567,-119.25203239992018,-0.31093557750139,5.126014614676592,23.146446118463075,-40.07295729568041,3.3,1.5,,,,81.1,2515,5.7,719027,547172,643603,670870,657510,519303,534606,676628,664057,54.79,,,,,,,,67,4,Curveball,5,2,2,5,2,5,2,5,,,44,0.0,-0.063,,,,0.063,,3,-3,0.989,0.011,26,19,27,20,1,1,,,,,4.21,-0.62,0.62,
CU,2023-03-21,82.3,-2.12,6.05,"Ortega, Oliver",694181,661383,,ball,,,,,14,Carlos Colmenarez called out on strikes.,S,L,R,MIN,TB,B,,,1,1,2023,0.54,-1.1,0.85,1.1,,,680710,2,9,Top,,,,,,,5.620982286565737,-119.7913487804588,-2.501944737295041,4.037915646429719,24.493389356426928,-42.442517000908126,3.3,1.5,,,,81.2,2598,5.7,719027,547172,643603,670870,657510,519303,534606,676628,664057,54.81,,,,,,,,67,3,Curveball,5,2,2,5,2,5,2,5,,,42,0.0,0.036,,,,-0.036,,3,-3,0.989,0.011,26,19,27,20,1,1,,,,,4.48,-0.54,0.54,
FF,2023-03-21,96.1,-2.14,5.94,"Ortega, Oliver",694181,661383,,ball,,,,,14,Carlos Colmenarez called out on strikes.,S,L,R,MIN,TB,B,,,0,1,2023,-0.5,1.3,1.32,1.92,,,680710,2,9,Top,,,,,,,10.183589231711323,-139.51607127651866,-7.938053635218348,-8.735293148156304,29.41493316263686,-13.54971938185954,3.3,1.5,,,,95.4,2567,5.8,719027,547172,643603,670870,657510,519303,534606,676628,664057,54.66,,,,,,,,67,2,4-Seam Fastball,5,2,2,5,2,5,2,5,,,201,0.0,0.025,,,,-0.025,,3,-3,0.989,0.011,26,19,27,20,1,1,,,,,1.17,0.5,-0.5,
FF,2023-03-21,95.2,-2.11,5.99,"Ortega, Oliver",694181,661383,,foul,,,,,6,Carlos Colmenarez called out on strikes.,S,L,R,MIN,TB,S,,,0,0,2023,-0.42,1.41,0.62,2.11,,,680710,2,9,Top,,,,,,,8.025879939586872,-138.3733104979799,-7.646405156540982,-7.105808149724122,28.650756321204156,-12.534820266238128,3.3,1.5,96,50.6,21,94.5,2398,5.8,719027,547172,643603,670870,657510,519303,534606,676628,664057,54.69,,,,,,,,67,1,4-Seam Fastball,5,2,2,5,2,5,2,5,,,208,0.0,-0.045,,,,0.045,88.0,3,-3,0.989,0.011,26,19,27,20,1,1,,,,,1.1,0.42,-0.42,
FF,2023-03-21,92.4,0.18,6.23,"Thielbar, Caleb",694181,573204,strikeout,called_strike,,,,,8,Carlos Colmenarez called out on strikes.,S,L,L,MIN,TB,S,2,,1,2,2023,0.42,1.61,-0.2,1.83,,,,0,7,Top,,,,,,,-1.880981986322046,-134.35872608248644,-8.847374210167445,5.532822137048523,30.376416969557056,-11.003071130269715,3.3,1.5,,,,92.2,2331,6.3,719027,543877,608336,571657,650489,519303,624503,572191,664247,54.18,,,0.0,,0,0,,52,4,4-Seam Fastball,5,2,2,5,2,5,2,5,,,159,0.022,-0.193,,,,0.193,,3,-3,0.902,0.098,36,19,36,20,1,0,,,,,1.08,0.42,0.42,
FF,2023-03-21,92.6,0.0,6.29,"Thielbar, Caleb",694181,573204,,ball,,,,,13,Carlos Colmenarez called out on strikes.,S,L,L,MIN,TB,B,,,0,2,2023,0.26,1.7,-1.73,1.41,,,,0,7,Top,,,,,,,-4.978332894410565,-134.3859519376324,-10.325789740281216,4.266069111111485,29.45585768446345,-9.49862833125344,3.47,1.59,,,,92.4,2336,6.3,719027,543877,608336,571657,650489,519303,624503,572191,664247,54.17,,,,,,,,52,3,4-Seam Fastball,5,2,2,5,2,5,2,5,,,164,0.0,0.024,,,,-0.024,,3,-3,0.902,0.098,36,19,36,20,1,0,,,,,0.97,0.26,0.26,
ST,2023-03-21,80.3,0.53,6.12,"Thielbar, Caleb",694181,573204,,called_strike,,,,,2,Carlos Colmenarez called out on strikes.,S,L,L,MIN,TB,S,,,0,1,2023,-0.92,-0.01,-0.17,2.93,,,,0,7,Top,,,,,,,0.1855420627800774,-116.93315120748838,-0.323576213175223,-8.434813421487096,23.920080963446637,-32.422971043608854,3.47,1.59,,,,80.0,2533,6.2,719027,543877,608336,571657,650489,519303,624503,572191,664247,54.28,,,,,,,,52,2,Sweeper,5,2,2,5,2,5,2,5,,,310,0.0,-0.054,,,,0.054,,3,-3,0.902,0.098,36,19,36,20,1,0,,,,,3.56,-0.92,-0.92,
