pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2023-03-27,,,,"Pelham, CD",679754,641962,field_out,hit_into_play,,,,,,Alberto Rodriguez pops out to shortstop Chase Valentine.,S,L,L,SEA,SD,X,6,popup,0,0,2023,,,,,,,642134,2,9,Bot,128.28,124.96,,,,,,,,,,,,,,,,,,,718924,664954,665776,685341,641323,701106,670128,640492,621311,,,,0.0,,0,0,,73,1,,2,4,2,4,4,2,2,4,,,,-0.044,-0.286,,,,0.286,,-2,-2,0.044,0.044,28,22,28,23,1,1,,,,,,,,
,2023-03-27,,,,"Hader, Josh",679754,623352,walk,ball,,,,,,Alberto Rodriguez walks.,S,L,L,SEA,SD,B,,,3,0,2023,,,,,,,,1,7,Bot,,,,,,,,,,,,,,,,,,,,,718924,664954,665776,685341,641323,701106,670128,640492,621311,,,,0.7,,0,0,,53,4,,2,3,2,3,3,2,2,3,,,,0.055,0.173,,,,-0.173,,-1,-1,0.305,0.305,29,22,29,23,1,0,,,,,,,,
,2023-03-27,,,,"Hader, Josh",679754,623352,,ball,,,,,,Alberto Rodriguez walks.,S,L,L,SEA,SD,B,,,2,0,2023,,,,,,,,1,7,Bot,,,,,,,,,,,,,,,,,,,,,718924,664954,665776,685341,641323,701106,670128,640492,621311,,,,,,,,,53,3,,2,3,2,3,3,2,2,3,,,,0.0,0.142,,,,-0.142,,-1,-1,0.305,0.305,29,22,29,23,1,0,,,,,,,,
,2023-03-27,,,,"Hader, Josh",679754,623352,,ball,,,,,,Alberto Rodriguez walks.,S,L,L,SEA,SD,B,,,1,0,2023,,,,,,,,1,7,Bot,,,,,,,,,,,,,,,,,,,,,718924,664954,665776,685341,641323,701106,670128,640492,621311,,,,,,,,,53,2,,2,3,2,3,3,2,2,3,,,,0.0,0.066,,,,-0.066,,-1,-1,0.305,0.305,29,22,29,23,1,0,,,,,,,,
,2023-03-27,,,,"Hader, Josh",679754,623352,,ball,,,,,,Alberto Rodriguez walks.,S,L,L,SEA,SD,B,,,0,0,2023,,,,,,,,1,7,Bot,,,,,,,,,,,,,,,,,,,,,718924,664954,665776,685341,641323,701106,670128,640492,621311,,,,,,,,,53,1,,2,3,2,3,3,2,2,3,,,,0.0,0.039,,,,-0.039,,-1,-1,0.305,0.305,29,22,29,23,1,0,,,,,,,,
,2023-03-26,,,,"Sanchez, Jake",679754,644425,field_out,hit_into_play,,,,,,Alberto Rodriguez grounds out to first baseman Taylor Kohlwey.   Cooper Hummel to 3rd.,S,L,R,SD,SEA,X,3,ground_ball,1,0,2023,,,,,,669450,,1,9,Top,154.93,165.82,,,,,,,,,,,,,,,,,,,718940,664954,670128,656734,641525,673490,621005,621311,596059,,,,0.0,,0,0,,74,2,,5,5,5,5,5,5,5,5,,,,0.075,-0.31,,,,0.31,,0,0,0.438,0.562,33,22,34,23,1,1,,,,,,,,
,2023-03-26,,,,"Sanchez, Jake",679754,644425,,ball,,,,,,Alberto Rodriguez grounds out to first baseman Taylor Kohlwey.   Cooper Hummel to 3rd.,S,L,R,SD,SEA,B,,,0,0,2023,,,,,,,669450,1,9,Top,,,,,,,,,,,,,,,,,,,,,718940,664954,670128,656734,641525,673490,621005,621311,596059,,,,,,,,,74,1,,5,5,5,5,5,5,5,5,,,,-0.06,0.036,,,,-0.036,,0,0,0.498,0.502,33,22,34,23,1,1,,,,,,,,
,2023-03-26,,,,"Wilson, Steven",679754,621051,field_out,hit_into_play,,,,,,Alberto Rodriguez flies out to right fielder Rougned Odor.,S,L,R,SD,SEA,X,9,fly_ball,0,0,2023,,,,,,,669450,0,7,Top,204.61,103.89,,,,,,,,,,,,,,,,,,,718940,664954,670128,656734,641525,673490,621005,621311,596059,,,,0.0,,0,0,,57,1,,5,4,4,5,4,5,4,5,,,,0.065,-0.241,,,,0.241,,1,-1,0.629,0.371,28,22,29,23,1,0,,,,,,,,
,2023-03-25,,,,"Bivens, Spencer",679754,702352,home_run,hit_into_play,,,,,,Alberto Rodriguez homers (2) on a fly ball to right center field.    Delino DeShields scores.    Leonardo Rivas scores.,S,L,R,SF,SEA,X,,fly_ball,0,1,2023,,,,,,592261,660844,2,9,Top,170.31,17.7,,,,,,,,,,,,,,,,,,,718954,642851,676847,665154,666149,669717,682641,682266,665998,,,,2.0,,0,3,,81,2,,7,1,1,7,4,7,4,7,,,,-0.003,1.692,,,,-1.692,,6,-6,0.999,0.001,29,22,29,23,1,0,,,,,,,,
,2023-03-25,,,,"Bivens, Spencer",679754,702352,,called_strike,,,,,,Alberto Rodriguez homers (2) on a fly ball to right center field.    Delino DeShields scores.    Leonardo Rivas scores.,S,L,R,SF,SEA,S,,,0,0,2023,,,,,,592261,660844,2,9,Top,,,,,,,,,,,,,,,,,,,,,718954,642851,676847,665154,666149,669717,682641,682266,665998,,,,,,,,,81,1,,7,1,1,7,1,7,1,7,,,,0.0,-0.04,,,,0.04,,6,-6,0.999,0.001,29,22,29,23,1,0,,,,,,,,
,2023-03-19,,,,"Littell, Zack",679754,641793,strikeout,called_strike,,,,,,Alberto Rodriguez called out on strikes.,S,L,R,TEX,SEA,S,2,,0,2,2023,,,,,,,,1,9,Top,,,,,,,,,,,,,,,,,,,,,719042,641598,660294,680890,673995,677649,609274,608671,663411,,,,0.0,,0,0,,69,3,,2,1,1,2,1,2,1,2,,,,0.052,-0.17,,,,0.17,,1,-1,0.913,0.087,27,22,28,23,1,0,,,,,,,,
,2023-03-19,,,,"Littell, Zack",679754,641793,,called_strike,,,,,,Alberto Rodriguez called out on strikes.,S,L,R,TEX,SEA,S,,,0,1,2023,,,,,,,,1,9,Top,,,,,,,,,,,,,,,,,,,,,719042,641598,660294,680890,673995,677649,609274,608671,663411,,,,,,,,,69,2,,2,1,1,2,1,2,1,2,,,,0.0,-0.057,,,,0.057,,1,-1,0.913,0.087,27,22,28,23,1,0,,,,,,,,
,2023-03-19,,,,"Littell, Zack",679754,641793,,called_strike,,,,,,Alberto Rodriguez called out on strikes.,S,L,R,TEX,SEA,S,,,0,0,2023,,,,,,,,1,9,Top,,,,,,,,,,,,,,,,,,,,,719042,641598,660294,680890,673995,677649,609274,608671,663411,,,,,,,,,69,1,,2,1,1,2,1,2,1,2,,,,0.0,-0.041,,,,0.041,,1,-1,0.913,0.087,27,22,28,23,1,0,,,,,,,,
