pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2023-10-01,91.5,-2.37,5.57,"Reyes, Denyi",642215,660593,field_out,hit_into_play,,,,,5,"Weston Wilson grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.   Garrett Stubbs to 3rd.    Cristian Pache to 2nd.",R,R,R,NYM,PHI,X,6,ground_ball,3,2,2023,-1.29,0.61,-0.1,2.83,,596117,665506,0,9,Top,107.82,148.44,,,,,8.58002968831969,-132.85047477868733,-2.2923898899651927,-17.122340156836593,30.90990337845342,-24.658709656498928,3.59,1.63,9,76.4,-17,91.9,1731,6.8,716355,605421,624413,677595,683146,596019,641796,542364,621466,53.66,0.074,0.071,0.0,1,0,0,2,65,6,Sinker,1,5,5,1,5,1,5,1,Standard,Standard,235,0.0,-0.366,70.7,6.8,0.095,0.366,88.0,-4,4,0.008,0.992,26,28,27,29,2,1,32,1,,,2.14,1.29,1.29,35.1
SI,2023-10-01,91.4,-2.42,5.61,"Reyes, Denyi",642215,660593,,foul,,,,,8,"Weston Wilson grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.   Garrett Stubbs to 3rd.    Cristian Pache to 2nd.",R,R,R,NYM,PHI,S,,,3,1,2023,-1.33,0.46,-0.19,2.14,,596117,665506,0,9,Top,,,,,,,8.57530114857632,-132.67559273331895,-3.7934312093296567,-17.624523382314653,31.810364039190254,-26.10647526803272,3.59,1.63,,,,91.8,1803,6.9,716355,605421,624413,677595,683146,596019,641796,542364,621466,53.56,,,,,,,,65,5,Sinker,1,5,5,1,5,1,5,1,Standard,Standard,230,0.0,-0.111,76.5,8.4,,0.111,,-4,4,0.008,0.992,26,28,27,29,2,1,32,1,,,2.31,1.33,1.33,35.0
FF,2023-10-01,91.9,-2.14,5.88,"Reyes, Denyi",642215,660593,,ball,,,,,12,"Weston Wilson grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.   Garrett Stubbs to 3rd.    Cristian Pache to 2nd.",R,R,R,NYM,PHI,B,,,2,1,2023,-0.89,1.15,1.07,4.83,,596117,665506,0,9,Top,,,,,,,10.118036244264555,-133.39572180883513,0.797618592464443,-12.90759039608231,31.985843657679627,-18.9970922308682,3.76,1.63,,,,91.9,2183,6.7,716355,605421,624413,677595,683146,596019,641796,542364,621466,53.79,,,,,,,,65,4,4-Seam Fastball,1,5,5,1,5,1,5,1,Standard,Standard,222,0.0,0.131,,,,-0.131,,-4,4,0.008,0.992,26,28,27,29,2,1,32,1,,,1.59,0.89,0.89,37.5
SL,2023-10-01,80.0,-2.56,5.59,"Reyes, Denyi",642215,660593,,ball,,,,,14,"Weston Wilson grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.   Garrett Stubbs to 3rd.    Cristian Pache to 2nd.",R,R,R,NYM,PHI,B,,,1,1,2023,1.51,-0.17,1.37,2.55,,596117,665506,0,9,Top,,,,,,,5.837173636633917,-116.18798659549546,0.5304914268422012,12.151644194061523,26.6474161695551,-34.12275531062828,3.59,1.58,,,,79.7,1972,6.7,716355,605421,624413,677595,683146,596019,641796,542364,621466,53.82,,,,,,,,65,3,Slider,1,5,5,1,5,1,5,1,Standard,Standard,67,0.0,0.052,,,,-0.052,,-4,4,0.008,0.992,26,28,27,29,2,1,32,1,,,3.82,-1.51,-1.51,36.3
SI,2023-10-01,91.1,-2.38,5.65,"Reyes, Denyi",642215,660593,,foul,,,,,4,"Weston Wilson grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.   Garrett Stubbs to 3rd.    Cristian Pache to 2nd.",R,R,R,NYM,PHI,S,,,1,0,2023,-1.37,0.64,-0.82,2.27,,596117,665506,0,9,Top,,,,,,,6.960173385698053,-132.3670793527308,-3.963879261693723,-17.667151336727954,29.79828056001917,-23.99391798519235,3.59,1.63,6,75.1,-21,91.7,1905,6.9,716355,605421,624413,677595,683146,596019,641796,542364,621466,53.63,,,,,,,,65,2,Sinker,1,5,5,1,5,1,5,1,Standard,Standard,228,0.0,-0.055,75.1,8.0,,0.055,88.0,-4,4,0.008,0.992,26,28,27,29,2,1,32,1,,,2.13,1.37,1.37,33.6
SI,2023-10-01,92.2,-2.6,5.6,"Reyes, Denyi",642215,660593,,ball,,,,,7,"Weston Wilson grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.   Garrett Stubbs to 3rd.    Cristian Pache to 2nd.",R,R,R,NYM,PHI,B,,,0,0,2023,-1.41,0.51,-0.57,1.65,,596117,665506,0,9,Top,,,,,,,8.294560575261006,-133.95367177053294,-5.3174198107696515,-18.773768163747,30.64917255991121,-25.001631032548936,3.59,1.6,,,,92.8,1985,6.8,716355,605421,624413,677595,683146,596019,641796,542364,621466,53.66,,,,,,,,65,1,Sinker,1,5,5,1,5,1,5,1,Standard,Standard,230,0.0,0.042,,,,-0.042,,-4,4,0.008,0.992,26,28,27,29,2,1,32,1,,,2.19,1.41,1.41,36.7
SI,2023-10-01,91.0,-2.43,5.62,"Reyes, Denyi",642215,660593,single,hit_into_play,,,,,4,Weston Wilson singles on a soft ground ball to catcher Michael Perez.,R,R,R,NYM,PHI,X,2,ground_ball,0,1,2023,-1.65,0.93,-0.51,2.51,,,,0,8,Top,119.6,196.73,,,,,8.426638066929033,-132.1604402782179,-3.856013860722898,-21.148242915758324,30.04520541239402,-20.621707291724437,3.59,1.63,1,44.0,-65,91.4,2056,6.8,716355,605421,624413,677595,683146,596019,641796,542364,621466,53.72,0.26,0.252,0.9,1,1,0,1,53,2,Sinker,1,2,2,1,2,1,2,1,Standard,Standard,226,-0.033,0.474,68.7,6.5,0.266,-0.474,88.0,-1,1,0.247,0.753,26,28,27,29,1,0,32,1,,,1.85,1.65,1.65,32.6
SI,2023-10-01,90.4,-2.45,5.68,"Reyes, Denyi",642215,660593,,foul,,,,,11,Weston Wilson singles on a soft ground ball to catcher Michael Perez.,R,R,R,NYM,PHI,S,,,0,0,2023,-1.54,0.77,-1.0,2.88,,,,0,8,Top,,,,,,,6.935695193059343,-131.41858864261502,-2.6032869664374436,-19.307241030391435,31.440803904652753,-22.902054533634956,3.59,1.63,58,51.7,8,90.3,1896,6.6,716355,605421,624413,677595,683146,596019,641796,542364,621466,53.9,,,,,,,,53,1,Sinker,1,2,2,1,2,1,2,1,Standard,Standard,232,0.0,-0.042,70.1,7.4,,0.042,88.0,-1,1,0.247,0.753,26,28,27,29,1,0,32,1,,,2.05,1.54,1.54,32.9
FC,2023-09-30,89.0,-2.37,5.51,"Garrett, Reed",642215,657585,field_out,hit_into_play,,,,,5,Weston Wilson flies out to left fielder Tim Locastro.,R,R,R,NYM,PHI,X,7,fly_ball,0,0,2023,0.44,0.36,-0.17,2.74,,607208,592206,2,7,Top,78.64,125.12,,,,,4.453999882500217,-129.56503731634248,-1.5153991265477842,4.028327981185905,27.86593818655361,-27.975465152218693,3.49,1.6,219,72.6,49,88.7,2341,6.1,716393,682626,668901,677595,683146,596019,641796,542364,621466,54.37,0.126,0.125,0.0,1,0,0,3,66,1,Cutter,11,4,4,11,4,11,4,11,Standard,Standard,163,0.003,-0.295,71.0,7.7,0.162,0.295,88.0,7,-7,0.994,0.006,30,28,30,29,1,3,7,0,,1,2.52,-0.44,-0.44,39.4
FF,2023-09-30,93.4,-2.28,5.02,"Bickford, Phil",642215,641360,strikeout,called_strike,,,,,14,Weston Wilson called out on strikes.,R,R,R,NYM,PHI,S,2,,0,2,2023,-0.74,1.38,0.83,2.03,,,624641,1,5,Top,,,,,,,9.7553224891648,-135.58393298915834,-4.943721529586015,-11.376353591953556,32.7070273310054,-14.272739729902463,3.74,1.73,,,,94.0,2232,7.0,716393,682626,668901,677595,683146,596019,641796,542364,621466,53.48,,0.0,0.0,1,0,0,,48,3,4-Seam Fastball,10,4,4,10,4,10,4,10,Standard,Standard,216,0.009,-0.16,,,,0.16,,6,-6,0.966,0.034,27,28,28,29,1,2,3,0,,1,1.27,0.74,0.74,28.8
