pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-03-26,95.4,-2.36,5.91,"Santana, Dennis",673476,642701,field_out,hit_into_play,,,,,8,"Norel Gonzalez grounds out, second baseman Cesar Berbesi to first baseman Dariel Gomez.",S,L,R,NYM,MIA,X,4,ground_ball,1,1,2023,-1.3,1.15,0.16,1.8,,,,1,8,Top,155.97,150.61,,,,,9.507115791262525,-138.49417293250582,-7.741216434115859,-18.85418430322862,28.890856146862788,-15.749125594413478,3.41,1.56,83,108.7,3,95.2,,6.2,718944,658652,649810,682452,683493,699305,641796,607043,672361,54.33,0.623,,0.0,,0,0,4,60,3,4-Seam Fastball,3,3,3,3,3,3,3,3,Infield shade,Standard,,0.034,-0.257,,,0.703,0.257,108.7,0,0,0.546,0.454,27,29,27,29,1,3,,,,,1.35,1.3,-1.3,
SI,2023-03-26,86.5,-2.75,5.84,"Santana, Dennis",673476,642701,,swinging_strike,,,,,14,"Norel Gonzalez grounds out, second baseman Cesar Berbesi to first baseman Dariel Gomez.",S,L,R,NYM,MIA,S,,,1,0,2023,-1.58,0.84,0.18,1.07,,,,1,8,Top,,,,,,,10.200179453318716,-125.49301797854562,-6.882642843623825,-18.677797356400948,22.92526591460741,-22.115860237857017,3.41,1.56,,,,86.7,,6.4,718944,658652,649810,682452,683493,699305,641796,607043,672361,54.12,,,,,,,,60,2,Sinker,3,3,3,3,3,3,3,3,Infield shade,Standard,,0.0,-0.05,,,,0.05,,0,0,0.546,0.454,27,29,27,29,1,3,,,,,2.21,1.58,-1.58,
FF,2023-03-26,96.2,-2.48,5.9,"Santana, Dennis",673476,642701,,ball,,,,,13,"Norel Gonzalez grounds out, second baseman Cesar Berbesi to first baseman Dariel Gomez.",S,L,R,NYM,MIA,B,,,0,0,2023,-1.17,1.17,-0.01,1.35,,,,1,8,Top,,,,,,,9.132500353747975,-139.65423366933405,-9.102234790435036,-17.318105291753987,28.602490657421693,-14.96654286420068,3.41,1.56,,,,95.9,,6.0,718944,658652,649810,682452,683493,699305,641796,607043,672361,54.47,,,,,,,,60,1,4-Seam Fastball,3,3,3,3,3,3,3,3,Infield shade,Standard,,0.0,0.039,,,,-0.039,,0,0,0.546,0.454,27,29,27,29,1,3,,,,,1.28,1.17,-1.17,
SL,2023-03-26,87.2,-1.59,7.12,"Verlander, Justin",673476,434378,field_out,hit_into_play,,,,,7,"Norel Gonzalez grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.",S,L,R,NYM,MIA,X,6,ground_ball,3,2,2023,0.17,0.45,-0.3,1.53,,,641779,2,5,Top,135.37,145.16,,,,,2.721955389511713,-126.91475002255784,-8.269272094252726,1.4247388997878452,21.389644812690925,-26.04405780075661,3.41,1.56,3,68.3,-30,87.5,,6.1,718944,553882,624413,643446,500871,596019,592192,607043,516782,54.44,0.049,,0.0,,0,0,2,40,7,Slider,2,3,3,2,3,2,3,2,Infield shade,Standard,,0.025,-0.305,,,0.051,0.305,88.0,-1,1,0.382,0.618,40,29,40,29,3,2,,,,,2.51,-0.17,0.17,
FF,2023-03-26,93.9,-1.4,7.09,"Verlander, Justin",673476,434378,,foul,,,,,3,"Norel Gonzalez grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.",S,L,R,NYM,MIA,S,,,3,2,2023,-0.65,1.59,0.4,3.27,,,641779,2,5,Top,,,,,,,6.0823809933882655,-136.57761606950754,-7.717847923019669,-9.381219420739182,27.949189255707168,-10.735843736978362,3.41,1.56,4,89.4,-39,93.9,,6.1,718944,553882,624413,643446,500871,596019,592192,607043,516782,54.36,,,,,,,,40,6,4-Seam Fastball,2,3,3,2,3,2,3,2,Infield shade,Standard,,0.0,0.0,,,,0.0,89.4,-1,1,0.382,0.618,40,29,40,29,3,2,,,,,0.98,0.65,-0.65,
FF,2023-03-26,93.2,-1.43,7.1,"Verlander, Justin",673476,434378,,called_strike,,,,,3,"Norel Gonzalez grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.",S,L,R,NYM,MIA,S,,,3,1,2023,-0.44,1.58,0.76,3.04,,,641779,2,5,Top,,,,,,,6.553301377558389,-135.40782010822875,-8.13348745454652,-6.783701002205213,28.3502684298673,-11.112437105994667,3.41,1.56,83,,,93.0,,6.1,718944,553882,624413,643446,500871,596019,592192,607043,516782,54.36,,,,,,,,40,5,4-Seam Fastball,2,3,3,2,3,2,3,2,Infield shade,Standard,,0.0,-0.094,,,,0.094,88.0,-1,1,0.382,0.618,40,29,40,29,3,2,,,,,1.04,0.44,-0.44,
SL,2023-03-26,87.2,-1.63,7.05,"Verlander, Justin",673476,434378,,ball,,,,,14,"Norel Gonzalez grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.",S,L,R,NYM,MIA,B,,,2,1,2023,0.03,0.55,0.68,0.91,,,641779,2,5,Top,,,,,,,5.48313612004542,-126.76167327604536,-9.801414340955388,-0.5989218273338488,21.06080533562938,-24.650936269686863,3.41,1.56,,,,87.7,,6.2,718944,553882,624413,643446,500871,596019,592192,607043,516782,54.26,,,,,,,,40,4,Slider,2,3,3,2,3,2,3,2,Standard,Standard,,0.0,0.097,,,,-0.097,,-1,1,0.382,0.618,40,29,40,29,3,2,,,,,2.41,-0.03,0.03,
SL,2023-03-26,87.6,-1.58,7.04,"Verlander, Justin",673476,434378,,ball,,,,,8,"Norel Gonzalez grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.",S,L,R,NYM,MIA,B,,,1,1,2023,0.04,0.83,-0.03,1.46,,,641779,2,5,Top,,,,,,,3.636500829087056,-127.34012609730284,-9.036374755236617,-0.3303037510174829,25.682390097961395,-21.44804395105594,3.41,1.56,,,,87.3,,6.1,718944,553882,624413,643446,500871,596019,592192,607043,516782,54.37,,,,,,,,40,3,Slider,2,3,3,2,3,2,3,2,Infield shade,Standard,,0.0,0.036,,,,-0.036,,-1,1,0.382,0.618,40,29,40,29,3,2,,,,,2.14,-0.04,0.04,
SL,2023-03-26,87.6,-1.52,7.14,"Verlander, Justin",673476,434378,,foul_tip,,,,,4,"Norel Gonzalez grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.",S,L,R,NYM,MIA,S,,,1,0,2023,0.01,0.76,-0.53,2.72,,,641779,2,5,Top,,,,,,,2.3875451852754455,-127.6634299787026,-6.197048481637948,-0.3718067304798007,23.001004543527667,-22.84415776735746,3.41,1.56,,,,87.9,,6.1,718944,553882,624413,643446,500871,596019,592192,607043,516782,54.4,,,,,,,,40,2,Slider,2,3,3,2,3,2,3,2,Standard,Standard,,0.0,-0.05,,,,0.05,,-1,1,0.382,0.618,40,29,40,29,3,2,,,,,2.17,-0.01,0.01,
FF,2023-03-26,91.7,-1.6,7.13,"Verlander, Justin",673476,434378,,ball,,,,,11,"Norel Gonzalez grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.",S,L,R,NYM,MIA,B,,,0,0,2023,-0.61,1.6,-1.74,2.79,,,641779,2,5,Top,,,,,,,0.967367770983745,-133.45008142497144,-8.582046884820285,-7.563475544529894,26.003333985668338,-11.44006834161634,3.41,1.56,,,,91.6,,6.0,718944,553882,624413,643446,500871,596019,592192,607043,516782,54.49,,,,,,,,40,1,4-Seam Fastball,2,3,3,2,3,2,3,2,Infield shade,Standard,,0.0,0.03,,,,-0.03,,-1,1,0.382,0.618,40,29,40,29,3,2,,,,,1.09,0.61,-0.61,
