pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-03-28,79.0,-2.22,6.08,"Scherff, Alex",683500,669085,field_out,hit_into_play,,,,,8,Maikol Escotto flies out to center fielder Willie Joe Garry Jr.,S,R,R,PIT,MIN,X,8,fly_ball,0,0,2023,0.71,0.3,-0.02,1.73,,687206,,2,7,Bot,141.35,70.48,,,,,3.430780825374043,-114.97189162260284,-3.135717319255229,5.527624154828447,24.556343272684515,-29.116768197182076,3.3,1.5,321,88.9,41,78.2,2698,6.1,718923,547172,684576,802355,650489,668791,683735,681831,669702,54.44,0.006,,0.0,,0,0,3,56,1,Slider,5,3,5,3,3,5,5,3,,,47,-0.017,-0.295,,,0.01,0.295,88.9,2,2,0.887,0.887,25,21,25,21,1,1,,,,,3.4,-0.71,-0.71,
SL,2023-03-28,85.2,-2.08,4.7,"Brink, Jordan",683500,656259,walk,blocked_ball,,,,,13,Maikol Escotto walks.   Austin Hedges to 2nd.,S,R,R,PIT,MIN,B,,,3,2,2023,-0.15,0.16,-0.78,0.56,,,595978,0,6,Bot,,,,,,,3.3275529653599007,-124.05381110802024,-3.7185938683822695,-2.1804364342861713,25.486647766320676,-29.975082541030368,3.3,1.5,,,,84.6,2172,5.9,718923,547172,684576,802355,650489,668791,683735,681831,669702,54.59,,,0.7,,0,0,,42,7,Slider,1,2,1,2,2,1,1,2,Standard,Standard,176,0.09,0.311,,,,-0.311,,-1,-1,0.451,0.451,30,21,30,21,1,0,,,,,2.98,0.15,0.15,
FF,2023-03-28,94.5,-1.69,5.48,"Brink, Jordan",683500,656259,,ball,,,,,11,Maikol Escotto walks.   Austin Hedges to 2nd.,S,R,R,PIT,MIN,B,,,2,2,2023,-0.82,1.28,-1.56,3.47,,,595978,0,6,Bot,,,,,,,2.1552049045752124,-137.55464487182869,-2.380623831773014,-10.91922500542716,31.895342305379447,-15.605430896710349,3.3,1.5,,,,93.8,2284,5.9,718923,547172,684576,802355,650489,668791,683735,681831,669702,54.56,,,,,,,,42,6,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,212,0.0,0.088,,,,-0.088,,-1,-1,0.451,0.451,30,21,30,21,1,0,,,,,1.28,0.82,0.82,
CH,2023-03-28,86.0,-2.04,4.75,"Brink, Jordan",683500,656259,,foul,,,,,14,Maikol Escotto walks.   Austin Hedges to 2nd.,S,R,R,PIT,MIN,S,,,2,2,2023,-1.08,-0.05,0.28,1.28,,,595978,0,6,Bot,,,,,,,7.685026791144184,-125.0168159722596,-1.8423984453019904,-12.884426092929113,25.98329936716446,-32.57007023637884,3.3,1.5,1,58.1,-51,85.7,1365,6.2,718923,547172,684576,802355,650489,668791,683735,681831,669702,54.28,,,,,,,,42,5,Changeup,1,2,1,2,2,1,1,2,Standard,Standard,251,0.0,0.0,,,,0.0,88.0,-1,-1,0.451,0.451,30,21,30,21,1,0,,,,,3.15,1.08,1.08,
SL,2023-03-28,84.2,-2.13,4.74,"Brink, Jordan",683500,656259,,ball,,,,,11,Maikol Escotto walks.   Austin Hedges to 2nd.,S,R,R,PIT,MIN,B,,,1,2,2023,0.09,0.19,-1.1,2.49,,,595978,0,6,Bot,,,,,,,2.20821029882593,-122.64386440708272,0.7696759748856914,0.4970750280605103,24.16664525216018,-30.651962094613797,3.3,1.5,,,,83.9,2079,6.0,718923,547172,684576,802355,650489,668791,683735,681831,669702,54.45,,,,,,,,42,4,Slider,1,2,1,2,2,1,1,2,Standard,Standard,150,0.0,0.045,,,,-0.045,,-1,-1,0.451,0.451,30,21,30,21,1,0,,,,,3.02,-0.09,-0.09,
SL,2023-03-28,85.6,-2.19,4.6,"Brink, Jordan",683500,656259,,blocked_ball,,,,,13,Maikol Escotto walks.   Austin Hedges to 2nd.,S,R,R,PIT,MIN,B,,,0,2,2023,-0.22,0.05,-0.13,0.83,,,595978,0,6,Bot,,,,,,,5.2942391271790115,-124.51915955910984,-2.7004974278250975,-3.420291488046061,25.591858558829376,-31.346160981114625,3.3,1.5,,,,85.4,2266,6.2,718923,547172,684576,802355,650489,668791,683735,681831,669702,54.3,,,,,,,,42,3,Slider,1,2,1,2,2,1,1,2,Standard,Standard,203,0.0,0.008,,,,-0.008,,-1,-1,0.451,0.451,30,21,30,21,1,0,,,,,3.07,0.22,0.22,
FF,2023-03-28,95.3,-1.72,5.45,"Brink, Jordan",683500,656259,,called_strike,,,,,8,Maikol Escotto walks.   Austin Hedges to 2nd.,S,R,R,PIT,MIN,S,,,0,1,2023,-0.78,1.32,-0.19,1.61,,,595978,0,6,Bot,,,,,,,5.745172388075854,-138.53360883874925,-7.333403770613283,-11.316418171397377,33.07512521581992,-13.74646314202652,3.3,1.5,,,,94.5,2363,6.0,718923,547172,684576,802355,650489,668791,683735,681831,669702,54.45,,,,,,,,42,2,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,214,0.0,-0.043,,,,0.043,,-1,-1,0.451,0.451,30,21,30,21,1,0,,,,,1.21,0.78,0.78,
SL,2023-03-28,83.6,-2.27,4.75,"Brink, Jordan",683500,656259,,called_strike,,,,,4,Maikol Escotto walks.   Austin Hedges to 2nd.,S,R,R,PIT,MIN,S,,,0,0,2023,-0.06,0.03,-0.38,2.35,,,595978,0,6,Bot,,,,,,,4.455704468123942,-121.62786584537696,0.8812104256730173,-1.5206502073087989,25.52925393191943,-32.31713598042524,3.3,1.5,,,,83.1,2098,6.1,718923,547172,684576,802355,650489,668791,683735,681831,669702,54.4,,,,,,,,42,1,Slider,1,2,1,2,2,1,1,2,Standard,Standard,56,0.0,-0.036,,,,0.036,,-1,-1,0.451,0.451,30,21,30,21,1,0,,,,,3.25,0.06,0.06,
FF,2023-03-27,92.6,1.5,6.75,"Boyle, Michael",683500,664082,home_run,hit_into_play,,,,,8,Maikol Escotto homers (1) on a fly ball to right center field.    Jase Bowen scores.    Yordany De Los Santos scores.,S,R,L,MIN,PIT,X,,fly_ball,1,0,2023,0.99,1.45,0.06,2.08,687749,,703154,1,9,Top,182.64,45.52,,,,,-5.773584953503848,-134.5040630969452,-9.196903119272257,13.305753840394646,27.527851103069928,-12.758373110540797,3.37,1.53,404,104.2,29,91.8,2279,5.8,718930,547172,680799,668882,696160,684922,693459,681831,669702,54.71,0.877,,2.0,,0,3,6,76,2,4-Seam Fastball,8,1,1,8,4,8,4,8,,,143,-0.003,1.134,,,3.415,-1.134,104.2,7,-7,0.998,0.002,29,21,29,21,1,0,,,,,1.2,0.99,-0.99,
SL,2023-03-27,86.6,1.83,6.65,"Boyle, Michael",683500,664082,,ball,,,,,13,Maikol Escotto homers (1) on a fly ball to right center field.    Jase Bowen scores.    Yordany De Los Santos scores.,S,R,L,MIN,PIT,B,,,0,0,2023,-0.09,0.42,-1.03,0.27,687749,,703154,1,9,Top,,,,,,,-6.603729085275078,-125.80144223246664,-9.87225617424272,0.2374060287934437,23.59241502022684,-25.95726818638241,3.37,1.53,,,,86.2,2309,6.0,718930,547172,680799,668882,696160,684922,693459,681831,669702,54.51,,,,,,,,76,1,Slider,8,1,1,8,1,8,1,8,,,171,0.0,0.041,,,,-0.041,,7,-7,0.998,0.002,29,21,29,21,1,0,,,,,2.61,-0.09,0.09,
