pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FC,2023-03-25,91.0,-1.92,5.45,"Sharpe, Davis",680693,681571,walk,ball,,,,,14,Grant Lavigne walks.,S,L,R,COL,CLE,B,,,3,2,2023,-0.1,0.94,1.54,1.12,,,,0,9,Bot,,,,,,,8.964693891700145,-132.19216236642248,-7.06728338676161,-3.0242249373906676,26.82421825666258,-19.769289600280473,3.4,1.69,,,,92.0,2246,6.9,718957,650619,681807,800145,694199,686798,687086,686659,805865,53.64,,,0.7,,0,0,,66,6,Cutter,1,4,1,4,4,1,1,4,Strategic,Standard,212,0.045,0.347,,,,-0.347,,-3,-3,0.038,0.038,23,23,23,24,1,0,,,,,1.81,0.1,-0.1,
FC,2023-03-25,85.7,-1.81,5.39,"Sharpe, Davis",680693,681571,,swinging_strike,,,,,9,Grant Lavigne walks.,S,L,R,COL,CLE,S,,,3,1,2023,0.49,0.27,0.66,1.71,,,,0,9,Bot,,,,,,,4.878646021488278,-124.76514442669074,-3.0355762366757917,4.215827472447642,23.036816320554557,-28.937198270488757,3.55,1.63,,,,86.7,2621,6.7,718957,650619,681807,800145,694199,686798,687086,686659,805865,53.8,,,,,,,,66,5,Cutter,1,4,1,4,4,1,1,4,Strategic,Standard,148,0.0,-0.088,,,,0.088,,-3,-3,0.038,0.038,23,23,23,24,1,0,,,,,2.81,-0.49,0.49,
FC,2023-03-25,86.6,-1.88,5.43,"Sharpe, Davis",680693,681571,,ball,,,,,14,Grant Lavigne walks.,S,L,R,COL,CLE,B,,,2,1,2023,0.66,0.23,0.48,1.25,,,,0,9,Bot,,,,,,,4.329249215157814,-126.18326135104464,-4.34891210914477,6.292034091866898,24.14409821692808,-29.02666325135055,3.42,1.7,,,,87.8,2606,6.8,718957,650619,681807,800145,694199,686798,687086,686659,805865,53.67,,,,,,,,66,4,Cutter,1,4,1,4,4,1,1,4,Strategic,Standard,152,0.0,0.129,,,,-0.129,,-3,-3,0.038,0.038,23,23,23,24,1,0,,,,,2.78,-0.66,0.66,
FC,2023-03-25,85.8,-1.89,5.42,"Sharpe, Davis",680693,681571,,swinging_strike,,,,,14,Grant Lavigne walks.,S,L,R,COL,CLE,S,,,2,0,2023,0.48,0.22,0.24,0.9,,,,0,9,Bot,,,,,,,4.110374401798895,-125.0345607155886,-4.9817804763810845,4.3474343610556545,22.357459584112316,-29.14264454205934,3.55,1.63,,,,87.0,2655,6.7,718957,650619,681807,800145,694199,686798,687086,686659,805865,53.75,,,,,,,,66,3,Cutter,1,4,1,4,4,1,1,4,Strategic,Standard,151,0.0,-0.065,,,,0.065,,-3,-3,0.038,0.038,23,23,23,24,1,0,,,,,2.84,-0.48,0.48,
FF,2023-03-25,91.0,-1.93,5.45,"Sharpe, Davis",680693,681571,,ball,,,,,9,Grant Lavigne walks.,S,L,R,COL,CLE,B,,,1,0,2023,-0.41,1.16,0.47,1.7,,,,0,9,Bot,,,,,,,6.9535614264806105,-132.38654706543676,-6.07221019349762,-6.227292953424776,26.887970190120452,-17.380881566219326,3.45,1.72,,,,92.1,2283,6.9,718957,650619,681807,800145,694199,686798,687086,686659,805865,53.64,,,,,,,,66,2,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,212,0.0,0.071,,,,-0.071,,-3,-3,0.038,0.038,23,23,23,24,1,0,,,,,1.58,0.41,-0.41,
SI,2023-03-22,94.4,-2.67,5.85,"Armstrong, Ivan",680693,678371,walk,ball,,,,,11,Grant Lavigne walks.,S,L,R,COL,LAA,B,,,3,1,2023,-1.6,0.59,-0.07,4.08,677647,,,2,8,Bot,,,,,,,10.421932161767964,-137.16291349533844,-0.2004673034447922,-22.480796993124308,30.22827669667749,-24.897409182687536,3.51,1.81,,,,95.2,1959,6.8,719010,595453,641945,694203,668577,623205,680396,677941,666176,53.65,,,0.7,,0,0,,76,5,Sinker,9,10,9,10,10,9,9,10,Standard,Standard,232,0.028,0.089,,,,-0.089,,-1,-1,0.27,0.27,22,23,23,24,1,0,,,,,1.97,1.6,-1.6,
SI,2023-03-22,95.6,-2.63,5.81,"Armstrong, Ivan",680693,678371,,ball,,,,,13,Grant Lavigne walks.,S,L,R,COL,LAA,B,,,2,1,2023,-1.55,0.62,-0.22,1.55,677647,,,2,8,Bot,,,,,,,9.977446089900369,-138.79118065848996,-7.064574336564322,-22.31039893420029,30.818104079632807,-22.7338491055123,3.55,1.79,,,,96.7,2019,7.0,719010,595453,641945,694203,668577,623205,680396,677941,666176,53.5,,,,,,,,76,4,Sinker,9,10,9,10,10,9,9,10,Standard,Standard,228,0.0,0.052,,,,-0.052,,-1,-1,0.27,0.27,22,23,23,24,1,0,,,,,1.89,1.55,-1.55,
SL,2023-03-22,83.9,-2.46,6.09,"Armstrong, Ivan",680693,678371,,blocked_ball,,,,,14,Grant Lavigne walks.,S,L,R,COL,LAA,B,,,1,1,2023,0.52,-0.14,0.7,0.71,677647,,,2,8,Bot,,,,,,,6.353129782568808,-121.99664472094658,-5.790371843913117,3.8912623131465214,24.390124578789703,-32.63702364572514,3.51,1.81,,,,84.8,2297,6.9,719010,595453,641945,694203,668577,623205,680396,677941,666176,53.57,,,,,,,,76,3,Slider,9,10,9,10,10,9,9,10,Standard,Standard,81,0.0,0.039,,,,-0.039,,-1,-1,0.27,0.27,22,23,23,24,1,0,,,,,3.39,-0.52,0.52,
SI,2023-03-22,94.6,-2.67,5.8,"Armstrong, Ivan",680693,678371,,foul,,,,,4,Grant Lavigne walks.,S,L,R,COL,LAA,S,,,1,0,2023,-1.54,0.57,-0.51,2.87,677647,,,2,8,Bot,,,,,,,9.165328042563283,-137.45930210103032,-3.239054625781359,-21.57692892840031,29.97032496614821,-24.38150521045263,3.55,1.63,108,81.0,7,95.4,2015,6.8,719010,595453,641945,694203,668577,623205,680396,677941,666176,53.7,,,,,,,,76,2,Sinker,9,10,9,10,10,9,9,10,Standard,Standard,235,0.0,-0.035,,,,0.035,88.0,-1,-1,0.27,0.27,22,23,23,24,1,0,,,,,1.98,1.54,-1.54,
SI,2023-03-22,94.9,-2.63,5.77,"Armstrong, Ivan",680693,678371,,ball,,,,,12,Grant Lavigne walks.,S,L,R,COL,LAA,B,,,0,0,2023,-1.25,0.82,1.14,3.79,677647,,,2,8,Bot,,,,,,,12.757635678739089,-137.70343527013938,-1.334208039516818,-18.662261886806803,29.438456418406105,-21.669327041083513,3.62,1.81,,,,95.8,1980,6.9,719010,595453,641945,694203,668577,623205,680396,677941,666176,53.61,,,,,,,,76,1,Sinker,9,10,9,10,10,9,9,10,Standard,Standard,231,0.0,0.028,,,,-0.028,,-1,-1,0.27,0.27,22,23,23,24,1,0,,,,,1.72,1.25,-1.25,
