pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-09-23,85.1,0.86,6.44,"Sousa, Bennett",680418,656986,field_out,hit_into_play,,,,,7,Tyler Cropley flies out to center fielder Jake Meyers.,R,R,L,HOU,KC,X,8,fly_ball,2,2,2023,0.05,0.31,-0.54,1.89,,,,0,7,Top,147.45,86.73,,,,,-3.413900192479775,-123.680658106081,-4.866884733557659,1.3450836128424817,28.59071878344097,-28.141006189126816,3.26,1.48,285,81.4,35,84.8,2233,6.5,716455,673237,547989,514888,608324,665161,676801,676694,663656,53.99,0.031,0.035,0.0,1,0,0,3,48,7,Slider,0,3,3,0,3,0,3,0,Standard,Standard,230,0.009,-0.239,67.7,6.9,0.056,0.239,88.0,-3,3,0.098,0.902,28,27,28,28,1,2,4,4,3,,2.89,0.05,-0.05,55.0
FF,2023-09-23,93.6,1.12,6.43,"Sousa, Bennett",680418,656986,,ball,,,,,12,Tyler Cropley flies out to center fielder Jake Meyers.,R,R,L,HOU,KC,B,,,1,2,2023,0.32,1.33,0.85,3.49,,,,0,7,Top,,,,,,,-1.4026002895788574,-136.20813917349588,-4.729524235255092,4.334864068082603,32.08168380678808,-14.872389564609495,3.49,1.73,,,,93.3,2201,6.3,716455,673237,547989,514888,608324,665161,676801,676694,663656,54.22,,,,,,,,48,6,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,153,0.0,0.046,,,,-0.046,,-3,3,0.098,0.902,28,27,28,28,1,2,4,4,3,,1.29,0.32,-0.32,46.5
SL,2023-09-23,85.7,0.96,6.47,"Sousa, Bennett",680418,656986,,foul,,,,,5,Tyler Cropley flies out to center fielder Jake Meyers.,R,R,L,HOU,KC,S,,,1,2,2023,0.07,0.33,-0.03,2.44,,,,0,7,Top,,,,,,,-2.500214969586714,-124.75079260365337,-3.8684367985427137,1.289762782376087,28.37613170337959,-28.11243769202045,3.26,1.48,155,67.0,30,85.8,2129,6.6,716455,673237,547989,514888,608324,665161,676801,676694,663656,53.85,,,,,,,,48,5,Slider,0,3,3,0,3,0,3,0,Standard,Standard,230,0.0,0.0,65.6,6.4,,0.0,88.0,-3,3,0.098,0.902,28,27,28,28,1,2,4,4,3,,2.8,0.07,-0.07,54.8
SL,2023-09-23,84.2,1.02,6.52,"Sousa, Bennett",680418,656986,,ball,,,,,12,Tyler Cropley flies out to center fielder Jake Meyers.,R,R,L,HOU,KC,B,,,0,2,2023,-0.2,0.25,0.59,3.83,,,,0,7,Top,,,,,,,-0.5925439007029742,-122.66713116119676,-0.3647198935049607,-1.8995489610098648,24.875779791211848,-29.81774072409475,3.47,1.56,,,,84.3,2149,6.3,716455,673237,547989,514888,608324,665161,676801,676694,663656,54.16,,,,,,,,48,4,Slider,0,3,3,0,3,0,3,0,Standard,Standard,240,0.0,0.024,,,,-0.024,,-3,3,0.098,0.902,28,27,28,28,1,2,4,4,3,,2.97,-0.2,0.2,52.9
SL,2023-09-23,84.2,0.87,6.46,"Sousa, Bennett",680418,656986,,foul,,,,,7,Tyler Cropley flies out to center fielder Jake Meyers.,R,R,L,HOU,KC,S,,,0,2,2023,-0.43,0.14,-0.49,1.99,,,,0,7,Top,,,,,,,-2.3246577353941293,-122.68257196096266,-4.327438151412986,-3.8659900414409942,24.13680686268228,-30.113317837900052,3.26,1.48,2,79.7,-36,85.0,2202,6.7,716455,673237,547989,514888,608324,665161,676801,676694,663656,53.8,,,,,,,,48,3,Slider,0,3,3,0,3,0,3,0,Standard,Standard,235,0.0,0.0,61.7,7.1,,0.0,88.0,-3,3,0.098,0.902,28,27,28,28,1,2,4,4,3,,3.06,-0.43,0.43,56.9
SL,2023-09-23,85.4,0.99,6.44,"Sousa, Bennett",680418,656986,,swinging_strike,,,,,13,Tyler Cropley flies out to center fielder Jake Meyers.,R,R,L,HOU,KC,S,,,0,1,2023,-0.24,0.04,-0.05,0.79,,,,0,7,Top,,,,,,,-1.9790422325472623,-124.14305154047292,-7.011421598006875,-1.9767878119037037,28.92118918942769,-30.401813866244066,3.26,1.48,,,,85.3,2192,6.7,716455,673237,547989,514888,608324,665161,676801,676694,663656,53.82,,,,,,,,48,2,Slider,0,3,3,0,3,0,3,0,Standard,Standard,202,0.0,-0.054,68.9,8.3,,0.054,,-3,3,0.098,0.902,28,27,28,28,1,2,4,4,3,,3.14,-0.24,0.24,53.0
FF,2023-09-23,93.5,1.18,6.44,"Sousa, Bennett",680418,656986,,foul,,,,,5,Tyler Cropley flies out to center fielder Jake Meyers.,R,R,L,HOU,KC,S,,,0,0,2023,0.63,1.45,0.03,2.64,,,,0,7,Top,,,,,,,-4.342613510994051,-135.90751364152234,-7.215271811162214,8.730479335012467,31.134444760566648,-12.844472887574476,3.26,1.48,205,72.8,46,93.4,2158,6.4,716455,673237,547989,514888,608324,665161,676801,676694,663656,54.09,,,,,,,,48,1,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,152,0.0,-0.042,67.8,6.6,,0.042,88.0,-3,3,0.098,0.902,28,27,28,28,1,2,4,4,3,,1.18,0.63,-0.63,47.9
FC,2023-09-23,87.0,-1.48,5.73,"France, J.P.",680418,641585,field_out,hit_into_play,,,,,3,Tyler Cropley flies out to left fielder Chas McCormick.,R,R,R,HOU,KC,X,7,fly_ball,2,2,2023,0.58,0.57,0.47,2.86,,686681,,2,4,Top,89.74,69.66,,,,,3.5066817680037663,-126.72084870908552,-1.932550834979062,5.564558117545702,24.30926680040436,-25.848592566610577,3.26,1.48,333,91.9,39,87.2,2749,6.2,716455,673237,547989,514888,608324,665161,676801,676694,663656,54.3,0.031,0.051,0.0,1,0,0,3,28,5,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,149,0.035,-0.22,67.8,7.4,0.088,0.22,91.9,-1,1,0.386,0.614,28,27,28,28,2,1,7,4,23,,2.42,-0.58,-0.58,42.2
FF,2023-09-23,92.9,-1.31,5.96,"France, J.P.",680418,641585,,ball,,,,,14,Tyler Cropley flies out to left fielder Chas McCormick.,R,R,R,HOU,KC,B,,,1,2,2023,0.09,1.39,1.89,2.21,,686681,,2,4,Top,,,,,,,7.905869573668819,-134.95539449374726,-6.787659164958818,-0.6903680560285341,30.047549110601395,-13.844343789301332,3.32,1.53,,,,91.8,2425,5.8,716455,673237,547989,514888,608324,665161,676801,676694,663656,54.71,,,,,,,,28,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,205,0.0,0.015,,,,-0.015,,-1,1,0.386,0.614,28,27,28,28,2,1,7,4,23,,1.26,-0.09,-0.09,45.1
FC,2023-09-23,86.5,-1.44,5.68,"France, J.P.",680418,641585,,foul,,,,,8,Tyler Cropley flies out to left fielder Chas McCormick.,R,R,R,HOU,KC,S,,,1,1,2023,0.49,0.59,0.09,1.85,,686681,,2,4,Top,,,,,,,2.649548619258337,-125.90444584941793,-4.09275955716697,4.631982382342174,26.070662062294,-25.298670388145528,3.26,1.48,169,74.8,62,86.3,2603,6.2,716455,673237,547989,514888,608324,665161,676801,676694,663656,54.3,,,,,,,,28,3,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,129,0.0,-0.064,71.0,7.3,,0.064,88.0,-1,1,0.386,0.614,28,27,28,28,2,1,7,4,23,,2.46,-0.49,-0.49,42.8
