pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-10-01,95.1,-3.54,5.51,"Tonkin, Michael",696285,543859,single,hit_into_play,,,,,2,Jacob Young singles on a sharp line drive to left fielder Eddie Rosario.   Luis Garcia scores.    Dominic Smith scores.    Drew Millas to 3rd.,R,R,R,ATL,WSH,X,7,line_drive,2,2,2023,-0.94,1.06,-0.1,2.97,671277,642086,686452,1,9,Top,102.54,79.41,,,,,11.048567711459684,-138.06766442889344,-3.342903644339329,-14.434825426259348,30.987143682609464,-18.02049208942695,3.28,1.52,264,104.2,11,94.7,2464,6.2,716354,518595,670032,645277,663586,606115,592696,671739,607680,54.29,0.931,0.926,0.9,1,1,0,4,85,5,4-Seam Fastball,8,8,8,8,10,8,10,8,Strategic,Strategic,232,-0.237,0.504,68.4,6.7,1.203,-0.504,104.2,0,0,0.286,0.714,33,23,34,24,1,4,4,1,10,,1.47,0.94,0.94,18.2
FF,2023-10-01,94.2,-3.76,5.4,"Tonkin, Michael",696285,543859,,foul_tip,,,,,4,Jacob Young singles on a sharp line drive to left fielder Eddie Rosario.   Luis Garcia scores.    Dominic Smith scores.    Drew Millas to 3rd.,R,R,R,ATL,WSH,S,,,2,1,2023,-0.98,0.96,-0.58,2.65,671277,642086,686452,1,9,Top,,,,,,,10.416389560227389,-136.8088964626062,-3.5455840471974636,-14.668319684601622,30.503341248902125,-19.546959279380452,3.28,1.52,,,,93.8,2374,6.2,716354,518595,670032,645277,663586,606115,592696,671739,607680,54.29,,,,,,,,85,4,4-Seam Fastball,8,8,8,8,8,8,8,8,Strategic,Standard,232,0.0,-0.055,67.8,5.9,,0.055,,0,0,0.286,0.714,33,23,34,24,1,4,4,1,10,,1.62,0.98,0.98,14.2
FF,2023-10-01,94.1,-3.58,5.45,"Tonkin, Michael",696285,543859,,foul,,,,,12,Jacob Young singles on a sharp line drive to left fielder Eddie Rosario.   Luis Garcia scores.    Dominic Smith scores.    Drew Millas to 3rd.,R,R,R,ATL,WSH,S,,,2,0,2023,-0.89,0.94,0.07,3.54,671277,642086,686452,1,9,Top,,,,,,,11.430625069971429,-136.5977549541644,-1.3279757579787723,-13.610177279771536,28.99665628403475,-20.291849909001265,3.28,1.52,231,77.1,26,94.2,2361,6.4,716354,518595,670032,645277,663586,606115,592696,671739,607680,54.12,,,,,,,,85,3,4-Seam Fastball,8,8,8,8,8,8,8,8,Strategic,Standard,238,0.0,-0.101,69.1,6.6,,0.101,88.0,0,0,0.286,0.714,33,23,34,24,1,4,4,1,10,,1.64,0.89,0.89,18.6
FF,2023-10-01,95.2,-3.6,5.44,"Tonkin, Michael",696285,543859,,ball,,,,,12,Jacob Young singles on a sharp line drive to left fielder Eddie Rosario.   Luis Garcia scores.    Dominic Smith scores.    Drew Millas to 3rd.,R,R,R,ATL,WSH,B,,,1,0,2023,-0.82,0.98,1.02,2.78,671277,642086,686452,1,9,Top,,,,,,,13.909037283182236,-137.91355492097293,-3.507662950531948,-13.524385601170872,30.867630724742543,-18.98318616932037,3.34,1.63,,,,94.8,2366,6.3,716354,518595,670032,645277,663586,606115,592696,671739,607680,54.16,,,,,,,,85,2,4-Seam Fastball,8,8,8,8,8,8,8,8,Strategic,Standard,232,0.0,0.068,,,,-0.068,,0,0,0.286,0.714,33,23,34,24,1,4,4,1,10,,1.56,0.82,0.82,16.2
SL,2023-10-01,82.8,-3.67,5.48,"Tonkin, Michael",696285,543859,,ball,,,,,13,Jacob Young singles on a sharp line drive to left fielder Eddie Rosario.   Luis Garcia scores.    Dominic Smith scores.    Drew Millas to 3rd.,R,R,R,ATL,WSH,B,,,0,0,2023,0.27,-0.32,-1.62,2.47,671277,642086,686452,1,9,Top,,,,,,,4.149268705304374,-120.47282132628207,0.257319770621955,1.7474181413811436,24.30376066036653,-35.557399062227596,3.41,1.58,,,,82.8,2343,6.4,716354,518595,670032,645277,663586,606115,592696,671739,607680,54.11,,,,,,,,85,1,Slider,8,8,8,8,8,8,8,8,Strategic,Standard,57,0.0,0.032,,,,-0.032,,0,0,0.286,0.714,33,23,34,24,1,4,4,1,10,,3.66,-0.27,-0.27,18.3
SL,2023-10-01,87.4,-2.48,5.72,"Jiménez, Joe",696285,641729,field_out,hit_into_play,,,,,9,"Jacob Young grounds out, second baseman Ozzie Albies to first baseman Nicky Lopez.   Ildemaro Vargas scores.    Alex Call to 3rd.",R,R,R,ATL,WSH,X,4,ground_ball,1,2,2023,0.12,0.33,0.45,1.89,545121,669743,,1,8,Top,139.6,148.03,,,,,6.97781095114601,-127.15212257706835,-3.8565513636773985,-0.0705814218389048,24.588273872334938,-28.063724984299927,3.28,1.52,17,97.0,-5,89.5,2280,7.4,716354,518595,670032,645277,663586,606115,592696,671739,607680,53.05,0.251,0.284,0.0,1,0,0,2,71,4,Slider,7,5,5,7,6,7,6,7,Standard,Strategic,171,0.057,-0.113,65.0,6.8,0.277,0.113,97.0,2,-2,0.722,0.278,28,23,28,24,1,3,3,1,8,,2.65,-0.12,-0.12,29.6
FF,2023-10-01,95.8,-2.38,5.86,"Jiménez, Joe",696285,641729,,foul,,,,,11,"Jacob Young grounds out, second baseman Ozzie Albies to first baseman Nicky Lopez.   Ildemaro Vargas scores.    Alex Call to 3rd.",R,R,R,ATL,WSH,S,,,1,1,2023,-0.98,1.29,-0.84,3.51,545121,669743,,1,8,Top,,,,,,,6.411983762337311,-139.35209337796454,-3.6117539630630655,-14.19527407435461,30.09611109805133,-14.66246579000754,3.28,1.52,,,,98.1,2433,7.5,716354,518595,670032,645277,663586,606115,592696,671739,607680,52.98,,,,,,,,71,3,4-Seam Fastball,7,5,5,7,5,7,5,7,Standard,Standard,220,0.0,-0.08,19.3,3.5,,0.08,,2,-2,0.722,0.278,28,23,28,24,1,3,3,1,8,,1.18,0.98,0.98,31.9
SL,2023-10-01,85.1,-2.55,5.68,"Jiménez, Joe",696285,641729,,ball,,,,,9,"Jacob Young grounds out, second baseman Ozzie Albies to first baseman Nicky Lopez.   Ildemaro Vargas scores.    Alex Call to 3rd.",R,R,R,ATL,WSH,B,,,0,1,2023,0.38,0.22,0.77,1.53,545121,669743,,1,8,Top,,,,,,,7.13662660136804,-123.76676943184424,-3.910886259454786,2.5429817512009123,24.47357892029306,-29.35273777669768,3.23,1.52,,,,86.8,2245,7.3,716354,518595,670032,645277,663586,606115,592696,671739,607680,53.15,,,,,,,,71,2,Slider,7,5,5,7,5,7,5,7,Standard,Standard,155,0.0,0.02,,,,-0.02,,2,-2,0.722,0.278,28,23,28,24,1,3,3,1,8,,2.93,-0.38,-0.38,30.4
SL,2023-10-01,86.3,-2.64,5.74,"Jiménez, Joe",696285,641729,,foul,,,,,6,"Jacob Young grounds out, second baseman Ozzie Albies to first baseman Nicky Lopez.   Ildemaro Vargas scores.    Alex Call to 3rd.",R,R,R,ATL,WSH,S,,,0,0,2023,0.3,0.34,0.46,2.61,545121,669743,,1,8,Top,,,,,,,6.912603103842685,-125.61627239771902,-1.9718553851805676,1.8691314522615607,24.454994628782945,-28.40733595517335,3.28,1.52,44,27.0,47,88.4,2312,7.5,716354,518595,670032,645277,663586,606115,592696,671739,607680,53.0,,,,,,,,71,1,Slider,7,5,5,7,5,7,5,7,Standard,Standard,173,0.0,-0.038,66.2,7.1,,0.038,88.0,2,-2,0.722,0.278,28,23,28,24,1,3,3,1,8,,2.71,-0.3,-0.3,31.0
FC,2023-10-01,82.5,2.37,5.98,"Dodd, Dylan",696285,689266,field_out,hit_into_play,,,,,6,Jacob Young lines out to right fielder Kevin Pillar.,R,R,L,ATL,WSH,X,9,line_drive,2,2,2023,-0.11,0.51,0.51,2.49,,,,1,6,Top,173.7,78.94,,,,,-4.040082097190833,-120.14044847002688,-2.3869997508820786,-0.2496131739204259,24.7532269123414,-27.01571797650339,3.28,1.52,320,99.0,19,82.8,1947,6.6,716354,518595,670032,645277,663586,606115,592696,671739,607680,53.88,0.346,0.391,0.0,1,0,0,4,51,5,Cutter,5,5,5,5,5,5,5,5,Infield shade,Standard,149,0.025,-0.234,69.5,6.7,0.625,0.234,99.0,0,0,0.533,0.467,25,23,25,24,3,2,22,1,,,2.85,-0.11,0.11,44.0
