pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
EP,2023-07-01,39.2,-0.67,6.05,"Vargas, Ildemaro",665019,545121,field_out,hit_into_play,,,,,13,"Kody Clemens grounds out, second baseman Luis Garcia to first baseman Dominic Smith.",R,L,R,PHI,WSH,X,4,ground_ball,0,2,2023,-0.09,1.03,-0.85,2.03,,,,1,8,Bot,139.62,161.87,,,,,-0.1070893491009082,-55.92715683507165,8.765473212768908,-0.1834297948972276,5.953721109467348,-31.23442549103835,3.47,1.7,20,93.0,-5,37.3,773,5.0,717543,660688,642086,671277,656308,682928,656448,656537,657041,55.48,0.209,0.204,0.0,1,0,0,2,79,4,Eephus,19,4,19,4,4,19,19,4,Strategic,Standard,215,0.0,-0.17,,,0.225,0.17,93.0,15,15,1.0,1.0,31,27,32,27,1,0,,1,49,,14.64,0.09,-0.09,56.1
EP,2023-07-01,40.9,-0.93,5.89,"Vargas, Ildemaro",665019,545121,,foul,,,,,11,"Kody Clemens grounds out, second baseman Luis Garcia to first baseman Dominic Smith.",R,L,R,PHI,WSH,S,,,0,2,2023,-0.22,1.78,-1.74,4.51,,,,1,8,Bot,,,,,,,-0.6839047157856931,-58.23776451146811,10.14166483570308,-0.4176107289467864,5.984649459021503,-29.434012671869713,3.47,1.7,204,70.1,51,39.3,,5.4,717543,660688,642086,671277,656308,682928,656448,656537,657041,55.08,,,,,,,,79,3,Eephus,19,4,19,4,4,19,19,4,Strategic,Standard,,0.0,0.0,,,,0.0,88.0,15,15,1.0,1.0,31,27,32,27,1,0,,1,49,,12.56,0.22,-0.22,54.1
CU,2023-07-01,57.9,-1.78,5.52,"Vargas, Ildemaro",665019,545121,,foul,,,,,2,"Kody Clemens grounds out, second baseman Luis Garcia to first baseman Dominic Smith.",R,L,R,PHI,WSH,S,,,0,1,2023,0.47,-0.18,0.21,3.47,,,,1,8,Bot,,,,,,,2.4898217268638834,-83.97779895299047,6.099327472838575,1.8810377300332493,11.17693122639623,-34.03439341597433,3.47,1.7,109,49.9,60,56.6,1717,5.1,717543,660688,642086,671277,656308,682928,656448,656537,657041,55.36,,,,,,,,79,2,Curveball,19,4,19,4,4,19,19,4,Strategic,Standard,84,0.0,-0.057,,,,0.057,88.0,15,15,1.0,1.0,31,27,32,27,1,0,,1,49,,7.01,-0.47,0.47,29.4
EP,2023-07-01,54.6,-2.05,4.04,"Vargas, Ildemaro",665019,545121,,foul,,,,,8,"Kody Clemens grounds out, second baseman Luis Garcia to first baseman Dominic Smith.",R,L,R,PHI,WSH,S,,,0,0,2023,-1.28,0.8,0.28,1.77,,,,1,8,Bot,,,,,,,4.979560503850107,-78.99918497481762,5.3185729681074845,-5.992660093274692,10.281133206757127,-29.778290842918935,3.47,1.7,114,49.4,56,52.9,1309,4.9,717543,660688,642086,671277,656308,682928,656448,656537,657041,55.63,,,,,,,,79,1,Eephus,19,4,19,4,4,19,19,4,Strategic,Standard,269,0.0,-0.041,,,,0.041,88.0,15,15,1.0,1.0,31,27,32,27,1,0,,1,49,,6.95,1.28,-1.28,-4.9
FF,2023-06-30,95.8,-1.93,6.03,"Thompson, Mason",665019,666168,strikeout,swinging_strike,,,,,4,Kody Clemens strikes out swinging.,R,L,R,PHI,WSH,S,2,,1,2,2023,-0.5,1.08,-0.64,2.84,,664761,,1,7,Bot,,,,,,,4.570656471592798,-139.38997508720524,-5.290487498156586,-7.56607027829315,30.61831551108881,-17.12679045647435,3.5,1.72,,,,96.3,2350,6.5,717563,660688,642086,671277,600869,682928,656448,656537,657041,53.95,,0.0,0.0,1,0,0,,57,4,4-Seam Fastball,1,2,1,2,2,1,1,2,Strategic,Standard,216,-0.076,-0.205,,,,0.205,,-1,-1,0.398,0.398,25,27,25,27,1,2,3,1,2,1,1.4,0.5,-0.5,34.0
SI,2023-06-30,94.2,-2.37,5.65,"Thompson, Mason",665019,666168,,foul,,,,,2,Kody Clemens strikes out swinging.,R,L,R,PHI,WSH,S,,,1,1,2023,-1.26,0.39,0.0,3.05,,664761,,1,7,Bot,,,,,,,9.023380544813572,-136.99972584664408,-1.916945802975946,-17.783966015648712,29.622276942727616,-27.093100391232653,3.5,1.72,172,80.6,66,94.9,2302,6.7,717563,660688,642086,671277,600869,682928,656448,656537,657041,53.8,,,,,,,,57,3,Sinker,1,2,1,2,2,1,1,2,Strategic,Standard,228,0.0,-0.078,,,,0.078,88.0,-1,-1,0.398,0.398,25,27,25,27,1,2,3,1,2,1,2.18,1.26,-1.26,24.0
SI,2023-06-30,94.2,-2.25,5.83,"Thompson, Mason",665019,666168,,ball,,,,,11,Kody Clemens strikes out swinging.,R,L,R,PHI,WSH,B,,,0,1,2023,-1.33,0.56,-0.87,3.52,,664761,,1,7,Bot,,,,,,,6.586412987478717,-137.0043504164626,-1.5595749050763732,-18.191873699715043,29.813135345782673,-24.979183438311065,3.38,1.62,,,,94.9,2356,6.7,717563,660688,642086,671277,600869,682928,656448,656537,657041,53.8,,,,,,,,57,2,Sinker,1,2,1,2,2,1,1,2,Strategic,Standard,217,0.0,0.024,,,,-0.024,,-1,-1,0.398,0.398,25,27,25,27,1,2,3,1,2,1,2.01,1.33,-1.33,28.4
CU,2023-06-30,78.3,-2.6,6.12,"Thompson, Mason",665019,666168,,called_strike,,,,,5,Kody Clemens strikes out swinging.,R,L,R,PHI,WSH,S,,,0,0,2023,1.47,-0.91,0.06,2.54,,664761,,1,7,Bot,,,,,,,3.031024451249108,-113.994120170087,0.8563535483349296,12.139811165590425,22.204730705166327,-40.488985540272274,3.31,1.59,,,,78.0,2372,6.2,717563,660688,642086,671277,600869,682928,656448,656537,657041,54.34,,,,,,,,57,1,Curveball,1,2,1,2,2,1,1,2,Strategic,Standard,48,0.0,-0.038,,,,0.038,,-1,-1,0.398,0.398,25,27,25,27,1,2,3,1,2,1,4.64,-1.47,1.47,33.3
CU,2023-06-30,83.5,-1.66,5.14,"Gray, Josiah",665019,680686,field_out,hit_into_play,,,,,13,"Kody Clemens grounds out, second baseman Luis Garcia to first baseman Dominic Smith.",R,L,R,PHI,WSH,X,4,ground_ball,3,2,2023,-0.03,-0.55,-0.65,1.3,,,,1,5,Bot,148.29,148.13,,,,,2.3619397396053876,-121.68188967627005,-1.3396721311194912,-0.7578203573231393,23.911512954456004,-37.56803039440285,3.5,1.72,5,86.4,-13,82.5,2507,5.5,717563,660688,642086,671277,600869,682928,656448,656537,657041,54.98,0.134,0.128,0.0,1,0,0,2,42,9,Curveball,1,2,1,2,2,1,1,2,Strategic,Strategic,50,-0.024,-0.328,,,0.173,0.328,88.0,-1,-1,0.373,0.373,25,27,26,27,2,1,6,1,5,1,3.81,0.03,-0.03,30.6
FF,2023-06-30,93.2,-1.23,5.5,"Gray, Josiah",665019,680686,,foul,,,,,9,"Kody Clemens grounds out, second baseman Luis Garcia to first baseman Dominic Smith.",R,L,R,PHI,WSH,S,,,3,2,2023,-0.8,1.35,0.28,2.01,,,,1,5,Bot,,,,,,,5.542930207413712,-135.4992218662567,-6.0903393106443495,-11.072659136617256,30.240899807493506,-14.390083033582556,3.5,1.72,174,73.6,62,92.0,2082,5.7,717563,660688,642086,671277,600869,682928,656448,656537,657041,54.83,,,,,,,,42,8,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Strategic,214,0.0,0.0,,,,0.0,88.0,-1,-1,0.373,0.373,25,27,26,27,2,1,6,1,5,1,1.28,0.8,-0.8,38.8
SL,2023-06-30,86.6,-1.66,5.25,"Gray, Josiah",665019,680686,,foul,,,,,4,"Kody Clemens grounds out, second baseman Luis Garcia to first baseman Dominic Smith.",R,L,R,PHI,WSH,S,,,3,2,2023,0.3,0.62,-0.31,2.64,,,,1,5,Bot,,,,,,,2.5770947249546747,-126.139777325464,-1.3006514502060682,2.6993478036627745,25.895362051513395,-25.514823121569783,3.5,1.72,244,69.4,24,85.6,1860,5.6,717563,660688,642086,671277,600869,682928,656448,656537,657041,54.9,,,,,,,,42,7,Slider,1,2,1,2,2,1,1,2,Infield shade,Strategic,207,0.0,0.0,,,,0.0,88.0,-1,-1,0.373,0.373,25,27,26,27,2,1,6,1,5,1,2.42,-0.3,0.3,33.9
SL,2023-06-30,85.6,-1.75,5.16,"Gray, Josiah",665019,680686,,foul,,,,,8,"Kody Clemens grounds out, second baseman Luis Garcia to first baseman Dominic Smith.",R,L,R,PHI,WSH,S,,,3,2,2023,-0.04,0.43,-0.06,2.0,,,,1,5,Bot,,,,,,,4.014674060576936,-124.65245495124964,-2.0280386773559913,-1.190485231640548,25.198888549804792,-27.478675075463773,3.5,1.72,129,78.6,80,84.5,1913,5.5,717563,660688,642086,671277,600869,682928,656448,656537,657041,54.96,,,,,,,,42,6,Slider,1,2,1,2,2,1,1,2,Infield shade,Strategic,212,0.0,0.0,,,,0.0,88.0,-1,-1,0.373,0.373,25,27,26,27,2,1,6,1,5,1,2.68,0.04,-0.04,29.4
SL,2023-06-30,85.9,-1.74,5.13,"Gray, Josiah",665019,680686,,ball,,,,,13,"Kody Clemens grounds out, second baseman Luis Garcia to first baseman Dominic Smith.",R,L,R,PHI,WSH,B,,,2,2,2023,0.27,0.17,-0.42,0.75,,,,1,5,Bot,,,,,,,2.5472001031528837,-125.09854088423153,-4.444730443846293,2.316175418821155,24.569208638104296,-29.677060954160424,3.32,1.63,,,,85.0,1956,5.6,717563,660688,642086,671277,600869,682928,656448,656537,657041,54.88,,,,,,,,42,5,Slider,1,2,1,2,2,1,1,2,Strategic,Strategic,187,0.0,0.094,,,,-0.094,,-1,-1,0.373,0.373,25,27,26,27,2,1,6,1,5,1,2.9,-0.27,0.27,27.5
FC,2023-06-30,88.3,-1.73,5.32,"Gray, Josiah",665019,680686,,ball,,,,,11,"Kody Clemens grounds out, second baseman Luis Garcia to first baseman Dominic Smith.",R,L,R,PHI,WSH,B,,,1,2,2023,0.23,0.51,-0.27,4.0,,,,1,5,Bot,,,,,,,3.03704577497938,-128.65130374405982,1.7455401265353894,1.9078241606256912,25.541908512625472,-26.998388250425464,3.35,1.58,,,,87.5,2010,5.6,717563,660688,642086,671277,600869,682928,656448,656537,657041,54.88,,,,,,,,42,4,Cutter,1,2,1,2,2,1,1,2,Infield shade,Strategic,201,0.0,0.045,,,,-0.045,,-1,-1,0.373,0.373,25,27,26,27,2,1,6,1,5,1,2.39,-0.23,0.23,32.0
FF,2023-06-30,94.6,-1.34,5.47,"Gray, Josiah",665019,680686,,swinging_strike,,,,,5,"Kody Clemens grounds out, second baseman Luis Garcia to first baseman Dominic Smith.",R,L,R,PHI,WSH,S,,,1,1,2023,-0.72,1.21,0.24,2.72,,,,1,5,Bot,,,,,,,5.677664806909903,-137.58122935189493,-4.158411522913215,-10.422529297728447,30.902275059206566,-16.03684047562791,3.5,1.72,,,,93.6,2201,5.8,717563,660688,642086,671277,600869,682928,656448,656537,657041,54.73,,,,,,,,42,3,4-Seam Fastball,1,2,1,2,2,1,1,2,Strategic,Standard,216,0.0,-0.068,,,,0.068,,-1,-1,0.373,0.373,25,27,26,27,2,1,6,1,5,1,1.34,0.72,-0.72,38.4
CH,2023-06-30,87.7,-1.73,5.26,"Gray, Josiah",665019,680686,,foul,,,,,7,"Kody Clemens grounds out, second baseman Luis Garcia to first baseman Dominic Smith.",R,L,R,PHI,WSH,S,,,1,0,2023,-0.97,1.12,-0.72,1.71,,,,1,5,Bot,,,,,,,4.399412891937663,-127.65558886444882,-4.766683047779018,-11.464275809815112,25.415883465689735,-19.10446896980094,3.5,1.72,2,68.5,-46,86.9,1786,5.7,717563,660688,642086,671277,600869,682928,656448,656537,657041,54.79,,,,,,,,42,2,Changeup,1,2,1,2,2,1,1,2,Infield shade,Standard,231,0.0,-0.05,,,,0.05,88.0,-1,-1,0.373,0.373,25,27,26,27,2,1,6,1,5,1,1.83,0.97,-0.97,31.2
SL,2023-06-30,83.3,-1.84,5.27,"Gray, Josiah",665019,680686,,ball,,,,,13,"Kody Clemens grounds out, second baseman Luis Garcia to first baseman Dominic Smith.",R,L,R,PHI,WSH,B,,,0,0,2023,0.29,0.51,-0.16,1.24,,,,1,5,Bot,,,,,,,3.2482265763891687,-121.20625557689876,-3.7402010376884416,2.1758070156041938,24.44433798143837,-26.666124384387892,3.3,1.56,,,,82.0,1761,5.5,717563,660688,642086,671277,600869,682928,656448,656537,657041,55.02,,,,,,,,42,1,Slider,1,2,1,2,2,1,1,2,Infield shade,Standard,207,0.0,0.039,,,,-0.039,,-1,-1,0.373,0.373,25,27,26,27,2,1,6,1,5,1,2.79,-0.29,0.29,30.2
CU,2023-06-30,81.5,-1.9,5.37,"Gray, Josiah",665019,680686,field_out,hit_into_play,,,,,4,"Kody Clemens grounds out, first baseman Dominic Smith to pitcher Josiah Gray.",R,L,R,PHI,WSH,X,3,ground_ball,1,1,2023,-0.05,-0.41,-0.47,2.5,,,,0,3,Bot,159.27,162.89,,,,,3.2670973312631686,-118.63573180982708,0.871337073402463,-1.0735773048195278,22.137147824038543,-36.39387389367356,3.5,1.72,39,96.4,-2,80.6,2464,5.6,717563,660688,642086,671277,600869,682928,656448,656537,657041,54.9,0.349,0.333,0.0,1,0,0,2,24,3,Curveball,1,2,1,2,2,1,1,2,Strategic,Standard,66,-0.027,-0.254,,,0.388,0.254,96.4,-1,-1,0.43,0.43,25,27,26,27,1,0,6,1,5,1,3.83,0.05,-0.05,34.0
SL,2023-06-30,84.6,-1.87,5.28,"Gray, Josiah",665019,680686,,called_strike,,,,,4,"Kody Clemens grounds out, first baseman Dominic Smith to pitcher Josiah Gray.",R,L,R,PHI,WSH,S,,,1,0,2023,0.46,0.57,-0.42,2.22,,,,0,3,Bot,,,,,,,2.4225822656740834,-123.21297137618228,-1.9062204114756305,4.184961631156162,24.7703662026806,-26.215399562247654,3.42,1.65,,,,83.6,1852,5.6,717563,660688,642086,671277,600869,682928,656448,656537,657041,54.93,,,,,,,,24,2,Slider,1,2,1,2,2,1,1,2,Strategic,Standard,191,0.0,-0.052,,,,0.052,,-1,-1,0.43,0.43,25,27,26,27,1,0,6,1,5,1,2.61,-0.46,0.46,32.5
