pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2023-10-01,84.4,-3.57,4.57,"Weissert, Greg",686681,669711,walk,ball,,,,,13,Michael Massey walks.,R,L,R,KC,NYY,B,,,3,2,2023,-1.26,-0.07,-0.56,0.54,,,,1,8,Bot,,,,,,,9.608750857905015,-122.68891890758968,-2.9462081537762743,-14.581760983453943,21.918894410388205,-32.47587235425864,3.5,1.69,,,,85.5,1770,6.8,716352,669224,518934,672724,643396,683011,677592,664314,665828,53.66,,0.695903,0.7,1,0,0,,65,9,Changeup,5,2,5,2,2,5,5,2,Standard,Standard,275,0.003,0.36,,,,-0.36,,3,3,0.972,0.972,28,25,28,25,1,3,1,1,,,3.25,1.26,-1.26,12.4
FF,2023-10-01,92.9,-3.51,5.09,"Weissert, Greg",686681,669711,,foul,,,,,13,Michael Massey walks.,R,L,R,KC,NYY,S,,,3,2,2023,-0.64,1.03,-0.87,2.41,,,,1,8,Bot,,,,,,,8.17922838700319,-135.20837412517363,-3.4117135263067717,-9.481725756563808,25.94991179099344,-18.94441265754681,3.53,1.69,224,73.8,27,93.7,2158,6.5,716352,669224,518934,672724,643396,683011,677592,664314,665828,54.04,,,,,,,,65,8,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,230,0.0,0.0,70.8,7.3,,0.0,88.0,3,3,0.972,0.972,28,25,28,25,1,3,1,1,,,1.59,0.64,-0.64,20.9
ST,2023-10-01,79.5,-3.87,4.43,"Weissert, Greg",686681,669711,,ball,,,,,13,Michael Massey walks.,R,L,R,KC,NYY,B,,,2,2,2023,1.28,0.2,-1.91,2.24,,,,1,8,Bot,,,,,,,1.8885203602410905,-115.70741970212546,1.5635056439424346,11.07181544652748,22.44797805228033,-30.89792443517167,3.56,1.72,,,,78.6,2886,5.7,716352,669224,518934,672724,643396,683011,677592,664314,665828,54.77,,,,,,,,65,7,Sweeper,5,2,5,2,2,5,5,2,Standard,Standard,79,0.0,0.094,,,,-0.094,,3,3,0.972,0.972,28,25,28,25,1,3,1,1,,,3.42,-1.28,1.28,6.6
FF,2023-10-01,94.2,-3.31,5.16,"Weissert, Greg",686681,669711,,foul,,,,,5,Michael Massey walks.,R,L,R,KC,NYY,S,,,2,2,2023,-0.65,1.31,0.0,2.37,,,,1,8,Bot,,,,,,,9.967859758416765,-136.85859180893087,-4.437821199713074,-10.295742486972497,28.96455887324427,-14.845357622347754,3.53,1.69,190,66.3,49,93.7,2327,6.0,716352,669224,518934,672724,643396,683011,677592,664314,665828,54.49,,,,,,,,65,6,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,221,0.0,0.0,63.8,6.5,,0.0,88.0,3,3,0.972,0.972,28,25,28,25,1,3,1,1,,,1.26,0.65,-0.65,24.0
SI,2023-10-01,93.3,-3.61,4.97,"Weissert, Greg",686681,669711,,foul,,,,,4,Michael Massey walks.,R,L,R,KC,NYY,S,,,2,2,2023,-1.3,0.4,-0.8,2.82,,,,1,8,Bot,,,,,,,10.058857526015762,-135.55242665421113,-0.6879887910979983,-18.07466272890786,26.790260982511658,-27.22046587663077,3.53,1.69,268,84.9,50,93.6,2017,6.4,716352,669224,518934,672724,643396,683011,677592,664314,665828,54.13,,,,,,,,65,5,Sinker,5,2,5,2,2,5,5,2,Standard,Standard,228,0.0,0.0,69.9,6.5,,0.0,88.0,3,3,0.972,0.972,28,25,28,25,1,3,1,1,,,2.2,1.3,-1.3,14.1
ST,2023-10-01,79.1,-3.88,4.54,"Weissert, Greg",686681,669711,,ball,,,,,13,Michael Massey walks.,R,L,R,KC,NYY,B,,,1,2,2023,1.66,0.25,-2.82,1.92,,,,1,8,Bot,,,,,,,-0.7753912692845086,-115.2592047079922,0.5812545872642789,14.96466151474095,21.85285689849131,-30.309692220018956,3.53,1.72,,,,78.0,2898,5.5,716352,669224,518934,672724,643396,683011,677592,664314,665828,55.01,,,,,,,,65,4,Sweeper,5,2,5,2,2,5,5,2,Standard,Standard,81,0.0,0.045,,,,-0.045,,3,3,0.972,0.972,28,25,28,25,1,3,1,1,,,3.39,-1.66,1.66,7.6
FF,2023-10-01,92.2,-3.6,5.16,"Weissert, Greg",686681,669711,,ball,,,,,11,Michael Massey walks.,R,L,R,KC,NYY,B,,,0,2,2023,-0.91,0.94,-2.33,4.33,,,,1,8,Bot,,,,,,,5.222518880031085,-134.2885942682033,1.625086081047849,-12.133238498461289,26.388889935218227,-21.2562325688076,3.47,1.72,,,,92.8,2213,6.4,716352,669224,518934,672724,643396,683011,677592,664314,665828,54.09,,,,,,,,65,3,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,228,0.0,0.019,,,,-0.019,,3,3,0.972,0.972,28,25,28,25,1,3,1,1,,,1.72,0.91,-0.91,21.6
FF,2023-10-01,93.9,-3.44,5.19,"Weissert, Greg",686681,669711,,foul,,,,,9,Michael Massey walks.,R,L,R,KC,NYY,S,,,0,1,2023,-0.99,1.07,0.29,2.17,,,,1,8,Bot,,,,,,,11.761844985535648,-136.27438933064818,-4.46691565812827,-14.709661787066688,27.122395049732766,-17.992368614902457,3.53,1.69,184,72.2,60,93.7,2296,6.1,716352,669224,518934,672724,643396,683011,677592,664314,665828,54.36,,,,,,,,65,2,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,229,0.0,-0.057,66.2,6.7,,0.057,88.0,3,3,0.972,0.972,28,25,28,25,1,3,1,1,,,1.51,0.99,-0.99,21.9
SI,2023-10-01,93.0,-3.48,5.04,"Weissert, Greg",686681,669711,,called_strike,,,,,9,Michael Massey walks.,R,L,R,KC,NYY,S,,,0,0,2023,-1.41,0.18,0.48,1.8,,,,1,8,Bot,,,,,,,13.107427926147595,-134.9014251238003,-2.914901493804134,-19.95254085099895,27.51031306448051,-29.472791266528816,3.44,1.75,,,,92.3,2067,5.9,716352,669224,518934,672724,643396,683011,677592,664314,665828,54.57,,,,,,,,65,1,Sinker,5,2,5,2,2,5,5,2,Standard,Standard,240,0.0,-0.041,,,,0.041,,3,3,0.972,0.972,28,25,28,25,1,3,1,1,,,2.45,1.41,-1.41,16.0
FF,2023-10-01,95.8,-0.98,6.12,"Brito, Jhony",686681,666745,strikeout,swinging_strike,,,,,5,Michael Massey strikes out swinging.,R,L,R,KC,NYY,S,2,,0,2,2023,-1.08,1.09,-0.17,2.74,,,658668,2,5,Bot,,,,,,,4.550836661306038,-139.5046862514652,-5.8039012754147485,-15.116291289835996,28.603713374474346,-16.841716803708316,3.53,1.69,,,,95.9,2016,6.1,716352,669224,518934,672724,643396,683011,677592,664314,665828,54.42,,0.0,0.0,1,0,0,,42,3,4-Seam Fastball,5,0,5,0,0,5,5,0,Standard,Standard,229,-0.003,-0.186,72.4,6.9,,0.186,,5,5,0.961,0.961,25,25,25,25,1,2,5,1,,,1.37,1.08,-1.08,50.3
