pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2023-06-20,93.0,-1.53,5.32,"Woodford, Jake",645302,663765,field_out,hit_into_play,,,,,6,"Victor Robles grounds out, shortstop Paul DeJong to first baseman Paul Goldschmidt.",R,R,R,WSH,STL,X,6,ground_ball,3,2,2023,-0.98,0.31,0.46,2.35,656180,,,2,9,Bot,112.6,157.19,,,,,7.307767272301495,-135.2790830697615,-2.5674699980517395,-13.572139247115162,28.216056038945567,-27.995148349967504,3.25,1.54,5,98.6,-25,93.9,2009,6.7,717691,668800,502671,680977,571448,657557,663457,669242,666185,53.77,0.097,0.103,0.0,1,0,0,2,81,6,Sinker,3,9,3,9,9,3,3,9,Standard,Standard,217,-0.001,-0.314,,,0.097,0.314,98.6,-6,-6,0.001,0.001,26,26,27,26,1,3,7,1,4,,2.32,0.98,0.98,35.7
CU,2023-06-20,77.2,-1.34,5.6,"Woodford, Jake",645302,663765,,ball,,,,,13,"Victor Robles grounds out, shortstop Paul DeJong to first baseman Paul Goldschmidt.",R,R,R,WSH,STL,B,,,2,2,2023,1.09,-1.43,-1.77,2.28,656180,,,2,9,Bot,,,,,,,-2.8978073191996043,-112.28294070110525,2.673135038338507,9.696051052423998,24.189682632715503,-44.94289945387383,3.25,1.49,,,,76.8,2380,6.5,717691,668800,502671,680977,571448,657557,663457,669242,666185,54.02,,,,,,,,81,5,Curveball,3,9,3,9,9,3,3,9,Standard,Standard,34,0.0,0.053,,,,-0.053,,-6,-6,0.001,0.001,26,26,27,26,1,3,7,1,4,,5.32,-1.09,-1.09,42.7
ST,2023-06-20,82.3,-1.57,5.37,"Woodford, Jake",645302,663765,,ball,,,,,14,"Victor Robles grounds out, shortstop Paul DeJong to first baseman Paul Goldschmidt.",R,R,R,WSH,STL,B,,,1,2,2023,1.34,-0.26,2.14,1.21,656180,,,2,9,Bot,,,,,,,5.820206133239231,-119.6850744845176,-2.347595671534254,11.576426373634302,25.446221123623783,-34.38016089584069,3.25,1.51,,,,82.3,2546,6.5,717691,668800,502671,680977,571448,657557,663457,669242,666185,53.98,,,,,,,,81,4,Sweeper,3,9,3,9,9,3,3,9,Standard,Standard,49,0.0,0.036,,,,-0.036,,-6,-6,0.001,0.001,26,26,27,26,1,3,7,1,4,,3.66,-1.34,-1.34,33.2
ST,2023-06-20,80.8,-1.74,5.4,"Woodford, Jake",645302,663765,,foul,,,,,2,"Victor Robles grounds out, shortstop Paul DeJong to first baseman Paul Goldschmidt.",R,R,R,WSH,STL,S,,,1,1,2023,1.15,-0.63,0.21,2.85,656180,,,2,9,Bot,,,,,,,2.160296184243723,-117.66485685870838,2.2034013443281166,10.235600723789362,23.785802686632323,-38.69438438577187,3.25,1.54,237,85.4,54,80.7,2647,6.4,717691,668800,502671,680977,571448,657557,663457,669242,666185,54.15,,,,,,,,81,3,Sweeper,3,9,3,9,9,3,3,9,Standard,Standard,56,0.0,-0.061,,,,0.061,88.0,-6,-6,0.001,0.001,26,26,27,26,1,3,7,1,4,,4.14,-1.15,-1.15,33.3
ST,2023-06-20,81.3,-1.8,5.25,"Woodford, Jake",645302,663765,,ball,,,,,11,"Victor Robles grounds out, shortstop Paul DeJong to first baseman Paul Goldschmidt.",R,R,R,WSH,STL,B,,,0,1,2023,1.23,-0.32,-0.7,3.99,656180,,,2,9,Bot,,,,,,,0.1130869665039815,-118.34678957282522,4.410005574377656,11.567221329033272,22.784736405436416,-36.236113732061135,3.36,1.54,,,,81.6,2475,6.5,717691,668800,502671,680977,571448,657557,663457,669242,666185,53.98,,,,,,,,81,2,Sweeper,3,9,3,9,9,3,3,9,Standard,Standard,53,0.0,0.028,,,,-0.028,,-6,-6,0.001,0.001,26,26,27,26,1,3,7,1,4,,3.77,-1.23,-1.23,30.8
SI,2023-06-20,94.5,-1.75,5.19,"Woodford, Jake",645302,663765,,called_strike,,,,,6,"Victor Robles grounds out, shortstop Paul DeJong to first baseman Paul Goldschmidt.",R,R,R,WSH,STL,S,,,0,0,2023,-1.1,0.28,0.34,2.77,656180,,,2,9,Bot,,,,,,,7.93141035058454,-137.42436662211085,-1.2558303663694812,-15.634918316215677,29.02771835743532,-28.51696813884302,3.42,1.64,,,,95.1,1974,6.6,717691,668800,502671,680977,571448,657557,663457,669242,666185,53.94,,,,,,,,81,1,Sinker,3,9,3,9,9,3,3,9,Standard,Standard,217,0.0,-0.036,,,,0.036,,-6,-6,0.001,0.001,26,26,27,26,1,3,7,1,4,,2.26,1.1,1.1,31.2
FC,2023-06-20,88.4,-1.24,6.47,"VerHagen, Drew",645302,572403,single,hit_into_play,,,,,5,Victor Robles singles on a fly ball to left fielder Lars Nootbaar.,R,R,R,WSH,STL,X,7,fly_ball,1,1,2023,0.31,0.53,0.19,2.51,,,,0,8,Bot,35.13,90.01,,,,,2.849736846444437,-128.79900168428117,-4.770407724746905,2.9322723870692076,23.23176631222863,-25.53561675730778,3.25,1.54,347,98.2,25,89.1,2306,6.4,717691,668800,502671,680977,571448,657557,663457,669242,666185,54.13,0.411,0.641,0.9,1,1,0,5,65,3,Cutter,1,7,1,7,7,1,1,7,Standard,Standard,183,0.007,0.443,,,1.11,-0.443,98.2,-6,-6,0.009,0.009,32,26,33,26,1,2,2,1,4,,2.35,-0.31,-0.31,46.3
FC,2023-06-20,87.9,-1.32,6.41,"VerHagen, Drew",645302,572403,,ball,,,,,14,Victor Robles singles on a fly ball to left fielder Lars Nootbaar.,R,R,R,WSH,STL,B,,,0,1,2023,0.29,0.24,2.24,0.19,,,,0,8,Bot,,,,,,,8.051625534664165,-127.59020851231928,-9.503171664430372,1.7069242223086714,23.548047042548536,-27.90510591559431,3.39,1.54,,,,88.3,2421,6.5,717691,668800,502671,680977,571448,657557,663457,669242,666185,54.03,,,,,,,,65,2,Cutter,1,7,1,7,7,1,1,7,Standard,Standard,152,0.0,0.031,,,,-0.031,,-6,-6,0.009,0.009,32,26,33,26,1,2,2,1,4,,2.7,-0.29,-0.29,44.9
FF,2023-06-20,91.4,-1.17,6.43,"VerHagen, Drew",645302,572403,,called_strike,,,,,9,Victor Robles singles on a fly ball to left fielder Lars Nootbaar.,R,R,R,WSH,STL,S,,,0,0,2023,-0.28,1.13,0.68,1.75,,,,0,8,Bot,,,,,,,5.282220773243322,-132.87692124979452,-8.396836914019577,-4.401205699503141,27.924920570098628,-17.215980670449714,3.25,1.56,,,,91.9,2328,6.6,717691,668800,502671,680977,571448,657557,663457,669242,666185,53.9,,,,,,,,65,1,4-Seam Fastball,1,7,1,7,7,1,1,7,Standard,Standard,199,0.0,-0.042,,,,0.042,,-6,-6,0.009,0.009,32,26,33,26,1,2,2,1,4,,1.6,0.28,0.28,46.4
CH,2023-06-20,84.5,1.47,6.66,"Montgomery, Jordan",645302,656756,field_out,hit_into_play,,,,,5,"Victor Robles grounds out, catcher Andrew Knizner to first baseman Paul Goldschmidt.",R,R,L,WSH,STL,X,2,ground_ball,1,0,2023,0.75,0.8,0.12,2.07,,,,1,5,Bot,130.18,196.73,,,,,-4.672904658324397,-122.96244451457028,-5.970253694616368,8.482984946603606,23.200485143795223,-23.12087698695401,3.25,1.54,1,60.2,-69,85.3,1587,6.7,717691,668800,502671,680977,571448,657557,691023,669242,666185,53.83,0.189,0.198,0.0,1,0,0,2,40,2,Changeup,1,4,1,4,4,1,1,4,Standard,Standard,130,-0.016,-0.306,,,0.189,0.306,88.0,-3,-3,0.154,0.154,30,26,31,26,2,1,6,1,7,,2.38,0.75,-0.75,47.0
