pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FC,2023-08-30,86.5,3.27,4.97,"Yarbrough, Ryan",671083,642232,double,hit_into_play,,,,,1,Buddy Kennedy doubles (1) on a soft ground ball to second baseman Amed Rosario.   Lourdes Gurriel Jr.  to 3rd.,R,R,L,LAD,AZ,X,4,ground_ball,1,1,2023,0.43,0.89,-0.49,2.87,,,666971,2,9,Top,158.86,163.03,,,,,-9.927309906446002,-125.61488641796387,-0.6127242442397617,6.514752484197374,23.89415424705144,-22.778561450871116,3.1,1.46,85,44.5,21,87.2,2043,6.7,716774,605131,683737,642708,571771,500743,621035,681546,605141,53.77,0.151,0.174,1.25,1,1,1,1,73,3,Cutter,7,0,0,7,0,7,0,7,Strategic,Standard,125,-0.001,0.901,63.3,5.7,0.151,-0.901,88.0,7,-7,1.0,0.0,31,24,32,25,2,1,6,1,6,,2.15,0.43,-0.43,15.9
FF,2023-08-30,88.2,2.9,5.47,"Yarbrough, Ryan",671083,642232,,ball,,,,,11,Buddy Kennedy doubles (1) on a soft ground ball to second baseman Amed Rosario.   Lourdes Gurriel Jr.  to 3rd.,R,R,L,LAD,AZ,B,,,0,1,2023,1.04,0.95,-0.92,3.06,,,666971,2,9,Top,,,,,,,-11.46911114408814,-127.9641512581858,-1.718985449169529,13.707836022022,25.41706757539122,-21.54956283218196,3.09,1.46,,,,88.6,1941,6.6,716774,605131,683737,642708,571771,500743,621035,681546,605141,53.88,,,,,,,,73,2,4-Seam Fastball,7,0,0,7,0,7,0,7,Standard,Standard,120,0.0,0.025,,,,-0.025,,7,-7,1.0,0.0,31,24,32,25,2,1,6,1,6,,1.99,1.04,-1.04,25.9
FC,2023-08-30,86.5,3.2,4.99,"Yarbrough, Ryan",671083,642232,,called_strike,,,,,1,Buddy Kennedy doubles (1) on a soft ground ball to second baseman Amed Rosario.   Lourdes Gurriel Jr.  to 3rd.,R,R,L,LAD,AZ,S,,,0,0,2023,0.75,0.68,-0.47,2.89,,,666971,2,9,Top,,,,,,,-10.396089250975995,-125.5786728966229,-0.1614655137522509,9.985715119362666,23.84654927811873,-25.13952382113666,3.09,1.46,,,,87.6,2033,7.0,716774,605131,683737,642708,571771,500743,621035,681546,605141,53.51,,,,,,,,73,1,Cutter,7,0,0,7,0,7,0,7,Standard,Standard,130,0.0,-0.045,,,,0.045,,7,-7,1.0,0.0,31,24,32,25,2,1,6,1,6,,2.37,0.75,-0.75,16.3
CH,2023-08-30,78.8,2.97,5.31,"Yarbrough, Ryan",671083,642232,single,hit_into_play,,,,,6,Buddy Kennedy singles on a line drive to left fielder Chris Taylor.   Lourdes Gurriel Jr.  to 2nd.,R,R,L,LAD,AZ,X,7,line_drive,1,1,2023,1.39,0.37,0.58,2.25,,,666971,1,7,Top,64.06,109.11,,,,,-7.816374411650672,-114.43310965700915,-0.4532107340679735,13.69398919675816,22.24879591029989,-29.0753410965592,3.1,1.46,194,86.6,15,79.0,1957,6.6,716774,605131,518692,642708,571771,500743,621035,681546,605141,53.87,0.983,0.921,0.9,1,1,0,4,58,3,Changeup,7,0,0,7,0,7,0,7,Standard,Standard,93,-0.005,0.432,66.0,7.6,1.123,-0.432,88.0,7,-7,0.993,0.007,31,24,32,25,1,0,6,1,6,,3.33,1.39,-1.39,23.4
FC,2023-08-30,83.9,3.44,5.02,"Yarbrough, Ryan",671083,642232,,ball,,,,,12,Buddy Kennedy singles on a line drive to left fielder Chris Taylor.   Lourdes Gurriel Jr.  to 2nd.,R,R,L,LAD,AZ,B,,,0,1,2023,-0.08,0.94,0.13,4.19,,,666971,1,7,Top,,,,,,,-7.511186757390763,-122.00379641692076,2.6117470477374622,0.633998032470072,23.213807622755528,-23.442908846124652,3.11,1.46,,,,84.1,1985,6.4,716774,605131,518692,642708,571771,500743,621035,681546,605141,54.14,,,,,,,,58,2,Cutter,7,0,0,7,0,7,0,7,Standard,Standard,141,0.0,0.025,,,,-0.025,,7,-7,0.993,0.007,31,24,32,25,1,0,6,1,6,,2.29,-0.08,0.08,16.9
FC,2023-08-30,84.0,3.34,5.02,"Yarbrough, Ryan",671083,642232,,called_strike,,,,,1,Buddy Kennedy singles on a line drive to left fielder Chris Taylor.   Lourdes Gurriel Jr.  to 2nd.,R,R,L,LAD,AZ,S,,,0,0,2023,0.24,0.73,-0.6,2.71,,,666971,1,7,Top,,,,,,,-9.58613681712614,-122.0178493686338,-0.432835560681425,4.148648754960936,22.09254100194931,-24.934589550882045,3.14,1.46,,,,84.2,1865,6.3,716774,605131,518692,642708,571771,500743,621035,681546,605141,54.17,,,,,,,,58,1,Cutter,7,0,0,7,0,7,0,7,Standard,Standard,134,0.0,-0.042,,,,0.042,,7,-7,0.993,0.007,31,24,32,25,1,0,6,1,6,,2.49,0.24,-0.24,15.6
SL,2023-08-29,85.2,1.67,6.14,"Kershaw, Clayton",671083,477132,strikeout,swinging_strike,,,,,13,Buddy Kennedy strikes out swinging.,R,R,L,LAD,AZ,S,2,,1,2,2023,-0.66,0.22,-1.24,2.17,,606466,,2,5,Top,,,,,,,-5.513475241638094,-124.03951206706311,-3.4797356587885444,-5.7677352375094175,23.88155296505741,-29.439430833163993,3.09,1.46,,,,85.2,2444,6.2,716792,669257,518692,605141,571970,500743,621035,681546,518792,54.3,,0.0,0.0,1,0,0,,41,4,Slider,6,1,1,6,1,6,1,6,Standard,Standard,233,0.012,-0.203,70.1,7.0,,0.203,,5,-5,0.953,0.047,35,24,35,25,3,2,6,5,7,1,2.91,-0.66,0.66,54.2
CU,2023-08-29,74.2,1.23,6.26,"Kershaw, Clayton",671083,477132,,ball,,,,,13,Buddy Kennedy strikes out swinging.,R,R,L,LAD,AZ,B,,,0,2,2023,-0.57,-1.25,-1.78,-0.56,,,606466,2,5,Top,,,,,,,-5.202709288694304,-107.78600021359848,-4.420320763424426,-3.4042429685553475,21.283685585578723,-41.17053342933745,3.07,1.45,,,,74.4,2350,6.8,716792,669257,518692,605141,571970,500743,621035,681546,518792,53.67,,,,,,,,41,3,Curveball,6,1,1,6,1,6,1,6,Standard,Standard,341,-0.003,0.02,,,,-0.02,,5,-5,0.956,0.044,35,24,35,25,3,2,6,5,7,1,5.45,-0.57,0.57,63.6
CU,2023-08-29,73.3,1.27,6.34,"Kershaw, Clayton",671083,477132,,foul,,,,,13,Buddy Kennedy strikes out swinging.,R,R,L,LAD,AZ,S,,,0,1,2023,-0.49,-1.26,-0.69,0.9,,,606466,2,5,Top,,,,,,,-3.1488387352943543,-106.7080266678404,-1.3984863081354246,-3.099547237812335,20.520154583688797,-41.690509035876296,3.09,1.46,,,,73.5,2449,6.7,716792,669257,518692,605141,571970,500743,621035,681546,518792,53.8,,,,,,,,41,2,Curveball,6,1,1,6,1,6,1,6,Standard,Standard,338,0.0,-0.055,70.9,8.4,,0.055,,5,-5,0.956,0.044,35,24,35,25,3,2,6,5,7,1,5.54,-0.49,0.49,64.6
FF,2023-08-29,90.0,1.56,6.19,"Kershaw, Clayton",671083,477132,,called_strike,,,,,2,Buddy Kennedy strikes out swinging.,R,R,L,LAD,AZ,S,,,0,0,2023,-0.06,1.66,-0.12,2.62,,,606466,2,5,Top,,,,,,,-4.065158862319265,-130.89097504539913,-6.410977121848979,0.1492087356388478,28.31694646010857,-11.966427080893254,3.09,1.5,,,,90.3,2336,6.5,716792,669257,518692,605141,571970,500743,621035,681546,518792,53.96,,,,,,,,41,1,4-Seam Fastball,6,1,1,6,1,6,1,6,Standard,Standard,172,0.0,-0.045,,,,0.045,,5,-5,0.956,0.044,35,24,35,25,3,2,6,5,7,1,1.16,-0.06,0.06,57.1
