pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-03-28,77.1,-1.92,2.58,"Abney, Alaska",641786,685095,field_out,hit_into_play,,,,,13,Kyle Lewis pops out to shortstop Yordys Valdes.,S,R,R,AZ,CLE,X,6,popup,1,2,2023,0.52,0.97,-0.99,2.34,,,,2,5,Bot,112.47,158.68,,,,,1.0376914237498849,-112.15128745770448,4.719268292739134,4.228979932847622,19.778418957036475,-24.979713258839816,3.37,1.6,125,85.5,68,77.8,2488,6.7,719409,595956,683172,686551,682657,686798,686659,688907,680690,53.76,0.003,,0.0,,0,0,3,40,4,Slider,1,1,1,1,1,1,1,1,Standard,Standard,129,-0.014,-0.191,,,0.003,0.191,88.0,0,0,0.514,0.514,23,27,23,28,1,2,,,,,2.86,-0.52,-0.52,
CH,2023-03-28,85.4,-1.9,2.85,"Abney, Alaska",641786,685095,,foul,,,,,5,Kyle Lewis pops out to shortstop Yordys Valdes.,S,R,R,AZ,CLE,S,,,1,1,2023,-0.86,-0.2,-0.07,2.74,,,,2,5,Bot,,,,,,,6.084871696431629,-124.1243337250123,6.4893691678327245,-10.121413166229305,23.254536556007597,-35.70788428138687,3.37,1.6,302,93.0,46,86.3,2424,6.8,719409,595956,683172,686551,682657,686798,686659,688907,680690,53.69,,,,,,,,40,3,Changeup,1,1,1,1,1,1,1,1,Standard,Standard,235,0.0,-0.069,,,,0.069,93.0,0,0,0.514,0.514,23,27,23,28,1,2,,,,,3.32,0.86,0.86,
SL,2023-03-28,79.2,-1.83,2.85,"Abney, Alaska",641786,685095,,ball,,,,,12,Kyle Lewis pops out to shortstop Yordys Valdes.,S,R,R,AZ,CLE,B,,,0,1,2023,0.6,0.6,1.35,3.81,,,,2,5,Bot,,,,,,,5.878265041172519,-115.0606230238128,7.754563151739248,4.397180320851203,18.486333878164928,-28.250483460101577,3.56,1.74,,,,80.1,2421,6.7,719409,595956,683172,686551,682657,686798,686659,688907,680690,53.81,,,,,,,,40,2,Slider,1,1,1,1,1,1,1,1,Standard,Standard,124,0.0,0.031,,,,-0.031,,0,0,0.514,0.514,23,27,23,28,1,2,,,,,3.0,-0.6,-0.6,
CH,2023-03-28,86.4,-1.95,2.99,"Abney, Alaska",641786,685095,,called_strike,,,,,12,Kyle Lewis pops out to shortstop Yordys Valdes.,S,R,R,AZ,CLE,S,,,0,0,2023,-0.88,0.02,0.84,2.82,,,,2,5,Bot,,,,,,,8.486519357438759,-125.45299651470954,5.842710619083871,-10.908002442447309,24.042285438737547,-33.3941859425697,3.48,1.77,,,,87.3,2321,6.8,719409,595956,683172,686551,682657,686798,686659,688907,680690,53.67,,,,,,,,40,1,Changeup,1,1,1,1,1,1,1,1,Standard,Standard,258,0.0,-0.045,,,,0.045,,0,0,0.514,0.514,23,27,23,28,1,2,,,,,3.04,0.88,0.88,
,2023-03-26,,,,"Abney, Alaska",677956,685095,force_out,hit_into_play,,,,,,"Rece Hinds grounds into a force out, shortstop Angel Martinez to second baseman Christian Cairo.   Michael Siani out at 2nd.",S,R,R,CLE,CIN,X,6,ground_ball,0,0,2023,,,,,682622,,672279,2,9,Top,116.32,150.54,,,,,,,,,,,,,,,,,,,718947,650619,683172,686551,682679,682657,680690,802407,693309,,,,0.0,,0,0,,74,1,,3,2,2,3,2,3,2,3,,,,0.159,-0.314,,,,0.314,,1,-1,0.841,0.159,23,22,23,23,1,2,,,,,,,,
,2023-03-26,,,,"Abney, Alaska",672279,685095,single,hit_into_play,,,,,,Michael Siani singles on a line drive to right fielder Isaiah Greene.   Austin Callahan scores.    Noelvi Marte to 3rd.,S,L,R,CLE,CIN,X,9,line_drive,0,0,2023,,,,,,702472,682622,2,9,Top,180.11,120.67,,,,,,,,,,,,,,,,,,,718947,650619,683172,686551,682679,682657,680690,802407,693309,,,,0.9,,1,0,,73,1,,3,1,1,3,2,3,2,3,,,,-0.086,0.549,,,,-0.549,,2,-2,0.927,0.073,23,23,23,24,1,2,,,,,,,,
,2023-03-26,,,,"Abney, Alaska",669222,685095,strikeout,swinging_strike,,,,,,Nick Senzel strikes out swinging.,S,R,R,CLE,CIN,S,2,,0,2,2023,,,,,,702472,682622,1,9,Top,,,,,,,,,,,,,,,,,,,,,718947,650619,683172,686551,682679,682657,680690,802407,693309,,,,0.0,,0,0,,72,3,,3,1,1,3,1,3,1,3,,,,0.086,-0.151,,,,0.151,,2,-2,0.841,0.159,23,28,23,28,1,2,,,,,,,,
,2023-03-26,,,,"Abney, Alaska",669222,685095,,swinging_strike,,,,,,Nick Senzel strikes out swinging.,S,R,R,CLE,CIN,S,,,0,1,2023,,,,,,702472,682622,1,9,Top,,,,,,,,,,,,,,,,,,,,,718947,650619,683172,686551,682679,682657,680690,802407,693309,,,,,,,,,72,2,,3,1,1,3,1,3,1,3,,,,0.0,-0.05,,,,0.05,,2,-2,0.841,0.159,23,28,23,28,1,2,,,,,,,,
,2023-03-26,,,,"Abney, Alaska",669222,685095,,swinging_strike,,,,,,Nick Senzel strikes out swinging.,S,R,R,CLE,CIN,S,,,0,0,2023,,,,,,702472,682622,1,9,Top,,,,,,,,,,,,,,,,,,,,,718947,650619,683172,686551,682679,682657,680690,802407,693309,,,,,,,,,72,1,,3,1,1,3,1,3,1,3,,,,0.0,-0.04,,,,0.04,,2,-2,0.841,0.159,23,28,23,28,1,2,,,,,,,,
,2023-03-26,,,,"Abney, Alaska",682622,685095,single,hit_into_play,,,,,,Noelvi Marte singles on a ground ball to center fielder Joe Lampe.   Austin Callahan to 2nd.,S,R,R,CLE,CIN,X,8,ground_ball,0,0,2023,,,,,,,702472,1,9,Top,127.96,146.49,,,,,,,,,,,,,,,,,,,718947,650619,683172,686551,682679,682657,680690,802407,693309,,,,0.9,,1,0,,71,1,,3,1,1,3,1,3,1,3,,,,-0.076,0.415,,,,-0.415,,2,-2,0.917,0.083,23,21,23,22,1,1,,,,,,,,
,2023-03-26,,,,"Abney, Alaska",702472,685095,walk,ball,,,,,,Austin Callahan walks.,S,L,R,CLE,CIN,B,,,3,0,2023,,,,,,,,1,9,Top,,,,,,,,,,,,,,,,,,,,,718947,650619,683172,686551,682679,682657,680690,802407,693309,,,,0.7,,0,0,,70,4,,3,1,1,3,1,3,1,3,,,,-0.049,0.173,,,,-0.173,,2,-2,0.966,0.034,23,22,23,22,1,0,,,,,,,,
,2023-03-26,,,,"Abney, Alaska",702472,685095,,ball,,,,,,Austin Callahan walks.,S,L,R,CLE,CIN,B,,,2,0,2023,,,,,,,,1,9,Top,,,,,,,,,,,,,,,,,,,,,718947,650619,683172,686551,682679,682657,680690,802407,693309,,,,,,,,,70,3,,3,1,1,3,1,3,1,3,,,,0.0,0.142,,,,-0.142,,2,-2,0.966,0.034,23,22,23,22,1,0,,,,,,,,
,2023-03-26,,,,"Abney, Alaska",702472,685095,,ball,,,,,,Austin Callahan walks.,S,L,R,CLE,CIN,B,,,1,0,2023,,,,,,,,1,9,Top,,,,,,,,,,,,,,,,,,,,,718947,650619,683172,686551,682679,682657,680690,802407,693309,,,,,,,,,70,2,,3,1,1,3,1,3,1,3,,,,0.0,0.066,,,,-0.066,,2,-2,0.966,0.034,23,22,23,22,1,0,,,,,,,,
,2023-03-26,,,,"Abney, Alaska",702472,685095,,ball,,,,,,Austin Callahan walks.,S,L,R,CLE,CIN,B,,,0,0,2023,,,,,,,,1,9,Top,,,,,,,,,,,,,,,,,,,,,718947,650619,683172,686551,682679,682657,680690,802407,693309,,,,,,,,,70,1,,3,1,1,3,1,3,1,3,,,,0.0,0.039,,,,-0.039,,2,-2,0.966,0.034,23,22,23,22,1,0,,,,,,,,
,2023-03-26,,,,"Abney, Alaska",681142,685095,field_out,hit_into_play,,,,,,"Justice Thompson grounds out, third baseman Dayan Frias to first baseman Joe Naranjo.",S,R,R,CLE,CIN,X,5,ground_ball,0,0,2023,,,,,,,,0,9,Top,101.64,172.81,,,,,,,,,,,,,,,,,,,718947,650619,683172,686551,682679,682657,680690,802407,693309,,,,0.0,,0,0,,69,1,,3,1,1,3,1,3,1,3,,,,0.037,-0.265,,,,0.265,,2,-2,0.929,0.071,23,22,23,23,1,1,,,,,,,,
