pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-07-16,90.6,1.72,5.43,"Allard, Kolby",673357,663465,single,hit_into_play,,,,,5,Luis Robert Jr.  singles on a line drive to left fielder Sam Hilliard.   Andrew Benintendi scores.    Tim Anderson to 3rd.,R,R,L,ATL,CWS,X,7,line_drive,0,0,2023,0.21,1.28,-0.15,2.76,,643217,641313,2,2,Top,71.97,94.71,,,,,-5.15245139397837,-131.88459308013435,-3.5058970192744763,3.5574148723821715,26.59190949041626,-16.670047237838183,3.73,1.75,246,96.1,15,91.2,2037,6.5,717391,518595,621566,645277,663586,606115,656541,671739,660670,53.98,0.809,0.814,0.9,1,1,0,4,16,1,4-Seam Fastball,0,3,3,0,4,0,4,0,Infield shade,Standard,150,-0.068,0.549,81.8,8.1,1.051,-0.549,96.1,-3,3,0.215,0.785,25,25,26,26,2,1,7,1,,2,1.48,0.21,-0.21,43.4
FF,2023-07-16,90.9,1.8,5.43,"Allard, Kolby",641313,663465,single,hit_into_play,,,,,1,Tim Anderson singles on a line drive to right fielder Ronald Acuna Jr.  Elvis Andrus scores.    Andrew Benintendi to 2nd.,R,R,L,ATL,CWS,X,9,line_drive,0,0,2023,0.37,1.22,-0.31,2.98,462101,,643217,2,2,Top,171.9,93.98,,,,,-6.106398495617011,-132.42498654411537,-2.937535407915755,5.540137205560426,24.55192448261611,-17.319998255386317,3.29,1.46,237,87.7,17,91.6,2013,6.4,717391,518595,621566,645277,663586,606115,656541,671739,660670,54.13,0.911,0.867,0.9,1,1,0,4,15,1,4-Seam Fastball,0,2,2,0,3,0,3,0,Infield shade,Standard,153,-0.079,0.594,69.4,6.5,1.059,-0.594,88.0,-2,2,0.294,0.706,25,30,26,30,2,1,7,1,,2,1.5,0.37,-0.37,49.2
FC,2023-07-16,82.0,1.73,5.54,"Allard, Kolby",643217,663465,single,hit_into_play,,,,,6,Andrew Benintendi singles on a line drive to right fielder Ronald Acuna Jr.  Elvis Andrus to 3rd.,R,L,L,ATL,CWS,X,9,line_drive,0,0,2023,-0.32,0.07,0.63,2.22,,,462101,2,2,Top,211.29,114.5,,,,,-1.8690846144991724,-119.54563311335336,-1.1984155070610998,-2.8118267650268196,20.071621216217068,-31.51750764709016,3.22,1.47,189,97.6,13,82.5,1879,6.2,717391,518595,621566,645277,663586,606115,656541,671739,660670,54.27,0.954,0.929,0.9,1,1,0,4,14,1,Cutter,0,2,2,0,2,0,2,0,Standard,Standard,203,-0.019,0.368,69.3,6.5,1.173,-0.368,97.6,-2,2,0.313,0.687,25,28,26,29,2,1,7,1,,2,3.28,-0.32,-0.32,50.4
CU,2023-07-16,72.1,1.61,5.61,"Allard, Kolby",664874,663465,field_out,hit_into_play,,,,,5,Seby Zavala flies out to center fielder Michael Harris II.,R,R,L,ATL,CWS,X,8,fly_ball,1,2,2023,-0.56,-1.06,0.15,2.14,,,462101,1,2,Top,116.5,47.33,,,,,-1.93811016660097,-104.955218662803,2.3749557402728647,-3.800851962744217,18.856461305381256,-40.616438534799045,3.25,1.5,375,96.9,33,71.6,1946,6.0,717391,518595,621566,645277,663586,606115,656541,671739,660670,54.49,0.24,0.415,0.0,1,0,0,5,13,4,Curveball,0,2,2,0,2,0,2,0,Infield shade,Standard,339,0.021,-0.185,69.6,6.9,0.798,0.185,96.9,-2,2,0.292,0.708,25,29,26,30,1,0,7,1,,2,5.46,-0.56,0.56,52.4
FF,2023-07-16,89.7,1.56,5.43,"Allard, Kolby",664874,663465,,foul,,,,,2,Seby Zavala flies out to center fielder Michael Harris II.,R,R,L,ATL,CWS,S,,,1,1,2023,0.53,1.08,0.03,3.02,,,462101,1,2,Top,,,,,,,-4.921877774030292,-130.61971531041914,-2.298771844502798,7.083702202462386,25.292203494815215,-19.48158710639411,3.25,1.5,218,76.3,24,90.0,1943,6.2,717391,518595,621566,645277,663586,606115,656541,671739,660670,54.27,,,,,,,,13,3,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shade,Strategic,154,0.0,-0.055,69.9,7.3,,0.055,88.0,-2,2,0.292,0.708,25,29,26,30,1,0,7,1,,2,1.73,0.53,-0.53,50.4
CH,2023-07-16,83.3,1.77,5.48,"Allard, Kolby",664874,663465,,blocked_ball,,,,,13,Seby Zavala flies out to center fielder Michael Harris II.,R,R,L,ATL,CWS,B,,,0,1,2023,0.81,0.95,-0.14,0.68,,,462101,1,2,Top,,,,,,,-5.914458721697145,-121.06728820277507,-6.381373265558386,9.047410327509994,22.514883042583968,-21.811047125634257,3.37,1.52,,,,82.7,1513,5.9,717391,518595,621566,645277,663586,606115,656541,671739,660670,54.63,,,,,,,,13,2,Changeup,0,2,2,0,2,0,2,0,Infield shade,Strategic,126,0.0,0.025,,,,-0.025,,-2,2,0.292,0.708,25,29,26,30,1,0,7,1,,2,2.33,0.81,-0.81,46.9
FC,2023-07-16,83.1,1.65,5.43,"Allard, Kolby",664874,663465,,swinging_strike,,,,,7,Seby Zavala flies out to center fielder Michael Harris II.,R,R,L,ATL,CWS,S,,,0,0,2023,-0.32,0.27,-0.5,1.39,,,462101,1,2,Top,,,,,,,-4.307220551864939,-121.11788889620009,-3.4528785343743404,-2.500859991945015,20.371335742308037,-29.07035422211785,3.25,1.5,,,,83.8,1978,6.3,717391,518595,621566,645277,663586,606115,656541,671739,660670,54.16,,,,,,,,13,1,Cutter,0,2,2,0,2,0,2,0,Infield shade,Strategic,203,0.0,-0.042,66.6,8.0,,0.042,,-2,2,0.292,0.708,25,29,26,30,1,0,7,1,,2,2.98,-0.32,0.32,45.6
FF,2023-07-16,88.8,1.75,5.55,"Allard, Kolby",462101,663465,walk,ball,,,,,12,Elvis Andrus walks.,R,R,L,ATL,CWS,B,,,3,0,2023,0.33,1.47,0.69,3.57,,,,1,2,Top,,,,,,,-3.288550317700529,-129.34530584888324,-1.9179566059318192,4.38085029024685,25.597973458730863,-15.48042965130926,3.19,1.47,,,,89.0,2079,6.2,717391,518595,621566,645277,663586,606115,656541,671739,660670,54.27,,0.695903,0.7,1,0,0,,12,4,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shade,Standard,155,-0.019,0.173,,,,-0.173,,-2,2,0.311,0.689,25,34,26,35,1,0,7,7,,2,1.41,0.33,-0.33,43.6
FF,2023-07-16,88.9,1.67,5.42,"Allard, Kolby",462101,663465,,ball,,,,,14,Elvis Andrus walks.,R,R,L,ATL,CWS,B,,,2,0,2023,0.57,1.22,1.53,1.85,,,,1,2,Top,,,,,,,-1.530032214857933,-129.52104693614874,-5.303656514638652,6.699587942290523,26.18573719157383,-17.55086081974749,3.1,1.43,,,,89.0,1939,6.2,717391,518595,621566,645277,663586,606115,656541,671739,660670,54.29,,,,,,,,12,3,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shade,Standard,153,0.0,0.142,,,,-0.142,,-2,2,0.311,0.689,25,34,26,35,1,0,7,7,,2,1.65,0.57,-0.57,39.8
FC,2023-07-16,80.3,1.83,5.5,"Allard, Kolby",462101,663465,,ball,,,,,14,Elvis Andrus walks.,R,R,L,ATL,CWS,B,,,1,0,2023,-0.55,0.13,1.12,1.85,,,,1,2,Top,,,,,,,-0.5243998316235636,-116.984804130709,-1.6803342002988932,-4.999047898991816,21.32837397851071,-30.863813588028037,3.07,1.36,,,,80.4,1941,6.2,717391,518595,621566,645277,663586,606115,656541,671739,660670,54.3,,,,,,,,12,2,Cutter,0,2,2,0,2,0,2,0,Infield shade,Standard,192,0.0,0.066,,,,-0.066,,-2,2,0.311,0.689,25,34,26,35,1,0,7,7,,2,3.39,-0.55,0.55,51.4
