pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2023-03-18,,,,"Appel, Mark",592205,571446,walk,ball,,,,,,Ryan Casteel walks.   Ozzie Albies to 2nd.,S,R,R,ATL,PHI,B,,,3,0,2023,,,,,,,645277,2,6,Bot,,,,,,,,,,,,,,,,,,,,,719068,543308,664761,665019,657780,543281,664068,669016,595909,,,,0.7,,0,0,,52,4,,5,1,5,1,1,5,5,1,,,,0.004,0.106,,,,-0.106,,4,4,0.951,0.951,31,32,32,32,1,0,,,,,,,,
,2023-03-18,,,,"Appel, Mark",592205,571446,,ball,,,,,,Ryan Casteel walks.   Ozzie Albies to 2nd.,S,R,R,ATL,PHI,B,,,2,0,2023,,,,,,,645277,2,6,Bot,,,,,,,,,,,,,,,,,,,,,719068,543308,664761,665019,657780,543281,664068,669016,595909,,,,,,,,,52,3,,5,1,5,1,1,5,5,1,,,,0.0,0.104,,,,-0.104,,4,4,0.951,0.951,31,32,32,32,1,0,,,,,,,,
,2023-03-18,,,,"Appel, Mark",592205,571446,,ball,,,,,,Ryan Casteel walks.   Ozzie Albies to 2nd.,S,R,R,ATL,PHI,B,,,1,0,2023,,,,,,,645277,2,6,Bot,,,,,,,,,,,,,,,,,,,,,719068,543308,664761,665019,657780,543281,664068,669016,595909,,,,,,,,,52,2,,5,1,5,1,1,5,5,1,,,,0.0,0.037,,,,-0.037,,4,4,0.951,0.951,31,32,32,32,1,0,,,,,,,,
,2023-03-18,,,,"Appel, Mark",592205,571446,,ball,,,,,,Ryan Casteel walks.   Ozzie Albies to 2nd.,S,R,R,ATL,PHI,B,,,0,0,2023,,,,,,,645277,2,6,Bot,,,,,,,,,,,,,,,,,,,,,719068,543308,664761,665019,657780,543281,664068,669016,595909,,,,,,,,,52,1,,5,1,5,1,1,5,5,1,,,,0.0,0.03,,,,-0.03,,4,4,0.951,0.951,31,32,32,32,1,0,,,,,,,,
,2023-03-18,,,,"Appel, Mark",645277,571446,single,hit_into_play,,,,,,Ozzie Albies singles on a line drive to right fielder Jake Cave.,S,L,R,ATL,PHI,X,9,line_drive,0,0,2023,,,,,,,,2,6,Bot,167.73,97.34,,,,,,,,,,,,,,,,,,,719068,543308,664761,665019,657780,543281,664068,669016,595909,,,,0.9,,1,0,,51,1,,5,1,5,1,1,5,5,1,,,,0.002,0.344,,,,-0.344,,4,4,0.949,0.949,31,26,32,26,1,3,,,,,,,,
,2023-03-18,,,,"Appel, Mark",606115,571446,home_run,hit_into_play,,,,,,Orlando Arcia homers (1) on a fly ball to right center field.    Vaughn Grissom scores.,S,R,R,ATL,PHI,X,,fly_ball,0,0,2023,,,,,687093,,,2,6,Bot,194.6,55.77,,,,,,,,,,,,,,,,,,,719068,543308,664761,665019,657780,543281,664068,669016,595909,,,,2.0,,0,3,,50,1,,3,1,3,1,1,5,5,1,,,,0.101,1.447,,,,-1.447,,2,2,0.848,0.848,31,28,32,29,1,2,,,,,,,,
,2023-03-18,,,,"Appel, Mark",607680,571446,grounded_into_double_play,hit_into_play,,,,,,"Kevin Pillar grounds into a double play, third baseman Will Toffey to second baseman Kody Clemens to first baseman Alec Bohm.   Michael Harris II scores.    Vaughn Grissom to 3rd.    Sam Hilliard out at 2nd.    Kevin Pillar out at 1st.",S,R,R,ATL,PHI,X,5,ground_ball,0,0,2023,,,,,671739,687093,656541,0,6,Bot,109.94,178.96,,,,,,,,,,,,,,,,,,,719068,543308,664761,665019,657780,543281,664068,669016,595909,,,,0.0,,0,0,,49,1,,2,1,2,1,1,3,3,1,,,,-0.031,-0.247,,,,0.247,,1,1,0.879,0.879,31,34,32,34,1,2,,,,,,,,
,2023-03-18,,,,"Appel, Mark",656541,571446,walk,ball,,,,,,Sam Hilliard walks.   Michael Harris II to 3rd.    Vaughn Grissom to 2nd.,S,L,R,ATL,PHI,B,,,3,0,2023,,,,,,671739,687093,0,6,Bot,,,,,,,,,,,,,,,,,,,,,719068,543308,664761,665019,657780,543281,664068,669016,595909,,,,0.7,,0,0,,48,4,,2,1,2,1,1,2,2,1,,,,0.059,0.163,,,,-0.163,,1,1,0.82,0.82,31,29,32,29,1,2,,,,,,,,
,2023-03-18,,,,"Appel, Mark",656541,571446,,ball,,,,,,Sam Hilliard walks.   Michael Harris II to 3rd.    Vaughn Grissom to 2nd.,S,L,R,ATL,PHI,B,,,2,0,2023,,,,,,671739,687093,0,6,Bot,,,,,,,,,,,,,,,,,,,,,719068,543308,664761,665019,657780,543281,664068,669016,595909,,,,,,,,,48,3,,2,1,2,1,1,2,2,1,,,,0.0,0.105,,,,-0.105,,1,1,0.82,0.82,31,29,32,29,1,2,,,,,,,,
,2023-03-18,,,,"Appel, Mark",656541,571446,,ball,,,,,,Sam Hilliard walks.   Michael Harris II to 3rd.    Vaughn Grissom to 2nd.,S,L,R,ATL,PHI,B,,,1,0,2023,,,,,,671739,687093,0,6,Bot,,,,,,,,,,,,,,,,,,,,,719068,543308,664761,665019,657780,543281,664068,669016,595909,,,,,,,,,48,2,,2,1,2,1,1,2,2,1,,,,0.0,0.078,,,,-0.078,,1,1,0.82,0.82,31,29,32,29,1,2,,,,,,,,
