pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2023-10-01,83.0,-1.11,5.6,"Avila, Pedro",621545,658648,strikeout,swinging_strike,,,,,14,Zach Remillard strikes out swinging.,R,R,R,CWS,SD,S,2,,3,2,2023,-0.59,0.45,0.65,1.26,,,,2,5,Bot,,,,,,,5.227318036838471,-120.88438850685031,-4.431958662234219,-6.782200481610041,21.843044400748013,-27.1044374497032,3.49,1.59,,,,83.9,1694,6.7,716356,664954,643265,676946,666703,673490,595777,663757,640492,53.83,,0.0,0.0,1,0,0,,38,6,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,212,-0.014,-0.336,68.3,8.6,,0.336,,0,0,0.514,0.514,26,29,26,29,3,2,8,1,,,2.83,0.59,0.59,44.4
ST,2023-10-01,79.9,-1.15,5.72,"Avila, Pedro",621545,658648,,foul_tip,,,,,9,Zach Remillard strikes out swinging.,R,R,R,CWS,SD,S,,,3,1,2023,0.83,-0.67,0.31,2.14,,,,2,5,Bot,,,,,,,1.6529995258597632,-116.38862836640897,0.1562164498419562,7.161334571784203,23.789751290597632,-38.50312318912254,3.49,1.59,,,,80.0,2734,6.5,716356,664954,643265,676946,666703,673490,595777,663757,640492,53.99,,,,,,,,38,5,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,35,0.0,-0.093,72.3,8.4,,0.093,,0,0,0.514,0.514,26,29,26,29,3,2,8,1,,,4.26,-0.83,-0.83,49.4
SI,2023-10-01,91.8,-1.3,5.59,"Avila, Pedro",621545,658648,,called_strike,,,,,8,Zach Remillard strikes out swinging.,R,R,R,CWS,SD,S,,,3,0,2023,-1.4,0.99,-0.06,2.06,,,,2,5,Bot,,,,,,,6.207030094712177,-133.47075587797903,-5.243505474934313,-18.0770045695059,28.572987086781673,-19.3923656212989,3.85,1.78,,,,92.3,2253,6.6,716356,664954,643265,676946,666703,673490,595777,663757,640492,53.89,,,,,,,,38,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,226,0.0,-0.057,,,,0.057,,0,0,0.514,0.514,26,29,26,29,3,2,8,1,,,1.72,1.4,1.4,42.0
FF,2023-10-01,92.5,-1.29,5.57,"Avila, Pedro",621545,658648,,ball,,,,,14,Zach Remillard strikes out swinging.,R,R,R,CWS,SD,B,,,2,0,2023,-0.53,1.14,1.57,1.91,,,,2,5,Bot,,,,,,,8.48110163205457,-134.3767598257899,-6.053519020803607,-8.200750300808854,27.53836907474118,-17.208477835509306,3.67,1.7,,,,93.1,2237,6.6,716356,664954,643265,676946,666703,673490,595777,663757,640492,53.89,,,,,,,,38,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,231,0.0,0.113,,,,-0.113,,0,0,0.514,0.514,26,29,26,29,3,2,8,1,,,1.52,0.53,0.53,42.8
CH,2023-10-01,82.5,-1.31,5.46,"Avila, Pedro",621545,658648,,ball,,,,,14,Zach Remillard strikes out swinging.,R,R,R,CWS,SD,B,,,1,0,2023,-0.2,0.36,1.85,0.11,,,,2,5,Bot,,,,,,,7.6047637173188996,-119.87679837506532,-6.457775224740655,-3.229454401712382,20.171250845788173,-27.70926366199118,3.65,1.72,,,,83.4,1716,6.7,716356,664954,643265,676946,666703,673490,595777,663757,640492,53.83,,,,,,,,38,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,230,0.0,0.056,,,,-0.056,,0,0,0.514,0.514,26,29,26,29,3,2,8,1,,,2.96,0.2,0.2,40.1
CU,2023-10-01,76.9,-0.86,5.69,"Avila, Pedro",621545,658648,,ball,,,,,14,Zach Remillard strikes out swinging.,R,R,R,CWS,SD,B,,,0,0,2023,0.6,-1.28,0.69,0.93,,,,2,5,Bot,,,,,,,2.2017512995996733,-112.02965223266958,-0.7640922407875004,4.636850067078796,21.28666853927072,-42.99383080736727,3.6,1.66,,,,77.5,2763,6.8,716356,664954,643265,676946,666703,673490,595777,663757,640492,53.74,,,,,,,,38,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,31,0.0,0.043,,,,-0.043,,0,0,0.514,0.514,26,29,26,29,3,2,8,1,,,5.14,-0.6,-0.6,48.2
CH,2023-10-01,82.6,-1.14,5.65,"Avila, Pedro",462101,658648,strikeout,swinging_strike,,,,,14,Elvis Andrus strikes out swinging.,R,R,R,CWS,SD,S,2,,2,2,2023,0.67,0.01,1.19,1.08,,,,1,5,Bot,,,,,,,4.034654984974524,-120.26363289134568,-4.007712771564382,5.879036442710508,21.012215535808632,-31.57354785739267,3.12,1.39,,,,83.6,2848,6.7,716356,664954,643265,676946,666703,673490,595777,663757,640492,53.8,,0.0,0.0,1,0,0,,37,5,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,46,-0.022,-0.234,57.6,8.5,,0.234,,0,0,0.536,0.536,26,34,26,35,3,2,8,2,,,3.3,-0.67,-0.67,44.5
ST,2023-10-01,79.9,-1.05,5.86,"Avila, Pedro",462101,658648,,ball,,,,,12,Elvis Andrus strikes out swinging.,R,R,R,CWS,SD,B,,,1,2,2023,0.84,-0.42,0.29,3.99,,,,1,5,Bot,,,,,,,1.3898814388838836,-116.34139531097745,3.341007216749512,7.407881423955015,19.95282983970309,-36.7846920593459,3.05,1.43,,,,80.6,2801,6.6,716356,664954,643265,676946,666703,673490,595777,663757,640492,53.94,,,,,,,,37,4,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,41,0.0,0.045,,,,-0.045,,0,0,0.536,0.536,26,34,26,35,3,2,8,2,,,3.96,-0.84,-0.84,48.9
CH,2023-10-01,83.3,-1.3,5.58,"Avila, Pedro",462101,658648,,foul,,,,,8,Elvis Andrus strikes out swinging.,R,R,R,CWS,SD,S,,,1,1,2023,-0.53,-0.02,0.02,1.77,,,,1,5,Bot,,,,,,,4.115933024318665,-121.25412330140834,-2.269964689237824,-6.018544090977531,24.125393485461075,-32.08673807660885,3.12,1.39,2,75.4,-41,83.9,1553,6.7,716356,664954,643265,676946,666703,673490,595777,663757,640492,53.8,,,,,,,,37,3,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,226,0.0,-0.068,68.6,8.3,,0.068,88.0,0,0,0.536,0.536,26,34,26,35,3,2,8,2,,,3.3,0.53,0.53,40.8
CU,2023-10-01,75.8,-1.25,5.71,"Avila, Pedro",462101,658648,,ball,,,,,11,Elvis Andrus strikes out swinging.,R,R,R,CWS,SD,B,,,0,1,2023,0.82,-1.09,-1.15,2.38,,,,1,5,Bot,,,,,,,-1.2617409500586427,-110.35256334766429,2.136782881241428,6.891798508949754,21.100236594776806,-41.67149659273056,2.99,1.35,,,,75.8,2663,6.5,716356,664954,643265,676946,666703,673490,595777,663757,640492,54.04,,,,,,,,37,2,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,31,0.0,0.03,,,,-0.03,,0,0,0.536,0.536,26,34,26,35,3,2,8,2,,,5.08,-0.82,-0.82,46.6
