pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-07-01,85.3,-1.36,5.7,"Barlow, Joe",663656,669618,home_run,hit_into_play,,,,,6,Kyle Tucker homers (12) on a fly ball to right field.    Alex Bregman scores.,R,L,R,TEX,HOU,X,,fly_ball,1,0,2023,0.5,0.33,0.48,2.69,,608324,,2,9,Top,226.69,71.12,,,,,3.323556290744946,-124.24950478589882,-1.5060181748894688,4.609745327444779,23.04842586368191,-28.632891197967385,3.62,1.71,400,108.6,40,85.7,2296,6.3,717542,641680,663993,543760,673962,608369,608671,665750,666969,54.18,0.597,1.233,2.0,1,0,3,6,71,2,Slider,5,0,0,5,2,5,2,5,Infield shade,Standard,176,-0.003,1.584,,,2.413,-1.584,108.6,5,-5,0.999,0.001,27,26,28,26,1,3,2,1,,1,2.78,-0.5,0.5,52.2
CU,2023-07-01,75.2,-1.06,5.75,"Barlow, Joe",663656,669618,,ball,,,,,14,Kyle Tucker homers (12) on a fly ball to right field.    Alex Bregman scores.,R,L,R,TEX,HOU,B,,,0,0,2023,0.31,-0.86,1.9,1.06,,608324,,2,9,Top,,,,,,,5.5636071227771176,-109.39415494218618,-1.0746737050408603,1.5619784077274272,18.33980158547805,-39.15760402257239,3.42,1.63,,,,75.1,2430,6.1,717542,641680,663993,543760,673962,608369,608671,665750,666969,54.37,,,,,,,,71,1,Curveball,5,0,0,5,0,5,0,5,Infield shade,Standard,32,0.0,0.02,,,,-0.02,,5,-5,0.999,0.001,27,26,28,26,1,3,2,1,,1,4.88,-0.31,0.31,56.4
FF,2023-07-01,93.6,-1.05,5.74,"Barlow, Joe",608324,669618,double,hit_into_play,,,,,5,Alex Bregman doubles (11) on a pop up to first baseman Nathaniel Lowe.,R,R,R,TEX,HOU,X,3,popup,3,2,2023,-0.37,1.74,-0.09,2.52,,,,2,9,Top,176.91,151.33,,,,,3.275240841576339,-136.2358609784664,-6.403950578574123,-5.350355364784005,29.72958459489777,-9.323422858360225,3.33,1.58,176,63.3,49,93.5,2455,6.2,717542,641680,663993,543760,673962,608369,608671,665750,666969,54.29,0.149,0.134,1.25,1,1,1,3,70,6,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,204,-0.001,0.514,,,0.18,-0.514,88.0,5,-5,1.0,0.0,27,29,28,29,1,3,2,1,,1,0.86,0.37,0.37,52.4
SL,2023-07-01,86.1,-1.08,5.78,"Barlow, Joe",608324,669618,,called_strike,,,,,8,Alex Bregman doubles (11) on a pop up to first baseman Nathaniel Lowe.,R,R,R,TEX,HOU,S,,,3,1,2023,0.2,0.65,0.18,1.63,,,,2,9,Top,,,,,,,2.591963476579671,-125.34348521294572,-4.95799411614165,1.6274196104252945,23.501988755461568,-24.580356336742533,3.11,1.5,,,,86.2,2314,6.2,717542,641680,663993,543760,673962,608369,608671,665750,666969,54.32,,,,,,,,70,5,Slider,5,0,0,5,0,5,0,5,Standard,Standard,197,0.0,-0.093,,,,0.093,,5,-5,1.0,0.0,27,29,28,29,1,3,2,1,,1,2.41,-0.2,-0.2,53.4
SL,2023-07-01,87.0,-1.22,5.78,"Barlow, Joe",608324,669618,,ball,,,,,11,Alex Bregman doubles (11) on a pop up to first baseman Nathaniel Lowe.,R,R,R,TEX,HOU,B,,,2,1,2023,0.13,0.85,-1.14,2.93,,,,2,9,Top,,,,,,,-0.0781930527055616,-126.86279104168516,-2.472162027174023,1.391006705812343,23.90432171951358,-22.656004603814655,3.16,1.47,,,,87.2,2362,6.1,717542,641680,663993,543760,673962,608369,608671,665750,666969,54.37,,,,,,,,70,4,Slider,5,0,0,5,0,5,0,5,Standard,Standard,194,0.0,0.116,,,,-0.116,,5,-5,1.0,0.0,27,29,28,29,1,3,2,1,,1,2.13,-0.13,-0.13,49.1
FF,2023-07-01,93.7,-1.06,5.78,"Barlow, Joe",608324,669618,,called_strike,,,,,5,Alex Bregman doubles (11) on a pop up to first baseman Nathaniel Lowe.,R,R,R,TEX,HOU,S,,,2,0,2023,-0.58,1.78,-0.03,2.21,,,,2,9,Top,,,,,,,3.935286107420508,-136.24065912214303,-7.41375607997499,-8.105228388313954,30.506288636347104,-8.520694051831637,3.19,1.47,,,,93.5,2479,6.2,717542,641680,663993,543760,673962,608369,608671,665750,666969,54.26,,,,,,,,70,3,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,205,0.0,-0.06,,,,0.06,,5,-5,1.0,0.0,27,29,28,29,1,3,2,1,,1,0.82,0.58,0.58,52.1
FF,2023-07-01,92.4,-0.92,5.84,"Barlow, Joe",608324,669618,,ball,,,,,14,Alex Bregman doubles (11) on a pop up to first baseman Nathaniel Lowe.,R,R,R,TEX,HOU,B,,,1,0,2023,-0.35,1.7,1.67,1.63,,,,2,9,Top,,,,,,,7.313244979419999,-134.2010047973373,-8.547040929981343,-5.7673921965601975,28.906182927547405,-9.973039178812572,3.19,1.5,,,,92.0,2444,6.1,717542,641680,663993,543760,673962,608369,608671,665750,666969,54.37,,,,,,,,70,2,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,203,0.0,0.056,,,,-0.056,,5,-5,1.0,0.0,27,29,28,29,1,3,2,1,,1,0.98,0.35,0.35,54.6
FF,2023-07-01,93.5,-0.88,5.85,"Barlow, Joe",608324,669618,,ball,,,,,13,Alex Bregman doubles (11) on a pop up to first baseman Nathaniel Lowe.,R,R,R,TEX,HOU,B,,,0,0,2023,-0.52,1.69,-0.01,1.22,,,,2,9,Top,,,,,,,3.3845698474415604,-135.8683138576086,-9.85426144669158,-7.125391858021311,29.535682194398884,-9.341288931760204,3.25,1.5,,,,93.3,2410,6.2,717542,641680,663993,543760,673962,608369,608671,665750,666969,54.25,,,,,,,,70,1,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,205,0.0,0.043,,,,-0.043,,5,-5,1.0,0.0,27,29,28,29,1,3,2,1,,1,0.93,0.52,0.52,52.7
FF,2023-07-01,92.5,-1.1,5.81,"Barlow, Joe",514888,669618,field_out,hit_into_play,,,,,12,"Jose Altuve grounds out, shortstop Corey Seager to first baseman Nathaniel Lowe.",R,R,R,TEX,HOU,X,6,ground_ball,1,0,2023,-0.37,1.64,0.15,3.25,,,,1,9,Top,99.7,143.64,,,,,3.985154811990815,-134.68329582134743,-4.271799914058761,-5.383820716920482,29.915451322750652,-11.514240359379546,2.93,1.32,6,77.8,-27,92.2,2367,6.1,717542,641680,663993,543760,673962,608369,608671,665750,666969,54.37,0.029,0.039,0.0,1,0,0,2,69,2,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,204,0.002,-0.306,,,0.029,0.306,88.0,5,-5,0.998,0.002,27,33,28,33,1,3,2,1,,1,1.03,0.37,0.37,49.8
SL,2023-07-01,85.2,-1.41,5.72,"Barlow, Joe",514888,669618,,ball,,,,,11,"Jose Altuve grounds out, shortstop Corey Seager to first baseman Nathaniel Lowe.",R,R,R,TEX,HOU,B,,,0,0,2023,0.27,0.62,-1.16,2.76,,,,1,9,Top,,,,,,,0.0457410193109205,-124.18976475160476,-1.9763258582854408,2.805684418480624,21.965078261515853,-25.555857218557644,2.76,1.24,,,,85.5,2284,6.1,717542,641680,663993,543760,673962,608369,608671,665750,666969,54.4,,,,,,,,69,1,Slider,5,0,0,5,0,5,0,5,Standard,Standard,188,0.0,0.039,,,,-0.039,,5,-5,0.998,0.002,27,33,28,33,1,3,2,1,,1,2.48,-0.27,-0.27,50.8
