pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2023-03-27,,,,"Black, Grant",663630,667176,field_out,hit_into_play,,,,,,"Ryan McKenna grounds out, catcher Nick Raposo to first baseman Chandler Redmond.",S,R,R,BAL,STL,X,2,ground_ball,0,0,2023,,,,,,,,2,8,Bot,134.94,194.63,,,,,,,,,,,,,,,,,,,719720,695596,687470,680709,689750,676761,701675,687363,689288,,,,0.0,,0,0,,62,1,,1,5,1,5,5,1,1,5,,,,-0.004,-0.275,,,,0.275,,-4,-4,0.017,0.017,28,26,29,26,1,1,,,,,,,,
,2023-03-27,,,,"Black, Grant",693409,667176,field_out,hit_into_play,,,,,,Cesar Prieto pops out to shortstop Irving Lopez.,S,L,R,BAL,STL,X,6,popup,0,0,2023,,,,,,,,1,8,Bot,104.75,149.35,,,,,,,,,,,,,,,,,,,719720,695596,687470,680709,689750,676761,701675,687363,689288,,,,0.0,,0,0,,61,1,,1,5,1,5,5,1,1,5,,,,-0.008,-0.267,,,,0.267,,-4,-4,0.025,0.025,28,24,29,24,1,0,,,,,,,,
,2023-03-27,,,,"Black, Grant",663662,667176,field_out,hit_into_play,,,,,,Daz Cameron lines out to second baseman Nick Dunn.,S,R,R,BAL,STL,X,4,line_drive,0,0,2023,,,,,,,,0,8,Bot,138.91,139.81,,,,,,,,,,,,,,,,,,,719720,695596,687470,680709,689750,676761,701675,687363,689288,,,,0.0,,0,0,,60,1,,1,5,1,5,5,1,1,5,,,,-0.014,-0.265,,,,0.265,,-4,-4,0.039,0.039,28,26,29,26,1,0,,,,,,,,
SL,2023-03-25,81.9,-2.16,5.65,"Black, Grant",677954,667176,field_out,hit_into_play,,,,,9,"Jordan Groshans grounds out, second baseman Nick Dunn to first baseman Chandler Redmond.",S,R,R,STL,MIA,X,4,ground_ball,1,2,2023,0.04,-0.11,0.66,1.99,,,695031,2,8,Top,149.7,152.64,,,,,6.288080525317567,-119.19192113805042,-1.5427700201864634,-0.6786956510271992,20.917336570031683,-33.185686640782315,3.45,1.68,131,88.7,8,82.1,2178,6.2,718963,695596,687470,680709,702331,692405,656568,687363,676198,54.27,0.543,,0.0,,0,0,4,59,4,Slider,2,2,2,2,2,2,2,2,Standard,Strategic,41,0.051,-0.207,,,0.605,0.207,88.7,0,0,0.554,0.446,28,23,29,24,1,0,,,,,3.49,-0.04,-0.04,
SI,2023-03-25,93.5,-2.1,5.75,"Black, Grant",677954,667176,,ball,,,,,11,"Jordan Groshans grounds out, second baseman Nick Dunn to first baseman Chandler Redmond.",S,R,R,STL,MIA,B,,,0,2,2023,-0.99,1.0,-0.01,3.84,,,695031,2,8,Top,,,,,,,7.595156896040598,-136.1160957613089,-1.441412892294128,-13.908357191772572,26.85666078890559,-19.60134668776188,3.53,1.67,,,,94.0,2156,6.3,718963,695596,687470,680709,702331,692405,656568,687363,676198,54.15,,,,,,,,59,3,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,231,0.0,0.02,,,,-0.02,,0,0,0.554,0.446,28,23,29,24,1,0,,,,,1.59,0.99,0.99,
SI,2023-03-25,92.1,-2.12,5.67,"Black, Grant",677954,667176,,called_strike,,,,,6,"Jordan Groshans grounds out, second baseman Nick Dunn to first baseman Chandler Redmond.",S,R,R,STL,MIA,S,,,0,1,2023,-1.15,0.52,0.39,2.65,,,695031,2,8,Top,,,,,,,8.888112156680405,-133.90640979648387,-3.0170285453118075,-15.670324792596006,25.894207328129394,-25.475216243128955,3.51,1.65,,,,92.8,1977,6.5,718963,695596,687470,680709,702331,692405,656568,687363,676198,54.0,,,,,,,,59,2,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,232,0.0,-0.055,,,,0.055,,0,0,0.554,0.446,28,23,29,24,1,0,,,,,2.15,1.15,1.15,
CH,2023-03-25,82.7,-2.07,5.73,"Black, Grant",677954,667176,,called_strike,,,,,5,"Jordan Groshans grounds out, second baseman Nick Dunn to first baseman Chandler Redmond.",S,R,R,STL,MIA,S,,,0,0,2023,-1.29,-0.02,-0.08,2.58,,,695031,2,8,Top,,,,,,,7.086446494759246,-120.33404327014756,-0.6426269821503288,-13.88475845711161,23.08009766471555,-32.44371997114327,3.5,1.65,,,,83.2,1272,6.6,718963,695596,687470,680709,702331,692405,656568,687363,676198,53.92,,,,,,,,59,1,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,247,0.0,-0.045,,,,0.045,,0,0,0.554,0.446,28,23,29,24,1,0,,,,,3.35,1.29,1.29,
SI,2023-03-25,92.3,-2.16,5.7,"Black, Grant",695031,667176,single,hit_into_play,,,,,2,Joshua Zamora singles on a fly ball to right fielder Chase Pinder.   Jon Berti scores.,S,R,R,STL,MIA,X,9,fly_ball,3,2,2023,-1.3,0.51,-0.23,2.86,542932,,,2,8,Top,165.66,135.87,,,,,7.78408282979129,-134.20523257688444,-2.5478802784066215,-17.388698194291557,27.58099808425429,-25.691475186113124,3.32,1.51,189,68.8,29,92.9,1975,6.6,718963,695596,687470,680709,702331,692405,656568,687363,676198,53.91,0.911,,0.9,,1,0,4,58,6,Sinker,2,1,1,2,2,2,2,2,Standard,Standard,228,-0.225,0.706,,,1.006,-0.706,88.0,1,-1,0.779,0.221,28,24,29,24,1,0,,,,,2.16,1.3,1.3,
SI,2023-03-25,93.0,-1.82,5.96,"Black, Grant",695031,667176,,ball,,,,,14,Joshua Zamora singles on a fly ball to right fielder Chase Pinder.   Jon Berti scores.,S,R,R,STL,MIA,B,,,2,2,2023,-1.02,1.08,0.92,1.87,542932,,,2,8,Top,,,,,,,9.29838062999098,-135.1883909210751,-7.208672975849832,-14.28913023638226,23.690992909057535,-17.50138728151828,3.13,1.45,,,,94.2,2039,6.6,718963,695596,687470,680709,702331,692405,656568,687363,676198,53.91,,,,,,,,58,5,Sinker,2,1,1,2,1,2,1,2,Standard,Standard,226,0.0,0.053,,,,-0.053,,1,-1,0.779,0.221,28,24,29,24,1,0,,,,,1.51,1.02,1.02,
SI,2023-03-25,92.2,-2.22,5.69,"Black, Grant",695031,667176,,swinging_strike,,,,,11,Joshua Zamora singles on a fly ball to right fielder Chase Pinder.   Jon Berti scores.,S,R,R,STL,MIA,S,,,2,1,2023,-1.23,0.92,-0.74,3.73,542932,,,2,8,Top,,,,,,,6.45561262651652,-134.14085526991906,-1.1719710115060016,-16.292841817787682,27.71957388778891,-21.03829882287146,3.32,1.51,,,,92.6,2051,6.4,718963,695596,687470,680709,702331,692405,656568,687363,676198,54.05,,,,,,,,58,4,Sinker,2,1,1,2,1,2,1,2,Standard,Standard,227,0.0,-0.063,,,,0.063,,1,-1,0.779,0.221,28,24,29,24,1,0,,,,,1.76,1.23,1.23,
