pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-08-26,89.4,-1.31,5.72,"Blanco, Ronel",668731,669854,field_out,hit_into_play,,,,,4,Akil Baddoo flies out to left fielder Corey Julks.,R,L,R,DET,HOU,X,7,fly_ball,2,0,2023,0.06,0.93,-0.33,2.55,,,,2,9,Bot,73.0,118.58,,,,,2.3112518782615967,-130.2989769015517,-3.891101186425741,0.2178074654722225,23.525774768371573,-20.98536595546212,3.48,1.66,241,88.7,51,90.9,2037,6.8,716843,673237,547989,643289,608324,665161,667452,676694,676801,53.72,0.006,0.006,0.0,1,0,0,3,87,3,Slider,2,9,2,9,9,2,2,9,Infield shade,Standard,205,0.0,-0.374,72.3,8.0,0.01,0.374,88.7,-7,-7,0.0,0.0,29,24,30,25,1,4,24,1,,2,1.88,-0.06,0.06,41.1
FF,2023-08-26,93.3,-0.98,5.9,"Blanco, Ronel",668731,669854,,ball,,,,,11,Akil Baddoo flies out to left fielder Corey Julks.,R,L,R,DET,HOU,B,,,1,0,2023,-0.46,1.43,-0.29,5.64,,,,2,9,Bot,,,,,,,2.8065004375474714,-135.9426583586557,1.9747329824606237,-6.275610315523763,29.976127377061427,-15.15828222839884,3.58,1.7,,,,94.2,2147,6.7,716843,673237,547989,643289,608324,665161,667452,676694,676801,53.77,,,,,,,,87,2,4-Seam Fastball,2,9,2,9,9,2,2,9,Infield shade,Standard,207,0.0,0.056,,,,-0.056,,-7,-7,0.0,0.0,29,24,30,25,1,4,24,1,,2,1.19,0.46,-0.46,46.1
SL,2023-08-26,89.1,-1.06,5.71,"Blanco, Ronel",668731,669854,,ball,,,,,14,Akil Baddoo flies out to left fielder Corey Julks.,R,L,R,DET,HOU,B,,,0,0,2023,0.04,0.87,0.05,0.32,,,,2,9,Bot,,,,,,,2.6536872504659463,-129.6536422525435,-9.180689024807831,0.0371660973860768,23.035692134476925,-20.791970618004413,3.65,1.75,,,,90.3,2139,6.7,716843,673237,547989,643289,608324,665161,667452,676694,676801,53.79,,,,,,,,87,1,Slider,2,9,2,9,9,2,2,9,Infield shade,Standard,198,0.0,0.043,,,,-0.043,,-7,-7,0.0,0.0,29,24,30,25,1,4,24,1,,2,1.97,-0.04,0.04,41.8
SL,2023-08-26,88.7,-1.16,5.77,"Blanco, Ronel",608348,669854,field_out,hit_into_play,,,,,5,Carson Kelly lines out to left fielder Corey Julks.,R,R,R,DET,HOU,X,7,line_drive,0,1,2023,0.24,0.86,-0.04,2.22,,,,1,9,Bot,74.2,65.65,,,,,2.25020728692228,-129.26058055391525,-4.528572045680399,2.3139281563844603,24.00845995347909,-21.74698019968228,3.22,1.56,353,93.6,24,89.9,2106,6.7,716843,673237,547989,643289,608324,665161,667452,676694,676801,53.81,0.206,0.273,0.0,1,0,0,3,86,2,Slider,2,9,2,9,9,2,2,9,Standard,Standard,194,0.0,-0.227,70.6,6.9,0.449,0.227,93.6,-7,-7,0.0,0.0,29,28,30,29,1,3,24,5,,2,2.0,-0.24,-0.24,43.0
SL,2023-08-26,87.5,-1.14,5.74,"Blanco, Ronel",608348,669854,,called_strike,,,,,9,Carson Kelly lines out to left fielder Corey Julks.,R,R,R,DET,HOU,S,,,0,0,2023,0.32,0.68,0.61,2.07,,,,1,9,Bot,,,,,,,3.596562653523961,-127.42193224558272,-4.203474614206419,2.7875810181624123,24.42669102776416,-24.13456905069985,3.36,1.61,,,,88.5,2069,6.7,716843,673237,547989,643289,608324,665161,667452,676694,676801,53.78,,,,,,,,86,1,Slider,2,9,2,9,9,2,2,9,Standard,Standard,189,0.0,-0.041,,,,0.041,,-7,-7,0.0,0.0,29,28,30,29,1,3,24,5,,2,2.28,-0.32,-0.32,43.6
FF,2023-08-26,93.6,-0.9,5.9,"Blanco, Ronel",656716,669854,field_out,hit_into_play,,,,,6,Zach McKinstry lines out sharply to first baseman Jose Abreu.,R,L,R,DET,HOU,X,3,line_drive,0,0,2023,-0.2,1.35,0.47,2.45,,,,0,9,Bot,169.82,150.57,,,,,4.038155089759108,-136.19834502357202,-6.220518367256957,-3.344746748368382,28.570343920752247,-14.163680368179358,3.27,1.56,165,102.3,10,94.8,2145,6.9,716843,673237,547989,643289,608324,665161,667452,676694,676801,53.62,0.851,0.81,0.0,1,0,0,4,85,1,4-Seam Fastball,2,9,2,9,9,2,2,9,Infield shade,Standard,203,-0.001,-0.265,70.4,6.9,1.02,0.265,102.3,-7,-7,0.001,0.001,29,28,30,28,1,3,24,1,,1,1.24,0.2,-0.2,47.1
SL,2023-08-26,88.0,-1.01,5.6,"Blanco, Ronel",595879,669854,field_out,hit_into_play,,,,,14,Javier Baez lines out to shortstop Jeremy Pena.,R,R,R,DET,HOU,X,6,line_drive,1,2,2023,0.31,0.46,0.63,0.84,681481,678009,,2,8,Bot,102.39,137.93,,,,,3.3831134490417165,-128.08666657338298,-6.451514165566811,2.6747533647549195,26.75864676981946,-25.956111782732663,3.6,1.68,167,62.6,21,88.6,2182,6.7,716843,673237,547989,643289,608324,665161,667452,676694,676801,53.83,0.509,0.458,0.0,1,0,0,4,79,4,Slider,2,9,2,9,9,2,2,9,Standard,Standard,193,-0.003,-0.191,64.3,9.5,0.509,0.191,88.0,-7,-7,0.004,0.004,29,30,30,31,1,3,24,1,,1,2.48,-0.31,-0.31,41.0
SL,2023-08-26,89.0,-1.09,5.55,"Blanco, Ronel",595879,669854,,swinging_strike,,,,,14,Javier Baez lines out to shortstop Jeremy Pena.,R,R,R,DET,HOU,S,,,1,1,2023,-0.01,0.85,1.06,0.81,681481,678009,,2,8,Bot,,,,,,,5.358875588014666,-129.50285779007532,-7.484038856163482,-1.1452404684265136,25.4594450194509,-21.253164561966027,3.6,1.68,,,,90.1,2164,6.9,716843,673237,547989,643289,608324,665161,667452,676694,676801,53.65,,,,,,,,79,3,Slider,2,9,2,9,9,2,2,9,Standard,Standard,197,0.0,-0.066,68.7,9.8,,0.066,,-7,-7,0.004,0.004,29,30,30,31,1,3,24,1,,1,2.01,0.01,0.01,40.0
SL,2023-08-26,88.0,-1.11,5.72,"Blanco, Ronel",595879,669854,,called_strike,,,,,6,Javier Baez lines out to shortstop Jeremy Pena.,R,R,R,DET,HOU,S,,,1,0,2023,0.26,0.81,0.64,2.39,681481,678009,,2,8,Bot,,,,,,,3.7273055617404576,-128.18232768444832,-3.7796105811908833,2.2611563446924374,22.80811342993001,-22.6418702510406,3.67,1.72,,,,89.5,2176,6.8,716843,673237,547989,643289,608324,665161,667452,676694,676801,53.67,,,,,,,,79,2,Slider,2,9,2,9,9,2,2,9,Standard,Standard,196,0.0,-0.053,,,,0.053,,-7,-7,0.004,0.004,29,30,30,31,1,3,24,1,,1,2.09,-0.26,-0.26,49.4
FF,2023-08-26,93.2,-0.91,5.72,"Blanco, Ronel",595879,669854,,ball,,,,,13,Javier Baez lines out to shortstop Jeremy Pena.,R,R,R,DET,HOU,B,,,0,0,2023,-0.59,1.42,-1.03,2.02,681481,678009,,2,8,Bot,,,,,,,1.0014287018160837,-135.64392954820605,-6.932382615444782,-7.446057033677979,29.3596828695379,-13.377616591337029,3.68,1.76,,,,94.4,2250,6.9,716843,673237,547989,643289,608324,665161,667452,676694,676801,53.56,,,,,,,,79,1,4-Seam Fastball,2,9,2,9,9,2,2,9,Standard,Standard,208,0.0,0.018,,,,-0.018,,-7,-7,0.004,0.004,29,30,30,31,1,3,24,1,,1,1.2,0.59,0.59,44.9
