pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2023-06-14,85.4,-2.12,5.07,"Bristo, Braden",592696,668754,field_out,hit_into_play,,,,,7,Eddie Rosario flies out to left fielder Zach McKinstry.,R,L,R,DET,ATL,X,7,fly_ball,1,1,2023,-0.89,0.32,-0.83,1.89,,,663586,2,9,Top,92.73,85.63,,,,,4.782954183248851,-124.30002078039723,-1.8780695286479137,-10.177774254376294,23.654634031635847,-28.654041732428425,3.34,1.64,294,81.6,30,84.9,1609,5.8,717770,606992,679529,670097,628451,595879,656716,545350,663837,54.69,0.069,0.072,0.0,1,0,0,3,80,3,Changeup,6,10,10,6,10,6,10,6,Infield shade,Standard,237,0.001,-0.266,,,0.113,0.266,88.0,-4,4,0.015,0.985,28,31,29,32,2,4,15,2,,0,2.79,0.89,-0.89,25.4
FC,2023-06-14,88.6,-2.06,5.01,"Bristo, Braden",592696,668754,,foul,,,,,11,Eddie Rosario flies out to left fielder Zach McKinstry.,R,L,R,DET,ATL,S,,,1,0,2023,0.06,0.77,-0.16,3.47,,,663586,2,9,Top,,,,,,,4.485392620152923,-129.16757290521923,0.579883427322549,-0.1409311212771279,23.244120237422287,-23.73560843259148,3.34,1.64,206,73.3,44,88.5,2497,5.8,717770,606992,679529,670097,628451,595879,656716,545350,663837,54.69,,,,,,,,80,2,Cutter,6,10,10,6,10,6,10,6,Infield shade,Standard,204,0.0,-0.05,,,,0.05,88.0,-4,4,0.015,0.985,28,31,29,32,2,4,15,2,,0,2.09,-0.06,0.06,24.0
FC,2023-06-14,88.8,-2.21,5.0,"Bristo, Braden",592696,668754,,ball,,,,,1,Eddie Rosario flies out to left fielder Zach McKinstry.,R,L,R,DET,ATL,B,,,0,0,2023,0.35,0.73,-0.78,3.15,,,663586,2,9,Top,,,,,,,2.782843267273272,-129.3901007460848,-0.0734585542993522,3.3594072347778807,25.086504418519315,-24.096676064718057,3.42,1.75,,,,88.5,2398,5.9,717770,606992,679529,670097,628451,595879,656716,545350,663837,54.62,,,,,,,,80,1,Cutter,6,10,10,6,10,6,10,6,Infield shade,Standard,210,0.0,0.03,,,,-0.03,,-4,4,0.015,0.985,28,31,29,32,2,4,15,2,,0,2.13,-0.35,0.35,25.7
FC,2023-06-14,88.7,-2.17,5.01,"Bristo, Braden",518595,668754,strikeout,swinging_strike,,,,,2,Travis d'Arnaud strikes out swinging.,R,R,R,DET,ATL,S,2,,2,2,2023,0.2,0.64,-0.13,2.94,,,663586,1,9,Top,,,,,,,4.522821143667279,-129.33470149973195,-0.4711563738794974,1.548711390603347,21.51052227917688,-24.973841535570447,3.49,1.6,,,,88.8,2483,5.8,717770,606992,679529,670097,628451,595879,656716,545350,663837,54.73,,0.0,0.0,1,0,0,,79,5,Cutter,6,10,10,6,10,6,10,6,Standard,Standard,189,0.002,-0.23,,,,0.23,,-4,4,0.013,0.987,28,34,29,34,1,4,15,2,,2,2.2,-0.2,-0.2,25.7
SI,2023-06-14,91.2,-2.23,5.06,"Bristo, Braden",518595,668754,,ball,,,,,13,Travis d'Arnaud strikes out swinging.,R,R,R,DET,ATL,B,,,1,2,2023,-1.46,0.31,-1.78,1.98,,,663586,1,9,Top,,,,,,,4.219056012541167,-132.8636701744008,-2.5469286640633895,-18.24732913111756,26.95529596031304,-28.222827682919544,3.38,1.6,,,,90.7,2113,5.8,717770,606992,679529,670097,628451,595879,656716,545350,663837,54.72,,,,,,,,79,4,Sinker,6,10,10,6,10,6,10,6,Standard,Standard,232,0.0,0.047,,,,-0.047,,-4,4,0.013,0.987,28,34,29,34,1,4,15,2,,2,2.42,1.46,1.46,27.0
SI,2023-06-14,92.3,-2.08,5.12,"Bristo, Braden",518595,668754,,ball,,,,,13,Travis d'Arnaud strikes out swinging.,R,R,R,DET,ATL,B,,,0,2,2023,-1.26,0.49,-0.16,1.4,,,663586,1,9,Top,,,,,,,7.535563260624458,-134.27309322375436,-4.708247054735663,-16.77927210983753,25.950868777351857,-25.463965986484485,3.46,1.57,,,,91.8,2188,5.7,717770,606992,679529,670097,628451,595879,656716,545350,663837,54.76,,,,,,,,79,3,Sinker,6,10,10,6,10,6,10,6,Standard,Standard,227,0.0,0.023,,,,-0.023,,-4,4,0.013,0.987,28,34,29,34,1,4,15,2,,2,2.17,1.26,1.26,28.7
FC,2023-06-14,88.1,-2.26,5.02,"Bristo, Braden",518595,668754,,foul,,,,,5,Travis d'Arnaud strikes out swinging.,R,R,R,DET,ATL,S,,,0,1,2023,0.22,0.53,-0.2,2.8,,,663586,1,9,Top,,,,,,,4.531860784840048,-128.52356311002362,-0.5454148243208423,1.715992937543038,21.310152738166924,-26.280972527986172,3.49,1.6,,,,88.4,2496,5.9,717770,606992,679529,670097,628451,595879,656716,545350,663837,54.62,,,,,,,,79,2,Cutter,6,10,10,6,10,6,10,6,Standard,Standard,151,0.0,-0.053,,,,0.053,,-4,4,0.013,0.987,28,34,29,34,1,4,15,2,,2,2.34,-0.22,-0.22,24.9
ST,2023-06-14,83.0,-2.35,5.02,"Bristo, Braden",518595,668754,,called_strike,,,,,8,Travis d'Arnaud strikes out swinging.,R,R,R,DET,ATL,S,,,0,0,2023,1.37,0.46,-0.02,1.93,,,663586,1,9,Top,,,,,,,2.6214942167051074,-120.92918310830024,-1.4859512974547873,12.968190216688518,23.727127133670077,-27.59184829884573,3.46,1.57,,,,82.1,2714,5.7,717770,606992,679529,670097,628451,595879,656716,545350,663837,54.84,,,,,,,,79,1,Sweeper,6,10,10,6,10,6,10,6,Standard,Standard,83,0.0,-0.042,,,,0.042,,-4,4,0.013,0.987,28,34,29,34,1,4,15,2,,2,2.84,-1.37,-1.37,26.2
ST,2023-06-14,82.0,-2.43,5.07,"Bristo, Braden",663586,668754,single,hit_into_play,,,,,4,Austin Riley singles on a fly ball to first baseman Spencer Torkelson.,R,R,R,DET,ATL,X,3,fly_ball,1,2,2023,1.33,0.38,-0.29,2.49,,,,1,9,Top,184.0,143.32,,,,,2.2455602894423468,-119.42987893377578,-0.0453241588402505,12.327938464622292,22.738159185258183,-28.72257009635232,3.46,1.65,201,67.9,49,81.0,2703,5.5,717770,606992,679529,670097,628451,595879,656716,545350,663837,54.96,0.18,0.177,0.9,1,1,0,3,78,4,Sweeper,6,10,10,6,10,6,10,6,Standard,Standard,78,-0.001,0.495,,,0.243,-0.495,88.0,-4,4,0.014,0.986,28,26,29,26,1,4,15,2,,0,3.0,-1.33,-1.33,25.2
ST,2023-06-14,82.7,-2.28,5.04,"Bristo, Braden",663586,668754,,ball,,,,,14,Austin Riley singles on a fly ball to first baseman Spencer Torkelson.,R,R,R,DET,ATL,B,,,0,2,2023,0.83,0.49,1.65,2.18,,,,1,9,Top,,,,,,,7.263359191023268,-120.20630336098256,-0.9664216949124412,6.5559127806991215,23.813093923002768,-27.416155579085327,3.49,1.62,,,,81.8,2633,5.8,717770,606992,679529,670097,628451,595879,656716,545350,663837,54.74,,,,,,,,78,3,Sweeper,6,10,10,6,10,6,10,6,Standard,Standard,74,0.0,0.019,,,,-0.019,,-4,4,0.014,0.986,28,26,29,26,1,4,15,2,,0,2.85,-0.83,-0.83,27.0
