pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CU,2023-03-26,80.8,-1.81,5.56,"Brown, Zack",668845,641409,strikeout,swinging_strike_blocked,,,,,14,Aaron Schunk strikes out swinging.,S,R,R,COL,CIN,S,2,,1,2,2023,0.92,-0.84,0.71,0.66,,,,2,8,Bot,,,,,,,3.8812628133769818,-117.60720508673168,-2.5755536051967445,7.60939844295375,25.769274530369685,-39.538596099582655,3.47,1.59,,,,80.8,2279,6.6,718937,642020,685127,667351,666161,686958,605361,686759,678323,53.89,,,0.0,,0,0,,70,4,Curveball,5,7,5,7,7,5,5,7,Standard,Standard,58,-0.016,-0.191,,,,0.191,,-2,-2,0.087,0.087,28,25,29,26,1,1,,,,,4.37,-0.92,-0.92,
SI,2023-03-26,92.0,-1.52,5.67,"Brown, Zack",668845,641409,,called_strike,,,,,6,Aaron Schunk strikes out swinging.,S,R,R,COL,CIN,S,,,1,1,2023,-1.21,1.12,0.47,2.6,,,,2,8,Bot,,,,,,,7.727347276383593,-133.62557959910922,-4.3434912755467945,-16.195837488840315,31.635231499120025,-18.014010046849336,3.22,1.57,,,,92.3,2011,6.8,718937,642020,685127,667351,666161,686958,605361,686759,678323,53.69,,,,,,,,70,3,Sinker,5,7,5,7,7,5,5,7,Standard,Standard,194,0.0,-0.069,,,,0.069,,-2,-2,0.087,0.087,28,25,29,26,1,1,,,,,1.6,1.21,1.21,
SI,2023-03-26,91.1,-1.85,5.52,"Brown, Zack",668845,641409,,ball,,,,,13,Aaron Schunk strikes out swinging.,S,R,R,COL,CIN,B,,,0,1,2023,-1.19,1.05,-0.36,0.87,,,,2,8,Bot,,,,,,,6.343715550610967,-132.31125703563498,-8.032456671952644,-15.391257506669492,30.807766065016526,-18.270647542934732,3.12,1.52,,,,91.3,1962,6.7,718937,642020,685127,667351,666161,686958,605361,686759,678323,53.76,,,,,,,,70,2,Sinker,5,7,5,7,7,5,5,7,Standard,Standard,199,0.0,0.031,,,,-0.031,,-2,-2,0.087,0.087,28,25,29,26,1,1,,,,,1.73,1.19,1.19,
CU,2023-03-26,79.6,-1.7,5.55,"Brown, Zack",668845,641409,,called_strike,,,,,3,Aaron Schunk strikes out swinging.,S,R,R,COL,CIN,S,,,0,0,2023,1.33,-0.27,0.42,2.96,,,,2,8,Bot,,,,,,,2.1524201318247114,-115.794415146623,1.6506462827271653,11.414698075064956,23.6370316582487,-35.11393288235201,3.22,1.56,,,,79.7,2101,6.6,718937,642020,685127,667351,666161,686958,605361,686759,678323,53.9,,,,,,,,70,1,Curveball,5,7,5,7,7,5,5,7,Standard,Standard,55,0.0,-0.045,,,,0.045,,-2,-2,0.087,0.087,28,25,29,26,1,1,,,,,3.89,-1.33,-1.33,
CU,2023-03-26,79.7,-1.81,5.62,"Brown, Zack",687597,641409,strikeout,swinging_strike,,,,,11,Jordan Beck strikes out swinging.,S,R,R,COL,CIN,S,2,,0,2,2023,1.2,-0.21,-0.58,3.7,,,,1,8,Bot,,,,,,,0.4438075320768653,-115.9930062322276,3.0082301697277902,10.626714685947766,24.084081560397383,-34.9204106625508,3.49,1.6,,,,79.6,2249,6.5,718937,642020,685127,667351,666161,686958,605361,686759,678323,54.02,,,0.0,,0,0,,69,3,Curveball,5,7,5,7,7,5,5,7,Standard,Standard,59,-0.028,-0.17,,,,0.17,,-2,-2,0.115,0.115,28,22,29,22,1,0,,,,,3.83,-1.2,-1.2,
FF,2023-03-26,90.7,-1.78,5.6,"Brown, Zack",687597,641409,,swinging_strike,,,,,1,Jordan Beck strikes out swinging.,S,R,R,COL,CIN,S,,,0,1,2023,-0.73,1.23,-0.77,3.13,,,,1,8,Bot,,,,,,,4.1009169985050535,-131.9604117747205,-2.8599531553504027,-9.358547076017738,29.384731477448796,-17.466878235261696,3.49,1.6,,,,91.2,1969,6.7,718937,642020,685127,667351,666161,686958,605361,686759,678323,53.79,,,,,,,,69,2,4-Seam Fastball,5,7,5,7,7,5,5,7,Standard,Standard,202,0.0,-0.057,,,,0.057,,-2,-2,0.115,0.115,28,22,29,22,1,0,,,,,1.56,0.73,0.73,
SI,2023-03-26,92.4,-1.78,5.62,"Brown, Zack",687597,641409,,swinging_strike,,,,,1,Jordan Beck strikes out swinging.,S,R,R,COL,CIN,S,,,0,0,2023,-1.04,1.06,-0.38,3.08,,,,1,8,Bot,,,,,,,5.891165852052838,-134.49381104269523,-2.979128870121956,-13.942249377804176,30.30057247579009,-18.894064618391184,3.49,1.6,,,,92.9,2060,6.7,718937,642020,685127,667351,666161,686958,605361,686759,678323,53.82,,,,,,,,69,1,Sinker,5,7,5,7,7,5,5,7,Standard,Standard,193,0.0,-0.041,,,,0.041,,-2,-2,0.115,0.115,28,22,29,22,1,0,,,,,1.62,1.04,1.04,
SI,2023-03-26,92.4,-2.08,5.42,"Brown, Zack",657061,641409,sac_fly,hit_into_play,,,,,5,Cole Tucker out on a sacrifice fly to center fielder TJ Hopkins.   Brenton Doyle scores.,S,L,R,COL,CIN,X,8,fly_ball,1,0,2023,-1.22,0.71,0.04,2.31,686668,,,0,8,Bot,83.76,55.97,,,,,8.127207361844413,-134.2160865800751,-3.584240087830868,-16.60636285720359,31.747031034016302,-23.03938859474212,3.44,1.71,368,97.4,31,92.6,2024,6.7,718937,642020,685127,667351,666161,686958,605361,686759,678323,53.76,0.277,,0.0,,0,0,5,68,2,Sinker,4,7,4,7,7,5,5,7,Standard,Standard,205,-0.04,-0.245,,,0.926,0.245,97.4,-3,-3,0.155,0.155,28,26,29,27,1,0,,,,,1.99,1.22,-1.22,
CU,2023-03-26,80.5,-2.0,5.51,"Brown, Zack",657061,641409,,ball,,,,,1,Cole Tucker out on a sacrifice fly to center fielder TJ Hopkins.   Brenton Doyle scores.,S,L,R,COL,CIN,B,,,0,0,2023,1.47,-0.35,-0.29,3.68,686668,,,0,8,Bot,,,,,,,1.011360545822022,-117.1254453576386,3.322531411146096,13.321148987865008,22.85850357348271,-36.23193088297993,3.67,1.88,,,,80.7,2104,6.5,718937,642020,685127,667351,666161,686958,605361,686759,678323,54.02,,,,,,,,68,1,Curveball,4,7,4,7,7,4,4,7,Standard,Standard,60,0.0,0.028,,,,-0.028,,-3,-3,0.155,0.155,28,26,29,27,1,0,,,,,3.87,-1.47,1.47,
SI,2023-03-26,90.9,-1.8,5.58,"Brown, Zack",686668,641409,triple,hit_into_play,,,,,8,Brenton Doyle triples (1) on a sharp fly ball to right fielder Allan Cerda.   Ezequiel Tovar scores.,S,R,R,COL,CIN,X,9,fly_ball,2,1,2023,-1.11,0.62,0.01,2.1,,,678662,0,8,Bot,223.28,95.12,,,,,6.964368920575137,-132.12659669052147,-4.118493871845987,-14.503266600207184,28.62250459413013,-24.240747812998347,3.49,1.6,350,101.3,29,91.4,2068,6.7,718937,642020,685127,667351,666161,686958,605361,686759,678323,53.79,0.606,,1.6,,1,2,6,67,4,Sinker,3,7,3,7,7,4,4,7,Standard,Standard,203,0.089,0.95,,,2.207,-0.95,101.3,-4,-4,0.066,0.066,28,25,29,25,1,2,,,,,2.15,1.11,1.11,
