pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2023-09-28,92.8,2.3,4.91,"Bummer, Aaron",572233,607481,field_out,hit_into_play,,,,,8,"Christian Walker grounds out, third baseman Yoan Moncada to first baseman Andrew Vaughn.",R,R,L,CWS,AZ,X,5,ground_ball,1,0,2023,1.07,0.06,0.25,1.74,,,,2,8,Top,103.97,167.67,,,,,-7.704887708112753,-135.0426673042288,-2.534534473513627,14.669475013866291,26.89923449191493,-31.05699240603544,3.39,1.55,3,101.8,-31,94.4,1987,7.0,716443,686676,683734,672820,660162,641313,643217,572204,571980,53.45,0.117,0.101,0.0,1,0,0,2,56,2,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,109,0.013,-0.317,73.2,7.1,0.146,0.317,101.8,2,-2,0.929,0.071,29,32,30,32,1,3,5,1,,1,2.56,1.07,-1.07,1.6
SI,2023-09-28,94.4,2.31,4.93,"Bummer, Aaron",572233,607481,,ball,,,,,7,"Christian Walker grounds out, third baseman Yoan Moncada to first baseman Andrew Vaughn.",R,R,L,CWS,AZ,B,,,0,0,2023,0.92,0.13,-0.65,2.21,,,,2,8,Top,,,,,,,-9.894899872481671,-137.29801077370578,-1.7747877342994478,13.608892371041032,25.348444684957148,-30.33635249373832,3.49,1.67,,,,96.3,1988,7.0,716443,686676,683734,672820,660162,641313,643217,572204,571980,53.47,,,,,,,,56,1,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,112,0.0,0.043,,,,-0.043,,2,-2,0.929,0.071,29,32,30,32,1,3,5,1,,1,2.4,0.92,-0.92,3.1
ST,2023-09-28,82.4,2.19,5.23,"Bummer, Aaron",502054,607481,strikeout,swinging_strike,,,,,13,Tommy Pham strikes out swinging.,R,R,L,CWS,AZ,S,2,,1,2,2023,-1.28,-0.07,-0.38,1.46,,,,1,8,Top,,,,,,,-3.405883943243742,-120.12971936860936,-1.982758922293073,-11.828755444081493,21.71650564381573,-32.71139941611498,3.42,1.6,,,,83.5,2471,6.8,716443,686676,683734,672820,660162,641313,643217,572204,571980,53.74,,0.0,0.0,1,0,0,,55,4,Sweeper,3,1,1,3,1,3,1,3,Standard,Standard,301,0.023,-0.189,73.0,8.2,,0.189,,2,-2,0.906,0.094,29,35,30,35,1,3,5,1,,1,3.4,-1.28,1.28,11.4
ST,2023-09-28,81.7,2.42,5.12,"Bummer, Aaron",502054,607481,,called_strike,,,,,8,Tommy Pham strikes out swinging.,R,R,L,CWS,AZ,S,,,1,1,2023,-1.29,-0.04,-0.05,2.04,,,,1,8,Top,,,,,,,-3.111264024782587,-119.09042915957562,-0.3152184254230601,-11.690830782247833,22.19343908888,-32.737357114410635,3.3,1.6,,,,82.7,2480,6.8,716443,686676,683734,672820,660162,641313,643217,572204,571980,53.72,,,,,,,,55,3,Sweeper,3,1,1,3,1,3,1,3,Standard,Standard,298,0.0,-0.068,,,,0.068,,2,-2,0.906,0.094,29,35,30,35,1,3,5,1,,1,3.44,-1.29,1.29,7.5
SI,2023-09-28,92.3,2.37,4.94,"Bummer, Aaron",502054,607481,,called_strike,,,,,2,Tommy Pham strikes out swinging.,R,R,L,CWS,AZ,S,,,1,0,2023,0.95,0.23,0.14,2.92,,,,1,8,Top,,,,,,,-7.710658132504146,-134.36824087832431,0.1353882340560225,13.052387506287303,26.30568710546011,-29.65224155165991,3.38,1.65,,,,92.7,1978,6.3,716443,686676,683734,672820,660162,641313,643217,572204,571980,54.2,,,,,,,,55,2,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,112,0.0,-0.05,,,,0.05,,2,-2,0.906,0.094,29,35,30,35,1,3,5,1,,1,2.43,0.95,-0.95,0.1
ST,2023-09-28,81.6,2.29,5.29,"Bummer, Aaron",502054,607481,,ball,,,,,14,Tommy Pham strikes out swinging.,R,R,L,CWS,AZ,B,,,0,0,2023,-0.91,-0.03,0.53,1.39,,,,1,8,Top,,,,,,,-2.2338357275757024,-119.01019138301126,-2.2235175836262573,-8.329687083879898,20.676600830218845,-32.28908190833134,3.38,1.6,,,,82.9,1831,6.8,716443,686676,683734,672820,660162,641313,643217,572204,571980,53.7,,,,,,,,55,1,Sweeper,3,1,1,3,1,3,1,3,Standard,Standard,306,0.0,0.039,,,,-0.039,,2,-2,0.906,0.094,29,35,30,35,1,3,5,1,,1,3.41,-0.91,0.91,11.4
SI,2023-09-28,94.4,2.31,4.95,"Bummer, Aaron",606466,607481,field_out,hit_into_play,,,,,8,"Ketel Marte grounds out, pitcher Aaron Bummer to first baseman Andrew Vaughn.",R,R,L,CWS,AZ,X,1,ground_ball,1,1,2023,1.04,-0.03,0.0,1.62,,,,0,8,Top,126.0,204.5,,,,,-8.472809843541597,-137.28100294049136,-2.9916202618784875,15.00479219174926,27.629834826036237,-32.12488651219866,3.58,1.7,8,110.9,-10,96.1,1774,7.1,716443,686676,683734,672820,660162,641313,643217,572204,571980,53.4,0.389,0.366,0.0,1,0,0,2,54,3,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,108,0.036,-0.254,76.8,7.1,0.442,0.254,110.9,2,-2,0.87,0.13,29,29,30,30,1,3,5,1,,1,2.57,1.04,-1.04,3.4
SI,2023-09-28,93.6,2.36,4.86,"Bummer, Aaron",606466,607481,,foul,,,,,13,"Ketel Marte grounds out, pitcher Aaron Bummer to first baseman Andrew Vaughn.",R,R,L,CWS,AZ,S,,,1,0,2023,1.18,-0.2,-0.4,1.25,,,,0,8,Top,,,,,,,-9.79602274154238,-135.92916153335662,-3.1146301407292105,16.798037131442268,29.81430787572409,-34.208286937538794,3.58,1.7,2,65.9,-34,94.3,1908,6.8,716443,686676,683734,672820,660162,641313,643217,572204,571980,53.66,,,,,,,,54,2,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,108,0.0,-0.052,77.3,7.9,,0.052,88.0,2,-2,0.87,0.13,29,29,30,30,1,3,5,1,,1,2.82,1.18,-1.18,0.2
FC,2023-09-28,87.3,2.35,5.15,"Bummer, Aaron",606466,607481,,ball,,,,,13,"Ketel Marte grounds out, pitcher Aaron Bummer to first baseman Andrew Vaughn.",R,R,L,CWS,AZ,B,,,0,0,2023,-0.12,0.15,-0.73,1.51,,,,0,8,Top,,,,,,,-7.205175565713509,-127.0033414985352,-2.8973657545085043,0.2529526634261961,26.920835289259507,-30.16298252771756,3.5,1.7,,,,87.7,2201,6.6,716443,686676,683734,672820,660162,641313,643217,572204,571980,53.88,,,,,,,,54,1,Cutter,3,1,1,3,1,3,1,3,Standard,Standard,119,0.0,0.04,,,,-0.04,,2,-2,0.87,0.13,29,29,30,30,1,3,5,1,,1,2.85,-0.12,0.12,4.3
SI,2023-09-28,93.7,2.21,5.0,"Bummer, Aaron",682998,607481,field_out,hit_into_play,,,,,5,"Corbin Carroll grounds out, shortstop Tim Anderson to first baseman Andrew Vaughn.",R,L,L,CWS,AZ,X,6,ground_ball,3,1,2023,0.85,0.04,-0.22,2.44,,672695,,2,7,Top,106.51,153.94,,,,,-8.242157476858667,-136.4192720488779,-1.1014685293079636,12.17301768303436,23.90510997343923,-31.648593784674834,3.15,1.48,3,106.9,-35,95.6,1992,6.9,716443,686676,683734,672820,660162,641313,643217,572204,657757,53.58,0.097,0.114,0.0,1,0,0,2,50,5,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,121,0.043,-0.358,71.0,5.6,0.101,0.358,106.9,2,-2,0.85,0.15,29,22,30,23,1,3,5,1,,1,2.51,0.85,0.85,3.9
