pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-10-31,95.7,1.61,6.32,"Burke, Brock",572233,656271,single,hit_into_play,,,,,4,Christian Walker singles on a sharp line drive to left fielder Evan Carter.   Corbin Carroll to 3rd.    Gabriel Moreno to 2nd.,W,R,L,AZ,TEX,X,7,line_drive,2,0,2023,0.74,1.19,-0.59,2.47,,682998,672515,1,8,Bot,85.44,127.63,,,,,-7.514639616558219,-138.90703896052415,-7.183453234777302,11.324210553732213,35.035552890417414,-15.321100688666595,3.42,1.59,206,102.3,13,95.9,2245,6.8,748535,641680,663993,543760,673962,608369,694497,665750,608671,53.69,0.894,0.878,0.9,1,1,0,4,69,3,4-Seam Fastball,1,11,1,11,11,1,1,11,Infield shade,Standard,138,0.0,0.375,75.5,6.9,1.124,-0.375,102.3,-10,-10,0.001,0.001,26,32,27,32,1,3,23,1,,1,1.34,0.74,-0.74,42.8
FF,2023-10-31,95.2,1.76,6.29,"Burke, Brock",572233,656271,,ball,,,,,13,Christian Walker singles on a sharp line drive to left fielder Evan Carter.   Corbin Carroll to 3rd.    Gabriel Moreno to 2nd.,W,R,L,AZ,TEX,B,,,1,0,2023,0.91,1.16,-0.13,1.04,,682998,672515,1,8,Bot,,,,,,,-7.07028851358101,-137.97770289628406,-10.739317493115143,13.243828812621468,34.216037012887185,-15.039806866434729,3.48,1.55,,,,95.8,2220,7.1,748535,641680,663993,543760,673962,608369,694497,665750,608671,53.36,,,,,,,,69,2,4-Seam Fastball,1,11,1,11,11,1,1,11,Standard,Standard,141,0.0,0.067,,,,-0.067,,-10,-10,0.001,0.001,26,32,27,32,1,3,23,1,,1,1.4,0.91,-0.91,41.7
FF,2023-10-31,95.0,1.58,6.39,"Burke, Brock",572233,656271,,ball,,,,,13,Christian Walker singles on a sharp line drive to left fielder Evan Carter.   Corbin Carroll to 3rd.    Gabriel Moreno to 2nd.,W,R,L,AZ,TEX,B,,,0,0,2023,0.72,1.24,-0.83,1.49,,682998,672515,1,8,Bot,,,,,,,-8.002156894344246,-137.673282065356,-9.958367664282571,11.001858798977368,34.10429167857858,-14.233603368013249,3.45,1.49,,,,95.4,2218,7.0,748535,641680,663993,543760,673962,608369,694497,665750,608671,53.51,,,,,,,,69,1,4-Seam Fastball,1,11,1,11,11,1,1,11,Infield shade,Standard,144,0.0,0.042,,,,-0.042,,-10,-10,0.001,0.001,26,32,27,32,1,3,23,1,,1,1.33,0.72,-0.72,48.7
CH,2023-10-31,87.7,1.75,6.24,"Burke, Brock",672515,656271,single,hit_into_play,,,,,12,Gabriel Moreno singles on a line drive to left fielder Evan Carter.   Corbin Carroll to 2nd.,W,R,L,AZ,TEX,X,7,line_drive,2,1,2023,1.01,0.75,0.87,3.01,,,682998,1,8,Bot,100.1,110.89,,,,,-4.284175630556889,-127.62830181280654,-3.2206515838833836,11.950392394776973,27.960457146608384,-23.56879119790886,3.35,1.52,173,72.8,16,88.4,2104,6.9,748535,641680,663993,543760,673962,608369,694497,665750,608671,53.63,0.717,0.657,0.9,1,1,0,4,68,4,Changeup,1,11,1,11,11,1,1,11,Strategic,Standard,135,0.001,0.387,71.5,7.4,0.773,-0.387,88.0,-10,-10,0.0,0.0,26,23,27,23,1,3,23,1,,1,2.23,1.01,-1.01,38.1
CH,2023-10-31,87.6,1.64,6.28,"Burke, Brock",672515,656271,,ball,,,,,12,Gabriel Moreno singles on a line drive to left fielder Evan Carter.   Corbin Carroll to 2nd.,W,R,L,AZ,TEX,B,,,1,1,2023,1.26,1.06,1.46,3.57,,,682998,1,8,Bot,,,,,,,-3.073121000051577,-127.47959067500167,-2.5435928263375587,14.28249815450213,28.690880728563577,-20.36763828106672,3.28,1.45,,,,88.0,2102,6.8,748535,641680,663993,543760,673962,608369,694497,665750,608671,53.72,,,,,,,,68,3,Changeup,1,11,1,11,11,1,1,11,Strategic,Standard,134,0.0,0.046,,,,-0.046,,-10,-10,0.0,0.0,26,23,27,23,1,3,23,1,,1,1.93,1.26,-1.26,42.1
FF,2023-10-31,94.2,1.63,6.29,"Burke, Brock",672515,656271,,swinging_strike,,,,,1,Gabriel Moreno singles on a line drive to left fielder Evan Carter.   Corbin Carroll to 2nd.,W,R,L,AZ,TEX,S,,,1,0,2023,0.55,1.28,-0.37,3.14,,,682998,1,8,Bot,,,,,,,-6.482733392045451,-136.92457516409328,-5.3530439422161225,8.404286373110727,31.493733713958004,-15.02999176645832,3.35,1.52,,,,94.9,2116,6.8,748535,641680,663993,543760,673962,608369,694497,665750,608671,53.67,,,,,,,,68,2,4-Seam Fastball,1,11,1,11,11,1,1,11,Strategic,Standard,143,0.0,-0.053,63.9,5.4,,0.053,,-10,-10,0.0,0.0,26,23,27,23,1,3,23,1,,1,1.3,0.55,-0.55,41.7
SI,2023-10-31,92.6,1.82,6.21,"Burke, Brock",672515,656271,,ball,,,,,12,Gabriel Moreno singles on a line drive to left fielder Evan Carter.   Corbin Carroll to 2nd.,W,R,L,AZ,TEX,B,,,0,0,2023,1.46,0.68,1.31,3.02,,,682998,1,8,Bot,,,,,,,-4.563656728170211,-134.79628123591385,-3.8421795522491378,18.763960737376113,30.501922425141213,-23.24796617676994,3.22,1.36,,,,93.5,1886,6.9,748535,641680,663993,543760,673962,608369,694497,665750,608671,53.61,,,,,,,,68,1,Sinker,1,11,1,11,11,1,1,11,Standard,Standard,143,0.0,0.036,,,,-0.036,,-10,-10,0.0,0.0,26,23,27,23,1,3,23,1,,1,1.98,1.46,-1.46,38.3
SL,2023-10-31,86.0,1.67,6.42,"Burke, Brock",682998,656271,single,hit_into_play,,,,,2,Corbin Carroll singles on a ground ball to left fielder Evan Carter.,W,L,L,AZ,TEX,X,7,ground_ball,0,1,2023,0.07,0.31,0.13,2.88,,,,1,8,Bot,114.84,142.46,,,,,-3.817891318734306,-125.29693004792276,-2.810976101964183,1.499530342473203,25.353600490794925,-28.504667494262808,3.14,1.5,71,97.9,2,86.4,2058,6.5,748535,641680,663993,543760,673962,608369,694497,665750,608671,54.0,0.443,0.399,0.9,1,1,0,4,67,2,Slider,1,11,1,11,11,1,1,11,Standard,Standard,149,0.0,0.457,69.9,5.9,0.478,-0.457,97.9,-10,-10,0.0,0.0,26,22,27,23,1,3,23,1,,1,2.76,0.07,0.07,42.0
FF,2023-10-31,95.5,1.51,6.37,"Burke, Brock",682998,656271,,called_strike,,,,,8,Corbin Carroll singles on a ground ball to left fielder Evan Carter.,W,L,L,AZ,TEX,S,,,0,0,2023,0.83,1.28,-0.19,1.78,,,,1,8,Bot,,,,,,,-6.396312522644772,-138.5703824649155,-9.325356082679496,12.169568144784469,32.988992499486166,-13.722489998919796,3.09,1.36,,,,95.7,2193,6.7,748535,641680,663993,543760,673962,608369,694497,665750,608671,53.79,,,,,,,,67,1,4-Seam Fastball,1,11,1,11,11,1,1,11,Standard,Standard,142,0.0,-0.041,,,,0.041,,-10,-10,0.0,0.0,26,22,27,23,1,3,23,1,,1,1.25,0.83,0.83,41.5
CH,2023-10-31,88.2,1.68,6.27,"Burke, Brock",606466,656271,field_out,hit_into_play,,,,,12,Ketel Marte flies out sharply to center fielder Leody Taveras.,W,R,L,AZ,TEX,X,8,fly_ball,2,2,2023,1.22,0.81,0.9,3.22,,,,0,8,Bot,129.73,48.74,,,,,-4.477254322787012,-128.33104521759586,-2.9660764494272875,14.35764677291846,28.994322483814496,-22.82088125337226,3.62,1.73,371,100.7,37,88.8,2087,6.9,748535,641680,663993,543760,673962,608369,694497,665750,608671,53.64,0.317,0.608,0.0,1,0,0,5,66,5,Changeup,1,11,1,11,11,1,1,11,Standard,Standard,133,0.0,-0.239,73.0,8.1,1.179,0.239,100.7,-10,-10,0.0,0.0,26,29,27,30,1,3,23,1,,1,2.14,1.22,-1.22,40.1
