pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-10-01,84.3,-1.81,6.42,"Campbell, Isaiah",641598,663462,field_out,hit_into_play,,,,,5,Mitch Garver flies out to left fielder Dominic Canzone.,R,R,R,SEA,TEX,X,7,fly_ball,2,0,2023,0.45,-0.02,-0.05,2.73,,,694497,2,9,Top,52.43,121.15,,,,,3.202458204715243,-122.8751974180566,-2.2614378876457297,4.076068985043848,20.68318121988368,-32.20953533064224,3.42,1.62,264,98.5,53,85.1,2741,6.4,716360,620443,664034,668942,553993,676609,686527,664238,672284,54.13,0.017,0.026,0.0,1,0,0,3,60,3,Slider,1,0,0,1,0,1,0,1,Standard,Standard,60,0.078,-0.353,75.9,7.1,0.038,0.353,98.5,1,-1,0.922,0.078,25,32,26,32,1,3,2,2,,7,3.18,-0.45,-0.45,50.1
SL,2023-10-01,86.0,-1.76,6.48,"Campbell, Isaiah",641598,663462,,ball,,,,,14,Mitch Garver flies out to left fielder Dominic Canzone.,R,R,R,SEA,TEX,B,,,1,0,2023,0.35,0.13,1.13,1.76,,,694497,2,9,Top,,,,,,,6.172294153116166,-125.2044951427626,-5.261780460322763,2.5434988024492418,23.510989548365828,-29.970907054011015,3.44,1.6,,,,86.5,2643,6.4,716360,620443,664034,668942,553993,676609,686527,664238,672284,54.08,,,,,,,,60,2,Slider,1,0,0,1,0,1,0,1,Standard,Standard,51,0.0,0.037,,,,-0.037,,1,-1,0.922,0.078,25,32,26,32,1,3,2,2,,7,2.93,-0.35,-0.35,51.3
SL,2023-10-01,85.9,-1.73,6.53,"Campbell, Isaiah",641598,663462,,ball,,,,,11,Mitch Garver flies out to left fielder Dominic Canzone.,R,R,R,SEA,TEX,B,,,0,0,2023,0.43,0.15,-0.83,2.83,,,694497,2,9,Top,,,,,,,1.2591797829199038,-125.21760185928356,-2.912842334165809,4.330678618374824,22.242084991741613,-30.235493579316113,3.5,1.62,,,,86.6,2633,6.4,716360,620443,664034,668942,553993,676609,686527,664238,672284,54.11,,,,,,,,60,1,Slider,1,0,0,1,0,1,0,1,Standard,Standard,63,0.0,0.03,,,,-0.03,,1,-1,0.922,0.078,25,32,26,32,1,3,2,2,,7,2.9,-0.43,-0.43,51.4
SL,2023-10-01,85.6,-1.79,6.5,"Campbell, Isaiah",608369,663462,field_out,hit_into_play,,,,,5,Corey Seager flies out to left fielder Dominic Canzone.,R,L,R,SEA,TEX,X,7,fly_ball,0,0,2023,0.63,-0.28,0.09,2.79,,,694497,1,9,Top,77.62,107.09,,,,,3.1678863175384855,-124.77273311137203,-2.0301691955132264,6.1266152857762455,21.14945351498732,-34.962256367442265,3.45,1.51,259,79.6,32,86.4,2780,6.3,716360,620443,664034,668942,553993,676609,686527,664238,672284,54.16,0.071,0.079,0.0,1,0,0,3,59,1,Slider,1,0,0,1,0,1,0,1,Infield shade,Strategic,65,0.091,-0.257,72.7,5.9,0.125,0.257,88.0,1,-1,0.831,0.169,25,29,26,29,1,3,2,1,,2,3.34,-0.63,0.63,48.9
SL,2023-10-01,84.9,-1.86,6.54,"Campbell, Isaiah",543760,663462,strikeout,swinging_strike,,,,,7,Marcus Semien strikes out swinging.,R,R,R,SEA,TEX,S,2,,3,2,2023,0.29,-0.03,-0.45,1.91,,,694497,0,9,Top,,,,,,,2.721234506059102,-123.71217898244666,-4.535707802170834,2.57247565486584,21.342276042601757,-31.927298984414325,3.4,1.66,,,,85.6,2630,6.4,716360,620443,664034,668942,553993,676609,686527,664238,672284,54.14,,0.0,0.0,1,0,0,,58,6,Slider,1,0,0,1,0,1,0,1,Standard,Standard,52,0.104,-0.298,66.4,8.0,,0.298,,1,-1,0.727,0.273,25,32,26,33,1,3,2,1,,2,3.15,-0.29,-0.29,50.2
SL,2023-10-01,85.2,-1.88,6.41,"Campbell, Isaiah",543760,663462,,called_strike,,,,,4,Marcus Semien strikes out swinging.,R,R,R,SEA,TEX,S,,,3,1,2023,0.36,-0.28,-0.36,2.1,,,694497,0,9,Top,,,,,,,2.8747120296029434,-124.26722902671524,-3.3775335762064507,3.245149011077706,21.47289217663962,-34.69309080532451,3.29,1.53,,,,85.9,2668,6.3,716360,620443,664034,668942,553993,676609,686527,664238,672284,54.17,,,,,,,,58,5,Slider,1,0,0,1,0,1,0,1,Standard,Standard,65,0.0,-0.068,,,,0.068,,1,-1,0.727,0.273,25,32,26,33,1,3,2,1,,2,3.37,-0.36,-0.36,48.6
SL,2023-10-01,84.8,-1.92,6.56,"Campbell, Isaiah",543760,663462,,ball,,,,,14,Marcus Semien strikes out swinging.,R,R,R,SEA,TEX,B,,,2,1,2023,0.32,0.01,0.49,1.29,,,694497,0,9,Top,,,,,,,4.999360514465439,-123.4133080785584,-6.103130735140651,2.407347614239136,21.006674091467932,-31.154827528107575,3.31,1.6,,,,85.2,2669,6.2,716360,620443,664034,668942,553993,676609,686527,664238,672284,54.27,,,,,,,,58,4,Slider,1,0,0,1,0,1,0,1,Standard,Standard,48,0.0,0.101,,,,-0.101,,1,-1,0.727,0.273,25,32,26,33,1,3,2,1,,2,3.12,-0.32,-0.32,54.5
SL,2023-10-01,85.5,-1.83,6.57,"Campbell, Isaiah",543760,663462,,ball,,,,,14,Marcus Semien strikes out swinging.,R,R,R,SEA,TEX,B,,,1,1,2023,0.31,-0.29,1.34,1.25,,,694497,0,9,Top,,,,,,,6.850156033943293,-124.3346977129478,-5.722763154138868,1.983990907961262,22.384732816835207,-34.322969363777425,3.27,1.53,,,,85.8,2698,6.3,716360,620443,664034,668942,553993,676609,686527,664238,672284,54.2,,,,,,,,58,3,Slider,1,0,0,1,0,1,0,1,Standard,Standard,47,0.0,0.042,,,,-0.042,,1,-1,0.727,0.273,25,32,26,33,1,3,2,1,,2,3.39,-0.31,-0.31,52.7
SL,2023-10-01,85.8,-1.94,6.52,"Campbell, Isaiah",543760,663462,,called_strike,,,,,9,Marcus Semien strikes out swinging.,R,R,R,SEA,TEX,S,,,1,0,2023,0.21,-0.08,0.53,1.77,,,694497,0,9,Top,,,,,,,5.451792616901219,-124.93537510725308,-4.891191987033451,1.175424295478274,22.99303935691262,-32.25354064990634,3.2,1.47,,,,86.3,2672,6.4,716360,620443,664034,668942,553993,676609,686527,664238,672284,54.11,,,,,,,,58,2,Slider,1,0,0,1,0,1,0,1,Standard,Standard,62,0.0,-0.042,,,,0.042,,1,-1,0.727,0.273,25,32,26,33,1,3,2,1,,2,3.15,-0.21,-0.21,49.1
SL,2023-10-01,86.0,-2.06,6.47,"Campbell, Isaiah",543760,663462,,ball,,,,,14,Marcus Semien strikes out swinging.,R,R,R,SEA,TEX,B,,,0,0,2023,0.25,0.01,0.96,1.43,,,694497,0,9,Top,,,,,,,6.660938141851978,-125.13929448092722,-5.80953145907018,1.4211344345125638,22.181639956279827,-31.166435915088535,3.31,1.6,,,,86.4,2586,6.3,716360,620443,664034,668942,553993,676609,686527,664238,672284,54.2,,,,,,,,58,1,Slider,1,0,0,1,0,1,0,1,Standard,Standard,71,0.0,0.03,,,,-0.03,,1,-1,0.727,0.273,25,32,26,33,1,3,2,1,,2,3.04,-0.25,-0.25,51.8
