pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2023-09-11,89.8,2.61,5.97,"Castano, Daniel",518626,641447,field_out,hit_into_play,,,,,8,Josh Donaldson lines out to right fielder Jesus Sanchez.,R,R,L,MIL,MIA,X,9,line_drive,0,0,2023,0.75,0.62,0.09,2.09,,,605119,2,7,Bot,186.24,83.4,,,,,-7.790572860613371,-130.6120785819613,-4.950138619960249,10.16180974592422,26.74081924415169,-24.234613636406475,3.32,1.62,323,96.3,21,89.8,2271,6.3,716626,663743,493329,669364,542932,621563,641658,667472,660821,54.22,0.269,0.342,0.0,1,0,0,3,66,1,Sinker,11,0,11,0,0,11,11,0,Standard,Standard,142,0.0,-0.286,72.0,7.2,0.558,0.286,96.3,11,11,1.0,1.0,28,37,29,38,2,4,157,58,,1,2.2,0.75,-0.75,41.2
SL,2023-09-11,83.7,2.51,5.96,"Castano, Daniel",642133,641447,strikeout,called_strike,,,,,13,Rowdy Tellez called out on strikes.,R,L,L,MIL,MIA,S,2,,3,2,2023,-0.27,0.1,-0.58,1.54,,,605119,1,7,Bot,,,,,,,-6.597757141687084,-121.68292461351564,-3.945855637518641,-1.2684388671755444,25.117175752851946,-30.56706948792895,3.42,1.71,,,,83.4,2432,6.3,716626,663743,493329,669364,542932,621563,641658,667472,660821,54.21,,0.0,0.0,1,0,0,,65,8,Slider,11,0,11,0,0,11,11,0,Standard,Standard,290,0.0,-0.314,,,,0.314,,11,11,1.0,1.0,28,28,29,28,2,0,157,2,,3,3.17,-0.27,-0.27,40.0
FF,2023-09-11,92.0,2.58,6.04,"Castano, Daniel",642133,641447,,foul,,,,,13,Rowdy Tellez called out on strikes.,R,L,L,MIL,MIA,S,,,3,2,2023,0.31,1.09,-1.09,2.31,,,605119,1,7,Bot,,,,,,,-9.968882442577728,-133.53646503030754,-5.946846154313077,5.8569480088732035,28.76112845139983,-17.96014467716899,3.64,1.69,187,70.9,23,91.7,2299,6.3,716626,663743,493329,669364,542932,621563,641658,667472,660821,54.22,,,,,,,,65,7,4-Seam Fastball,11,0,11,0,0,11,11,0,Standard,Standard,138,0.0,0.0,71.3,7.8,,0.0,88.0,11,11,1.0,1.0,28,28,29,28,2,0,157,2,,3,1.61,0.31,0.31,42.0
FC,2023-09-11,85.4,2.62,6.02,"Castano, Daniel",642133,641447,,foul,,,,,5,Rowdy Tellez called out on strikes.,R,L,L,MIL,MIA,S,,,3,2,2023,0.01,0.28,0.04,2.43,,,605119,1,7,Bot,,,,,,,-6.10647097127708,-124.23844011128756,-2.686021161417798,1.407029302550944,27.218956764382664,-28.900552143113764,3.64,1.69,118,61.9,65,85.1,2533,6.3,716626,663743,493329,669364,542932,621563,641658,667472,660821,54.21,,,,,,,,65,6,Cutter,11,0,11,0,0,11,11,0,Standard,Standard,254,0.0,0.0,69.5,7.9,,0.0,88.0,11,11,1.0,1.0,28,28,29,28,2,0,157,2,,3,2.87,0.01,0.01,42.6
FC,2023-09-11,85.9,2.51,5.94,"Castano, Daniel",642133,641447,,ball,,,,,13,Rowdy Tellez called out on strikes.,R,L,L,MIL,MIA,B,,,2,2,2023,-0.01,0.33,-1.91,1.19,,,605119,1,7,Bot,,,,,,,-10.41388363921356,-124.6428216438742,-5.5933733305277755,2.180134398340414,26.780332444491673,-27.657476292065542,3.52,1.8,,,,85.4,2562,6.3,716626,663743,493329,669364,542932,621563,641658,667472,660821,54.23,,,,,,,,65,5,Cutter,11,0,11,0,0,11,11,0,Standard,Standard,276,0.0,0.084,,,,-0.084,,11,11,1.0,1.0,28,28,29,28,2,0,157,2,,3,2.79,-0.01,-0.01,42.8
FC,2023-09-11,88.9,2.52,6.12,"Castano, Daniel",642133,641447,,foul,,,,,6,Rowdy Tellez called out on strikes.,R,L,L,MIL,MIA,S,,,2,1,2023,0.45,0.76,0.4,2.93,,,605119,1,7,Bot,,,,,,,-6.158495958076411,-129.384852259633,-3.4150539401433995,6.3524555471173105,25.693122883313553,-23.07345572319522,3.64,1.69,127,68.3,23,89.2,2357,6.3,716626,663743,493329,669364,542932,621563,641658,667472,660821,54.15,,,,,,,,65,4,Cutter,11,0,11,0,0,11,11,0,Standard,Standard,164,0.0,-0.054,78.7,7.4,,0.054,88.0,11,11,1.0,1.0,28,28,29,28,2,0,157,2,,3,2.11,0.45,0.45,44.0
SL,2023-09-11,84.5,2.52,5.95,"Castano, Daniel",642133,641447,,ball,,,,,13,Rowdy Tellez called out on strikes.,R,L,L,MIL,MIA,B,,,1,1,2023,-0.29,0.27,-0.88,1.41,,,605119,1,7,Bot,,,,,,,-7.31494113623659,-122.80220675955124,-4.696215858191347,-1.3781041997903691,25.71965103506824,-28.647854518474094,3.63,1.8,,,,84.0,2483,6.2,716626,663743,493329,669364,542932,621563,641658,667472,660821,54.34,,,,,,,,65,3,Slider,11,0,11,0,0,11,11,0,Standard,Standard,255,0.0,0.046,,,,-0.046,,11,11,1.0,1.0,28,28,29,28,2,0,157,2,,3,2.94,-0.29,-0.29,41.4
SL,2023-09-11,84.0,2.64,5.97,"Castano, Daniel",642133,641447,,called_strike,,,,,7,Rowdy Tellez called out on strikes.,R,L,L,MIL,MIA,S,,,1,0,2023,-0.23,0.05,-0.48,2.27,,,605119,1,7,Bot,,,,,,,-6.7611763089055925,-122.11582820511404,-2.191822812827649,-0.7636642127028647,26.589346439061863,-31.442257803329177,3.52,1.74,,,,83.5,2493,6.2,716626,663743,493329,669364,542932,621563,641658,667472,660821,54.25,,,,,,,,65,2,Slider,11,0,11,0,0,11,11,0,Standard,Standard,277,0.0,-0.053,,,,0.053,,11,11,1.0,1.0,28,28,29,28,2,0,157,2,,3,3.22,-0.23,-0.23,38.8
FF,2023-09-11,92.7,2.48,6.02,"Castano, Daniel",642133,641447,,ball,,,,,13,Rowdy Tellez called out on strikes.,R,L,L,MIL,MIA,B,,,0,0,2023,0.66,1.0,-0.91,1.22,,,605119,1,7,Bot,,,,,,,-10.096732051700682,-134.45236908029685,-8.63621218180306,10.139586327209356,29.003417229295824,-18.222921153146192,3.63,1.74,,,,92.6,2342,6.4,716626,663743,493329,669364,542932,621563,641658,667472,660821,54.08,,,,,,,,65,1,4-Seam Fastball,11,0,11,0,0,11,11,0,Standard,Standard,150,0.0,0.036,,,,-0.036,,11,11,1.0,1.0,28,28,29,28,2,0,157,2,,3,1.66,0.66,0.66,41.3
CH,2023-09-11,84.0,2.55,5.99,"Castano, Daniel",605119,641447,force_out,hit_into_play,,,,,13,"Brian Anderson grounds into a force out, shortstop Joey Wendle to second baseman Xavier Edwards.   William Contreras out at 2nd.    Brian Anderson to 1st.",R,R,L,MIL,MIA,X,6,ground_ball,0,1,2023,1.09,0.74,-0.02,1.35,,,661388,0,7,Bot,104.56,150.39,,,,,-8.097844836792436,-122.03319583306448,-5.797983228627779,12.516643089104956,24.35145466627089,-23.797641876257465,3.38,1.55,10,96.9,-8,83.8,1751,6.2,716626,663743,493329,669364,542932,621563,641658,667472,660821,54.25,0.223,0.198,0.0,1,0,0,2,64,2,Changeup,11,0,11,0,0,11,11,0,Standard,Standard,144,0.0,-0.314,73.1,7.5,0.223,0.314,96.9,11,11,1.0,1.0,28,30,29,30,2,0,157,20,,11,2.5,1.09,-1.09,41.7
FC,2023-09-11,86.9,2.42,6.1,"Castano, Daniel",605119,641447,,called_strike,,,,,5,"Brian Anderson grounds into a force out, shortstop Joey Wendle to second baseman Xavier Edwards.   William Contreras out at 2nd.    Brian Anderson to 1st.",R,R,L,MIL,MIA,S,,,0,0,2023,0.37,0.76,-0.11,2.55,,,661388,0,7,Bot,,,,,,,-6.83012906399818,-126.3664032480584,-3.8594726840270392,5.389319915175976,25.8473328652721,-23.437030088498584,3.2,1.32,,,,86.9,2370,6.3,716626,663743,493329,669364,542932,621563,641658,667472,660821,54.18,,,,,,,,64,1,Cutter,11,0,11,0,0,11,11,0,Standard,Standard,157,0.0,-0.036,,,,0.036,,11,11,1.0,1.0,28,30,29,30,2,0,157,20,,11,2.26,0.37,-0.37,44.2
SI,2023-09-11,87.4,2.68,6.05,"Castano, Daniel",661388,641447,single,hit_into_play,,,,,5,William Contreras singles on a soft ground ball to third baseman Jon Berti.,R,R,L,MIL,MIA,X,5,ground_ball,0,0,2023,0.88,0.4,0.2,2.44,,,,0,7,Bot,103.35,180.07,,,,,-7.777629941937111,-127.04484189569855,-3.3679110206334677,11.12961274346847,25.15105415329077,-27.355451888158985,3.42,1.55,2,56.8,-53,87.4,2213,6.3,716626,663743,493329,669364,542932,621563,641658,667472,660821,54.24,0.294,0.261,0.9,1,1,0,1,63,1,Sinker,11,0,11,0,0,11,11,0,Standard,Standard,143,0.0,0.432,76.5,7.8,0.317,-0.432,88.0,11,11,1.0,1.0,28,25,29,26,2,4,157,1,,1,2.58,0.88,-0.88,41.5
FC,2023-09-11,87.8,2.57,6.09,"Castano, Daniel",592192,641447,field_out,hit_into_play,,,,,6,Mark Canha flies out to right fielder Jesus Sanchez.,R,R,L,MIL,MIA,X,9,fly_ball,0,0,2023,0.19,0.73,0.28,2.03,621438,686894,,2,6,Bot,165.69,75.96,,,,,-5.9249331985812,-127.74374176626874,-5.223843373838315,3.256342526356837,24.98683553637367,-23.360165797596206,3.16,1.45,320,94.0,38,88.0,2299,6.3,716626,663743,650333,669364,669394,621563,650559,665862,660821,54.21,0.057,0.103,0.0,1,0,0,3,59,1,Cutter,11,0,11,0,0,11,11,0,Infield shade,Standard,162,0.0,-0.293,69.6,7.8,0.191,0.293,94.0,11,11,1.0,1.0,28,34,29,34,2,4,157,1,,1,2.22,0.19,-0.19,45.3
