pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-03-25,93.5,-2.88,5.06,"Chentouf, Yaya",672640,663506,walk,ball,,,,,12,Otto Lopez walks.   Michael Turconi scores.    Gregori Cano to 3rd.    Devonte Brown to 2nd.,S,R,R,TOR,DET,B,,,3,1,2023,-0.53,1.15,1.35,2.44,681580,703939,675994,2,8,Bot,,,,,,,12.05209376242386,-135.67091250347983,-3.546521762273057,-9.060938352377374,27.76137833411435,-17.34795340718682,3.3,1.5,,,,93.5,2470,6.3,718961,657709,687724,681976,687144,681400,678009,641505,691449,54.18,,,0.7,,0,0,,67,5,4-Seam Fastball,0,4,0,4,4,1,1,4,,,227,0.059,0.221,,,,-0.221,,-4,-4,0.067,0.067,26,24,26,25,1,0,,,,,1.46,0.53,0.53,
FF,2023-03-25,93.6,-2.96,5.08,"Chentouf, Yaya",672640,663506,,called_strike,,,,,4,Otto Lopez walks.   Michael Turconi scores.    Gregori Cano to 3rd.    Devonte Brown to 2nd.,S,R,R,TOR,DET,S,,,3,0,2023,-0.67,1.18,-0.42,2.3,681580,703939,675994,2,8,Bot,,,,,,,8.035260057541798,-136.11581203747934,-4.042339229940616,-10.071568331023496,28.602044700117258,-16.838213482731035,3.3,1.5,,,,93.7,2488,6.3,718961,657709,687724,681976,687144,681400,678009,641505,691449,54.2,,,,,,,,67,4,4-Seam Fastball,0,4,0,4,4,0,0,4,,,220,0.0,-0.08,,,,0.08,,-4,-4,0.067,0.067,26,24,26,25,1,0,,,,,1.42,0.67,0.67,
SI,2023-03-25,92.0,-2.98,4.91,"Chentouf, Yaya",672640,663506,,ball,,,,,14,Otto Lopez walks.   Michael Turconi scores.    Gregori Cano to 3rd.    Devonte Brown to 2nd.,S,R,R,TOR,DET,B,,,2,0,2023,-1.3,0.39,1.11,2.08,681580,703939,675994,2,8,Bot,,,,,,,13.19324155286986,-133.45316380556116,-2.208830859230808,-18.257638982179785,25.73480367994196,-27.244080676726508,3.3,1.5,,,,92.2,2306,6.4,718961,657709,687724,681976,687144,681400,678009,641505,691449,54.12,,,,,,,,67,3,Sinker,0,4,0,4,4,0,0,4,,,228,0.0,0.108,,,,-0.108,,-4,-4,0.067,0.067,26,24,26,25,1,0,,,,,2.3,1.3,1.3,
FF,2023-03-25,93.3,-2.9,4.97,"Chentouf, Yaya",672640,663506,,ball,,,,,14,Otto Lopez walks.   Michael Turconi scores.    Gregori Cano to 3rd.    Devonte Brown to 2nd.,S,R,R,TOR,DET,B,,,1,0,2023,-0.6,0.99,1.53,2.38,681580,703939,675994,2,8,Bot,,,,,,,12.69994972161519,-135.27566061358235,-3.064788183389391,-10.072648493362864,28.23426964323686,-19.498976295218135,3.3,1.5,,,,93.2,2412,6.4,718961,657709,687724,681976,687144,681400,678009,641505,691449,54.15,,,,,,,,67,2,4-Seam Fastball,0,4,0,4,4,0,0,4,,,224,0.0,0.058,,,,-0.058,,-4,-4,0.067,0.067,26,24,26,25,1,0,,,,,1.64,0.6,0.6,
ST,2023-03-25,80.9,-3.2,4.73,"Chentouf, Yaya",672640,663506,,ball,,,,,14,Otto Lopez walks.   Michael Turconi scores.    Gregori Cano to 3rd.    Devonte Brown to 2nd.,S,R,R,TOR,DET,B,,,0,0,2023,1.3,0.52,0.91,2.17,681580,703939,675994,2,8,Bot,,,,,,,6.680676047208905,-117.60178038067863,0.0063092958230541,10.57128654509578,24.664101176687208,-27.607727024264737,3.3,1.5,,,,80.5,2522,6.3,718961,657709,687724,681976,687144,681400,678009,641505,691449,54.16,,,,,,,,67,1,Sweeper,0,4,0,4,4,0,0,4,,,72,0.0,0.035,,,,-0.035,,-4,-4,0.067,0.067,26,24,26,25,1,0,,,,,3.0,-1.3,-1.3,
FF,2023-03-25,93.5,-2.81,5.06,"Chentouf, Yaya",662139,663506,walk,ball,,,,,14,Daulton Varsho walks.,S,L,R,TOR,DET,B,,,3,0,2023,-0.72,1.19,1.26,2.2,681580,703939,,2,8,Bot,,,,,,,12.053960759846744,-135.66417170761534,-4.236843774618453,-11.475020871297986,28.766921271765927,-16.648556646121474,3.06,1.37,,,,93.4,2358,6.3,718961,657709,687724,681976,687144,681400,678009,641505,691449,54.16,,,0.7,,0,0,,66,4,4-Seam Fastball,0,4,0,4,4,0,0,4,,,224,0.022,0.025,,,,-0.025,,-4,-4,0.045,0.045,26,26,26,27,1,3,,,,,1.42,0.72,-0.72,
FF,2023-03-25,93.1,-2.92,5.07,"Chentouf, Yaya",662139,663506,,ball,,,,,14,Daulton Varsho walks.,S,L,R,TOR,DET,B,,,2,0,2023,-0.77,1.24,2.2,1.21,,681580,703939,2,8,Bot,,,,,,,14.79731354709487,-134.75171808896235,-6.838112332823595,-12.540351642096022,27.93561268753114,-15.638486801158612,3.06,1.37,,,,93.0,2458,6.4,718961,657709,687724,681976,687144,681400,678009,641505,691449,54.08,,,,,,,,66,3,4-Seam Fastball,0,4,0,4,4,0,0,4,,,223,0.009,0.067,,,,-0.067,,-4,-4,0.036,0.036,26,26,26,27,1,3,,,,,1.41,0.77,-0.77,
CH,2023-03-25,84.4,-3.21,4.77,"Chentouf, Yaya",662139,663506,,ball,,,,,14,Daulton Varsho walks.,S,L,R,TOR,DET,B,,,1,0,2023,-1.41,0.17,0.59,1.16,,681580,703939,2,8,Bot,,,,,,,11.579016801809628,-122.38878561512652,-2.3512859784663305,-16.45086461678111,23.307697382290968,-30.1517288280293,3.06,1.37,,,,84.0,1806,6.2,718961,657709,687724,681976,687144,681400,678009,641505,691449,54.33,,,,,,,,66,2,Changeup,0,4,0,4,4,0,0,4,,,250,0.0,0.021,,,,-0.021,,-4,-4,0.036,0.036,26,26,26,27,1,3,,,,,3.04,1.41,-1.41,
ST,2023-03-25,80.8,-3.48,4.59,"Chentouf, Yaya",662139,663506,,ball,,,,,11,Daulton Varsho walks.,S,L,R,TOR,DET,B,,,0,0,2023,1.04,0.68,-1.19,2.59,,681580,703939,2,8,Bot,,,,,,,3.129386936836179,-117.64577571865652,0.9242881271320864,8.944063340392217,23.836584245285263,-26.268833453497507,3.06,1.37,,,,80.5,2599,6.2,718961,657709,687724,681976,687144,681400,678009,641505,691449,54.31,,,,,,,,66,1,Sweeper,0,4,0,4,4,0,0,4,,,83,0.0,0.03,,,,-0.03,,-4,-4,0.036,0.036,26,26,26,27,1,3,,,,,2.82,-1.04,1.04,
FF,2023-03-25,94.1,-2.83,5.12,"Chentouf, Yaya",665489,663506,walk,ball,,,,,2,Vladimir Guerrero Jr.  walks.   Michael Turconi to 2nd.,S,R,R,TOR,DET,B,,,3,0,2023,-0.69,1.11,-0.04,3.64,,,681580,2,8,Bot,,,,,,,8.743371189277868,-136.8360450023576,-0.5992520349579982,-10.559105685162098,30.352089356463736,-18.33063974454599,3.59,1.65,,,,93.9,2434,6.2,718961,657709,687724,681976,687144,681400,678009,641505,691449,54.29,,,0.7,,0,0,,65,4,4-Seam Fastball,0,4,0,4,4,0,0,4,,,221,0.013,0.106,,,,-0.106,,-4,-4,0.023,0.023,26,24,26,24,1,3,,,,,1.47,0.69,0.69,
