pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2023-03-21,84.9,1.14,6.27,"Clay, Sam",543685,621348,force_out,hit_into_play,,,,,9,"Anthony Rendon grounds into a force out, third baseman Josh Rojas to second baseman Ketel Marte.   Gio Urshela out at 2nd.",S,R,L,AZ,LAA,X,5,ground_ball,1,1,2023,1.12,0.18,0.63,1.91,623205,592273,570482,2,4,Top,102.84,171.05,,,,,-3.389740072458545,-123.72763107120775,-4.315332911272282,12.173027472993846,20.26847661410283,-29.81323565229551,3.21,1.59,44,83.6,1,84.8,1829,5.8,719020,672515,572233,606466,668942,605113,641786,682998,656976,54.73,0.231,,0.0,,0,0,2,34,3,Changeup,0,5,5,0,5,0,5,0,Standard,Standard,126,0.017,-0.254,,,0.244,0.254,88.0,-5,5,0.066,0.934,30,33,30,33,1,2,,,,,2.93,1.12,-1.12,
SL,2023-03-21,82.9,1.14,6.09,"Clay, Sam",543685,621348,,called_strike,,,,,8,"Anthony Rendon grounds into a force out, third baseman Josh Rojas to second baseman Ketel Marte.   Gio Urshela out at 2nd.",S,R,L,AZ,LAA,S,,,1,0,2023,-0.72,-0.87,-0.25,1.99,623205,592273,570482,2,4,Top,,,,,,,-1.746589235411809,-120.70825972501642,-1.13987013410681,-6.6275516935323076,25.131724643852557,-40.669178293173054,3.37,1.65,,,,82.0,2695,5.8,719020,672515,572233,606466,668942,605113,641786,682998,656976,54.71,,,,,,,,34,2,Slider,0,5,5,0,5,0,5,0,Standard,Standard,339,0.0,-0.048,,,,0.048,,-5,5,0.066,0.934,30,33,30,33,1,2,,,,,4.21,-0.72,0.72,
SI,2023-03-21,90.2,0.89,6.38,"Clay, Sam",543685,621348,,ball,,,,,12,"Anthony Rendon grounds into a force out, third baseman Josh Rojas to second baseman Ketel Marte.   Gio Urshela out at 2nd.",S,R,L,AZ,LAA,B,,,0,0,2023,1.27,0.55,1.23,5.34,623205,592273,570482,2,4,Top,,,,,,,-1.8168745320471509,-131.4479608376637,2.1164493831664615,15.122291280696894,26.570571388899207,-26.36523850978763,3.28,1.65,,,,89.6,2050,5.7,719020,672515,572233,606466,668942,605113,641786,682998,656976,54.78,,,,,,,,34,1,Sinker,0,5,5,0,5,0,5,0,Standard,Standard,132,0.0,0.035,,,,-0.035,,-5,5,0.066,0.934,30,33,30,33,1,2,,,,,2.23,1.27,-1.27,
SL,2023-03-21,81.6,1.27,6.17,"Clay, Sam",570482,621348,walk,ball,,,,,14,Gio Urshela walks.   Brandon Drury to 2nd.,S,R,L,AZ,LAA,B,,,3,2,2023,-0.82,-0.94,1.06,1.44,623205,,592273,2,4,Top,,,,,,,1.0976524408403487,-118.88480414036478,-2.228489930340262,-7.970135761751137,23.540660556168433,-40.82850324935859,3.51,1.67,,,,80.7,2681,5.7,719020,672515,572233,606466,668942,605113,641786,682998,656976,54.84,,,0.7,,0,0,,33,7,Slider,0,5,5,0,5,0,5,0,Standard,Standard,325,-0.005,0.153,,,,-0.153,,-5,5,0.071,0.929,30,31,30,32,1,2,,,,,4.36,-0.82,0.82,
CH,2023-03-21,85.5,0.93,6.27,"Clay, Sam",570482,621348,,ball,,,,,13,Gio Urshela walks.   Brandon Drury to 2nd.,S,R,L,AZ,LAA,B,,,2,2,2023,1.1,0.26,-1.16,1.28,623205,,592273,2,4,Top,,,,,,,-7.062482036452616,-124.2536988977516,-5.974874720851497,12.751775720105346,22.815834266079513,-28.55630410441253,3.49,1.65,,,,84.9,1659,5.8,719020,672515,572233,606466,668942,605113,641786,682998,656976,54.7,,,,,,,,33,6,Changeup,0,5,5,0,5,0,5,0,Standard,Standard,120,0.0,0.08,,,,-0.08,,-5,5,0.071,0.929,30,31,30,32,1,2,,,,,2.85,1.1,-1.1,
SI,2023-03-21,90.4,0.85,6.44,"Clay, Sam",570482,621348,,ball,,,,,11,Gio Urshela walks.   Brandon Drury to 2nd.,S,R,L,AZ,LAA,B,,,1,2,2023,0.36,1.33,-1.7,3.54,623205,,592273,2,4,Top,,,,,,,-7.047572727223797,-131.6018231627539,-4.142549333925695,5.636113422539586,25.507084560628215,-15.990146078042224,3.51,1.7,,,,89.7,2178,5.6,719020,672515,572233,606466,668942,605113,641786,682998,656976,54.85,,,,,,,,33,5,Sinker,0,5,5,0,5,0,5,0,Standard,Standard,138,0.0,0.023,,,,-0.023,,-5,5,0.071,0.929,30,31,30,32,1,2,,,,,1.44,0.36,-0.36,
SL,2023-03-21,82.6,1.08,6.1,"Clay, Sam",570482,621348,,foul,,,,,13,Gio Urshela walks.   Brandon Drury to 2nd.,S,R,L,AZ,LAA,S,,,1,2,2023,-0.59,-0.61,-1.14,1.8,623205,,592273,2,4,Top,,,,,,,-3.873230942330917,-120.17314259963447,-1.9982257667782417,-4.836806693211127,26.378269294205325,-37.82180097258792,3.44,1.61,5,74.9,-20,81.6,2733,5.9,719020,672515,572233,606466,668942,605113,641786,682998,656976,54.6,,,,,,,,33,4,Slider,0,5,5,0,5,0,5,0,Standard,Standard,334,0.0,0.0,,,,0.0,88.0,-5,5,0.071,0.929,30,31,30,32,1,2,,,,,3.99,-0.59,0.59,
SL,2023-03-21,83.1,1.14,6.12,"Clay, Sam",570482,621348,,swinging_strike_blocked,,,,,13,Gio Urshela walks.   Brandon Drury to 2nd.,S,R,L,AZ,LAA,S,,,1,1,2023,-0.34,-0.52,-1.34,0.68,623205,,592273,2,4,Top,,,,,,,-4.969016453712267,-120.94165522937377,-4.888649953913531,-2.283217963768928,24.77565168072295,-36.48579610247786,3.44,1.61,,,,81.9,2667,5.6,719020,672515,572233,606466,668942,605113,641786,682998,656976,54.95,,,,,,,,33,3,Slider,0,5,5,0,5,0,5,0,Standard,Standard,347,0.0,-0.074,,,,0.074,,-5,5,0.071,0.929,30,31,30,32,1,2,,,,,3.83,-0.34,0.34,
CH,2023-03-21,84.7,1.0,6.19,"Clay, Sam",570482,621348,,ball,,,,,13,Gio Urshela walks.   Brandon Drury to 2nd.,S,R,L,AZ,LAA,B,,,0,1,2023,1.34,0.65,-0.92,1.32,623205,,592273,2,4,Top,,,,,,,-7.070167618285369,-123.13242514236153,-6.301395557486174,15.011288503002508,23.008719309668937,-24.49999340957243,3.49,1.74,,,,84.0,1724,5.7,719020,672515,572233,606466,668942,605113,641786,682998,656976,54.77,,,,,,,,33,2,Changeup,0,5,5,0,5,0,5,0,Standard,Standard,124,0.0,0.039,,,,-0.039,,-5,5,0.071,0.929,30,31,30,32,1,2,,,,,2.52,1.34,-1.34,
SL,2023-03-21,82.6,1.07,6.21,"Clay, Sam",570482,621348,,swinging_strike,,,,,13,Gio Urshela walks.   Brandon Drury to 2nd.,S,R,L,AZ,LAA,S,,,0,0,2023,-0.18,-0.22,-1.23,1.19,623205,,592273,2,4,Top,,,,,,,-4.8497251572988045,-120.19527546226983,-4.458183717643264,-0.7964822814025253,23.45213713526497,-33.6040463995491,3.44,1.61,,,,81.9,2601,5.8,719020,672515,572233,606466,668942,605113,641786,682998,656976,54.7,,,,,,,,33,1,Slider,0,5,5,0,5,0,5,0,Standard,Standard,358,0.0,-0.052,,,,0.052,,-5,5,0.071,0.929,30,31,30,32,1,2,,,,,3.56,-0.18,0.18,
CH,2023-03-21,83.6,0.94,6.32,"Clay, Sam",592273,621348,force_out,hit_into_play,,,,,14,"Angels challenged (tag play), call on the field was upheld: Brandon Drury grounds into a force out, second baseman Ketel Marte to shortstop Nick Ahmed.   Andrew Velazquez to 3rd.    Brett Phillips out at 2nd.    Brandon Drury to 1st.",S,R,L,AZ,LAA,X,4,ground_ball,0,1,2023,1.15,0.52,1.32,2.03,,623205,621433,1,4,Top,143.4,147.73,,,,,-1.3816894032805362,-121.83757856217385,-4.514551471012553,11.78831973503118,21.81408091228927,-26.365311034891196,3.57,1.7,67,91.2,2,83.0,1633,5.6,719020,672515,572233,606466,668942,605113,641786,682998,656976,54.9,0.363,,0.0,,0,0,2,32,2,Changeup,0,5,5,0,5,0,5,0,Standard,Standard,130,0.008,-0.284,,,0.419,0.284,91.2,-5,5,0.063,0.937,30,30,30,31,1,2,,,,,2.71,1.15,-1.15,
