pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-05-07,81.5,1.31,5.14,"Cleavinger, Garrett",650402,664076,fielders_choice_out,hit_into_play,,,,,9,"Gleyber Torres reaches on a fielder's choice out, shortstop Wander Franco to catcher Christian Bethancourt to third baseman Isaac Paredes to catcher Christian Bethancourt to third baseman Isaac Paredes.   Aaron Hicks out at home.    Gleyber Torres to 3rd.",R,R,L,TB,NYY,X,6,ground_ball,0,2,2023,-1.17,-1.04,0.33,1.54,543305,,,1,10,Top,107.76,162.94,,,,,0.0518844672452915,-118.65407173339156,0.529758930044876,-11.043353555385876,24.433081441856768,-42.29194857480323,3.13,1.45,20,92.2,-3,81.2,2858,6.2,718271,542194,650490,664040,670623,677551,668227,642350,666139,54.26,0.217,0.195,0.0,1,0,0,2,87,3,Slider,7,7,7,7,7,7,7,7,Infield shade,Standard,300,0.191,-0.134,,,0.217,0.134,92.2,0,0,0.492,0.508,29,26,29,27,1,5,2,1,,1,4.49,-1.17,1.17,34.1
SL,2023-05-07,82.9,1.25,5.12,"Cleavinger, Garrett",650402,664076,,swinging_strike,,,,,13,"Gleyber Torres reaches on a fielder's choice out, shortstop Wander Franco to catcher Christian Bethancourt to third baseman Isaac Paredes to catcher Christian Bethancourt to third baseman Isaac Paredes.   Aaron Hicks out at home.    Gleyber Torres to 3rd.",R,R,L,TB,NYY,S,,,0,1,2023,-1.01,-0.97,-0.13,0.94,543305,,,1,10,Top,,,,,,,-1.203907813904844,-120.63994724774956,-1.0795936084565567,-9.461877719039803,26.467805661003855,-41.55130893642685,3.13,1.45,,,,82.8,2824,6.5,718271,542194,650490,664040,670623,677551,668227,642350,666139,54.02,,,,,,,,87,2,Slider,7,7,7,7,7,7,7,7,Infield shade,Standard,301,0.0,-0.085,,,,0.085,,0,0,0.492,0.508,29,26,29,27,1,5,2,1,,1,4.32,-1.01,1.01,32.6
SL,2023-05-07,82.5,1.31,5.2,"Cleavinger, Garrett",650402,664076,,called_strike,,,,,5,"Gleyber Torres reaches on a fielder's choice out, shortstop Wander Franco to catcher Christian Bethancourt to third baseman Isaac Paredes to catcher Christian Bethancourt to third baseman Isaac Paredes.   Aaron Hicks out at home.    Gleyber Torres to 3rd.",R,R,L,TB,NYY,S,,,0,0,2023,-0.82,-0.67,-0.12,2.35,543305,,,1,10,Top,,,,,,,-1.6524815064075342,-120.1315709761492,1.4003591586027662,-7.543689877880458,25.42614161501023,-39.15060422234632,3.02,1.4,,,,82.1,2796,6.2,718271,542194,650490,664040,670623,677551,668227,642350,666139,54.32,,,,,,,,87,1,Slider,7,7,7,7,7,7,7,7,Strategic,Standard,294,0.0,-0.055,,,,0.055,,0,0,0.492,0.508,29,26,29,27,1,5,2,1,,1,4.04,-0.82,0.82,34.5
SL,2023-05-07,81.5,1.37,5.13,"Cleavinger, Garrett",683011,664076,field_out,hit_into_play,,,,,9,Anthony Volpe lines out to right fielder Josh Lowe.   Aaron Hicks to 3rd.,R,R,L,TB,NYY,X,9,line_drive,1,2,2023,-1.29,-1.06,0.49,1.73,,543305,,0,10,Top,199.06,82.82,,,,,0.5016644320408179,-118.64012754315956,1.0576155769876554,-12.157331408042609,25.11700320246675,-42.57899961501872,3.08,1.45,339,94.5,24,81.1,2825,6.2,718271,542194,650490,664040,670623,677551,668227,642350,666139,54.28,0.234,0.328,0.0,1,0,0,5,86,5,Slider,7,7,7,7,7,7,7,7,Infield shade,Standard,299,-0.008,-0.176,,,0.55,0.176,94.5,0,0,0.5,0.5,29,22,29,22,1,5,2,1,,1,4.52,-1.29,1.29,31.7
SL,2023-05-07,81.7,1.27,5.16,"Cleavinger, Garrett",683011,664076,,foul,,,,,7,Anthony Volpe lines out to right fielder Josh Lowe.   Aaron Hicks to 3rd.,R,R,L,TB,NYY,S,,,1,2,2023,-1.15,-0.3,-0.31,1.46,,543305,,0,10,Top,,,,,,,-1.351776136266622,-119.05726247116276,-1.1836272204285123,-10.623342063068137,23.539725796908016,-34.974947245553174,3.08,1.45,63,90.7,2,81.5,2815,6.2,718271,542194,650490,664040,670623,677551,668227,642350,666139,54.34,,,,,,,,86,4,Slider,7,7,7,7,7,7,7,7,Infield shade,Standard,298,0.0,0.0,,,,0.0,90.7,0,0,0.5,0.5,29,22,29,22,1,5,2,1,,1,3.71,-1.15,1.15,33.5
FF,2023-05-07,96.1,1.23,5.34,"Cleavinger, Garrett",683011,664076,,swinging_strike,,,,,12,Anthony Volpe lines out to right fielder Josh Lowe.   Aaron Hicks to 3rd.,R,R,L,TB,NYY,S,,,1,1,2023,0.96,1.26,0.37,3.43,,543305,,0,10,Top,,,,,,,-4.416701879985689,-139.85569491114006,-2.2770151378806416,13.55088404932838,33.723000384715924,-15.407873025100889,3.08,1.45,,,,95.3,2374,6.0,718271,542194,650490,664040,670623,677551,668227,642350,666139,54.53,,,,,,,,86,3,4-Seam Fastball,7,7,7,7,7,7,7,7,Standard,Standard,136,0.0,-0.066,,,,0.066,,0,0,0.5,0.5,29,22,29,22,1,5,2,1,,1,1.22,0.96,-0.96,35.8
SL,2023-05-07,81.6,1.43,5.22,"Cleavinger, Garrett",683011,664076,,called_strike,,,,,3,Anthony Volpe lines out to right fielder Josh Lowe.   Aaron Hicks to 3rd.,R,R,L,TB,NYY,S,,,1,0,2023,-1.01,0.2,0.34,2.7,,543305,,0,10,Top,,,,,,,-0.5252226676560264,-118.90508779745188,0.5164726925017677,-9.487771116160792,22.766973778305676,-30.62346628625724,2.9,1.45,,,,81.5,2788,6.2,718271,542194,650490,664040,670623,677551,668227,642350,666139,54.33,,,,,,,,86,2,Slider,7,7,7,7,7,7,7,7,Standard,Standard,287,0.0,-0.061,,,,0.061,,0,0,0.5,0.5,29,22,29,22,1,5,2,1,,1,3.22,-1.01,1.01,30.8
SL,2023-05-07,83.4,1.47,5.15,"Cleavinger, Garrett",683011,664076,,ball,,,,,13,Anthony Volpe lines out to right fielder Josh Lowe.   Aaron Hicks to 3rd.,R,R,L,TB,NYY,B,,,0,0,2023,-0.97,-0.06,-1.43,1.37,,543305,,0,10,Top,,,,,,,-4.756519088636801,-121.37066655235331,-2.132659956289122,-8.60296719829576,23.88605277036345,-32.55746903294106,3.04,1.42,,,,83.1,2831,6.1,718271,542194,650490,664040,670623,677551,668227,642350,666139,54.37,,,,,,,,86,1,Slider,7,7,7,7,7,7,7,7,Standard,Standard,300,0.0,0.036,,,,-0.036,,0,0,0.5,0.5,29,22,29,22,1,5,2,1,,1,3.34,-0.97,0.97,31.3
SL,2023-05-05,80.5,1.32,5.13,"Cleavinger, Garrett",641343,664076,strikeout,called_strike,,,,,14,Jake Bauers called out on strikes.,R,L,L,TB,NYY,S,2,,2,2,2023,-1.33,-0.88,0.91,2.22,,,,2,6,Top,,,,,,,1.622762044346023,-117.05950459870404,1.9746357983045804,-12.461770884912845,24.84009351762015,-40.88258974992985,3.26,1.48,,,,79.9,2898,6.2,718300,642336,650490,670764,670623,677551,668227,642350,666139,54.3,,0.0,0.0,1,0,0,,48,5,Slider,4,4,4,4,4,4,4,4,Standard,Standard,302,0.016,-0.233,,,,0.233,,0,0,0.558,0.442,29,27,29,28,1,2,5,2,2,1,4.44,-1.33,-1.33,32.4
SL,2023-05-05,82.7,1.35,5.12,"Cleavinger, Garrett",641343,664076,,ball,,,,,13,Jake Bauers called out on strikes.,R,L,L,TB,NYY,B,,,1,2,2023,-0.94,-0.99,-0.76,1.15,,,,2,6,Top,,,,,,,-2.960516137180203,-120.3990725457562,-0.5769001675134797,-8.44827534273504,25.50601471410561,-41.847355696142465,3.26,1.5,,,,82.4,2797,6.3,718300,642336,650490,670764,670623,677551,668227,642350,666139,54.2,,,,,,,,48,4,Slider,4,4,4,4,4,4,4,4,Standard,Standard,298,0.0,0.041,,,,-0.041,,0,0,0.558,0.442,29,27,29,28,1,2,5,2,2,1,4.34,-0.94,-0.94,35.0
