pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
EP,2023-06-10,54.0,-1.54,7.23,"Clemens, Kody",571970,665019,field_out,hit_into_play,,,,,12,Max Muncy lines out to pitcher Kody Clemens.,R,L,R,PHI,LAD,X,1,line_drive,0,0,2023,1.3,1.75,0.93,2.73,,,,2,9,Top,124.62,165.33,,,,,1.955383252846966,-78.55225068088338,1.082777572108227,5.030999343316919,11.758707511497754,-25.447025029694192,3.08,1.55,92,70.1,9,51.7,1253,4.2,717811,596117,656403,681082,624641,607208,543281,669016,656495,56.25,0.257,0.226,0.0,1,0,0,2,71,1,Eephus,0,9,9,0,9,0,9,0,Infield shade,Standard,204,0.0,-0.275,,,0.292,0.275,88.0,-9,9,0.0,1.0,27,32,27,33,1,4,22,1,,1,6.19,-1.3,1.3,52.3
EP,2023-06-10,46.6,-1.1,7.38,"Clemens, Kody",669257,665019,field_out,hit_into_play,,,,,6,Will Smith flies out to left fielder Josh Harrison.,R,R,R,PHI,LAD,X,7,fly_ball,2,0,2023,0.05,1.48,0.41,2.38,,,,1,9,Top,83.85,74.89,,,,,1.8165413638908232,-67.68818697790212,3.2822469600882465,-0.0479089897146146,7.285584990510153,-28.198144362877255,3.34,1.59,323,86.0,37,44.8,1117,4.1,717811,596117,656403,681082,624641,607208,543281,669016,656495,56.36,0.011,0.015,0.0,1,0,0,3,70,3,Eephus,0,9,9,0,9,0,9,0,Standard,Standard,199,0.0,-0.373,,,0.023,0.373,88.0,-9,9,0.0,1.0,27,28,27,28,1,4,22,1,,1,9.05,-0.05,-0.05,56.6
EP,2023-06-10,47.4,-1.18,7.36,"Clemens, Kody",669257,665019,,ball,,,,,12,Will Smith flies out to left fielder Josh Harrison.,R,R,R,PHI,LAD,B,,,1,0,2023,0.21,1.26,0.85,4.75,,,,1,9,Top,,,,,,,2.306430423141614,-68.61760757334989,6.22597163291429,0.4071755565191827,7.47815095110757,-29.076200955872284,3.34,1.52,,,,45.4,1241,4.1,717811,596117,656403,681082,624641,607208,543281,669016,656495,56.44,,,,,,,,70,2,Eephus,0,9,9,0,9,0,9,0,Standard,Standard,196,0.0,0.066,,,,-0.066,,-9,9,0.0,1.0,27,28,27,28,1,4,22,1,,1,8.97,-0.21,-0.21,55.5
EP,2023-06-10,49.1,-1.15,7.41,"Clemens, Kody",669257,665019,,ball,,,,,12,Will Smith flies out to left fielder Josh Harrison.,R,R,R,PHI,LAD,B,,,0,0,2023,1.57,1.44,1.99,3.52,,,,1,9,Top,,,,,,,2.3361044364104675,-71.25243006002577,4.01560662097026,4.941872907174998,9.874569105747463,-28.17569175055631,3.34,1.52,,,,46.6,1140,3.9,717811,596117,656403,681082,624641,607208,543281,669016,656495,56.56,,,,,,,,70,1,Eephus,0,9,9,0,9,0,9,0,Standard,Standard,197,0.0,0.039,,,,-0.039,,-9,9,0.0,1.0,27,28,27,28,1,4,22,1,,1,8.23,-1.57,-1.57,55.5
EP,2023-06-10,46.8,-0.89,7.51,"Clemens, Kody",676356,665019,field_out,hit_into_play,,,,,4,Jonny Deluca flies out to left fielder Josh Harrison.,R,R,R,PHI,LAD,X,7,fly_ball,0,0,2023,-0.41,1.41,-0.64,2.21,,,,0,9,Top,60.22,83.5,,,,,0.7365627171683644,-67.99358925258693,2.827108816670612,-1.344158134788655,7.052493573338876,-28.26730673589089,3.37,1.53,327,87.9,30,44.9,1141,3.9,717811,596117,656403,681082,624641,607208,543281,669016,656495,56.64,0.043,0.042,0.0,1,0,0,3,69,1,Eephus,0,9,9,0,9,0,9,0,Standard,Standard,201,0.0,-0.265,,,0.072,0.265,88.0,-9,9,0.0,1.0,27,24,27,25,1,0,22,1,,3,8.98,0.41,0.41,56.4
EP,2023-05-19,46.6,-1.09,7.51,"Clemens, Kody",643565,665019,field_out,hit_into_play,,,,,3,Mike Tauchman flies out to right fielder Nick Castellanos.,R,L,R,PHI,CHC,X,9,fly_ball,0,0,2023,-0.12,1.55,0.29,3.29,,663538,621020,2,9,Top,185.83,116.9,,,,,1.807072369629559,-67.66170426934298,4.209998443874255,-0.5585619133292983,7.723644665790983,-28.1441520055957,3.54,1.69,251,82.4,49,44.5,1115,3.9,718116,592663,664761,681082,624641,607208,656941,669016,592206,56.59,0.029,0.031,0.0,1,0,0,3,78,1,Eephus,1,10,10,1,10,1,10,1,Standard,Standard,203,0.0,-0.295,,,0.047,0.295,88.0,-9,9,0.0,1.0,27,32,27,33,1,0,17,,22,1,9.03,0.12,-0.12,56.5
EP,2023-05-19,50.5,-0.95,7.43,"Clemens, Kody",621020,665019,walk,ball,,,,,12,Dansby Swanson walks.   Nico Hoerner to 2nd.,R,R,R,PHI,CHC,B,,,3,1,2023,-0.22,1.5,0.41,5.27,,,663538,2,9,Top,,,,,,,2.0572033327831676,-73.12343216935776,5.668874534678804,-1.0581553923727856,9.25737433998243,-27.787412802458288,3.64,1.67,,,,48.2,1194,4.1,718116,592663,664761,681082,624641,607208,656941,669016,592206,56.45,,0.695903,0.7,1,0,0,,77,5,Eephus,1,10,10,1,10,1,10,1,Standard,Standard,200,0.0,0.164,,,,-0.164,,-9,9,0.0,1.0,27,29,27,29,1,5,17,2,22,1,7.58,0.22,0.22,56.4
EP,2023-05-19,47.1,-0.86,7.47,"Clemens, Kody",621020,665019,,ball,,,,,11,Dansby Swanson walks.   Nico Hoerner to 2nd.,R,R,R,PHI,CHC,B,,,2,1,2023,-0.29,1.57,-1.12,3.93,,,663538,2,9,Top,,,,,,,-0.0308640042175628,-68.29784674202895,4.847559988362454,-0.8946576520038702,7.606067686321495,-28.033877299232593,3.68,1.69,,,,45.1,1080,4.0,718116,592663,664761,681082,624641,607208,656941,669016,592206,56.48,,,,,,,,77,4,Eephus,1,10,10,1,10,1,10,1,Standard,Standard,207,0.0,0.097,,,,-0.097,,-9,9,0.0,1.0,27,29,27,29,1,5,17,2,22,1,8.79,0.29,0.29,57.2
EP,2023-05-19,49.0,-1.15,7.39,"Clemens, Kody",621020,665019,,foul,,,,,5,Dansby Swanson walks.   Nico Hoerner to 2nd.,R,R,R,PHI,CHC,S,,,2,0,2023,-0.27,1.34,-0.23,2.69,,,663538,2,9,Top,,,,,,,1.4877559910237197,-71.23527422005166,2.9011185521153298,-1.0895863767387148,8.315947694708466,-28.172106474599452,3.45,1.58,3,52.9,-43,47.1,1201,4.1,718116,592663,664761,681082,624641,607208,656941,669016,592206,56.38,,,,,,,,77,3,Eephus,1,10,10,1,10,1,10,1,Standard,Standard,205,0.0,-0.051,,,,0.051,88.0,-9,9,0.0,1.0,27,29,27,29,1,5,17,2,22,1,8.18,0.27,0.27,54.3
EP,2023-05-19,49.4,-1.09,7.47,"Clemens, Kody",621020,665019,,ball,,,,,12,Dansby Swanson walks.   Nico Hoerner to 2nd.,R,R,R,PHI,CHC,B,,,1,0,2023,-0.07,1.58,0.6,4.62,,,663538,2,9,Top,,,,,,,2.28136154709433,-71.64520583636818,4.952291537774953,-0.5179699201219589,8.607777398775358,-27.55722516848397,3.59,1.67,,,,47.2,1213,4.0,718116,592663,664761,681082,624641,607208,656941,669016,592206,56.45,,,,,,,,77,2,Eephus,1,10,10,1,10,1,10,1,Standard,Standard,200,0.0,0.037,,,,-0.037,,-9,9,0.0,1.0,27,29,27,29,1,5,17,2,22,1,7.85,0.07,0.07,57.1
