pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-10-01,89.0,-1.97,5.19,"Cronin, Declan",666703,686539,field_out,hit_into_play,,,,,5,Eguy Rosario lines out to right fielder Gavin Sheets.,R,R,R,CWS,SD,X,9,line_drive,2,2,2023,0.42,-0.17,0.18,2.28,,663757,,2,11,Top,199.48,108.88,,,,,4.420378121324361,-129.768001609487,-0.8732268504994716,4.03784060755699,21.919586799746785,-34.13955406276447,3.14,1.5,298,91.6,21,90.0,2757,6.4,716356,656024,683734,621545,672820,462101,571980,572204,657757,54.14,0.217,0.239,0.0,1,0,0,3,85,5,Slider,1,2,2,1,2,1,2,1,Standard,Standard,40,0.062,-0.22,72.0,7.0,0.372,0.22,91.6,-1,1,0.376,0.624,25,23,26,24,1,4,3,7,,,2.99,-0.42,-0.42,24.6
SI,2023-10-01,93.0,-2.03,5.25,"Cronin, Declan",666703,686539,,ball,,,,,11,Eguy Rosario lines out to right fielder Gavin Sheets.,R,R,R,CWS,SD,B,,,1,2,2023,-0.54,0.46,-1.08,3.95,,663757,,2,11,Top,,,,,,,3.613791168770883,-135.49028290392437,1.3910104101446887,-7.37338408838039,28.545947566898136,-26.983920356155615,3.07,1.48,,,,93.3,2630,6.3,716356,656024,683734,621545,672820,462101,571980,572204,657757,54.17,,,,,,,,85,4,Sinker,1,2,2,1,2,1,2,1,Standard,Standard,227,0.0,0.015,,,,-0.015,,-1,1,0.376,0.624,25,23,26,24,1,4,3,7,,,2.16,0.54,0.54,28.2
SL,2023-10-01,87.2,-2.14,5.16,"Cronin, Declan",666703,686539,,called_strike,,,,,1,Eguy Rosario lines out to right fielder Gavin Sheets.,R,R,R,CWS,SD,S,,,1,1,2023,0.88,0.09,-0.4,2.95,,663757,,2,11,Top,,,,,,,2.3872054749954965,-127.13924921915994,0.5449283844111898,9.196190836958518,22.427531587482044,-31.43954394380209,3.14,1.52,,,,87.6,2611,6.1,716356,656024,683734,621545,672820,462101,571980,572204,657757,54.39,,,,,,,,85,3,Slider,1,2,2,1,2,1,2,1,Standard,Standard,46,0.0,-0.064,,,,0.064,,-1,1,0.376,0.624,25,23,26,24,1,4,3,7,,,2.86,-0.88,-0.88,21.2
SL,2023-10-01,86.7,-2.1,5.12,"Cronin, Declan",666703,686539,,swinging_strike,,,,,14,Eguy Rosario lines out to right fielder Gavin Sheets.,R,R,R,CWS,SD,S,,,1,0,2023,0.4,-0.4,0.51,1.35,,,663757,2,11,Top,,,,,,,5.3868674651860005,-126.27328148898138,-2.0869581959465395,3.4105050237557615,22.357070441598097,-36.288297586797746,3.14,1.5,,,,86.9,2694,6.1,716356,656024,683734,621545,672820,462101,571980,572204,657757,54.39,,,,,,,,85,2,Slider,1,2,2,1,2,1,2,1,Standard,Standard,50,-0.016,-0.05,67.0,8.2,,0.05,,-1,1,0.392,0.608,25,23,26,24,1,4,3,7,,,3.39,-0.4,-0.4,21.2
SL,2023-10-01,86.3,-2.0,5.23,"Cronin, Declan",666703,686539,,ball,,,,,12,Eguy Rosario lines out to right fielder Gavin Sheets.,R,R,R,CWS,SD,B,,,0,0,2023,0.66,-0.15,0.94,3.06,,,663757,2,11,Top,,,,,,,5.650443095525298,-125.6649111083402,1.3274418433806852,5.980656559733998,23.705018968559,-34.24092398374299,3.12,1.5,,,,86.6,2732,6.3,716356,656024,683734,621545,672820,462101,571980,572204,657757,54.24,,,,,,,,85,1,Slider,1,2,2,1,2,1,2,1,Standard,Standard,55,0.0,0.03,,,,-0.03,,-1,1,0.392,0.608,25,23,26,24,1,4,3,7,,,3.19,-0.66,-0.66,22.8
SL,2023-10-01,88.7,-1.75,5.27,"Cronin, Declan",663757,686539,single,hit_into_play,,,,,14,Trent Grisham singles on a line drive to right fielder Gavin Sheets.,R,L,R,CWS,SD,X,9,line_drive,1,1,2023,0.49,-0.11,0.38,1.63,,,,2,11,Top,188.48,100.91,,,,,4.170035832248718,-129.250495096602,-2.690885489865737,4.795121865748954,23.979224726893904,-33.07108213114489,3.63,1.77,215,93.9,15,88.8,2893,6.0,716356,656024,683734,621545,672820,462101,571980,572204,657757,54.46,0.869,0.853,0.9,1,1,0,4,84,3,Slider,1,2,2,1,2,1,2,1,Standard,Standard,36,-0.015,0.357,65.4,8.5,1.081,-0.357,93.9,-1,1,0.407,0.593,25,26,26,27,1,4,3,1,,,2.97,-0.49,0.49,23.8
SI,2023-10-01,96.9,-1.96,5.32,"Cronin, Declan",663757,686539,,ball,,,,,11,Trent Grisham singles on a line drive to right fielder Gavin Sheets.,R,L,R,CWS,SD,B,,,0,1,2023,-1.24,0.19,-1.02,3.19,,,,2,11,Top,,,,,,,5.333467974934623,-141.1447618348463,-0.6547756569032672,-17.728784257579036,29.857313710277012,-29.641002216608523,3.59,1.79,,,,97.3,2593,6.3,716356,656024,683734,621545,672820,462101,571980,572204,657757,54.22,,,,,,,,84,2,Sinker,1,2,2,1,2,1,2,1,Standard,Standard,241,0.0,0.031,,,,-0.031,,-1,1,0.407,0.593,25,26,26,27,1,4,3,1,,,2.22,1.24,-1.24,21.0
SL,2023-10-01,88.2,-1.99,5.3,"Cronin, Declan",663757,686539,,called_strike,,,,,6,Trent Grisham singles on a line drive to right fielder Gavin Sheets.,R,L,R,CWS,SD,S,,,0,0,2023,0.6,-0.19,0.62,2.74,,,,2,11,Top,,,,,,,5.093329776542484,-128.51089068486476,0.1700049884781891,5.788785824191524,23.355719992099207,-34.54895182128487,3.59,1.79,,,,88.5,2812,6.1,716356,656024,683734,621545,672820,462101,571980,572204,657757,54.35,,,,,,,,84,1,Slider,1,2,2,1,2,1,2,1,Standard,Standard,40,0.0,-0.045,,,,0.045,,-1,1,0.407,0.593,25,26,26,27,1,4,3,1,,,3.09,-0.6,0.6,23.0
SI,2023-10-01,95.7,-2.01,5.2,"Cronin, Declan",643265,686539,grounded_into_double_play,hit_into_play,,,,,7,"Garrett Cooper grounds into a double play, pitcher Declan Cronin to second baseman Zach Remillard to first baseman Andrew Vaughn. Jurickson Profar out at 2nd. Garrett Cooper out at 1st.",R,R,R,CWS,SD,X,1,ground_ball,2,2,2023,-1.06,0.33,-0.36,2.15,,,595777,0,11,Top,131.56,184.07,,,,,6.761804264738579,-139.26150182928637,-3.224478929068509,-15.249466823909586,28.449409048674397,-27.375947743901204,3.56,1.78,16,88.1,-6,96.2,2555,6.4,716356,656024,683734,621545,672820,462101,571980,572204,657757,54.11,0.186,0.163,0.0,1,0,0,2,83,8,Sinker,1,2,2,1,2,1,2,1,Standard,Standard,236,0.088,-0.324,77.1,7.1,0.207,0.324,88.1,-1,1,0.319,0.681,25,32,26,33,1,4,3,2,,,2.14,1.06,1.06,21.7
SI,2023-10-01,96.1,-2.16,5.36,"Cronin, Declan",643265,686539,,ball,,,,,13,"Garrett Cooper grounds into a double play, pitcher Declan Cronin to second baseman Zach Remillard to first baseman Andrew Vaughn. Jurickson Profar out at 2nd. Garrett Cooper out at 1st.",R,R,R,CWS,SD,B,,,1,2,2023,-1.32,0.17,-2.14,2.41,,,595777,0,11,Top,,,,,,,3.0223460200226793,-140.03162677251606,-2.643546794085178,-18.049328943258363,30.02537790226336,-29.62084877889166,3.58,1.8,,,,96.2,2637,6.1,716356,656024,683734,621545,672820,462101,571980,572204,657757,54.36,,,,,,,,83,7,Sinker,1,2,2,1,2,1,2,1,Standard,Standard,233,0.0,0.045,,,,-0.045,,-1,1,0.319,0.681,25,32,26,33,1,4,3,2,,,2.29,1.32,1.32,22.9
