pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-03-28,85.9,-2.43,5.26,"Danish, Tyler",545121,641501,single,hit_into_play,,,,,8,Ildemaro Vargas singles on a line drive to center fielder Isiah Kiner-Falefa. Alex Call scores. Luis Garcia to 2nd.,S,L,R,WSH,NYY,X,8,line_drive,0,0,2023,0.01,0.33,0.18,1.77,,669743,671277,1,7,Bot,128.78,95.88,,,,,6.042834113675693,-124.81084052494457,-2.5519331723898953,-1.2643080410088927,28.93610549711012,-28.40782326494969,3.26,1.48,219,73.9,21,84.2,2393,5.6,733679,543309,665953,702332,661733,701496,664314,643396,542364,54.92,0.986,,0.9,,1,0,4,53,1,Slider,1,0,1,0,0,2,2,0,Standard,Standard,197,0.086,0.485,,,1.05,-0.485,88.0,1,1,0.822,0.822,28,31,29,32,1,0,,,,,2.81,-0.01,0.01,
ST,2023-03-28,77.7,-2.91,4.68,"Danish, Tyler",645302,641501,strikeout,swinging_strike,,,,,9,Victor Robles strikes out swinging.,S,R,R,WSH,NYY,S,2,,0,2,2023,1.33,0.74,0.36,1.4,,669743,671277,0,7,Bot,,,,,,,4.47483243843166,-112.87674682191948,-1.2637135174351588,10.0899859169974,25.892632986404973,-25.94248252916483,3.38,1.5,,,,75.5,2620,5.4,733679,543309,665953,702332,661733,701496,664314,643396,542364,55.13,,,0.0,,0,0,,52,3,Sweeper,1,0,1,0,0,1,1,0,Strategic,Standard,71,-0.038,-0.143,,,,0.143,,1,1,0.86,0.86,28,26,29,26,1,2,,,,,3.13,-1.33,-1.33,
ST,2023-03-28,79.4,-2.75,5.04,"Danish, Tyler",645302,641501,,missed_bunt,,,,,1,Victor Robles strikes out swinging.,S,R,R,WSH,NYY,S,,,0,1,2023,1.19,0.75,-0.45,2.94,,669743,671277,0,7,Bot,,,,,,,2.7474890546931445,-115.5074120513419,0.8196996647011456,9.924207550777718,25.193374468539297,-25.97655546758204,3.38,1.5,,,,77.3,2513,5.2,733679,543309,665953,702332,661733,701496,664314,643396,542364,55.31,,,,,,,,52,2,Sweeper,1,0,1,0,0,1,1,0,Strategic,Standard,71,0.0,-0.066,,,,0.066,,1,1,0.86,0.86,28,26,29,26,1,2,,,,,2.92,-1.19,-1.19,
SI,2023-03-28,91.6,-1.98,5.35,"Danish, Tyler",645302,641501,,missed_bunt,,,,,5,Victor Robles strikes out swinging.,S,R,R,WSH,NYY,S,,,0,0,2023,-1.74,0.04,-0.01,2.51,,669743,671277,0,7,Bot,,,,,,,8.55907910382893,-132.95224348536414,-1.2823608997551914,-22.467745163331617,32.63265919551034,-31.598459289782244,3.38,1.5,,,,89.4,1891,5.4,733679,543309,665953,702332,661733,701496,664314,643396,542364,55.08,,,,,,,,52,1,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,248,0.0,-0.048,,,,0.048,,1,1,0.86,0.86,28,26,29,26,1,2,,,,,2.72,1.74,1.74,
SL,2023-03-28,84.7,-2.36,5.36,"Danish, Tyler",671277,641501,single,hit_into_play,,,,,8,Luis Garcia singles on a line drive to left fielder Estevan Florial. Alex Call to 2nd.,S,L,R,WSH,NYY,X,7,line_drive,1,2,2023,0.02,0.08,-0.09,2.13,,,669743,0,7,Bot,80.62,107.44,,,,,5.210866145323563,-123.3281898015407,-1.3186755283176934,-0.909653368299367,25.453777352260648,-31.352426442826943,3.55,1.75,195,87.2,11,83.6,2293,5.6,733679,543309,665953,702332,661733,701496,664314,643396,542364,54.92,0.671,,0.9,,1,0,4,51,4,Slider,1,0,1,0,0,1,1,0,Strategic,Standard,87,0.038,0.523,,,0.748,-0.523,88.0,1,1,0.822,0.822,28,23,29,23,1,2,,,,,3.11,-0.02,0.02,
SI,2023-03-28,89.9,-2.29,5.22,"Danish, Tyler",671277,641501,,foul,,,,,1,Luis Garcia singles on a line drive to left fielder Estevan Florial. Alex Call to 2nd.,S,L,R,WSH,NYY,S,,,1,1,2023,-1.53,-0.31,-0.76,3.19,,,669743,0,7,Bot,,,,,,,6.949305255383707,-130.70402075802815,1.5897980670189638,-19.045681032569043,27.65931806606686,-36.31773960393988,3.55,1.75,75,78.9,4,88.8,1835,5.7,733679,543309,665953,702332,661733,701496,664314,643396,542364,54.81,,,,,,,,51,3,Sinker,1,0,1,0,0,1,1,0,Infield shade,Standard,256,0.0,-0.059,,,,0.059,88.0,1,1,0.822,0.822,28,23,29,23,1,2,,,,,3.14,1.53,-1.53,
ST,2023-03-28,76.0,-2.52,5.1,"Danish, Tyler",671277,641501,,foul,,,,,8,Luis Garcia singles on a line drive to left fielder Estevan Florial. Alex Call to 2nd.,S,L,R,WSH,NYY,S,,,1,0,2023,1.69,0.21,0.11,2.04,,,669743,0,7,Bot,,,,,,,2.4483413382154513,-110.62946419384276,0.3513612375879456,13.286750746065165,22.33528744417419,-30.81699303716892,3.55,1.75,91,62.9,76,74.4,2332,5.4,733679,543309,665953,702332,661733,701496,664314,643396,542364,55.14,,,,,,,,51,2,Sweeper,1,0,1,0,0,1,1,0,Infield shade,Standard,66,0.0,-0.042,,,,0.042,88.0,1,1,0.822,0.822,28,23,29,23,1,2,,,,,3.78,-1.69,1.69,
SI,2023-03-28,90.3,-2.19,5.4,"Danish, Tyler",671277,641501,,ball,,,,,11,Luis Garcia singles on a line drive to left fielder Estevan Florial. Alex Call to 2nd.,S,L,R,WSH,NYY,B,,,0,0,2023,-1.52,0.07,-1.0,3.6,,,669743,0,7,Bot,,,,,,,6.095301501561077,-131.30410248944807,1.3840001099471675,-18.86671354638336,32.17077600490182,-31.99609343301349,3.56,1.78,,,,88.3,2036,5.4,733679,543309,665953,702332,661733,701496,664314,643396,542364,55.07,,,,,,,,51,1,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,241,0.0,0.03,,,,-0.03,,1,1,0.822,0.822,28,23,29,23,1,2,,,,,2.77,1.52,-1.52,
ST,2023-03-28,76.2,-2.62,4.98,"Danish, Tyler",669743,641501,walk,ball,,,,,13,Alex Call walks.,S,R,R,WSH,NYY,B,,,3,2,2023,1.81,0.26,-1.54,1.39,,,,0,7,Bot,,,,,,,-0.9611822905951092,-110.91583517473325,-0.8538484105154114,14.960976084318377,23.470759149344634,-30.094549552221174,2.94,1.5,,,,74.4,2331,5.4,733679,543309,665953,702332,661733,701496,664314,643396,542364,55.11,,,0.7,,0,0,,50,6,Sweeper,1,0,1,0,0,1,1,0,Standard,Standard,66,0.028,0.347,,,,-0.347,,1,1,0.794,0.794,28,28,29,29,1,2,,,,,3.72,-1.81,-1.81,
SI,2023-03-28,90.3,-2.06,5.26,"Danish, Tyler",669743,641501,,ball,,,,,14,Alex Call walks.,S,R,R,WSH,NYY,B,,,2,2,2023,-1.62,-0.16,2.27,1.26,,,,0,7,Bot,,,,,,,13.954695296035812,-130.61718083369095,-3.5163699181492016,-21.66753091388323,29.768085854994904,-33.36470389354239,2.96,1.53,,,,88.3,1817,5.6,733679,543309,665953,702332,661733,701496,664314,643396,542364,54.92,,,,,,,,50,5,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,254,0.0,0.115,,,,-0.115,,1,1,0.794,0.794,28,28,29,29,1,2,,,,,3.01,1.62,1.62,
ST,2023-03-28,78.8,-2.39,5.01,"Danish, Tyler",669743,641501,,ball,,,,,12,Alex Call walks.,S,R,R,WSH,NYY,B,,,1,2,2023,1.07,0.63,1.36,2.69,,,,0,7,Bot,,,,,,,6.03533050969991,-114.5825183001752,0.6591982426837808,8.10837526317291,23.729000558735507,-27.04707949810298,2.85,1.39,,,,76.9,2536,5.3,733679,543309,665953,702332,661733,701496,664314,643396,542364,55.24,,,,,,,,50,4,Sweeper,1,0,1,0,0,1,1,0,Standard,Standard,67,0.0,0.046,,,,-0.046,,1,1,0.794,0.794,28,28,29,29,1,2,,,,,3.08,-1.07,-1.07,
SI,2023-03-28,89.3,-1.89,5.42,"Danish, Tyler",669743,641501,,called_strike,,,,,5,Alex Call walks.,S,R,R,WSH,NYY,S,,,1,1,2023,-1.58,-0.04,0.1,2.7,,,,0,7,Bot,,,,,,,8.05860501420596,-129.71253458332671,-0.5317297351555575,-19.535890443580826,29.149250376910047,-32.753059814881844,3.19,1.62,,,,87.6,1870,5.5,733679,543309,665953,702332,661733,701496,664314,643396,542364,55.01,,,,,,,,50,3,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,244,0.0,-0.061,,,,0.061,,1,1,0.794,0.794,28,28,29,29,1,2,,,,,2.93,1.58,1.58,
ST,2023-03-28,76.2,-2.58,5.09,"Danish, Tyler",669743,641501,,called_strike,,,,,7,Alex Call walks.,S,R,R,WSH,NYY,S,,,1,0,2023,1.06,0.05,-0.59,1.79,,,,0,7,Bot,,,,,,,2.2418889823793173,-110.92803798655514,0.0349747343138175,8.251038082624413,21.38225464066173,-31.989601764286633,3.19,1.6,,,,74.6,2361,5.2,733679,543309,665953,702332,661733,701496,664314,643396,542364,55.26,,,,,,,,50,2,Sweeper,1,0,1,0,0,1,1,0,Standard,Standard,70,0.0,-0.052,,,,0.052,,1,1,0.794,0.794,28,28,29,29,1,2,,,,,3.9,-1.06,-1.06,
ST,2023-03-28,77.1,-2.73,5.09,"Danish, Tyler",669743,641501,,ball,,,,,13,Alex Call walks.,S,R,R,WSH,NYY,B,,,0,0,2023,1.21,0.72,-1.17,2.2,,,,0,7,Bot,,,,,,,1.083389415495158,-112.2013367611287,-0.435346657061079,9.92415243770351,22.595961435532224,-26.290014217524284,3.17,1.6,,,,75.2,2379,5.2,733679,543309,665953,702332,661733,701496,664314,643396,542364,55.34,,,,,,,,50,1,Sweeper,1,0,1,0,0,1,1,0,Standard,Standard,73,0.0,0.04,,,,-0.04,,1,1,0.794,0.794,28,28,29,29,1,2,,,,,3.15,-1.21,-1.21,
ST,2023-03-25,81.5,-2.42,5.16,"Danish, Tyler",669742,641501,field_out,hit_into_play,,,,,8,Darick Hall pops out to third baseman Max Burt.,S,L,R,PHI,NYY,X,5,popup,1,2,2023,0.67,0.11,0.0,2.04,,642215,,2,7,Bot,110.24,166.57,,,,,4.087431811131192,-118.73806674283908,-0.6994403195489558,5.69422602725278,21.07322157976631,-31.23398972522065,3.54,1.73,121,92.0,73,80.4,2567,5.3,718964,660710,665953,701496,661733,594694,672479,664314,679027,55.22,0.003,,0.0,,0,0,3,66,4,Sweeper,2,8,2,8,8,2,2,8,Infield shade,Standard,63,-0.005,-0.205,,,0.004,0.205,92.0,-6,-6,0.012,0.012,28,27,29,28,1,3,,,,,3.3,-0.67,0.67,
CH,2023-03-25,82.9,-2.68,4.9,"Danish, Tyler",669742,641501,,ball,,,,,13,Darick Hall pops out to third baseman Max Burt.,S,L,R,PHI,NYY,B,,,0,2,2023,-1.0,-0.2,-1.0,1.22,,642215,,2,7,Bot,,,,,,,5.70448712831499,-120.53685562383929,-1.5185286641123308,-10.88240431471027,24.190917322486353,-34.051983683675616,3.54,1.73,,,,81.4,1457,5.4,718964,660710,665953,701496,661733,594694,672479,664314,679027,55.08,,,,,,,,66,3,Changeup,2,8,2,8,8,2,2,8,Infield shade,Standard,284,0.0,0.018,,,,-0.018,,-6,-6,0.012,0.012,28,27,29,28,1,3,,,,,3.53,1.0,-1.0,
SL,2023-03-25,85.9,-2.28,5.29,"Danish, Tyler",669742,641501,,foul,,,,,14,Darick Hall pops out to third baseman Max Burt.,S,L,R,PHI,NYY,S,,,0,1,2023,0.1,0.11,1.07,1.84,,642215,,2,7,Bot,,,,,,,7.569379167572184,-124.94672741243852,-2.078761058800229,-0.5362278919203264,26.26145108057336,-30.84633406601356,3.54,1.73,9,95.2,-12,84.1,2320,5.2,718964,660710,665953,701496,661733,594694,672479,664314,679027,55.26,,,,,,,,66,2,Slider,2,8,2,8,8,2,2,8,Infield shade,Standard,146,0.0,-0.061,,,,0.061,95.2,-6,-6,0.012,0.012,28,27,29,28,1,3,,,,,3.0,-0.1,0.1,
SL,2023-03-25,86.2,-2.07,5.45,"Danish, Tyler",669742,641501,,foul,,,,,14,Darick Hall pops out to third baseman Max Burt.,S,L,R,PHI,NYY,S,,,0,0,2023,0.09,0.3,0.97,2.2,,642215,,2,7,Bot,,,,,,,6.90209088096678,-125.43468777651428,-2.103570922203875,-0.3247238688415753,23.77530866938395,-28.82752362227212,3.54,1.73,18,85.6,-7,84.8,2310,5.2,718964,660710,665953,701496,661733,594694,672479,664314,679027,55.26,,,,,,,,66,1,Slider,2,8,2,8,8,2,2,8,Standard,Standard,207,0.0,-0.046,,,,0.046,88.0,-6,-6,0.012,0.012,28,27,29,28,1,3,,,,,2.76,-0.09,0.09,
CH,2023-03-25,83.4,-2.16,5.51,"Danish, Tyler",592663,641501,strikeout,swinging_strike,,,,,13,J.T. Realmuto strikes out swinging.,S,R,R,PHI,NYY,S,2,,3,2,2023,-1.12,0.1,-1.15,1.71,,642215,,1,7,Bot,,,,,,,4.441400477202986,-121.29620672663508,-2.397719999551172,-11.948248203595506,25.789835055340063,-30.923071545476503,3.58,1.65,,,,81.7,1625,5.4,718964,660710,665953,701496,661733,594694,672479,664314,679027,55.12,,,0.0,,0,0,,65,6,Changeup,2,8,2,8,8,2,2,8,Standard,Standard,261,-0.007,-0.336,,,,0.336,,-6,-6,0.019,0.019,28,32,29,32,1,3,,,,,3.21,1.12,1.12,
