pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-06-06,91.0,-1.01,6.32,"De Jong, Chase",665923,608328,strikeout,swinging_strike,,,,,4,Esteury Ruiz strikes out swinging.,R,R,R,PIT,OAK,S,2,,1,2,2023,-0.3,1.69,-0.58,2.5,,,681146,2,9,Top,,,,,,,1.6956111506621077,-132.43494124821137,-7.252840572368868,-3.838472015287513,28.521460375684597,-10.916743519903786,2.98,1.46,,,,90.5,2376,6.0,717874,595978,656582,666801,663647,672779,668804,669261,641943,54.53,,0.0,0.0,1,0,0,,81,6,4-Seam Fastball,2,11,11,2,11,2,11,2,Standard,Standard,193,0.0,-0.206,,,,0.206,,-9,9,0.0,1.0,29,24,30,24,2,5,30,1,,3,1.06,0.3,0.3,54.9
SL,2023-06-06,81.7,-1.1,6.31,"De Jong, Chase",665923,608328,,foul,,,,,14,Esteury Ruiz strikes out swinging.,R,R,R,PIT,OAK,S,,,1,2,2023,0.44,0.0,0.71,1.17,,,681146,2,9,Top,,,,,,,3.1909350716503844,-118.91955919062858,-5.011277776810885,3.5922863000532845,21.493915250647348,-31.438860709475343,2.98,1.46,134,63.1,61,81.1,2329,5.8,717874,595978,656582,666801,663647,672779,668804,669261,641943,54.73,,,,,,,,81,5,Slider,2,11,11,2,11,2,11,2,Standard,Standard,57,0.0,0.0,,,,0.0,88.0,-9,9,0.0,1.0,29,24,30,24,2,5,30,1,,3,3.39,-0.44,-0.44,51.9
SL,2023-06-06,82.0,-1.25,6.25,"De Jong, Chase",665923,608328,,foul,,,,,8,Esteury Ruiz strikes out swinging.,R,R,R,PIT,OAK,S,,,1,2,2023,0.33,-0.38,0.25,1.84,,,681146,2,9,Top,,,,,,,2.7261216144325604,-119.3787541388353,-2.6580651818914403,2.6415025242204524,22.94235165403716,-35.55085068849676,2.98,1.46,2,67.9,-39,81.2,2352,5.7,717874,595978,656582,666801,663647,672779,668804,669261,641943,54.79,,,,,,,,81,4,Slider,2,11,11,2,11,2,11,2,Standard,Standard,59,0.0,0.0,,,,0.0,88.0,-9,9,0.0,1.0,29,24,30,24,2,5,30,1,,3,3.77,-0.33,-0.33,54.4
FF,2023-06-06,91.1,-0.79,6.27,"De Jong, Chase",665923,608328,,ball,,,,,14,Esteury Ruiz strikes out swinging.,R,R,R,PIT,OAK,B,,,0,2,2023,0.2,1.35,1.6,1.43,,,681146,2,9,Top,,,,,,,5.546815874562633,-132.37217171495084,-9.148019740646877,1.2606003590479509,27.048017044410813,-14.507711275575453,2.9,1.46,,,,90.9,2206,6.2,717874,595978,656582,666801,663647,672779,668804,669261,641943,54.33,,,,,,,,81,3,4-Seam Fastball,2,11,11,2,11,2,11,2,Standard,Standard,194,0.0,0.02,,,,-0.02,,-9,9,0.0,1.0,29,24,30,24,2,5,30,1,,3,1.39,-0.2,-0.2,56.3
SL,2023-06-06,81.2,-1.28,6.32,"De Jong, Chase",665923,608328,,swinging_strike,,,,,6,Esteury Ruiz strikes out swinging.,R,R,R,PIT,OAK,S,,,0,1,2023,0.3,-0.37,0.79,2.34,,,681146,2,9,Top,,,,,,,4.033561189299387,-118.20317575834966,-1.593735465598478,2.02433901550953,22.162800051235813,-35.573693571607386,2.98,1.46,,,,80.6,2348,5.8,717874,595978,656582,666801,663647,672779,668804,669261,641943,54.7,,,,,,,,81,2,Slider,2,11,11,2,11,2,11,2,Standard,Standard,54,0.0,-0.055,,,,0.055,,-9,9,0.0,1.0,29,24,30,24,2,5,30,1,,3,3.82,-0.3,-0.3,48.9
SL,2023-06-06,81.2,-1.29,6.26,"De Jong, Chase",665923,608328,,swinging_strike_blocked,,,,,14,Esteury Ruiz strikes out swinging.,R,R,R,PIT,OAK,S,,,0,0,2023,0.19,-0.41,0.59,0.73,,,681146,2,9,Top,,,,,,,3.8146603047763374,-118.22076668956178,-4.949172668813513,1.0104841085751504,23.388585729602344,-35.216452101736415,2.98,1.46,,,,80.5,2443,5.8,717874,595978,656582,666801,663647,672779,668804,669261,641943,54.66,,,,,,,,81,1,Slider,2,11,11,2,11,2,11,2,Standard,Standard,63,0.0,-0.045,,,,0.045,,-9,9,0.0,1.0,29,24,30,24,2,5,30,1,,3,3.87,-0.19,-0.19,49.0
FS,2023-06-06,82.4,-1.17,6.16,"De Jong, Chase",681146,608328,hit_by_pitch,hit_by_pitch,,,,,11,Jonah Bride hit by pitch.,R,R,R,PIT,OAK,B,,,0,1,2023,-0.3,0.88,-2.35,4.11,,,,2,9,Top,,,,,,,-2.077854729620718,-120.01743966119352,0.1147983173774137,-2.5649936673298996,22.333956276298817,-23.892436518735703,3.11,1.5,,,,82.3,841,6.1,717874,595978,656582,666801,663647,672779,668804,669261,641943,54.42,,0.726005,0.7,1,0,0,,80,2,Split-Finger,2,11,11,2,11,2,11,2,Standard,Standard,216,0.0,0.393,,,,-0.393,,-9,9,0.0,1.0,29,27,30,28,2,4,30,1,,1,2.46,0.3,0.3,47.0
FF,2023-06-06,91.0,-1.03,6.33,"De Jong, Chase",681146,608328,,foul,,,,,5,Jonah Bride hit by pitch.,R,R,R,PIT,OAK,S,,,0,0,2023,0.14,1.51,-0.12,2.06,,,,2,9,Top,,,,,,,1.9584286006738587,-132.33118308384843,-7.950419442132428,1.184371673266902,30.762151490816628,-12.882795313281004,3.11,1.5,194,76.1,57,90.2,2346,6.0,717874,595978,656582,666801,663647,672779,668804,669261,641943,54.46,,,,,,,,80,1,4-Seam Fastball,2,11,11,2,11,2,11,2,Standard,Standard,195,0.0,-0.045,,,,0.045,88.0,-9,9,0.0,1.0,29,27,30,28,2,4,30,1,,1,1.26,-0.14,-0.14,55.6
FF,2023-06-06,92.0,-1.05,6.3,"De Jong, Chase",607054,608328,home_run,hit_into_play,,,,,14,Jace Peterson homers (5) on a fly ball to right center field.    JJ Bleday scores.,R,L,R,PIT,OAK,X,,fly_ball,0,0,2023,-0.06,1.42,0.94,2.23,,668709,,2,9,Top,183.79,37.95,,,,,5.157514548996633,-133.699943169638,-7.500415240586238,-1.8567746459085417,29.502131618388443,-13.6683666293742,3.22,1.47,422,103.1,29,91.3,2241,6.0,717874,595978,656582,666801,663647,672779,668804,669261,641943,54.48,0.774,1.501,2.0,1,0,3,6,79,1,4-Seam Fastball,2,9,9,2,11,2,11,2,Infield shade,Standard,198,-0.001,1.604,,,2.975,-1.604,103.1,-7,7,0.001,0.999,29,33,30,33,2,4,30,1,,1,1.28,0.06,-0.06,56.7
FF,2023-06-06,92.0,-1.02,6.36,"De Jong, Chase",669127,608328,field_out,hit_into_play,,,,,6,Shea Langeliers pops out to shortstop Tucupita Marcano.,R,R,R,PIT,OAK,X,6,popup,0,1,2023,0.09,1.59,0.44,2.57,,668709,,1,9,Top,115.09,153.29,,,,,3.4642193251373894,-133.8221799877463,-7.190039222343139,0.3973516291384862,28.190856833466373,-11.66697152349422,3.24,1.49,148,84.9,66,91.6,2343,6.0,717874,595978,656582,666801,663647,672779,668804,669261,641943,54.48,0.006,0.008,0.0,1,0,0,3,78,2,4-Seam Fastball,2,9,9,2,9,2,9,2,Standard,Standard,194,0.0,-0.252,,,0.01,0.252,88.0,-7,7,0.001,0.999,29,25,30,26,2,4,30,1,,1,1.1,-0.09,-0.09,60.7
