pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-03-25,93.3,1.94,6.04,"Del Pozo, Miguel",643376,600887,field_out,hit_into_play,,,,,9,Danny Jansen grounds out to first baseman Jonathan Schoop.,S,R,L,TOR,DET,X,3,ground_ball,3,2,2023,0.67,1.33,0.67,1.72,,,,2,7,Bot,143.3,173.37,,,,,-4.688955277186221,-135.6846332910135,-8.235617863291438,9.288277558316862,28.282169413981062,-14.108782265721212,3.2,1.5,10,85.1,-9,92.7,2197,5.8,718961,595284,570731,668952,663837,670097,682985,641505,678009,54.67,0.109,,0.0,,0,0,2,57,6,4-Seam Fastball,0,4,0,4,4,0,0,4,,,144,-0.005,-0.336,,,0.116,0.336,88.0,-4,-4,0.037,0.037,30,28,31,28,1,2,,,,,1.28,0.67,-0.67,
CH,2023-03-25,87.3,2.06,6.06,"Del Pozo, Miguel",643376,600887,,ball,,,,,13,Danny Jansen grounds out to first baseman Jonathan Schoop.,S,R,L,TOR,DET,B,,,2,2,2023,1.58,0.69,-0.4,1.06,,,,2,7,Bot,,,,,,,-9.145161924874344,-126.57477494673272,-7.214787935987463,18.901732155949944,26.62487631895629,-23.434683394923233,3.2,1.5,,,,86.7,2024,6.2,718961,595284,570731,668952,663837,670097,682985,641505,678009,54.31,,,,,,,,57,5,Changeup,0,4,0,4,4,0,0,4,,,121,0.0,0.104,,,,-0.104,,-4,-4,0.037,0.037,30,28,31,28,1,2,,,,,2.33,1.58,-1.58,
CU,2023-03-25,80.8,2.05,6.13,"Del Pozo, Miguel",643376,600887,,ball,,,,,12,Danny Jansen grounds out to first baseman Jonathan Schoop.,S,R,L,TOR,DET,B,,,1,2,2023,-0.31,-0.32,2.79,3.97,,,,2,7,Bot,,,,,,,2.2124538443828614,-117.69788670724488,2.350257559820884,-3.242610006235481,20.77696203904867,-35.789782112381936,3.2,1.5,,,,80.1,2264,5.6,718961,595284,570731,668952,663837,670097,682985,641505,678009,54.87,,,,,,,,57,4,Curveball,0,4,0,4,4,0,0,4,,,296,0.0,0.041,,,,-0.041,,-4,-4,0.037,0.037,30,28,31,28,1,2,,,,,3.79,-0.31,0.31,
CU,2023-03-25,84.6,1.91,6.07,"Del Pozo, Miguel",643376,600887,,ball,,,,,13,Danny Jansen grounds out to first baseman Jonathan Schoop.,S,R,L,TOR,DET,B,,,0,2,2023,-0.22,-0.07,-1.41,0.79,,,,2,7,Bot,,,,,,,-7.253956067480723,-122.96132988120902,-5.750199976502737,-0.7619137777537565,25.08526367057156,-31.86047979438471,3.2,1.5,,,,83.9,2380,5.9,718961,595284,570731,668952,663837,670097,682985,641505,678009,54.57,,,,,,,,57,3,Curveball,0,4,0,4,4,0,0,4,,,351,0.0,0.022,,,,-0.022,,-4,-4,0.037,0.037,30,28,31,28,1,2,,,,,3.27,-0.22,0.22,
CH,2023-03-25,87.4,2.09,6.1,"Del Pozo, Miguel",643376,600887,,swinging_strike,,,,,14,Danny Jansen grounds out to first baseman Jonathan Schoop.,S,R,L,TOR,DET,S,,,0,1,2023,1.39,0.61,0.88,1.4,,,,2,7,Bot,,,,,,,-5.7315390139214015,-127.0222756945012,-6.3414832884742545,16.27052779107766,27.33128672460335,-24.452947015262676,3.2,1.5,,,,86.6,2111,5.9,718961,595284,570731,668952,663837,670097,682985,641505,678009,54.57,,,,,,,,57,2,Changeup,0,4,0,4,4,0,0,4,,,118,0.0,-0.061,,,,0.061,,-4,-4,0.037,0.037,30,28,31,28,1,2,,,,,2.4,1.39,-1.39,
CU,2023-03-25,84.0,2.01,6.12,"Del Pozo, Miguel",643376,600887,,called_strike,,,,,7,Danny Jansen grounds out to first baseman Jonathan Schoop.,S,R,L,TOR,DET,S,,,0,0,2023,-0.22,-0.09,-0.47,1.84,,,,2,7,Bot,,,,,,,-5.238777157784347,-122.33724947310176,-3.3343770653143814,-1.157259453221802,23.693083269901248,-32.585736682175735,3.2,1.5,,,,83.0,2377,5.5,718961,595284,570731,668952,663837,670097,682985,641505,678009,54.96,,,,,,,,57,1,Curveball,0,4,0,4,4,0,0,4,,,331,0.0,-0.045,,,,0.045,,-4,-4,0.037,0.037,30,28,31,28,1,2,,,,,3.3,-0.22,0.22,
CH,2023-03-25,88.0,2.06,6.07,"Del Pozo, Miguel",624415,600887,strikeout,swinging_strike,,,,,14,Cavan Biggio strikes out swinging.,S,L,L,TOR,DET,S,2,,1,2,2023,1.38,0.68,0.29,1.29,,,,1,7,Bot,,,,,,,-7.1253233127964215,-127.7695523043598,-6.82670763272102,16.597591502806672,27.024531707027755,-23.45311850402844,3.35,1.59,,,,87.4,1959,6.1,718961,595284,570731,668952,663837,670097,682985,641505,678009,54.39,,,0.0,,0,0,,56,4,Changeup,0,4,0,4,4,0,0,4,,,116,-0.01,-0.189,,,,0.189,,-4,-4,0.047,0.047,30,28,31,28,1,2,,,,,2.28,1.38,1.38,
FF,2023-03-25,93.6,1.95,6.08,"Del Pozo, Miguel",624415,600887,,called_strike,,,,,4,Cavan Biggio strikes out swinging.,S,L,L,TOR,DET,S,,,1,1,2023,0.76,1.39,-0.75,2.57,,,,1,7,Bot,,,,,,,-8.563774187817065,-135.91346078233917,-6.302309327871562,11.29290479864817,29.816457945670106,-13.756171006939002,3.35,1.59,,,,92.7,2252,5.9,718961,595284,570731,668952,663837,670097,682985,641505,678009,54.63,,,,,,,,56,3,4-Seam Fastball,0,4,0,4,4,0,0,4,,,134,0.0,-0.068,,,,0.068,,-4,-4,0.047,0.047,30,28,31,28,1,2,,,,,1.23,0.76,0.76,
CU,2023-03-25,84.5,2.03,6.14,"Del Pozo, Miguel",624415,600887,,ball,,,,,13,Cavan Biggio strikes out swinging.,S,L,L,TOR,DET,B,,,0,1,2023,-0.18,-0.12,-1.46,1.07,,,,1,7,Bot,,,,,,,-7.689462705527816,-122.76781460454276,-5.153639697770245,-0.2110095939588805,25.034992769195306,-32.53581791543172,3.35,1.59,,,,83.7,2293,5.9,718961,595284,570731,668952,663837,670097,682985,641505,678009,54.58,,,,,,,,56,2,Curveball,0,4,0,4,4,0,0,4,,,7,0.0,0.03,,,,-0.03,,-4,-4,0.047,0.047,30,28,31,28,1,2,,,,,3.33,-0.18,-0.18,
CU,2023-03-25,83.3,2.09,6.11,"Del Pozo, Miguel",624415,600887,,called_strike,,,,,7,Cavan Biggio strikes out swinging.,S,L,L,TOR,DET,S,,,0,0,2023,-0.35,-0.1,-0.45,1.98,,,,1,7,Bot,,,,,,,-5.090102007898599,-121.27256912666708,-2.8419007244162824,-2.469032808710661,23.96221754297322,-32.76968549664043,3.35,1.59,,,,82.4,2266,5.7,718961,595284,570731,668952,663837,670097,682985,641505,678009,54.83,,,,,,,,56,1,Curveball,0,4,0,4,4,0,0,4,,,269,0.0,-0.041,,,,0.041,,-4,-4,0.047,0.047,30,28,31,28,1,2,,,,,3.38,-0.35,-0.35,
