pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2023-03-24,,,,"Del Rosario, Joelvis",600303,679052,strikeout,called_strike,,,,,,Tommy La Stella called out on strikes.,S,L,R,SEA,OAK,S,2,,0,2,2023,,,,,,,,2,6,Bot,,,,,,,,,,,,,,,,,,,,,718967,650968,660650,680869,681146,691777,670276,671732,642137,,,,0.0,,0,0,,58,3,,10,2,10,2,2,10,10,2,,,,-0.001,-0.169,,,,0.169,,8,8,0.997,0.997,22,34,22,34,2,3,,,,,,,,
,2023-03-24,,,,"Del Rosario, Joelvis",600303,679052,,foul,,,,,,Tommy La Stella called out on strikes.,S,L,R,SEA,OAK,S,,,0,1,2023,,,,,,,,2,6,Bot,,,,,,,,,,,,,,,,,,,,,718967,650968,660650,680869,681146,691777,670276,671732,642137,,,,,,,,,58,2,,10,2,10,2,2,10,10,2,,,,0.0,-0.061,,,,0.061,,8,8,0.997,0.997,22,34,22,34,2,3,,,,,,,,
,2023-03-24,,,,"Del Rosario, Joelvis",600303,679052,,swinging_strike,,,,,,Tommy La Stella called out on strikes.,S,L,R,SEA,OAK,S,,,0,0,2023,,,,,,,,2,6,Bot,,,,,,,,,,,,,,,,,,,,,718967,650968,660650,680869,681146,691777,670276,671732,642137,,,,,,,,,58,1,,10,2,10,2,2,10,10,2,,,,0.0,-0.045,,,,0.045,,8,8,0.997,0.997,22,34,22,34,2,3,,,,,,,,
,2023-03-24,,,,"Del Rosario, Joelvis",669450,679052,strikeout,swinging_strike,,,,,,Cooper Hummel strikes out swinging.,S,L,R,SEA,OAK,S,2,,1,2,2023,,,,,,,,1,6,Bot,,,,,,,,,,,,,,,,,,,,,718967,650968,660650,680869,681146,691777,670276,671732,642137,,,,0.0,,0,0,,57,4,,10,2,10,2,2,10,10,2,,,,0.0,-0.189,,,,0.189,,8,8,0.997,0.997,22,28,22,29,2,3,,,,,,,,
,2023-03-24,,,,"Del Rosario, Joelvis",669450,679052,,called_strike,,,,,,Cooper Hummel strikes out swinging.,S,L,R,SEA,OAK,S,,,1,1,2023,,,,,,,,1,6,Bot,,,,,,,,,,,,,,,,,,,,,718967,650968,660650,680869,681146,691777,670276,671732,642137,,,,,,,,,57,3,,10,2,10,2,2,10,10,2,,,,0.0,-0.068,,,,0.068,,8,8,0.997,0.997,22,28,22,29,2,3,,,,,,,,
,2023-03-24,,,,"Del Rosario, Joelvis",669450,679052,,swinging_strike,,,,,,Cooper Hummel strikes out swinging.,S,L,R,SEA,OAK,S,,,1,0,2023,,,,,,,,1,6,Bot,,,,,,,,,,,,,,,,,,,,,718967,650968,660650,680869,681146,691777,670276,671732,642137,,,,,,,,,57,2,,10,2,10,2,2,10,10,2,,,,0.0,-0.05,,,,0.05,,8,8,0.997,0.997,22,28,22,29,2,3,,,,,,,,
,2023-03-24,,,,"Del Rosario, Joelvis",669450,679052,,ball,,,,,,Cooper Hummel strikes out swinging.,S,L,R,SEA,OAK,B,,,0,0,2023,,,,,642134,,,1,6,Bot,,,,,,,,,,,,,,,,,,,,,718967,650968,660650,680869,681146,691777,670276,671732,642137,,,,,,,,,57,1,,9,2,9,2,2,10,10,2,,,,0.001,0.026,,,,-0.026,,7,7,0.996,0.996,22,28,22,29,2,3,,,,,,,,
,2023-03-24,,,,"Del Rosario, Joelvis",663728,679052,field_out,hit_into_play,,,,,,"Cal Raleigh grounds out, second baseman Zack Gelof to first baseman Dermis Garcia.   Robbie Tenerowicz to 3rd.",S,L,R,SEA,OAK,X,4,ground_ball,0,0,2023,,,,,,642134,,0,6,Bot,157.15,153.33,,,,,,,,,,,,,,,,,,,718967,650968,660650,680869,681146,691777,670276,671732,642137,,,,0.0,,0,0,,56,1,,9,2,9,2,2,9,9,2,,,,0.0,-0.215,,,,0.215,,7,7,0.996,0.996,22,26,22,27,2,3,,,,,,,,
,2023-03-24,,,,"Del Rosario, Joelvis",664034,679052,double,hit_into_play,,,,,,Ty France doubles (3) on a fly ball to right fielder Cody Thomas.,S,R,R,SEA,OAK,X,9,fly_ball,0,0,2023,,,,,,,,0,6,Bot,193.59,62.24,,,,,,,,,,,,,,,,,,,718967,650968,660650,680869,681146,691777,670276,671732,642137,,,,1.25,,1,1,,55,1,,9,2,9,2,2,9,9,2,,,,0.002,0.706,,,,-0.706,,7,7,0.994,0.994,22,28,22,29,2,3,,,,,,,,
,2023-03-24,,,,"Del Rosario, Joelvis",676609,679052,hit_by_pitch,hit_by_pitch,,,,,,Jose Caballero hit by pitch.    Cooper Hummel scores.    Sam Haggerty to 3rd.    Kole Calhoun to 2nd.,S,R,R,SEA,OAK,B,,,0,0,2023,,,,,669450,664059,594777,2,5,Bot,,,,,,,,,,,,,,,,,,,,,718967,691016,660650,680869,681146,691777,670276,671732,642137,,,,0.7,,0,0,,50,1,,8,2,8,2,2,9,9,2,,,,0.009,0.343,,,,-0.343,,6,6,0.982,0.982,22,26,22,27,2,2,,,,,,,,
