pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2023-03-18,,,,"Diehl, Phillip",676609,670426,strikeout,called_strike,,,,,,Jose Caballero called out on strikes.,S,R,L,CLE,SEA,S,2,,3,2,2023,,,,,645801,,,2,7,Top,,,,,,,,,,,,,,,,,,,,,719062,572287,605137,672356,608070,642708,680757,664702,686823,,,,0.0,,0,0,,53,6,,5,1,1,5,1,5,1,5,,,,0.015,-0.298,,,,0.298,,4,-4,0.959,0.041,28,26,29,27,1,2,,,,,,,,
,2023-03-18,,,,"Diehl, Phillip",676609,670426,,ball,,,,,,Jose Caballero called out on strikes.,S,R,L,CLE,SEA,B,,,2,2,2023,,,,,645801,,,2,7,Top,,,,,,,,,,,,,,,,,,,,,719062,572287,605137,672356,608070,642708,680757,664702,686823,,,,,,,,,53,5,,5,1,1,5,1,5,1,5,,,,0.0,0.053,,,,-0.053,,4,-4,0.959,0.041,28,26,29,27,1,2,,,,,,,,
,2023-03-18,,,,"Diehl, Phillip",676609,670426,,blocked_ball,,,,,,Jose Caballero called out on strikes.,S,R,L,CLE,SEA,B,,,1,2,2023,,,,,645801,,,2,7,Top,,,,,,,,,,,,,,,,,,,,,719062,572287,605137,672356,608070,642708,680757,664702,686823,,,,,,,,,53,4,,5,1,1,5,1,5,1,5,,,,0.0,0.036,,,,-0.036,,4,-4,0.959,0.041,28,26,29,27,1,2,,,,,,,,
,2023-03-18,,,,"Diehl, Phillip",676609,670426,,blocked_ball,,,,,,Jose Caballero called out on strikes.,S,R,L,CLE,SEA,B,,,0,2,2023,,,,,645801,,,2,7,Top,,,,,,,,,,,,,,,,,,,,,719062,572287,605137,672356,608070,642708,680757,664702,686823,,,,,,,,,53,3,,5,1,1,5,1,5,1,5,,,,0.0,0.018,,,,-0.018,,4,-4,0.959,0.041,28,26,29,27,1,2,,,,,,,,
,2023-03-18,,,,"Diehl, Phillip",676609,670426,,called_strike,,,,,,Jose Caballero called out on strikes.,S,R,L,CLE,SEA,S,,,0,1,2023,,,,,645801,,,2,7,Top,,,,,,,,,,,,,,,,,,,,,719062,572287,605137,672356,608070,642708,680757,664702,686823,,,,,,,,,53,2,,5,1,1,5,1,5,1,5,,,,0.0,-0.051,,,,0.051,,4,-4,0.959,0.041,28,26,29,27,1,2,,,,,,,,
,2023-03-18,,,,"Diehl, Phillip",676609,670426,,called_strike,,,,,,Jose Caballero called out on strikes.,S,R,L,CLE,SEA,S,,,0,0,2023,,,,,645801,,,2,7,Top,,,,,,,,,,,,,,,,,,,,,719062,572287,605137,672356,608070,642708,680757,664702,686823,,,,,,,,,53,1,,5,1,1,5,1,5,1,5,,,,0.0,-0.036,,,,0.036,,4,-4,0.959,0.041,28,26,29,27,1,2,,,,,,,,
,2023-03-18,,,,"Diehl, Phillip",592567,670426,single,hit_into_play,,,,,,"Colin Moran singles on a fly ball to left fielder Steven Kwan.   Tom Murphy scores.  Colin Moran out at 2nd on the throw, left fielder Steven Kwan to shortstop Amed Rosario to second baseman Gabriel Arias.   Mike Ford to 3rd.",S,L,L,CLE,SEA,X,7,fly_ball,1,1,2023,,,,,,608596,645801,1,7,Top,73.2,87.83,,,,,,,,,,,,,,,,,,,719062,572287,605137,672356,608070,642708,680757,664702,686823,,,,0.9,,1,0,,52,3,,5,0,0,5,1,5,1,5,,,,0.004,0.494,,,,-0.494,,5,-5,0.955,0.045,28,30,29,31,1,2,,,,,,,,
,2023-03-18,,,,"Diehl, Phillip",592567,670426,,ball,,,,,,"Colin Moran singles on a fly ball to left fielder Steven Kwan.   Tom Murphy scores.  Colin Moran out at 2nd on the throw, left fielder Steven Kwan to shortstop Amed Rosario to second baseman Gabriel Arias.   Mike Ford to 3rd.",S,L,L,CLE,SEA,B,,,0,1,2023,,,,,,608596,645801,1,7,Top,,,,,,,,,,,,,,,,,,,,,719062,572287,605137,672356,608070,642708,680757,664702,686823,,,,,,,,,52,2,,5,0,0,5,0,5,0,5,,,,0.0,0.031,,,,-0.031,,5,-5,0.955,0.045,28,30,29,31,1,2,,,,,,,,
,2023-03-18,,,,"Diehl, Phillip",592567,670426,,swinging_strike_blocked,,,,,,"Colin Moran singles on a fly ball to left fielder Steven Kwan.   Tom Murphy scores.  Colin Moran out at 2nd on the throw, left fielder Steven Kwan to shortstop Amed Rosario to second baseman Gabriel Arias.   Mike Ford to 3rd.",S,L,L,CLE,SEA,S,,,0,0,2023,,,,,,608596,645801,1,7,Top,,,,,,,,,,,,,,,,,,,,,719062,572287,605137,672356,608070,642708,680757,664702,686823,,,,,,,,,52,1,,5,0,0,5,0,5,0,5,,,,0.0,-0.04,,,,0.04,,5,-5,0.955,0.045,28,30,29,31,1,2,,,,,,,,
,2023-03-18,,,,"Diehl, Phillip",645801,670426,walk,ball,,,,,,Mike Ford walks.   Tom Murphy to 2nd.,S,L,L,CLE,SEA,B,,,3,1,2023,,,,,,,608596,1,7,Top,,,,,,,,,,,,,,,,,,,,,719062,572287,605137,672356,608070,642708,680757,664702,686823,,,,0.7,,0,0,,51,5,,5,0,0,5,0,5,0,5,,,,-0.017,0.197,,,,-0.197,,5,-5,0.972,0.028,28,30,29,31,1,0,,,,,,,,
,2023-03-18,,,,"Diehl, Phillip",645801,670426,,ball,,,,,,Mike Ford walks.   Tom Murphy to 2nd.,S,L,L,CLE,SEA,B,,,2,1,2023,,,,,,,608596,1,7,Top,,,,,,,,,,,,,,,,,,,,,719062,572287,605137,672356,608070,642708,680757,664702,686823,,,,,,,,,51,4,,5,0,0,5,0,5,0,5,,,,0.0,0.1,,,,-0.1,,5,-5,0.972,0.028,28,30,29,31,1,0,,,,,,,,
