pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2023-03-23,,,,"Dipoto, Jonah",676946,665167,strikeout,swinging_strike,,,,,,Matthew Batten strikes out swinging.,S,R,R,SD,KC,S,2,,0,2,2023,,,,,,669134,701538,2,6,Bot,,,,,,,,,,,,,,,,,,,,,718989,521692,686469,686681,679845,670032,664728,598265,670231,,,,0.0,,0,0,,55,3,,5,3,5,3,3,5,5,3,,,,-0.025,-0.195,,,,0.195,,2,2,0.849,0.849,26,28,27,28,1,0,,,,,,,,
,2023-03-23,,,,"Dipoto, Jonah",676946,665167,,swinging_strike,,,,,,Matthew Batten strikes out swinging.,S,R,R,SD,KC,S,,,0,1,2023,,,,,,669134,701538,2,6,Bot,,,,,,,,,,,,,,,,,,,,,718989,521692,686469,686681,679845,670032,664728,598265,670231,,,,,,,,,55,2,,5,3,5,3,3,5,5,3,,,,0.0,-0.061,,,,0.061,,2,2,0.849,0.849,26,28,27,28,1,0,,,,,,,,
,2023-03-23,,,,"Dipoto, Jonah",676946,665167,,swinging_strike,,,,,,Matthew Batten strikes out swinging.,S,R,R,SD,KC,S,,,0,0,2023,,,,,,669134,701538,2,6,Bot,,,,,,,,,,,,,,,,,,,,,718989,521692,686469,686681,679845,670032,664728,598265,670231,,,,,,,,,55,1,,5,3,5,3,3,5,5,3,,,,0.0,-0.04,,,,0.04,,2,2,0.849,0.849,26,28,27,28,1,0,,,,,,,,
,2023-03-23,,,,"Dipoto, Jonah",701538,665167,single,hit_into_play,,,,,,Jackson Merrill singles on a ground ball to right fielder John Rave.   Luis Campusano to 2nd.,S,L,R,SD,KC,X,9,ground_ball,0,0,2023,,,,,,,669134,2,6,Bot,157.09,104.13,,,,,,,,,,,,,,,,,,,718989,521692,686469,686681,679845,670032,664728,598265,670231,,,,0.9,,1,0,,54,1,,5,3,5,3,3,5,5,3,,,,0.011,0.368,,,,-0.368,,2,2,0.838,0.838,26,20,27,20,1,0,,,,,,,,
,2023-03-23,,,,"Dipoto, Jonah",641553,665167,sac_fly,hit_into_play,,,,,,Adam Engel out on a sacrifice fly to center fielder Jackie Bradley Jr.  Ha-Seong Kim scores.,S,R,R,SD,KC,X,8,fly_ball,0,1,2023,,,,,673490,,669134,1,6,Bot,142.89,92.47,,,,,,,,,,,,,,,,,,,718989,521692,686469,686681,679845,670032,664728,598265,670231,,,,0.0,,0,0,,53,2,,4,3,4,3,3,5,5,3,,,,0.031,-0.095,,,,0.095,,1,1,0.807,0.807,26,31,27,32,1,2,,,,,,,,
,2023-03-23,,,,"Dipoto, Jonah",641553,665167,,called_strike,,,,,,Adam Engel out on a sacrifice fly to center fielder Jackie Bradley Jr.  Ha-Seong Kim scores.,S,R,R,SD,KC,S,,,0,0,2023,,,,,,673490,669134,1,6,Bot,,,,,,,,,,,,,,,,,,,,,718989,521692,686469,686681,679845,670032,664728,598265,670231,,,,,,,,,53,1,,4,3,4,3,3,4,4,3,,,,0.029,-0.04,,,,0.04,,1,1,0.778,0.778,26,31,27,32,1,2,,,,,,,,
,2023-03-23,,,,"Dipoto, Jonah",669134,665167,walk,ball,,,,,,Luis Campusano walks.,S,R,R,SD,KC,B,,,3,0,2023,,,,,,673490,,1,6,Bot,,,,,,,,,,,,,,,,,,,,,718989,521692,686469,686681,679845,670032,664728,598265,670231,,,,0.7,,0,0,,52,4,,4,3,4,3,3,4,4,3,,,,0.013,0.081,,,,-0.081,,1,1,0.765,0.765,26,24,27,25,1,2,,,,,,,,
,2023-03-23,,,,"Dipoto, Jonah",669134,665167,,ball,,,,,,Luis Campusano walks.,S,R,R,SD,KC,B,,,2,0,2023,,,,,,673490,,1,6,Bot,,,,,,,,,,,,,,,,,,,,,718989,521692,686469,686681,679845,670032,664728,598265,670231,,,,,,,,,52,3,,4,3,4,3,3,4,4,3,,,,0.0,0.072,,,,-0.072,,1,1,0.765,0.765,26,24,27,25,1,2,,,,,,,,
SL,2023-03-19,81.2,-3.42,5.36,"Dipoto, Jonah",686668,665167,strikeout,called_strike,,,,,13,Brenton Doyle called out on strikes.,S,R,R,KC,COL,S,2,,3,2,2023,0.97,-0.26,-0.43,1.25,,,666134,2,5,Top,,,,,,,4.8450022283196486,-118.21108095596593,-2.08364940414965,8.129036810405866,22.7600223211787,-34.41554466111249,3.49,1.6,,,,81.2,2531,6.3,733582,682515,607461,686681,687867,686475,658668,664728,668472,54.2,,,0.0,,0,0,,42,6,Slider,0,7,7,0,7,0,7,0,,,60,0.002,-0.304,,,,0.304,,-7,7,0.02,0.98,26,25,27,25,1,2,,,,,3.72,-0.97,-0.97,
SI,2023-03-19,93.0,-3.03,5.4,"Dipoto, Jonah",686668,665167,,blocked_ball,,,,,14,Brenton Doyle called out on strikes.,S,R,R,KC,COL,B,,,2,2,2023,-1.39,0.54,1.88,0.55,,,666134,2,5,Top,,,,,,,15.542812845606065,-134.49806710200792,-7.8602134009665,-20.000901253221205,25.60149070066903,-23.97947922139372,3.49,1.6,,,,93.0,2169,6.3,733582,682515,607461,686681,687867,686475,658668,664728,668472,54.17,,,,,,,,42,5,Sinker,0,7,7,0,7,0,7,0,,,229,0.0,0.065,,,,-0.065,,-7,7,0.02,0.98,26,25,27,25,1,2,,,,,2.1,1.39,1.39,
SL,2023-03-19,81.6,-3.17,5.32,"Dipoto, Jonah",686668,665167,,ball,,,,,14,Brenton Doyle called out on strikes.,S,R,R,KC,COL,B,,,1,2,2023,1.07,-0.27,1.87,1.68,,,666134,2,5,Top,,,,,,,9.271767876359444,-118.43476267423344,-0.9962336402723284,8.155802721325124,24.20719279337912,-34.7086724031815,3.49,1.6,,,,81.4,2582,6.5,733582,682515,607461,686681,687867,686475,658668,664728,668472,54.01,,,,,,,,42,4,Slider,0,7,7,0,7,0,7,0,,,54,0.0,0.034,,,,-0.034,,-7,7,0.02,0.98,26,25,27,25,1,2,,,,,3.73,-1.07,-1.07,
SL,2023-03-19,81.6,-3.18,5.34,"Dipoto, Jonah",686668,665167,,swinging_strike_blocked,,,,,14,Brenton Doyle called out on strikes.,S,R,R,KC,COL,S,,,1,1,2023,0.65,-0.25,0.9,0.51,,,666134,2,5,Top,,,,,,,7.953145572080755,-118.58526625287196,-3.8067998698493617,4.655221069175663,21.691728192134043,-34.01037282548143,3.49,1.6,,,,81.7,2421,6.3,733582,682515,607461,686681,687867,686475,658668,664728,668472,54.16,,,,,,,,42,3,Slider,0,7,7,0,7,0,7,0,,,64,0.0,-0.06,,,,0.06,,-7,7,0.02,0.98,26,25,27,25,1,2,,,,,3.67,-0.65,-0.65,
SL,2023-03-19,81.6,-3.33,5.3,"Dipoto, Jonah",686668,665167,,ball,,,,,11,Brenton Doyle called out on strikes.,S,R,R,KC,COL,B,,,0,1,2023,1.35,0.39,-1.1,4.45,,,666134,2,5,Top,,,,,,,2.415290823442375,-118.7681921106561,3.924072559632043,12.356498097102763,22.841042296191716,-29.496216527650457,3.49,1.6,,,,81.5,2444,6.2,733582,682515,607461,686681,687867,686475,658668,664728,668472,54.28,,,,,,,,42,2,Slider,0,7,7,0,7,0,7,0,,,76,0.0,0.025,,,,-0.025,,-7,7,0.02,0.98,26,25,27,25,1,2,,,,,3.04,-1.35,-1.35,
SL,2023-03-19,80.5,-3.24,5.39,"Dipoto, Jonah",686668,665167,,called_strike,,,,,3,Brenton Doyle called out on strikes.,S,R,R,KC,COL,S,,,0,0,2023,0.92,0.24,0.61,3.28,,,666134,2,5,Top,,,,,,,6.785472575770551,-117.16188262325122,1.5111123145766978,7.248647196823494,21.723686578603857,-30.46368837654897,3.49,1.6,,,,80.5,2504,6.3,733582,682515,607461,686681,687867,686475,658668,664728,668472,54.24,,,,,,,,42,1,Slider,0,7,7,0,7,0,7,0,,,62,0.0,-0.045,,,,0.045,,-7,7,0.02,0.98,26,25,27,25,1,2,,,,,3.27,-0.92,-0.92,
