pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2023-10-31,93.2,-2.46,5.22,"Dunning, Dane",666971,641540,grounded_into_double_play,hit_into_play,,,,,14,"Lourdes Gurriel Jr.  grounds into a double play, shortstop Corey Seager to second baseman Marcus Semien to first baseman Nathaniel Lowe.   Tommy Pham out at 2nd.    Lourdes Gurriel Jr.  out at 1st.",W,R,R,AZ,TEX,X,6,ground_ball,1,1,2023,-0.92,0.51,0.29,1.22,,572233,502054,1,6,Bot,115.87,145.7,,,,,9.17146595917057,-135.3110044684278,-5.661712613163731,-13.29167176377541,30.055086269771397,-24.760069260056085,3.6,1.71,7,94.9,-9,93.8,1909,6.8,748535,641680,663993,543760,673962,608369,694497,665750,608671,53.67,0.223,0.195,0.0,1,0,0,2,54,3,Sinker,1,10,1,10,10,1,1,10,Infield shade,Standard,227,-0.005,-0.315,73.8,7.7,0.255,0.315,94.9,-9,-9,0.007,0.007,28,29,29,30,1,2,3,1,,1,2.13,0.92,0.92,32.4
SI,2023-10-31,92.8,-2.49,5.23,"Dunning, Dane",666971,641540,,ball,,,,,9,"Lourdes Gurriel Jr.  grounds into a double play, shortstop Corey Seager to second baseman Marcus Semien to first baseman Nathaniel Lowe.   Tommy Pham out at 2nd.    Lourdes Gurriel Jr.  out at 1st.",W,R,R,AZ,TEX,B,,,0,1,2023,-0.77,0.47,0.7,1.87,,572233,502054,1,6,Bot,,,,,,,9.906731214688223,-134.74450497074156,-3.808884160787585,-11.499102044266342,29.475688670689436,-25.843510149589097,3.55,1.65,,,,93.4,1913,6.8,748535,641680,663993,543760,673962,608369,694497,665750,608671,53.71,,,,,,,,54,2,Sinker,1,10,1,10,10,1,1,10,Standard,Standard,224,0.0,0.031,,,,-0.031,,-9,-9,0.007,0.007,28,29,29,30,1,2,3,1,,1,2.19,0.77,0.77,33.2
FC,2023-10-31,89.1,-2.45,5.2,"Dunning, Dane",666971,641540,,called_strike,,,,,9,"Lourdes Gurriel Jr.  grounds into a double play, shortstop Corey Seager to second baseman Marcus Semien to first baseman Nathaniel Lowe.   Tommy Pham out at 2nd.    Lourdes Gurriel Jr.  out at 1st.",W,R,R,AZ,TEX,S,,,0,0,2023,0.29,0.43,0.34,1.96,,572233,502054,1,6,Bot,,,,,,,6.275093062022182,-129.70796504319202,-2.923364981968006,2.170681814248771,24.422046072480356,-26.956591495224295,3.55,1.62,,,,90.3,2111,6.8,748535,641680,663993,543760,673962,608369,694497,665750,608671,53.75,,,,,,,,54,1,Cutter,1,10,1,10,10,1,1,10,Standard,Standard,199,0.0,-0.04,,,,0.04,,-9,-9,0.007,0.007,28,29,29,30,1,2,3,1,,1,2.42,-0.29,-0.29,34.7
SI,2023-10-31,91.9,-2.52,5.09,"Dunning, Dane",502054,641540,single,hit_into_play,,,,,5,Tommy Pham singles on a soft ground ball to third baseman Josh Jung.   Christian Walker to 2nd.,W,R,R,AZ,TEX,X,5,ground_ball,0,0,2023,-0.99,0.49,0.27,2.35,,,572233,1,6,Bot,111.81,179.16,,,,,9.309200928333969,-133.60524859187947,-2.1672586005638403,-13.880029167978211,28.62352184234109,-25.98284399308384,3.51,1.65,1,76.1,-71,92.6,2057,6.8,748535,641680,663993,543760,673962,608369,694497,665750,608671,53.74,0.297,0.282,0.9,1,1,0,2,53,1,Sinker,1,10,1,10,10,1,1,10,Standard,Standard,222,0.003,0.415,66.3,6.2,0.329,-0.415,88.0,-9,-9,0.004,0.004,28,35,29,35,1,2,3,1,,1,2.21,0.99,0.99,29.3
SL,2023-10-31,83.2,-2.5,5.28,"Dunning, Dane",572233,641540,single,hit_into_play,,,,,14,Christian Walker singles on a fly ball to right fielder Travis Jankowski.,W,R,R,AZ,TEX,X,9,fly_ball,3,2,2023,0.23,-0.09,0.85,1.86,,,,1,6,Bot,161.99,114.77,,,,,7.279409437565287,-121.11508395945393,-1.268472176950182,0.937679451362338,22.21089949614159,-33.003315608236875,3.42,1.59,229,71.3,32,83.7,2314,6.5,748535,641680,663993,543760,673962,608369,694497,665750,608671,54.01,0.606,0.556,0.9,1,1,0,4,52,6,Slider,1,10,1,10,10,1,1,10,Standard,Standard,40,0.001,0.355,78.3,8.2,0.66,-0.355,88.0,-9,-9,0.003,0.003,28,32,29,32,1,2,3,1,,1,3.36,-0.23,-0.23,36.2
SI,2023-10-31,93.0,-2.37,5.23,"Dunning, Dane",572233,641540,,ball,,,,,14,Christian Walker singles on a fly ball to right fielder Travis Jankowski.,W,R,R,AZ,TEX,B,,,2,2,2023,-0.92,0.39,1.24,1.61,,,,1,6,Bot,,,,,,,11.339750078545922,-135.0247555421755,-4.386852055682729,-13.656861988424886,29.26379166283351,-26.61289997122332,3.52,1.65,,,,93.6,2066,6.8,748535,641680,663993,543760,673962,608369,694497,665750,608671,53.72,,,,,,,,52,5,Sinker,1,10,1,10,10,1,1,10,Standard,Standard,218,0.0,0.094,,,,-0.094,,-9,-9,0.003,0.003,28,32,29,32,1,2,3,1,,1,2.26,0.92,0.92,32.7
SL,2023-10-31,83.0,-2.46,5.29,"Dunning, Dane",572233,641540,,swinging_strike,,,,,14,Christian Walker singles on a fly ball to right fielder Travis Jankowski.,W,R,R,AZ,TEX,S,,,2,1,2023,0.25,-0.07,1.97,1.88,,,,1,6,Bot,,,,,,,9.665502922994367,-120.51570311189766,-1.1765487797337335,0.5443228013720769,23.080981588112877,-32.87427327270781,3.42,1.59,,,,83.1,2412,6.4,748535,641680,663993,543760,673962,608369,694497,665750,608671,54.08,,,,,,,,52,4,Slider,1,10,1,10,10,1,1,10,Standard,Standard,40,0.0,-0.076,31.6,6.8,,0.076,,-9,-9,0.003,0.003,28,32,29,32,1,2,3,1,,1,3.39,-0.25,-0.25,33.2
SI,2023-10-31,93.1,-2.43,5.3,"Dunning, Dane",572233,641540,,ball,,,,,12,Christian Walker singles on a fly ball to right fielder Travis Jankowski.,W,R,R,AZ,TEX,B,,,1,1,2023,-0.87,0.66,1.84,2.75,,,,1,6,Bot,,,,,,,12.967969026227456,-134.88566020863615,-2.1644750043082404,-13.545067999689657,31.23759431220148,-23.81800073411983,3.48,1.61,,,,93.5,2119,6.9,748535,641680,663993,543760,673962,608369,694497,665750,608671,53.61,,,,,,,,52,3,Sinker,1,10,1,10,10,1,1,10,Standard,Standard,222,0.0,0.054,,,,-0.054,,-9,-9,0.003,0.003,28,32,29,32,1,2,3,1,,1,2.0,0.87,0.87,30.6
SL,2023-10-31,83.7,-2.5,5.31,"Dunning, Dane",572233,641540,,ball,,,,,14,Christian Walker singles on a fly ball to right fielder Travis Jankowski.,W,R,R,AZ,TEX,B,,,0,1,2023,0.25,-0.39,1.7,0.42,,,,1,6,Bot,,,,,,,9.206851195971334,-121.60413485785428,-4.104512858767138,0.7204086085103684,22.731068115095784,-35.45400612872531,3.54,1.57,,,,84.0,2344,6.5,748535,641680,663993,543760,673962,608369,694497,665750,608671,54.03,,,,,,,,52,2,Slider,1,10,1,10,10,1,1,10,Standard,Standard,32,0.0,0.03,,,,-0.03,,-9,-9,0.003,0.003,28,32,29,32,1,2,3,1,,1,3.64,-0.25,-0.25,35.3
SL,2023-10-31,83.0,-2.48,5.34,"Dunning, Dane",572233,641540,,foul,,,,,5,Christian Walker singles on a fly ball to right fielder Travis Jankowski.,W,R,R,AZ,TEX,S,,,0,0,2023,0.22,-0.04,0.16,2.17,,,,1,6,Bot,,,,,,,5.642070107918502,-120.9056877912135,-0.7807487911128692,1.1683158828719284,21.336124989522887,-32.664669005812904,3.42,1.59,2,68.8,-49,83.7,2316,6.5,748535,641680,663993,543760,673962,608369,694497,665750,608671,54.02,,,,,,,,52,1,Slider,1,10,1,10,10,1,1,10,Standard,Standard,45,0.0,-0.041,80.8,7.6,,0.041,88.0,-9,-9,0.003,0.003,28,32,29,32,1,2,3,1,,1,3.32,-0.22,-0.22,32.2
