pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-04-10,92.5,-0.73,5.85,"Eaton, Nate",666969,681987,strikeout,swinging_strike,,,,,8,Adolis Garcia strikes out swinging.,R,R,R,TEX,KC,S,2,,3,2,2023,-0.17,1.18,0.15,1.94,,677649,608369,2,8,Bot,,,,,,,2.61152629003238,-134.62308572044347,-6.7154149124923155,-2.57607339061385,29.048567787821614,-16.60874646306029,3.32,1.67,,,,92.6,2112,6.3,718630,521692,641531,686681,670032,677951,658668,598265,614177,54.17,,0.0,0.0,1,0,0,,71,6,4-Seam Fastball,11,2,11,2,2,11,11,2,Standard,Standard,187,0.0,-0.311,,,,0.311,,9,9,1.0,1.0,26,30,27,30,1,4,,1,,1,1.48,0.17,0.17,54.9
FF,2023-04-10,90.8,-0.72,5.86,"Eaton, Nate",666969,681987,,called_strike,,,,,8,Adolis Garcia strikes out swinging.,R,R,R,TEX,KC,S,,,3,1,2023,-0.23,1.28,0.13,2.12,,677649,608369,2,8,Bot,,,,,,,2.6001899595382105,-132.112544548026,-6.192636153021832,-3.2359457492385464,27.005862713460413,-16.035428023403256,3.67,1.9,,,,90.8,2095,6.2,718630,521692,641531,686681,670032,677951,658668,598265,614177,54.32,,,,,,,,71,5,4-Seam Fastball,11,2,11,2,2,11,11,2,Standard,Standard,201,0.0,-0.048,,,,0.048,,9,9,1.0,1.0,26,30,27,30,1,4,,1,,1,1.47,0.23,0.23,51.9
SL,2023-04-10,81.7,-0.93,5.73,"Eaton, Nate",666969,681987,,ball,,,,,13,Adolis Garcia strikes out swinging.,R,R,R,TEX,KC,B,,,2,1,2023,0.44,-0.31,-1.58,2.0,,677649,608369,2,8,Bot,,,,,,,-2.2933986237585127,-119.02263720052602,-1.2709554201166362,4.578733452560461,21.312088174918323,-35.1213724344793,3.61,1.91,,,,81.6,2217,6.0,718630,521692,641531,686681,670032,677951,658668,598265,614177,54.48,,,,,,,,71,4,Slider,11,2,11,2,2,11,11,2,Standard,Standard,85,0.0,0.052,,,,-0.052,,9,9,1.0,1.0,26,30,27,30,1,4,,1,,1,3.7,-0.44,-0.44,54.0
SI,2023-04-10,94.0,-0.55,5.87,"Eaton, Nate",666969,681987,,ball,,,,,14,Adolis Garcia strikes out swinging.,R,R,R,TEX,KC,B,,,1,1,2023,-1.03,1.01,0.68,1.17,,677649,608369,2,8,Bot,,,,,,,5.458135763752362,-136.54341782434,-8.674287140897105,-14.106151205825682,31.844621355645316,-17.731820549660842,3.63,1.93,,,,,2093,,718630,521692,641531,686681,670032,677951,658668,598265,614177,54.13,,,,,,,,71,3,Sinker,11,2,11,2,2,11,11,2,Standard,Standard,201,0.0,0.025,,,,-0.025,,9,9,1.0,1.0,26,30,27,30,1,4,,1,,1,1.59,1.03,1.03,
CH,2023-04-10,73.1,-1.05,5.59,"Eaton, Nate",666969,681987,,foul,,,,,2,Adolis Garcia strikes out swinging.,R,R,R,TEX,KC,S,,,1,0,2023,-0.13,1.15,-0.1,3.0,,677649,608369,2,8,Bot,,,,,,,2.1444106901738227,-106.396089627522,0.1457579569050268,-1.3943520945219134,18.678049560706715,-23.680856130471053,3.32,1.67,,,,,1817,,718630,521692,641531,686681,670032,677951,658668,598265,614177,54.13,,,,,,,,71,2,Changeup,11,2,11,2,2,11,11,2,Standard,Standard,204,0.0,-0.045,,,,0.045,,9,9,1.0,1.0,26,30,27,30,1,4,,1,,1,3.12,0.13,0.13,
FF,2023-04-10,92.9,-0.57,5.96,"Eaton, Nate",666969,681987,,ball,,,,,14,Adolis Garcia strikes out swinging.,R,R,R,TEX,KC,B,,,0,0,2023,-0.34,0.89,1.79,2.12,,677649,608369,2,8,Bot,,,,,,,6.7780696089109025,-135.15296204841795,-5.992626960089328,-5.570912046835676,28.57525015973257,-20.20746114407611,3.67,1.97,,,,92.8,2245,6.2,718630,521692,641531,686681,670032,677951,658668,598265,614177,54.33,,,,,,,,71,1,4-Seam Fastball,11,2,11,2,2,11,11,2,Standard,Standard,200,0.0,0.03,,,,-0.03,,9,9,1.0,1.0,26,30,27,30,1,4,,1,,1,1.75,0.34,0.34,59.1
SI,2023-04-10,92.0,-0.79,5.86,"Eaton, Nate",543543,681987,field_out,hit_into_play,,,,,4,Brad Miller lines out to left fielder Edward Olivares.,R,L,R,TEX,KC,X,7,line_drive,1,0,2023,-0.89,0.94,-0.48,2.49,,677649,608369,1,8,Bot,66.67,88.53,,,,,2.736946191242529,-133.87903559665685,-4.712117009873989,-11.335651717358996,29.67709993453303,-20.01570574873629,3.39,1.57,310,97.4,17,91.8,2134,6.2,718630,521692,641531,686681,670032,677951,658668,598265,614177,54.29,0.526,0.552,0.0,1,0,0,4,70,2,Sinker,11,2,11,2,2,11,11,2,Standard,Standard,194,0.0,-0.281,,,0.79,0.281,97.4,9,9,1.0,1.0,26,33,27,34,1,0,,3,,1,1.75,0.89,-0.89,56.8
FF,2023-04-10,91.5,-0.86,5.91,"Eaton, Nate",543543,681987,,ball,,,,,3,Brad Miller lines out to left fielder Edward Olivares.,R,L,R,TEX,KC,B,,,0,0,2023,0.07,1.2,0.3,3.49,,677649,608369,1,8,Bot,,,,,,,2.768593919392606,-133.34296803842108,-2.8614571174015975,0.3083205592363763,27.571838460592435,-17.369048987219536,3.49,1.6,,,,91.3,2199,6.0,718630,521692,641531,686681,670032,677951,658668,598265,614177,54.47,,,,,,,,70,1,4-Seam Fastball,11,2,11,2,2,11,11,2,Strategic,Standard,189,0.0,0.042,,,,-0.042,,9,9,1.0,1.0,26,33,27,34,1,0,,3,,1,1.5,-0.07,0.07,51.7
CH,2023-04-10,68.9,-1.18,5.69,"Eaton, Nate",608369,681987,single,hit_into_play,,,,,1,Corey Seager singles on a ground ball to right fielder Franmil Reyes.   Ezequiel Duran to 2nd.,R,L,R,TEX,KC,X,9,ground_ball,1,0,2023,-0.26,1.35,-0.42,3.02,,,677649,1,8,Bot,178.48,109.53,,,,,1.8724693677783164,-100.28077385604402,0.5401846662057435,-2.0942305653178512,16.78146129719617,-23.39200820393569,3.45,1.54,41,93.8,-2,68.8,1777,6.2,718630,521692,641531,686681,670032,677951,658668,598265,614177,54.25,0.329,0.297,0.9,1,1,0,2,69,2,Changeup,11,2,11,2,2,11,11,2,Standard,Strategic,208,0.0,0.379,,,0.361,-0.379,93.8,9,9,1.0,1.0,26,29,27,29,1,4,,1,,1,3.46,0.26,-0.26,50.3
SI,2023-04-10,93.4,-0.43,5.88,"Eaton, Nate",608369,681987,,ball,,,,,14,Corey Seager singles on a ground ball to right fielder Franmil Reyes.   Ezequiel Duran to 2nd.,R,L,R,TEX,KC,B,,,0,0,2023,-0.67,1.53,0.3,0.97,,,677649,1,8,Bot,,,,,,,3.3309079645925626,-135.69896134719036,-10.176567149685257,-9.035776947972296,30.238732627990657,-11.236028502898897,3.6,1.61,,,,93.0,2157,6.2,718630,521692,641531,686681,670032,677951,658668,598265,614177,54.32,,,,,,,,69,1,Sinker,11,2,11,2,2,11,11,2,Standard,Standard,200,0.0,0.036,,,,-0.036,,9,9,1.0,1.0,26,29,27,29,1,4,,1,,1,1.1,0.67,-0.67,59.1
SL,2023-04-10,84.4,-0.73,5.81,"Eaton, Nate",677649,681987,single,hit_into_play,,,,,8,Ezequiel Duran singles on a ground ball to left fielder Edward Olivares.,R,R,R,TEX,KC,X,7,ground_ball,1,2,2023,0.26,-0.32,-0.01,1.81,,,,1,8,Bot,105.72,171.98,,,,,1.1680684717544103,-122.96944625134996,-2.2916867139583736,2.410087217385925,25.369322676689105,-35.19481459424303,3.29,1.56,22,95.4,-4,84.1,2039,6.1,718630,521692,641531,686681,670032,677951,658668,598265,614177,54.39,0.271,0.281,0.9,1,1,0,2,68,5,Slider,11,2,11,2,2,11,11,2,Standard,Standard,80,0.0,0.495,,,0.295,-0.495,95.4,9,9,1.0,1.0,26,24,27,24,1,0,,2,,2,3.53,-0.26,-0.26,60.2
SL,2023-04-10,81.7,-0.39,5.71,"Eaton, Nate",677649,681987,,foul,,,,,13,Ezequiel Duran singles on a ground ball to left fielder Edward Olivares.,R,R,R,TEX,KC,S,,,1,2,2023,0.53,-0.58,-0.22,0.93,,,,1,8,Bot,,,,,,,-0.6403913455331762,-118.97638301477554,-3.057919682945242,5.166603944180534,23.71356654740558,-37.236886091533606,3.29,1.56,2,72.1,-23,81.5,2228,6.2,718630,521692,641531,686681,670032,677951,658668,598265,614177,54.29,,,,,,,,68,4,Slider,11,2,11,2,2,11,11,2,Standard,Standard,36,0.0,0.0,,,,0.0,88.0,9,9,1.0,1.0,26,24,27,24,1,0,,2,,2,4.0,-0.53,-0.53,55.8
FF,2023-04-10,94.9,-0.44,5.93,"Eaton, Nate",677649,681987,,ball,,,,,12,Ezequiel Duran singles on a ground ball to left fielder Edward Olivares.,R,R,R,TEX,KC,B,,,0,2,2023,0.0,1.23,0.92,3.56,,,,1,8,Bot,,,,,,,3.553576967256881,-138.12415676506117,-3.2984749997882883,-0.8385088778452633,31.42694562689948,-15.854278171728138,3.49,1.8,,,,94.6,2114,6.1,718630,521692,641531,686681,670032,677951,658668,598265,614177,54.36,,,,,,,,68,3,4-Seam Fastball,11,2,11,2,2,11,11,2,Standard,Standard,190,0.0,0.019,,,,-0.019,,9,9,1.0,1.0,26,24,27,24,1,0,,2,,2,1.3,0.0,0.0,57.1
SI,2023-04-10,94.3,-0.62,5.83,"Eaton, Nate",677649,681987,,foul,,,,,13,Ezequiel Duran singles on a ground ball to left fielder Edward Olivares.,R,R,R,TEX,KC,S,,,0,1,2023,-1.37,0.62,-1.04,2.32,,,,1,8,Bot,,,,,,,1.938537350043644,-137.1263783965166,-4.70247643956047,-17.589591689627984,34.800198326594845,-23.457295483542,3.29,1.56,6,84.6,-21,93.5,2178,6.2,718630,521692,641531,686681,670032,677951,658668,598265,614177,54.3,,,,,,,,68,2,Sinker,11,2,11,2,2,11,11,2,Infield shade,Standard,199,0.0,-0.057,,,,0.057,88.0,9,9,1.0,1.0,26,24,27,24,1,0,,2,,2,1.98,1.37,1.37,54.9
SI,2023-04-10,93.3,-0.55,5.75,"Eaton, Nate",677649,681987,,swinging_strike,,,,,13,Ezequiel Duran singles on a ground ball to left fielder Edward Olivares.,R,R,R,TEX,KC,S,,,0,0,2023,-1.38,0.59,-0.95,1.99,,,,1,8,Bot,,,,,,,2.0244531308708105,-135.76367359998574,-5.134082174534133,-17.412541220713514,33.213017886282536,-23.922128450612412,3.29,1.56,,,,92.8,2160,6.2,718630,521692,641531,686681,670032,677951,658668,598265,614177,54.26,,,,,,,,68,1,Sinker,11,2,11,2,2,11,11,2,Standard,Standard,197,0.0,-0.041,,,,0.041,,9,9,1.0,1.0,26,24,27,24,1,0,,2,,2,2.05,1.38,1.38,55.7
FF,2023-04-10,93.7,-0.82,5.75,"Eaton, Nate",608671,681987,field_out,hit_into_play,,,,,5,"Travis Jankowski grounds out, second baseman Michael Massey to first baseman Hunter Dozier.",R,L,R,TEX,KC,X,4,ground_ball,3,2,2023,0.26,1.19,-0.03,2.88,,,,0,8,Bot,150.01,155.56,,,,,1.4719985556044235,-136.3770673766235,-4.3146216390725876,2.8873246379577995,30.8905845994557,-16.56190465214926,3.43,1.65,5,91.8,-28,93.5,2229,6.2,718630,521692,641531,686681,670032,677951,658668,598265,614177,54.29,0.1,0.105,0.0,1,0,0,2,67,7,4-Seam Fastball,11,2,11,2,2,11,11,2,Strategic,Standard,187,0.0,-0.353,,,0.11,0.353,91.8,9,9,1.0,1.0,26,32,27,32,1,3,,1,,1,1.41,-0.26,0.26,50.3
FF,2023-04-10,93.4,-0.75,5.8,"Eaton, Nate",608671,681987,,foul,,,,,5,"Travis Jankowski grounds out, second baseman Michael Massey to first baseman Hunter Dozier.",R,L,R,TEX,KC,S,,,3,2,2023,0.04,1.45,0.2,2.48,,,,0,8,Bot,,,,,,,2.340925163468748,-135.8899361563494,-5.980313229584644,-0.0349113822321343,29.41551541276138,-13.093428001040031,3.43,1.65,182,72.1,57,93.2,2215,6.2,718630,521692,641531,686681,670032,677951,658668,598265,614177,54.32,,,,,,,,67,6,4-Seam Fastball,11,2,11,2,2,11,11,2,Standard,Standard,192,0.0,0.0,,,,0.0,88.0,9,9,1.0,1.0,26,32,27,32,1,3,,1,,1,1.16,-0.04,0.04,55.9
CH,2023-04-10,70.2,-0.99,5.68,"Eaton, Nate",608671,681987,,ball,,,,,11,"Travis Jankowski grounds out, second baseman Michael Massey to first baseman Hunter Dozier.",R,L,R,TEX,KC,B,,,2,2,2023,-0.26,1.36,-1.6,3.93,,,,0,8,Bot,,,,,,,-0.7584316573099088,-102.1890986342624,2.0259544697745757,-1.6693294368499816,17.746645107996542,-23.264537372556237,3.63,1.75,,,,69.6,1734,5.9,718630,521692,641531,686681,670032,677951,658668,598265,614177,54.58,,,,,,,,67,5,Changeup,11,2,11,2,2,11,11,2,Standard,Standard,211,0.0,0.115,,,,-0.115,,9,9,1.0,1.0,26,32,27,32,1,3,,1,,1,3.28,0.26,-0.26,52.8
FF,2023-04-10,92.4,-0.82,5.66,"Eaton, Nate",608671,681987,,foul,,,,,14,"Travis Jankowski grounds out, second baseman Michael Massey to first baseman Hunter Dozier.",R,L,R,TEX,KC,S,,,2,1,2023,-0.02,1.42,0.85,1.65,,,,0,8,Bot,,,,,,,4.309143963292841,-134.2814762918202,-7.434716656637847,-1.236764335598665,30.867036193002814,-13.621591755288538,3.43,1.65,33,95.2,-1,92.2,2225,6.4,718630,521692,641531,686681,670032,677951,658668,598265,614177,54.13,,,,,,,,67,4,4-Seam Fastball,11,2,11,2,2,11,11,2,Standard,Standard,203,0.0,-0.074,,,,0.074,95.2,9,9,1.0,1.0,26,32,27,32,1,3,,1,,1,1.27,0.02,-0.02,51.0
SL,2023-04-10,81.8,-1.02,5.72,"Eaton, Nate",608671,681987,,ball,,,,,13,"Travis Jankowski grounds out, second baseman Michael Massey to first baseman Hunter Dozier.",R,L,R,TEX,KC,B,,,1,1,2023,0.25,-0.49,-1.37,2.32,,,,0,8,Bot,,,,,,,-1.2869753067566176,-119.18078481660176,-0.1427564796977873,2.676256227404522,24.39878032132153,-36.988455941594246,3.67,1.89,,,,81.6,2134,6.2,718630,521692,641531,686681,670032,677951,658668,598265,614177,54.29,,,,,,,,67,3,Slider,11,2,11,2,2,11,11,2,Standard,Standard,38,0.0,0.059,,,,-0.059,,9,9,1.0,1.0,26,32,27,32,1,3,,1,,1,3.9,-0.25,0.25,57.0
FF,2023-04-10,94.4,-0.83,5.85,"Eaton, Nate",608671,681987,,ball,,,,,11,"Travis Jankowski grounds out, second baseman Michael Massey to first baseman Hunter Dozier.",R,L,R,TEX,KC,B,,,0,1,2023,-0.15,1.36,-0.87,2.87,,,,0,8,Bot,,,,,,,0.2227204494311745,-137.37099940282076,-5.067441427917787,-1.9199875485848577,32.42612867521195,-14.017844594715864,3.68,1.89,,,,94.1,2196,6.2,718630,521692,641531,686681,670032,677951,658668,598265,614177,54.25,,,,,,,,67,2,4-Seam Fastball,11,2,11,2,2,11,11,2,Standard,Standard,199,0.0,0.031,,,,-0.031,,9,9,1.0,1.0,26,32,27,32,1,3,,1,,1,1.21,0.15,-0.15,54.3
FF,2023-04-10,94.0,-0.94,5.79,"Eaton, Nate",608671,681987,,called_strike,,,,,7,"Travis Jankowski grounds out, second baseman Michael Massey to first baseman Hunter Dozier.",R,L,R,TEX,KC,S,,,0,0,2023,-0.22,1.22,-0.56,2.14,,,,0,8,Bot,,,,,,,1.4670164630290206,-136.71683637406213,-6.4053811662004865,-3.099681358312947,31.743037666690512,-15.670508713165155,3.73,1.85,,,,94.0,2187,6.4,718630,521692,641531,686681,670032,677951,658668,598265,614177,54.07,,,,,,,,67,1,4-Seam Fastball,11,2,11,2,2,11,11,2,Standard,Standard,202,0.0,-0.042,,,,0.042,,9,9,1.0,1.0,26,32,27,32,1,3,,1,,1,1.37,0.22,-0.22,55.1
