pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2023-03-21,,,,"Erla, Mason",642180,680451,double,hit_into_play,,,,,,Tyler Wade doubles (2) on a line drive to left fielder Jeremiah Jackson.   Jose Escorche scores.,S,L,R,LAA,OAK,X,7,line_drive,0,0,2023,,,,,683536,,,2,9,Top,62.32,108.08,,,,,,,,,,,,,,,,,,,719018,689880,663550,650506,690956,691186,669236,664334,642456,,,,1.25,,1,1,,80,1,,5,5,5,5,6,5,6,5,,,,-0.346,0.805,,,,-0.805,,0,0,0.513,0.487,25,28,26,29,2,1,,,,,,,,
,2023-03-21,,,,"Erla, Mason",665506,680451,grounded_into_double_play,hit_into_play,,,,,,"Cristian Pache grounds into a double play, shortstop Arol Vera to second baseman Jose Gomez to first baseman Trey Cabbage.   Pablo Reyes scores.    Jose Escorche to 3rd.    Ryan Noda out at 2nd.    Cristian Pache out at 1st.",S,R,R,LAA,OAK,X,6,ground_ball,0,0,2023,,,,,622569,683536,676116,0,9,Top,110.13,158.91,,,,,,,,,,,,,,,,,,,719018,689880,663550,650506,690956,691186,669236,664334,642456,,,,0.0,,0,0,,79,1,,5,4,4,5,5,5,5,5,,,,0.148,-0.247,,,,0.247,,1,-1,0.365,0.635,25,24,26,25,2,1,,,,,,,,
,2023-03-21,,,,"Erla, Mason",676116,680451,fielders_choice,hit_into_play,,,,,,"Ryan Noda reaches on a fielder's choice, fielded by first baseman Trey Cabbage.   Pablo Reyes to 3rd.    Jose Escorche to 2nd.  Throwing error by first baseman Trey Cabbage.",S,L,R,LAA,OAK,X,3,ground_ball,0,0,2023,,,,,,622569,683536,0,9,Top,154.9,171.01,,,,,,,,,,,,,,,,,,,719018,689880,663550,650506,690956,691186,669236,664334,642456,,,,0.9,,0,0,,78,1,,5,4,4,5,4,5,4,5,,,,-0.208,0.447,,,,-0.447,,1,-1,0.573,0.427,25,27,26,27,1,3,,,,,,,,
,2023-03-21,,,,"Erla, Mason",668832,680451,single,hit_into_play,,,,,,Kyle McCann singles on a line drive to right fielder Luis Barrera.   Pablo Reyes to 2nd.,S,L,R,LAA,OAK,X,9,line_drive,0,0,2023,,,,,,,622569,0,9,Top,156.72,136.52,,,,,,,,,,,,,,,,,,,719018,689880,663550,650506,690956,691186,669236,664334,642456,,,,0.9,,1,0,,77,1,,5,4,4,5,4,5,4,5,,,,-0.154,0.453,,,,-0.453,,1,-1,0.727,0.273,25,25,26,26,1,1,,,,,,,,
,2023-03-21,,,,"Erla, Mason",622569,680451,walk,ball,,,,,,Pablo Reyes walks.,S,R,R,LAA,OAK,B,,,3,0,2023,,,,,,,,0,9,Top,,,,,,,,,,,,,,,,,,,,,719018,689880,663550,650506,690956,691186,669236,664334,642456,,,,0.7,,0,0,,76,4,,5,4,4,5,4,5,4,5,,,,-0.115,0.173,,,,-0.173,,1,-1,0.842,0.158,25,29,26,30,1,0,,,,,,,,
,2023-03-21,,,,"Erla, Mason",622569,680451,,ball,,,,,,Pablo Reyes walks.,S,R,R,LAA,OAK,B,,,2,0,2023,,,,,,,,0,9,Top,,,,,,,,,,,,,,,,,,,,,719018,689880,663550,650506,690956,691186,669236,664334,642456,,,,,,,,,76,3,,5,4,4,5,4,5,4,5,,,,0.0,0.151,,,,-0.151,,1,-1,0.842,0.158,25,29,26,30,1,0,,,,,,,,
,2023-03-21,,,,"Erla, Mason",622569,680451,,ball,,,,,,Pablo Reyes walks.,S,R,R,LAA,OAK,B,,,1,0,2023,,,,,,,,0,9,Top,,,,,,,,,,,,,,,,,,,,,719018,689880,663550,650506,690956,691186,669236,664334,642456,,,,,,,,,76,2,,5,4,4,5,4,5,4,5,,,,0.0,0.071,,,,-0.071,,1,-1,0.842,0.158,25,29,26,30,1,0,,,,,,,,
,2023-03-21,,,,"Erla, Mason",622569,680451,,ball,,,,,,Pablo Reyes walks.,S,R,R,LAA,OAK,B,,,0,0,2023,,,,,,,,0,9,Top,,,,,,,,,,,,,,,,,,,,,719018,689880,663550,650506,690956,691186,669236,664334,642456,,,,,,,,,76,1,,5,4,4,5,4,5,4,5,,,,0.0,0.04,,,,-0.04,,1,-1,0.842,0.158,25,29,26,30,1,0,,,,,,,,
,2023-03-21,,,,"Erla, Mason",622569,680451,truncated_pa,swinging_strike,,,,,,"Kevin Smith caught stealing 2nd base, catcher Myles Emmerson to second baseman Jose Gomez.",S,R,R,LAA,OAK,S,2,,0,0,2023,,,,,,,675656,2,8,Top,,,,,,,,,,,,,,,,,,,,,719018,689880,663550,650506,690956,691186,669236,664334,642456,,,,0.0,,0,0,,72,1,,5,4,4,5,4,5,4,5,,,,0.058,-0.286,,,,0.286,,1,-1,0.813,0.187,25,29,26,30,1,0,,,,,,,,
,2023-03-21,,,,"Erla, Mason",675656,680451,walk,ball,,,,,,Kevin Smith walks.,S,R,R,LAA,OAK,B,,,3,0,2023,,,,,,,,2,8,Top,,,,,,,,,,,,,,,,,,,,,719018,689880,663550,650506,690956,691186,669236,664334,642456,,,,0.7,,0,0,,71,4,,5,4,4,5,4,5,4,5,,,,-0.033,0.136,,,,-0.136,,1,-1,0.846,0.154,25,26,26,27,1,0,,,,,,,,
,2023-03-21,,,,"Erla, Mason",675656,680451,,ball,,,,,,Kevin Smith walks.,S,R,R,LAA,OAK,B,,,2,0,2023,,,,,,,,2,8,Top,,,,,,,,,,,,,,,,,,,,,719018,689880,663550,650506,690956,691186,669236,664334,642456,,,,,,,,,71,3,,5,4,4,5,4,5,4,5,,,,0.0,0.113,,,,-0.113,,1,-1,0.846,0.154,25,26,26,27,1,0,,,,,,,,
,2023-03-21,,,,"Erla, Mason",675656,680451,,ball,,,,,,Kevin Smith walks.,S,R,R,LAA,OAK,B,,,1,0,2023,,,,,,,,2,8,Top,,,,,,,,,,,,,,,,,,,,,719018,689880,663550,650506,690956,691186,669236,664334,642456,,,,,,,,,71,2,,5,4,4,5,4,5,4,5,,,,0.0,0.056,,,,-0.056,,1,-1,0.846,0.154,25,26,26,27,1,0,,,,,,,,
,2023-03-21,,,,"Erla, Mason",675656,680451,,ball,,,,,,Kevin Smith walks.,S,R,R,LAA,OAK,B,,,0,0,2023,,,,,,,,2,8,Top,,,,,,,,,,,,,,,,,,,,,719018,689880,663550,650506,690956,691186,669236,664334,642456,,,,,,,,,71,1,,5,4,4,5,4,5,4,5,,,,0.0,0.043,,,,-0.043,,1,-1,0.846,0.154,25,26,26,27,1,0,,,,,,,,
,2023-03-21,,,,"Erla, Mason",670092,680451,field_out,hit_into_play,,,,,,"Trenton Brooks grounds out, second baseman Jose Gomez to first baseman Trey Cabbage.",S,L,R,LAA,OAK,X,4,ground_ball,0,0,2023,,,,,,,,1,8,Top,146.43,148.62,,,,,,,,,,,,,,,,,,,719018,689880,663550,650506,690956,691186,669236,664334,642456,,,,0.0,,0,0,,70,1,,5,4,4,5,4,5,4,5,,,,0.039,-0.267,,,,0.267,,1,-1,0.807,0.193,25,27,26,28,1,0,,,,,,,,
,2023-03-21,,,,"Erla, Mason",667670,680451,field_out,hit_into_play,,,,,,"Brent Rooker grounds out, shortstop Arol Vera to first baseman Trey Cabbage.",S,R,R,LAA,OAK,X,6,ground_ball,0,0,2023,,,,,,,,0,8,Top,110.73,153.46,,,,,,,,,,,,,,,,,,,719018,689880,663550,650506,690956,691186,669236,664334,642456,,,,0.0,,0,0,,69,1,,5,4,4,5,4,5,4,5,,,,0.054,-0.265,,,,0.265,,1,-1,0.753,0.247,25,28,26,29,1,0,,,,,,,,
,2023-03-21,,,,"Erla, Mason",669397,680451,grounded_into_double_play,hit_into_play,,,,,,"Nick Allen grounds into a double play, shortstop Arol Vera to second baseman David Fletcher to first baseman Trey Cabbage.   Tyler Wade out at 2nd.    Nick Allen out at 1st.",S,R,R,LAA,OAK,X,6,ground_ball,0,0,2023,,,,,,,642180,1,7,Top,113.15,155.88,,,,,,,,,,,,,,,,,,,719018,689880,663550,664058,670869,691186,666160,664334,642456,,,,0.0,,0,0,,64,1,,5,4,4,5,4,5,4,5,,,,0.1,-0.333,,,,0.333,,1,-1,0.694,0.306,25,24,26,25,1,0,,,,,,,,
,2023-03-21,,,,"Erla, Mason",642180,680451,single,hit_into_play,,,,,,Tyler Wade singles on a line drive to left fielder Mickey Moniak.,S,L,R,LAA,OAK,X,7,line_drive,0,0,2023,,,,,,,,1,7,Top,72.61,112.31,,,,,,,,,,,,,,,,,,,719018,689880,663550,664058,670869,691186,666160,664334,642456,,,,0.9,,1,0,,63,1,,5,4,4,5,4,5,4,5,,,,-0.049,0.416,,,,-0.416,,1,-1,0.743,0.257,25,28,26,29,1,0,,,,,,,,
,2023-03-21,,,,"Erla, Mason",665506,680451,field_out,hit_into_play,,,,,,"Cristian Pache grounds out, shortstop Arol Vera to first baseman Trey Cabbage.",S,R,R,LAA,OAK,X,6,ground_ball,0,0,2023,,,,,,,,0,7,Top,110.13,155.28,,,,,,,,,,,,,,,,,,,719018,689880,663550,664058,670869,691186,666160,664334,642456,,,,0.0,,0,0,,62,1,,5,4,4,5,4,5,4,5,,,,0.043,-0.265,,,,0.265,,1,-1,0.7,0.3,25,24,26,25,1,0,,,,,,,,
