pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-03-25,86.4,-1.49,5.98,"Feltman, Durbin",621002,664687,strikeout,swinging_strike,,,,,14,Daniel Robertson strikes out swinging.,S,R,R,TB,BOS,S,2,,2,2,2023,0.56,0.48,1.35,1.1,,666018,,2,7,Bot,,,,,,,5.63894146590343,-125.64486229921044,-6.355751487491558,4.6735593213607975,26.64226028479175,-25.99125864698649,3.37,1.51,,,,86.5,2125,6.5,718962,679663,694359,665839,683766,691785,680837,689651,677800,53.99,,,0.0,,0,0,,57,5,Slider,4,2,4,2,2,4,4,2,Standard,Standard,170,-0.017,-0.218,,,,0.218,,2,2,0.887,0.887,26,29,26,29,1,0,,,,,2.59,-0.56,-0.56,
SL,2023-03-25,85.6,-1.37,5.97,"Feltman, Durbin",621002,664687,,swinging_strike_blocked,,,,,14,Daniel Robertson strikes out swinging.,S,R,R,TB,BOS,S,,,2,1,2023,0.1,0.21,1.19,0.82,642350,,666018,2,7,Bot,,,,,,,5.88739903117188,-124.39480510847342,-6.328087809297444,-0.1864080873617814,25.01176882333108,-28.920446539775284,3.37,1.51,,,,86.0,1995,6.6,718962,679663,694359,665839,683766,691785,680837,689651,677800,53.88,,,,,,,,57,4,Slider,3,2,3,2,2,3,3,2,Standard,Standard,170,0.0,-0.081,,,,0.081,,1,1,0.795,0.795,26,29,26,29,1,0,,,,,2.91,-0.1,-0.1,
FF,2023-03-25,91.8,-1.07,6.1,"Feltman, Durbin",621002,664687,,blocked_ball,,,,,13,Daniel Robertson strikes out swinging.,S,R,R,TB,BOS,B,,,1,1,2023,-0.37,1.73,-0.09,0.73,642350,,666018,2,7,Bot,,,,,,,3.2986104572781767,-133.16245470415836,-11.406450902228467,-5.146796714243782,31.724855139245957,-9.201767578503189,3.33,1.51,,,,91.5,2360,6.5,718962,679663,694359,665839,683766,691785,680837,689651,677800,53.95,,,,,,,,57,3,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,201,0.0,0.031,,,,-0.031,,1,1,0.795,0.795,26,29,26,29,1,0,,,,,1.01,0.37,0.37,
SL,2023-03-25,86.7,-1.36,6.02,"Feltman, Durbin",621002,664687,,swinging_strike,,,,,14,Daniel Robertson strikes out swinging.,S,R,R,TB,BOS,S,,,1,0,2023,0.35,0.33,0.89,1.72,642350,,666018,2,7,Bot,,,,,,,4.67435447964287,-126.1064689988828,-4.72645289045565,2.76586368810789,26.61371108165989,-27.901914408399573,3.37,1.51,,,,86.7,2054,6.4,718962,679663,694359,665839,683766,691785,680837,689651,677800,54.11,,,,,,,,57,2,Slider,3,2,3,2,2,3,3,2,Standard,Standard,167,0.0,-0.055,,,,0.055,,1,1,0.795,0.795,26,29,26,29,1,0,,,,,2.72,-0.35,-0.35,
SL,2023-03-25,85.2,-1.21,6.05,"Feltman, Durbin",621002,664687,,blocked_ball,,,,,14,Daniel Robertson strikes out swinging.,S,R,R,TB,BOS,B,,,0,0,2023,0.33,0.21,1.92,0.13,642350,,666018,2,7,Bot,,,,,,,6.669432328733741,-123.74911203197344,-7.998732424071791,2.0460373277347905,24.896407161871867,-28.557440676331744,3.33,1.51,,,,85.1,2065,6.3,718962,679663,694359,665839,683766,691785,680837,689651,677800,54.18,,,,,,,,57,1,Slider,3,2,3,2,2,3,3,2,Standard,Standard,175,0.0,0.042,,,,-0.042,,1,1,0.795,0.795,26,29,26,29,1,0,,,,,2.94,-0.33,-0.33,
SL,2023-03-25,83.7,-1.37,6.05,"Feltman, Durbin",656484,664687,strikeout,swinging_strike,,,,,9,Tristan Gray strikes out swinging.,S,L,R,TB,BOS,S,2,,0,2,2023,0.4,0.01,0.49,1.67,642350,,666018,1,7,Bot,,,,,,,3.4930780331859497,-121.91435843046553,-3.717940949058931,3.3291572976087505,24.18474565374632,-31.53966119389908,3.49,1.6,,,,83.9,2070,6.4,718962,679663,694359,665839,683766,691785,680837,689651,677800,54.12,,,0.0,,0,0,,56,3,Slider,3,2,3,2,2,3,3,2,Standard,Standard,115,-0.055,-0.246,,,,0.246,,1,1,0.85,0.85,26,27,26,27,1,3,,,,,3.24,-0.4,0.4,
SL,2023-03-25,85.4,-1.35,5.99,"Feltman, Durbin",656484,664687,,swinging_strike_blocked,,,,,14,Tristan Gray strikes out swinging.,S,L,R,TB,BOS,S,,,0,1,2023,0.16,0.13,0.79,0.66,642350,,666018,1,7,Bot,,,,,,,4.7402980712594704,-124.15075130684104,-6.517972019211978,0.6383603540003914,25.235627335182464,-29.65518979555909,3.49,1.6,,,,85.4,2021,6.4,718962,679663,694359,665839,683766,691785,680837,689651,677800,54.13,,,,,,,,56,2,Slider,3,2,3,2,2,3,3,2,Standard,Standard,178,0.0,-0.065,,,,0.065,,1,1,0.85,0.85,26,27,26,27,1,3,,,,,3.0,-0.16,0.16,
FF,2023-03-25,90.6,-1.13,6.09,"Feltman, Durbin",656484,664687,,called_strike,,,,,14,Tristan Gray strikes out swinging.,S,L,R,TB,BOS,S,,,0,0,2023,-0.36,1.47,0.52,1.39,642350,,666018,1,7,Bot,,,,,,,4.878467602597288,-131.63148459571022,-8.918025157520582,-5.218219791064878,28.574803272975185,-13.385669971151078,3.63,1.64,,,,90.3,2275,6.3,718962,679663,694359,665839,683766,691785,680837,689651,677800,54.24,,,,,,,,56,1,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,196,0.0,-0.044,,,,0.044,,1,1,0.85,0.85,26,27,26,27,1,3,,,,,1.32,0.36,-0.36,
SL,2023-03-25,84.4,-1.21,6.06,"Feltman, Durbin",666018,664687,walk,ball,,,,,14,Jonathan Aranda walks.,S,L,R,TB,BOS,B,,,3,1,2023,0.31,0.14,1.45,2.35,642350,,,1,7,Bot,,,,,,,5.575589119566773,-122.76401168330764,-2.51825730319101,2.01135676491043,24.44947060957343,-30.494695892456388,3.22,1.56,,,,84.6,1993,6.5,718962,679663,694359,665839,683766,691785,680837,689651,677800,54.03,,,0.7,,0,0,,55,5,Slider,3,2,3,2,2,3,3,2,Strategic,Standard,115,0.005,0.124,,,,-0.124,,1,1,0.845,0.845,26,25,26,25,1,3,,,,,3.07,-0.31,0.31,
FF,2023-03-25,92.7,-1.05,6.06,"Feltman, Durbin",666018,664687,,ball,,,,,13,Jonathan Aranda walks.,S,L,R,TB,BOS,B,,,2,1,2023,-0.48,1.76,-0.23,-1.12,,642350,,1,7,Bot,,,,,,,3.1451473610498373,-134.02459725363485,-16.235792330326834,-6.518120741131674,32.99864925828321,-7.358515740781232,3.16,1.54,,,,92.1,2350,6.6,718962,679663,694359,665839,683766,691785,680837,689651,677800,53.92,,,,,,,,55,4,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,200,0.033,0.062,,,,-0.062,,1,1,0.812,0.812,26,25,26,25,1,3,,,,,0.95,0.48,-0.48,
