pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2023-09-24,92.2,-3.39,6.16,"Floro, Dylan",666176,571670,field_out,hit_into_play,,,,,4,"Jo Adell grounds out, shortstop Kyle Farmer to first baseman Alex Kirilloff.",R,R,R,MIN,LAA,X,6,ground_ball,1,1,2023,-1.45,0.59,-0.44,2.57,,681351,519058,2,8,Top,113.97,157.51,,,,,10.703578295936277,-133.79129595055318,-4.587773925293454,-19.708944693767947,27.666672915772235,-24.23401169796595,3.77,1.83,2,53.2,-56,92.6,2121,6.6,716445,680777,666135,666397,593871,571657,663616,572191,596146,53.92,0.289,0.297,0.0,1,0,0,1,69,3,Sinker,9,3,3,9,3,9,3,9,Standard,Standard,221,0.004,-0.281,82.7,7.1,0.308,0.281,88.0,6,-6,0.994,0.006,32,24,33,24,1,3,1,1,,1,2.1,1.45,1.45,43.6
SI,2023-09-24,92.4,-3.34,6.15,"Floro, Dylan",666176,571670,,ball,,,,,13,"Jo Adell grounds out, shortstop Kyle Farmer to first baseman Alex Kirilloff.",R,R,R,MIN,LAA,B,,,0,1,2023,-1.5,0.62,-0.51,1.63,,681351,519058,2,8,Top,,,,,,,10.49337460301934,-133.99886460159877,-7.057134032612581,-20.344602663063156,28.029107507647584,-23.372543533872836,3.87,1.95,,,,92.7,2158,6.6,716445,680777,666135,666397,593871,571657,663616,572191,596146,53.92,,,,,,,,69,2,Sinker,9,3,3,9,3,9,3,9,Infield shade,Standard,226,0.0,0.025,,,,-0.025,,6,-6,0.994,0.006,32,24,33,24,1,3,1,1,,1,2.07,1.5,1.5,41.5
SL,2023-09-24,83.6,-3.7,5.92,"Floro, Dylan",666176,571670,,called_strike,,,,,14,"Jo Adell grounds out, shortstop Kyle Farmer to first baseman Alex Kirilloff.",R,R,R,MIN,LAA,S,,,0,0,2023,0.19,0.33,0.22,1.39,,681351,519058,2,8,Top,,,,,,,8.673063923660509,-121.468810687982,-4.633973414521731,0.0726602286932441,24.69834115942572,-28.133894656265003,3.93,1.86,,,,83.4,1826,6.4,716445,680777,666135,666397,593871,571657,663616,572191,596146,54.14,,,,,,,,69,1,Slider,9,3,3,9,3,9,3,9,Standard,Standard,249,0.0,-0.04,,,,0.04,,6,-6,0.994,0.006,32,24,33,24,1,3,1,1,,1,2.95,-0.19,-0.19,34.8
FF,2023-09-24,91.1,-3.52,6.02,"Floro, Dylan",519058,571670,single,hit_into_play,,,,,11,Mike Moustakas singles on a line drive to left fielder Trevor Larnach.   Logan O'Hoppe to 2nd.,R,L,R,MIN,LAA,X,7,line_drive,0,2,2023,-1.02,1.07,-1.42,3.41,,,681351,2,8,Top,67.69,96.99,,,,,7.48189674210991,-132.49099911005052,-2.946683611783151,-13.630671769165398,28.886766960400056,-19.188984265146253,3.45,1.6,249,98.0,11,91.3,2187,6.5,716445,680777,666135,666397,593871,571657,663616,572191,596146,54.0,0.886,0.858,0.9,1,1,0,4,68,5,4-Seam Fastball,9,3,3,9,3,9,3,9,Infield shade,Standard,231,-0.003,0.467,67.6,6.8,1.078,-0.467,98.0,6,-6,0.997,0.003,32,34,33,35,1,3,1,12,,1,1.69,1.02,-1.02,36.0
FF,2023-09-24,91.7,-3.39,6.1,"Floro, Dylan",519058,571670,,foul,,,,,6,Mike Moustakas singles on a line drive to left fielder Trevor Larnach.   Logan O'Hoppe to 2nd.,R,L,R,MIN,LAA,S,,,0,2,2023,-1.15,0.81,0.34,2.31,,,681351,2,8,Top,,,,,,,11.933647902864882,-133.04051758227376,-5.493527650374871,-16.099007843826033,27.039146435453297,-21.53227398768752,3.45,1.6,3,48.8,-41,92.1,2180,6.6,716445,680777,666135,666397,593871,571657,663616,572191,596146,53.93,,,,,,,,68,4,4-Seam Fastball,9,3,3,9,3,9,3,9,Infield shade,Standard,235,0.0,0.0,70.3,7.4,,0.0,88.0,6,-6,0.997,0.003,32,34,33,35,1,3,1,12,,1,1.91,1.15,-1.15,40.2
CH,2023-09-24,84.2,-3.64,5.99,"Floro, Dylan",519058,571670,,foul,,,,,13,Mike Moustakas singles on a line drive to left fielder Trevor Larnach.   Logan O'Hoppe to 2nd.,R,L,R,MIN,LAA,S,,,0,2,2023,-1.54,0.56,-1.34,2.28,,,681351,2,8,Top,,,,,,,8.385014653232698,-122.31836295535304,-3.329438546146016,-17.12818074467427,23.87873673653159,-26.04685220417037,3.45,1.6,150,66.6,65,84.2,1741,6.3,716445,680777,666135,666397,593871,571657,663616,572191,596146,54.17,,,,,,,,68,3,Changeup,9,3,3,9,3,9,3,9,Infield shade,Standard,250,0.0,0.0,70.4,7.7,,0.0,88.0,6,-6,0.997,0.003,32,34,33,35,1,3,1,12,,1,2.66,1.54,-1.54,35.7
FF,2023-09-24,91.0,-3.31,6.02,"Floro, Dylan",519058,571670,,foul,,,,,12,Mike Moustakas singles on a line drive to left fielder Trevor Larnach.   Logan O'Hoppe to 2nd.,R,L,R,MIN,LAA,S,,,0,1,2023,-0.91,1.34,0.52,3.58,,,681351,2,8,Top,,,,,,,11.570057496888271,-131.992228351938,-3.013763630658433,-13.239496564919884,30.690510454981133,-16.101667721871422,3.45,1.6,165,76.2,15,90.7,2244,6.5,716445,680777,666135,666397,593871,571657,663616,572191,596146,54.01,,,,,,,,68,2,4-Seam Fastball,9,3,3,9,3,9,3,9,Infield shade,Standard,225,0.0,-0.055,73.9,6.9,,0.055,88.0,6,-6,0.997,0.003,32,34,33,35,1,3,1,12,,1,1.45,0.91,-0.91,38.7
FF,2023-09-24,91.1,-3.48,6.07,"Floro, Dylan",519058,571670,,foul,,,,,5,Mike Moustakas singles on a line drive to left fielder Trevor Larnach.   Logan O'Hoppe to 2nd.,R,L,R,MIN,LAA,S,,,0,0,2023,-0.76,1.36,0.19,2.79,,,681351,2,8,Top,,,,,,,10.863488656195486,-132.0502522990369,-5.195881115053167,-11.368062911882372,30.783824720732596,-15.31888600008628,3.45,1.6,175,68.5,37,90.7,2320,6.5,716445,680777,666135,666397,593871,571657,663616,572191,596146,54.02,,,,,,,,68,1,4-Seam Fastball,9,3,3,9,3,9,3,9,Strategic,Standard,220,0.0,-0.045,65.7,6.6,,0.045,88.0,6,-6,0.997,0.003,32,34,33,35,1,3,1,12,,1,1.43,0.76,-0.76,37.2
SI,2023-09-24,92.8,-3.23,6.14,"Floro, Dylan",681351,571670,single,hit_into_play,,,,,2,Logan O'Hoppe singles on a ground ball to pitcher Dylan Floro.,R,R,R,MIN,LAA,X,1,ground_ball,0,0,2023,-1.22,0.49,-0.09,2.81,,,,2,8,Top,140.1,178.45,,,,,10.743298488830716,-134.82184050265946,-3.858868877772821,-17.05629841048324,25.959095437054422,-25.4998917336564,3.24,1.6,16,98.9,-9,93.5,2187,6.6,716445,680777,666135,666397,593871,571657,663616,572191,596146,53.95,0.271,0.26,0.9,1,1,0,2,67,1,Sinker,9,3,3,9,3,9,3,9,Standard,Standard,223,-0.001,0.344,67.9,6.5,0.306,-0.344,98.9,6,-6,0.998,0.002,32,23,33,23,1,3,1,2,,1,2.14,1.22,1.22,40.2
CH,2023-09-24,86.5,-3.32,6.1,"Floro, Dylan",592273,571670,strikeout,swinging_strike,,,,,14,Brandon Drury strikes out swinging.,R,R,R,MIN,LAA,S,2,,1,2,2023,-1.23,0.47,0.4,1.03,,,,1,8,Top,,,,,,,11.363718493792218,-125.36272210114372,-6.827640391580844,-15.226811575783463,23.559572388869142,-25.985154037030036,3.56,1.75,,,,86.6,2047,6.4,716445,680777,666135,666397,593871,571657,663616,572191,596146,54.07,,0.0,0.0,1,0,0,,66,4,Changeup,9,3,3,9,3,9,3,9,Standard,Standard,244,0.002,-0.189,69.4,8.7,,0.189,,6,-6,0.996,0.004,32,30,33,31,1,3,1,1,,1,2.58,1.23,1.23,39.8
