pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FA,2023-09-04,57.0,-1.6,7.05,"Fry, David",680777,681807,field_out,hit_into_play,,,,,9,Ryan Jeffers flies out to right fielder Will Brennan.,R,R,R,CLE,MIN,X,9,fly_ball,3,1,2023,0.08,1.2,0.45,2.06,,,,2,9,Top,184.79,107.9,,,,,3.021622597574645,-82.9873383531701,-0.1399931771115143,-0.0032582369638747,10.29341064012237,-26.797625825580095,3.31,1.58,269,87.0,48,55.4,1483,4.5,716719,666310,672356,665926,671289,677588,680757,657656,686823,55.97,0.001,0.0,0.0,1,0,0,3,93,5,Other,3,20,20,3,20,3,20,3,Standard,Standard,199,0.0,-0.43,79.2,8.0,0.001,0.43,88.0,-17,17,0.0,1.0,27,26,28,26,3,5,66,2,,2,5.77,-0.08,-0.08,49.8
FA,2023-09-04,56.9,-1.47,7.1,"Fry, David",680777,681807,,ball,,,,,14,Ryan Jeffers flies out to right fielder Will Brennan.,R,R,R,CLE,MIN,B,,,2,1,2023,0.63,1.45,1.35,2.01,,,,2,9,Top,,,,,,,3.450376566604528,-82.76398170273686,-0.47003514846029,2.4037687439919506,11.73130138989067,-25.698643325033647,3.47,1.64,,,,54.9,1366,4.5,716719,666310,672356,665926,671289,677588,680757,657656,686823,56.03,,,,,,,,93,4,Other,3,20,20,3,20,3,20,3,Standard,Standard,194,0.0,0.116,,,,-0.116,,-17,17,0.0,1.0,27,26,28,26,3,5,66,2,,2,5.63,-0.63,-0.63,50.7
FA,2023-09-04,56.3,-1.39,7.17,"Fry, David",680777,681807,,ball,,,,,14,Ryan Jeffers flies out to right fielder Will Brennan.,R,R,R,CLE,MIN,B,,,1,1,2023,-0.55,1.19,0.17,-0.04,,,,2,9,Top,,,,,,,3.047727187717205,-81.92567886440867,-3.1761632237451334,-2.89396055690641,10.909425398643716,-26.597839793348335,3.44,1.66,,,,54.5,1322,4.5,716719,666310,672356,665926,671289,677588,680757,657656,686823,55.98,,,,,,,,93,3,Other,3,20,20,3,20,3,20,3,Standard,Standard,198,0.0,0.053,,,,-0.053,,-17,17,0.0,1.0,27,26,28,26,3,5,66,2,,2,6.0,0.55,0.55,53.1
FA,2023-09-04,56.2,-1.54,6.91,"Fry, David",680777,681807,,called_strike,,,,,9,Ryan Jeffers flies out to right fielder Will Brennan.,R,R,R,CLE,MIN,S,,,1,0,2023,0.13,1.54,0.56,1.83,,,,2,9,Top,,,,,,,2.9695519555461356,-81.84899053163711,-0.4275060737107049,0.2157537589274192,10.598337290449557,-25.39247098966183,3.54,1.69,,,,54.3,1632,4.3,716719,666310,672356,665926,671289,677588,680757,657656,686823,56.23,,,,,,,,93,2,Other,3,20,20,3,20,3,20,3,Standard,Standard,196,0.0,-0.056,,,,0.056,,-17,17,0.0,1.0,27,26,28,26,3,5,66,2,,2,5.65,-0.13,-0.13,45.5
EP,2023-09-04,54.6,-1.51,7.12,"Fry, David",680777,681807,,ball,,,,,14,Ryan Jeffers flies out to right fielder Will Brennan.,R,R,R,CLE,MIN,B,,,0,0,2023,0.04,1.55,0.67,1.18,,,,2,9,Top,,,,,,,3.1141937770444477,-79.55321973386029,-1.1554509385642395,-0.2324862372233101,10.077624674618871,-25.66681761511219,3.44,1.64,,,,52.8,1468,4.3,716719,666310,672356,665926,671289,677588,680757,657656,686823,56.16,,,,,,,,93,1,Eephus,3,20,20,3,20,3,20,3,Standard,Standard,198,0.0,0.043,,,,-0.043,,-17,17,0.0,1.0,27,26,28,26,3,5,66,2,,2,6.07,-0.04,-0.04,50.4
FA,2023-09-04,56.8,-1.59,7.04,"Fry, David",670242,681807,home_run,hit_into_play,,,,,2,Matt Wallner homers (11) on a fly ball to right field. Donovan Solano scores.,R,L,R,CLE,MIN,X,,fly_ball,0,0,2023,-0.14,1.72,-0.03,3.23,,456781,,2,9,Top,245.15,82.88,,,,,2.5452953098610465,-82.59685510913131,1.1701201626386373,-1.0130925980006078,11.688194912889632,-24.74970655300223,3.76,1.84,408,110.1,27,54.8,1619,4.4,716719,666310,672356,665926,671289,677588,680757,657656,686823,56.06,0.986,1.973,2.0,1,0,3,6,92,1,Other,3,18,18,3,20,3,20,3,Infield shade,Standard,194,0.0,1.604,79.4,7.7,3.929,-1.604,110.1,-15,15,0.0,1.0,27,25,28,26,3,5,66,1,,1,5.39,0.14,-0.14,48.5
FA,2023-09-04,56.3,-1.46,7.05,"Fry, David",456781,681807,double,hit_into_play,,,,,5,Donovan Solano doubles (25) on a sharp fly ball to center fielder Ramon Laureano.,R,R,R,CLE,MIN,X,8,fly_ball,0,0,2023,-0.17,1.51,0.05,2.33,,,,2,9,Top,78.37,51.84,,,,,2.4652421989652344,-81.89088672920238,0.172791111005065,-1.1012696714196135,11.192010237261885,-25.626687530378412,3.23,1.5,381,102.7,25,54.2,1548,4.2,716719,666310,672356,665926,671289,677588,680757,657656,686823,56.28,0.806,1.452,1.25,1,1,1,6,91,1,Other,3,18,18,3,18,3,18,3,Standard,Standard,199,0.0,0.575,73.2,7.2,2.783,-0.575,102.7,-15,15,0.0,1.0,27,35,28,36,3,5,66,1,,1,5.7,0.17,0.17,47.7
EP,2023-09-04,48.6,-1.63,7.22,"Fry, David",571657,681807,field_out,hit_into_play,,,,,12,"Kyle Farmer grounds out, second baseman Andres Gimenez to first baseman Gabriel Arias.",R,R,R,CLE,MIN,X,4,ground_ball,2,2,2023,-0.1,1.54,1.2,3.48,,,,1,9,Top,128.16,140.9,,,,,3.737615597737763,-70.50784784899045,4.136519276661671,-0.772124017017299,8.357314238400653,-27.78333468749982,3.36,1.51,9,84.3,-20,46.6,1332,4.1,716719,666310,672356,665926,671289,677588,680757,657656,686823,56.37,0.077,0.065,0.0,1,0,0,2,90,5,Eephus,3,18,18,3,18,3,18,3,Standard,Standard,194,0.0,-0.234,57.7,6.2,0.099,0.234,88.0,-15,15,0.0,1.0,27,32,28,33,3,1,66,1,,1,8.2,0.1,0.1,52.3
FA,2023-09-04,57.6,-1.61,7.09,"Fry, David",571657,681807,,foul,,,,,5,"Kyle Farmer grounds out, second baseman Andres Gimenez to first baseman Gabriel Arias.",R,R,R,CLE,MIN,S,,,2,1,2023,-0.13,1.59,-0.26,2.32,,,,1,9,Top,,,,,,,2.2419314987941803,-83.83049831088836,-0.4708651224883952,-0.9203925125385404,11.021343540641787,-24.818154978305056,3.36,1.51,144,91.0,11,55.7,1580,4.3,716719,666310,672356,665926,671289,677588,680757,657656,686823,56.2,,,,,,,,90,4,Other,3,18,18,3,18,3,18,3,Standard,Standard,198,0.0,-0.076,70.7,7.5,,0.076,91.0,-15,15,0.0,1.0,27,32,28,33,3,1,66,1,,1,5.26,0.13,0.13,49.8
FA,2023-09-04,58.5,-1.55,7.08,"Fry, David",571657,681807,,ball,,,,,14,"Kyle Farmer grounds out, second baseman Andres Gimenez to first baseman Gabriel Arias.",R,R,R,CLE,MIN,B,,,1,1,2023,-0.03,1.41,0.86,1.71,,,,1,9,Top,,,,,,,3.7861400048980514,-85.15509153985963,-1.4846914740878807,-0.6166911045864356,10.9728590667717,-25.27184942796623,3.74,1.69,,,,56.6,1647,4.3,716719,666310,672356,665926,671289,677588,680757,657656,686823,56.22,,,,,,,,90,3,Other,3,18,18,3,18,3,18,3,Standard,Standard,201,0.0,0.054,,,,-0.054,,-15,15,0.0,1.0,27,32,28,33,3,1,66,1,,1,5.21,0.03,0.03,50.5
