pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CU,2023-07-31,84.0,-1.62,5.4,"Germán, Domingo",642350,593334,strikeout,swinging_strike,,,,,14,Jose Siri strikes out swinging.,R,R,R,NYY,TB,S,2,,0,2,2023,0.04,0.08,1.94,0.94,670042,670623,,2,9,Top,,,,,,,8.086249853872769,-122.05439763046796,-4.045193441449687,-1.1916509794518646,24.37665639892546,-30.785224631794225,3.37,1.62,,,,83.2,2757,5.9,717185,666163,519203,650402,518934,683011,641343,664056,519317,54.59,,0.0,0.0,1,0,0,,64,3,Curveball,1,5,5,1,5,1,5,1,Standard,Standard,236,0.003,-0.18,56.3,8.5,,0.18,,-4,4,0.013,0.987,30,27,31,28,2,3,6,1,,1,3.17,-0.04,-0.04,30.9
SI,2023-07-31,92.3,-1.66,5.37,"Germán, Domingo",642350,593334,,foul,,,,,7,Jose Siri strikes out swinging.,R,R,R,NYY,TB,S,,,0,1,2023,-1.45,0.93,-0.57,1.67,670042,670623,,2,9,Top,,,,,,,5.888865577118768,-134.2915786759414,-5.583412748337204,-18.88259944168085,28.61152387826692,-19.956776975270607,3.37,1.62,12,97.7,-8,91.7,2266,5.9,717185,666163,519203,650402,518934,683011,641343,664056,519317,54.57,,,,,,,,64,2,Sinker,1,5,5,1,5,1,5,1,Standard,Standard,228,0.0,-0.075,77.4,8.4,,0.075,97.7,-4,4,0.013,0.987,30,27,31,28,2,3,6,1,,1,1.75,1.45,1.45,28.9
CU,2023-07-31,83.1,-1.64,5.64,"Germán, Domingo",642350,593334,,called_strike,,,,,1,Jose Siri strikes out swinging.,R,R,R,NYY,TB,S,,,0,0,2023,-0.11,0.41,-0.46,3.02,670042,670623,,2,9,Top,,,,,,,2.887877995539323,-121.15771558831123,-0.4594527781091903,-1.5375610447783212,19.69430428792491,-28.17025675277223,3.27,1.47,,,,83.3,2607,5.9,717185,666163,519203,650402,518934,683011,641343,664056,519317,54.57,,,,,,,,64,1,Curveball,1,5,5,1,5,1,5,1,Standard,Standard,216,0.0,-0.037,,,,0.037,,-4,4,0.013,0.987,30,27,31,28,2,3,6,1,,1,2.83,0.11,0.11,32.3
CH,2023-07-31,85.8,-1.68,5.65,"Germán, Domingo",666139,593334,field_out,hit_into_play,,,,,5,"Josh Lowe grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.   Luke Raley to 3rd.    Isaac Paredes to 2nd.",R,L,R,NYY,TB,X,4,ground_ball,1,2,2023,-1.5,1.02,0.22,2.66,,670042,670623,1,9,Top,154.48,155.71,,,,,7.5001799896195775,-124.76754171943595,-2.8559400109253117,-17.14688903113906,26.212647461028304,-21.118390067196785,3.72,1.85,21,74.0,-6,85.4,2411,6.2,717185,666163,519203,650402,518934,683011,641343,664056,519317,54.34,0.069,0.075,0.0,1,0,0,2,63,4,Changeup,1,5,5,1,5,1,5,1,Standard,Standard,226,0.002,-0.256,75.2,8.0,0.083,0.256,88.0,-4,4,0.011,0.989,30,25,31,25,2,3,6,1,,2,2.09,1.5,-1.5,33.4
FF,2023-07-31,92.6,-1.77,5.39,"Germán, Domingo",666139,593334,,called_strike,,,,,4,"Josh Lowe grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.   Luke Raley to 3rd.    Isaac Paredes to 2nd.",R,L,R,NYY,TB,S,,,1,1,2023,-1.12,1.26,-0.43,2.71,,670042,670623,1,9,Top,,,,,,,5.837557108905609,-134.74728791657105,-3.7618737032920015,-14.960686975464704,29.668416623128493,-16.21424086469933,3.67,1.8,,,,92.1,2479,6.0,717185,666163,519203,650402,518934,683011,641343,664056,519317,54.46,,,,,,,,63,3,4-Seam Fastball,1,5,5,1,5,1,5,1,Standard,Standard,228,0.0,-0.059,,,,0.059,,-4,4,0.011,0.989,30,25,31,25,2,3,6,1,,2,1.4,1.12,-1.12,29.2
CU,2023-07-31,82.8,-1.61,5.67,"Germán, Domingo",666139,593334,,blocked_ball,,,,,14,"Josh Lowe grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.   Luke Raley to 3rd.    Isaac Paredes to 2nd.",R,L,R,NYY,TB,B,,,0,1,2023,-0.07,0.24,1.88,0.54,,670042,670623,1,9,Top,,,,,,,8.022559742654538,-120.30681046633843,-5.654173233106005,-2.1583421083050474,22.859282069472336,-28.961298133167155,3.67,1.8,,,,82.3,2728,6.0,717185,666163,519203,650402,518934,683011,641343,664056,519317,54.51,,,,,,,,63,2,Curveball,1,5,5,1,5,1,5,1,Standard,Standard,254,0.0,0.031,,,,-0.031,,-4,4,0.011,0.989,30,25,31,25,2,3,6,1,,2,3.09,0.07,-0.07,34.2
CH,2023-07-31,85.5,-1.66,5.61,"Germán, Domingo",666139,593334,,called_strike,,,,,8,"Josh Lowe grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.   Luke Raley to 3rd.    Isaac Paredes to 2nd.",R,L,R,NYY,TB,S,,,0,0,2023,-1.59,0.72,0.03,2.2,,670042,670623,1,9,Top,,,,,,,7.150736858487834,-124.28151342279484,-3.180769618101533,-17.909714868393728,25.78811157772798,-24.26677073476486,3.62,1.7,,,,85.0,2410,6.1,717185,666163,519203,650402,518934,683011,641343,664056,519317,54.38,,,,,,,,63,1,Changeup,1,5,5,1,5,1,5,1,Standard,Standard,226,0.0,-0.04,,,,0.04,,-4,4,0.011,0.989,30,25,31,25,2,3,6,1,,2,2.41,1.59,-1.59,35.3
CU,2023-07-31,81.8,-1.7,5.56,"Germán, Domingo",670623,593334,walk,ball,,,,,14,Isaac Paredes walks.,R,R,R,NYY,TB,B,,,3,1,2023,0.08,0.32,2.1,1.3,,670042,,1,9,Top,,,,,,,8.358242336079348,-118.9164925729947,-3.6195691633204414,-0.865112366078261,23.241976224524368,-28.63296977658644,3.09,1.44,,,,81.2,2813,6.0,717185,666163,519203,650402,518934,683011,641343,664056,519317,54.5,,0.695903,0.7,1,0,0,,62,5,Curveball,1,5,5,1,5,1,5,1,Standard,Standard,258,-0.001,0.123,,,,-0.123,,-4,4,0.012,0.988,30,24,31,24,2,3,6,1,,1,3.1,-0.08,-0.08,30.8
CU,2023-07-31,82.7,-1.62,5.65,"Germán, Domingo",670623,593334,,ball,,,,,14,Isaac Paredes walks.,R,R,R,NYY,TB,B,,,2,1,2023,0.07,0.52,1.85,1.14,,670042,,1,9,Top,,,,,,,7.729203360405675,-120.17918254807893,-4.7637312220145365,-0.7872222610451777,22.870769078342125,-26.376061682935912,3.14,1.44,,,,82.2,2732,6.0,717185,666163,519203,650402,518934,683011,641343,664056,519317,54.49,,,,,,,,62,4,Curveball,1,5,5,1,5,1,5,1,Standard,Standard,247,0.0,0.062,,,,-0.062,,-4,4,0.012,0.988,30,24,31,24,2,3,6,1,,1,2.81,-0.07,-0.07,32.5
SI,2023-07-31,91.1,-1.81,5.34,"Germán, Domingo",670623,593334,,ball,,,,,13,Isaac Paredes walks.,R,R,R,NYY,TB,B,,,1,1,2023,-1.53,0.46,-1.51,1.8,,670042,,1,9,Top,,,,,,,4.000940797331384,-132.683046356058,-3.964126671837305,-18.940219563843577,28.291127387759396,-26.127672461356724,3.14,1.39,,,,90.6,2476,5.9,717185,666163,519203,650402,518934,683011,641343,664056,519317,54.56,,,,,,,,62,3,Sinker,1,5,5,1,5,1,5,1,Standard,Standard,229,0.0,0.052,,,,-0.052,,-4,4,0.012,0.988,30,24,31,24,2,3,6,1,,1,2.28,1.53,1.53,25.3
